State,Region,Population,HouseholdIncome,HighSchool,College,Smokers,PhysicalActivity,Obese,NonWhite,HeavyDrinkers,TwoParents,Insured
Alabama,S,4.849,43.253,84.9,24.9,21.5,45.4,32.4,30.7,4.3,58.7,78.8
Alaska,W,0.737,70.76,92.8,24.7,22.6,55.3,28.4,33.1,8.2,69.6,79.8
Arizona,W,6.731,49.774,85.6,25.5,16.3,51.9,26.8,20.8,6.3,62.7,74.7
Arkansas,S,2.966,40.768,87.1,22.4,25.9,41.2,34.6,21.7,5,62,71.7
California,W,38.803,61.094,84.1,31.4,12.5,56.3,24.1,37.7,6.4,65.3,79.7
Colorado,W,5.356,58.433,89.5,37,17.7,60.4,21.3,15.8,6.7,69.9,80
Connecticut,NE,3.597,69.461,91,39.8,15.5,50.9,25,22.1,6.3,67,87.7
Delaware,NE,0.936,59.878,86.9,31.7,19.6,49.7,31.1,30,6.6,60.4,85.7
Florida,S,19.893,46.956,87.1,26.5,16.8,50.2,26.4,23.7,7.2,60.2,70.9
Georgia,S,10.097,49.179,85.3,29,18.8,50.8,30.3,39.4,4.7,60.3,72.7
Hawaii,W,1.42,67.402,94.8,29.7,13.3,60.2,21.8,75,7.6,70.4,90
Idaho,W,1.634,46.767,89.9,23.6,17.2,53.9,29.6,8.1,6.2,74.1,75.9
Illinois,MW,12.881,56.797,89.8,38.2,18,52.4,29.4,27.5,6.5,66.2,80.6
Indiana,MW,6.597,48.248,87.6,27.5,21.9,44.1,31.8,15.4,5.2,65.4,79.1
Iowa,MW,3.107,51.843,92.4,32.2,19.5,47,31.3,8.5,6.5,69.6,87.3
Kansas,MW,2.904,51.332,89.6,33.1,20,49.1,30,14.6,4.6,70,79.2
Kentucky,MW,4.413,43.036,88.5,25.7,26.5,46,33.2,12.1,4.9,64.3,78
Louisiana,S,4.65,44.874,85,25,23.5,45.2,33.1,37.1,6.3,54.1,74
Maine,NE,1.33,48.453,94,29.9,20.2,53.6,28.9,4.8,7.2,66.1,84.7
Maryland,NE,5.976,73.538,89.5,39.4,16.4,48.6,28.3,41.6,5.2,63.7,84.5
Massachusetts,NE,6.745,66.866,92.4,48.3,16.6,54.5,23.6,19.5,7.5,67.6,92.8
Michigan,MW,9.91,48.411,90,29.2,21.4,53.1,31.5,20.7,6.3,64.1,82.6
Minnesota,MW,5.457,59.836,92.8,38,18,52.7,25.5,14.4,7.3,71.2,87.1
Mississippi,S,2.994,39.031,84.2,21.1,24.8,37.4,35.1,40.5,4.2,52.3,71.9
Missouri,MW,6.064,47.38,90,31.2,22.1,48.7,30.4,17,6,65.5,81.2
Montana,W,1.024,46.23,92.5,31.1,19,57.8,24.6,10.6,7.7,67,78.5
Nebraska,MW,1.882,51.672,90.1,33.3,18.5,50.1,29.6,11.8,6.8,70.5,82.4
Nevada,W,2.839,52.8,83.9,21.5,19.4,53.6,26.2,28.6,7.1,62.7,72.7
New Hampshire,NE,1.327,64.916,93,36.5,16.2,55.4,26.7,6,6.5,69.6,84.4
New Jersey,NE,8.938,71.629,90.7,41.5,15.7,50.5,26.3,30.8,5,69.2,80.7
New Mexico,W,2.086,44.927,84,21.4,19.1,55,26.4,27,5.9,56.6,73.8
New York,NE,19.746,58.003,88.4,41.9,16.6,47.3,25.4,34.4,6,64.2,83
North Carolina,S,9.944,46.334,85.8,30.2,20.3,48.6,29.4,30.3,4.9,61.9,75.8
North Dakota,MW,0.739,53.741,95.4,33.9,21.2,45.3,31,10.4,7.2,72.5,87.6
Ohio,MW,11.594,48.308,90.3,30.3,23.4,49.5,30.4,17.1,5.7,63.4,83.3
Oklahoma,S,3.878,45.339,87.3,24.6,23.7,43.9,32.5,26.5,4.2,64.4,77.4
Oregon,W,3.97,50.229,88.7,30.1,17.3,64.1,26.5,14.8,8.6,69,75
Pennsylvania,NE,12.787,52.548,91.4,35.7,21,47.8,30,17.8,5.9,65.1,84.8
Rhode Island,NE,1.055,56.361,89.3,35.7,17.4,49.1,27.3,18.6,6.1,59.1,81.3
South Carolina,S,4.832,44.779,86.3,27.3,22,49.1,31.7,32.8,5.7,58.3,76.1
South Dakota,MW,0.853,49.495,92.2,29.1,19.6,53.7,29.9,14.4,5.2,67.5,85.1
Tennessee,S,6.549,44.298,88.6,27.5,24.3,37.7,33.7,21.8,3.3,62.1,78.8
Texas,S,26.957,51.9,83.8,26.9,15.9,42.1,30.9,25.6,5.9,64.4,67.3
Utah,W,2.943,58.821,91.2,29.9,10.3,55.3,24.1,11.6,4.5,80.6,80.8
Vermont,NE,0.627,54.267,93.4,37.2,16.6,58.8,24.7,4.8,7.1,67.1,88.5
Virginia,S,8.326,63.907,90.8,38.9,19,51.9,27.2,30.5,5.7,67.9,81.6
Washington,W,7.062,59.478,89.5,31.9,16.1,56.3,27.2,21.5,6.6,69.7,79.4
West Virginia,S,1.85,41.043,90.2,23.2,27.3,47.6,35.1,6.2,3.9,62.8,76.3
Wisconsin,MW,5.758,52.413,91.7,31.2,18.7,53.4,29.8,13,7.8,68.6,85.8
Wyoming,W,0.584,57.406,92.7,25.7,20.6,54.2,27.8,9.1,5.8,71.3,76.4
