current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Devils Tower National Monument,Wyoming,,NPS,Established,9/24/06,1906,T. Roosevelt,"1,193.91"
El Morro National Monument,New Mexico,,NPS,Established,12/8/06,1906,T. Roosevelt,160
El Morro National Monument,New Mexico,,NPS,Enlarged,6/18/17,1917,W. Wilson,240
Montezuma Castle National Monument,Arizona,,NPS,Established,12/8/06,1906,T. Roosevelt,161.39
Montezuma Castle National Monument,Arizona,,NPS,Enlarged,2/23/37,1937,F. D. Roosevelt,360
Montezuma Castle National Monument,Arizona,,NPS,Enlarged,11/10/78,1978,95th Congress,13
Montezuma Castle National Monument,Arizona,,NPS,Deleted,11/10/78,1978,95th Congress,5
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Established,12/8/06,1906,T. Roosevelt,"60,776.02"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Diminished,7/31/11,1911,W. Taft,"25,625.60"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,11/14/30,1930,H. Hoover,"11,010"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Redesignated NP,3/28/58,1958,85th Congress,
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,11/30/31,1931,H. Hoover,
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,9/23/32,1932,H. Hoover,"53,300"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Established,3/11/07,1907,T. Roosevelt,"10,643.13"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Enlarged,1/10/28,1928,C. Coolidge,"21,509.40"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Redesignated Chaco Culture NHP,12/19/80,1980,96th Congress,
Lassen Volcanic National Park,California,Cinder Cone National Monument,NPS,Established,5/6/07,1907,T. Roosevelt,"5,120"
Lassen Volcanic National Park,California,Cinder Cone National Monument,NPS,Incorporated into Lassen Volcanic NP,8/9/16,1916,64th Congress,
Lassen Volcanic National Park,California,Lassen Volcanic National Monument,NPS,Established,5/6/07,1907,T. Roosevelt,"1,280"
Lassen Volcanic National Park,California,Lassen Volcanic National Monument,NPS,Redesignated Lassen Volcanic NP,8/9/16,1916,64th Congress,
Gila Cliff Dwellings National Monument,New Mexico,,NPS,Established,11/16/07,1907,T. Roosevelt,160
Gila Cliff Dwellings National Monument,New Mexico,,NPS,Enlarged,4/17/62,1962,J. Kennedy,373.25
Tonto National Monument,Arizona,,NPS,Established,12/19/07,1907,T. Roosevelt,640
Tonto National Monument,Arizona,,NPS,Enlarged,4/1/37,1937,F. D. Roosevelt,480
Muir Woods National Monument,California,,NPS,Established,1/9/08,1908,T. Roosevelt,295
Muir Woods National Monument,California,,NPS,Enlarged,9/22/21,1921,W. Harding,128.14
Muir Woods National Monument,California,,NPS,Enlarged,4/5/35,1935,F. D. Roosevelt,1.36
Muir Woods National Monument,California,,NPS,Enlarged,6/26/51,1951,H. Truman,504.271
Muir Woods National Monument,California,,NPS,Enlarged,9/8/59,1959,D. Eisenhower,6.16
Grand Canyon National Park,Arizona,Grand Canyon National Monument,NPS,Established,1/11/08,1908,T. Roosevelt,"808,120"
Grand Canyon National Park,Arizona,Grand Canyon National Monument,NPS,Redesignated Grand Canyon NP,2/26/19,1919,65th Congress,
Pinnacles National Park,California,Pinnacles National Monument,NPS,Established,1/16/08,1908,T. Roosevelt,"1,320"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,5/7/23,1923,W. Harding,"2,653.46"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,7/2/24,1924,C. Coolidge,"2,980.26"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,4/13/31,1931,H. Hoover,"1,926.35"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,7/11/33,1933,F. D. Roosevelt,4805
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,12/5/41,1941,F. D. Roosevelt,"4,589.26"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,1/11/00,2000,W. Clinton,"7,900"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Redesignated NP,1/10/13,2013,112th Congress,440
Jewel Cave National Monument,South Dakota,,NPS,Established,2/7/08,1908,T. Roosevelt,"1,274.56"
Natural Bridges National Monument,Utah,,NPS,Established,4/16/08,1908,T. Roosevelt,120
Natural Bridges National Monument,Utah,,NPS,Enlarged,9/25/09,1909,W. Taft,"2,620"
Natural Bridges National Monument,Utah,,NPS,Boundaries Confirmed,2/11/16,1916,W. Wilson,
Natural Bridges National Monument,Utah,,NPS,Enlarged,8/14/62,1962,J. Kennedy,"5,236"
Natural Bridges National Monument,Utah,,NPS,Diminished,,,,320
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,Established,5/11/08,1908,T. Roosevelt,160
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,Boundaries Confirmed,5/16/11,1911,W. Taft,160
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,"Transferred to MT, now a state park",8/24/37,1937,75th Congress,
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Established,9/15/08,1908,T. Roosevelt,10
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Enlarged,3/28/58,1958,D. Eisenhower,0.15
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Enlarged,11/10/78,1978,95th Congress,7
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Deleted,11/10/78,1978,95th Congress,0.011
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Redesignated NHP,8/6/90,1990,101st Congress,
Part of Rio Grande National Forest,Colorado,Wheeler National Monument,BLM,Established,12/7/08,1908,T. Roosevelt,300
Part of Rio Grande National Forest,Colorado,Wheeler National Monument,BLM,"Transferred to BLM, part of Rio Grande National Forest",8/3/50,1950,81st Congress,
Olympic National Park,Washington,Mount Olympus,NPS,Established,3/2/09,1909,T. Roosevelt,"639,200"
Olympic National Park,Washington,Mount Olympus,NPS,Diminished,4/17/12,1912,W. Taft,160
Olympic National Park,Washington,Mount Olympus,NPS,Diminished,5/11/15,1915,W. Wilson,"313,280"
Olympic National Park,Washington,Mount Olympus,NPS,Diminished,1/7/29,1929,C. Coolidge,640
Olympic National Park,Washington,Mount Olympus,NPS,Redesignated NP,6/29/38,1938,75th Congress,
Navajo National Monument,Arizona,,NPS,Established,3/20/09,1909,W. Taft,360
Navajo National Monument,Arizona,,NPS,Diminished,3/14/12,1912,W. Taft,320
Oregon Caves National Monument and Preserve,Oregon,Oregon Caves National Monument,NPS,Established,7/12/09,1909,W. Taft,465.8
Oregon Caves National Monument and Preserve,Oregon,Oregon Caves National Monument,NPS,Enlarged,11/10/78,1978,95th Congress,8
Oregon Caves National Monument and Preserve,Oregon,Oregon Caves National Monument,NPS,Redesignated NMP,12/19/14,2014,113th Congress,
Zion National Park,Utah,Mukuntu-Weap/Zion National Monument,NPS,Established,7/31/09,1909,W. Taft,"16,000"
Zion National Park,Utah,Mukuntu-Weap/Zion National Monument,NPS,Enlarged & Renamed,3/18/18,1918,W. Wilson,"76,800"
Zion National Park,Utah,Mukuntu-Weap/Zion National Monument,NPS,Redesignated NP,11/19/19,1919,66th Congress,
Spirit Mountain Cave,Wyoming,Shoshone Cavern,BLM,Established,9/21/09,1909,W. Taft,210
Spirit Mountain Cave,Wyoming,Shoshone Cavern,BLM,Transferred to WY,5/17/54,1954,83d Congress,
Salinas Pueblo Missions National Monument,New Mexico,Gran Quivira,NPS,Established,11/1/09,1909,W. Taft,160
Salinas Pueblo Missions National Monument,New Mexico,Gran Quivira,NPS,Enlarged,11/25/19,1919,W. Wilson,240
Salinas Pueblo Missions National Monument,New Mexico,Gran Quivira,NPS,"Abolished, funds available to Salinas NM",12/19/80,1980,96th Congress,
Salinas Pueblo Missions National Monument,New Mexico,Gran Quivira,NPS,Redesignated Salinas Pueblo Missions NM,10/28/88,1988,,
Sitka National Historical Park,Alaska,Sitka National Monument,NPS,Established,3/23/10,1910,W. Taft,57
Sitka National Historical Park,Alaska,Sitka National Monument,NPS,Resurveyed & Enlarged,2/25/52,1952,H. Truman,54.334
Sitka National Historical Park,Alaska,Sitka National Monument,NPS,Redesignated NHP,10/18/72,1972,92d Congress,
Sitka National Historical Park,Alaska,Sitka National Monument,NPS,Deleted,7/30/83,1983,96th Congress,
Rainbow Bridge National Monument,Utah,,NPS,Established,5/30/10,1910,W. Taft,160
Big Hole National Battlefield,Montana,Big Hole Battlefield National Monument,NPS,Established,6/23/10,1910,W. Taft,5
Big Hole National Battlefield,Montana,Big Hole Battlefield National Monument,NPS,Enlarged,6/29/39,1939,F. D. Roosevelt,195
Big Hole National Battlefield,Montana,Big Hole Battlefield National Monument,NPS,Redesignated NB,5/17/63,1963,88th Congress,
Colorado National Monument,Colorado,,NPS,Established,5/24/11,1911,W. Taft,"13,883.06"
Colorado National Monument,Colorado,,NPS,Enlarged,3/3/33,1933,H. Hoover,
Colorado National Monument,Colorado,,NPS,Diminished,8/7/59,1959,D. Eisenhower,211
Colorado National Monument,Colorado,,NPS,Enlarged,,,,120
Devils Postpile National Monument,California,,NPS,Established,7/6/11,1911,W. Taft,798.46
Cabrillo National Monument,California,,NPS,Established,10/14/13,1913,W. Wilson,0.5
Cabrillo National Monument,California,,NPS,Enlarged,2/2/59,1959,D. Eisenhower,80
Cabrillo National Monument,California,,NPS,Enlarged,9/28/74,1974,G. Ford,56.6
Papago Park,Arizona,Papago Saguaro National Monument,State of Arizona,Established,1/31/14,1914,W. Wilson,"2,050.43"
Papago Park,Arizona,Papago Saguaro National Monument,State of Arizona,"Transferred to AZ, now Papago Park",4/7/30,1930,71st Congress,
Dinosaur National Monument,"Utah, Colorado",,NPS,Established,10/4/15,1915,W. Wilson,80
Dinosaur National Monument,"Utah, Colorado",,NPS,Enlarged,7/14/38,1938,F. D. Roosevelt,"203,885"
Walnut Canyon National Monument,Arizona,,NPS,Established,11/30/15,1915,W. Wilson,960
Walnut Canyon National Monument,Arizona,,NPS,Enlarged,9/24/38,1938,F. D. Roosevelt,913.6
Bandelier National Monument,New Mexico,,NPS,Established,2/11/16,1916,W. Wilson,"23,352"
Bandelier National Monument,New Mexico,,NPS,Enlarged,2/15/32,1932,H. Hoover,
Bandelier National Monument,New Mexico,,NPS,Enlarged,1/9/61,1961,D. Eisenhower,"3,600"
Bandelier National Monument,New Mexico,,NPS,Enlarged,5/27/63,1963,J. Kennedy,"2,882"
Bandelier National Monument,New Mexico,,NPS,Diminished,,,,"3,925"
Acadia National Park,Maine,Sieur de Monts National Monument,NPS,Established,7/8/16,1916,W. Wilson,"5,000"
Acadia National Park,Maine,Sieur de Monts National Monument,NPS,Redesignated Lafayette NP,2/26/19,1919,65th Congress,
Acadia National Park,Maine,Sieur de Monts National Monument,NPS,Redesignated Acadia NP,1930,,,
Capulin Volcano National Monument,New Mexico,Capulin Mountain,NPS,Established,8/9/16,1916,W. Wilson,640.42
Capulin Volcano National Monument,New Mexico,Capulin Mountain,NPS,Redesignated Capulin Volcano NM,3/3/33,1933,H. Hoover,
Part of Tongass National Forest,Alaska,Old Kasaan,USFS,Established,10/25/16,1916,W. Wilson,43
Part of Tongass National Forest,Alaska,Old Kasaan,USFS,Transferred to Forest Service,7/26/55,1955,84th Congress,
Crow Flies High Overlook,North Dakota,Verendrye National Monument,State of North Dakota,Established,6/29/17,1917,W. Wilson,253.04
Crow Flies High Overlook,North Dakota,Verendrye National Monument,State of North Dakota,Transferred to ND,7/30/56,1956,84th Congress,
Casa Grande Ruins National Monument,Arizona,,NPS,Established,8/3/18,1918,W. Wilson,480
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Established,9/24/18,1918,W. Wilson,"1,088,000"
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,4/24/31,1931,H. Hoover,
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Restrictions Modified.,6/15/36,1936,F. D. Roosevelt,
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,8/4/42,1942,F. D. Roosevelt,
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,1/20/69,1969,L. Johnson,"94,547"
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Enlarged,12/1/78,1978,J. Carter,"1,370,000"
Katmai National Park and Preserve,Alaska,Katmai National Monument,NPS,Redesignated NP&P,12/2/80,1980,96th Congress,
Scotts Bluff National Monument,Nebraska,,NPS,Established,12/12/19,1919,W. Wilson,"2,053.83"
Scotts Bluff National Monument,Nebraska,,NPS,Enlarged,6/1/32,1932,H. Hoover,
Scotts Bluff National Monument,Nebraska,,NPS,Enlarged,3/29/40,1940,F. D. Roosevelt,53.34
Yucca House National Monument,Colorado,,NPS,Established,12/19/19,1919,W. Wilson,9.6
Great Basin National Park,Nevada,Lehman Caves National Moument,NPS,Established,1/24/22,1922,W. Harding,593.03
Great Basin National Park,Nevada,Lehman Caves National Moument,NPS,Incorporated into Great Basin NP,10/27/86,1986,99th Congress,
Timpanogos Cave National Monument,Utah,,NPS,Established,10/14/22,1922,W. Harding,250
Timpanogos Cave National Monument,Utah,,NPS,Boundaries Confirmed,3/27/62,1962,J. Kennedy,
Fossil Cycad National Monument,South Dakota,,BLM,Established,10/21/22,1922,W. Harding,320
Fossil Cycad National Monument,South Dakota,,BLM,Transferred to BLM,8/1/56,1956,84th Congress,
Aztec Ruin National Monument,New Mexico,,NPS,Established,1/24/23,1923,W. Harding,4.6
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,7/2/28,1928,C. Coolidge,12.6
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,12/19/30,1930,H. Hoover,6.8788
Aztec Ruin National Monument,New Mexico,,NPS,Enlarged,5/27/48,1948,H. Truman,1.255
Hovenweep National Monument,"Utah, Colorado",,NPS,Established,3/2/23,1923,W. Harding,285.8
Hovenweep National Monument,"Utah, Colorado",,NPS,Enlarged,4/26/51,1951,H. Truman,80
Hovenweep National Monument,"Utah, Colorado",,NPS,Enlarged,11/20/52,1952,H. Truman,81.02
Hovenweep National Monument,"Utah, Colorado",,NPS,Diminished,4/6/56,1956,D. Eisenhower,40
Hovenweep National Monument,"Utah, Colorado",,NPS,"Enlarged, administered by Canyonlands NP",,,,40
Hopewell Culture National Historical Park,Ohio,Mound City Group National Monument,NPS,Established,3/2/23,1923,W. Harding,57
Hopewell Culture National Historical Park,Ohio,Mound City Group National Monument,NPS,Redesignated Hopewell Culture NHP,5/27/92,1992,102d Congress,
Pipe Spring National Monument,Arizona,,NPS,Established,5/31/23,1923,W. Harding,40
Bryce Canyon National Park,Utah,Bryce Canyon National Monument,NPS,Established,6/8/23,1923,W. Harding,"7,440"
Bryce Canyon National Park,Utah,Bryce Canyon National Monument,NPS,Redesignated NP,6/7/24,1924,68th Congress,
Carlsbad Caverns National Park,New Mexico,Carlsbad Cave National Monument,NPS,Established,10/25/23,1923,C. Coolidge,719.22
Carlsbad Caverns National Park,New Mexico,Carlsbad Cave National Monument,NPS,Redesignated NP,5/14/30,1930,71st Congress,
Chiricahua National Monument,Arizona,,NPS,Established,4/18/24,1924,C. Coolidge,"3,655.12"
Chiricahua National Monument,Arizona,,NPS,Enlarged,6/10/38,1938,F. D. Roosevelt,"6,407"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Established,5/2/24,1924,C. Coolidge,"22,651.80"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged,7/23/28,1928,C. Coolidge,"26,240"
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged,7/9/30,1930,H. Hoover,
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Diminished,7/18/41,1941,F. D. Roosevelt,
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged,11/19/62,1962,J. Kennedy,5360
Craters of the Moon National Monument,Idaho,,"NPS, BLM",Enlarged under BLM,11/9/00,2000,W. Clinton,"661,287"
Statue of Liberty National Monument,New York,Fort Wood,NPS,Established,10/15/24,1924,C. Coolidge,2.5
Statue of Liberty National Monument,New York,Fort Wood,NPS,Enlarged,9/7/37,1937,F. D. Roosevelt,7.88
Statue of Liberty National Monument,New York,Fort Wood,NPS,"Enlarged, redesignated Statue of Liberty NM",5/11/65,1965,L. Johnson,48
Castle Pinckney,South Carolina,,State of South Carolina,Established,10/15/24,1924,C. Coolidge,3.5
Castle Pinckney,South Carolina,,State of South Carolina,Transferred to SC,3/29/56,1956,84th Congress,
Fort Pulaski National Monument,Georgia,,NPS,Established,10/15/24,1924,C. Coolidge,20
Fort Pulaski National Monument,Georgia,,NPS,Enlarged,8/14/58,1958,D. Eisenhower,2.5
Castillo de San Marcos National Monument,Florida,Fort Marion,NPS,Established,10/15/24,1924,C. Coolidge,18.51
Castillo de San Marcos National Monument,Florida,Fort Marion,NPS,Redesignated Castillo San Marcos NM,6/5/42,1942,57th Congress,
Fort Matanzas National Monument,Florida,,NPS,Established,10/15/24,1924,C. Coolidge,1
Fort Matanzas National Monument,Florida,,NPS,Enlarged,1/9/35,1935,F. D. Roosevelt,88
Fort Matanzas National Monument,Florida,,NPS,Enlarged,3/24/48,1948,H. Truman,209.42
Wupatki National Monument,Arizona,,NPS,Established,12/9/24,1924,C. Coolidge,"2,234.10"
Wupatki National Monument,Arizona,,NPS,Enlarged,7/9/37,1937,F. D. Roosevelt,"33,631.20"
Wupatki National Monument,Arizona,,NPS,Diminished,1/22/41,1941,F. D. Roosevelt,52.27
Natchez Trace National Scenic Trail,Tennessee,Meriwether Lewis National Monument,NPS,Established,2/6/25,1925,C. Coolidge,50
Natchez Trace National Scenic Trail,Tennessee,Meriwether Lewis National Monument,NPS,Enlarged,12/6/27,1927,C. Coolidge,100
Natchez Trace National Scenic Trail,Tennessee,Meriwether Lewis National Monument,NPS,"Included in the Natchez Trace Parkway, now Natchez Trace National Scenic Trail",8/10/61,1961,,
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Established,2/26/25,1925,C. Coolidge,"1,379,315.58"
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Enlarged,4/18/39,1939,F. D. Roosevelt,"904,960"
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Diminished,3/31/55,1955,D. Eisenhower,"4,193 (water)"
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Diminished,,,,"24,925"
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Enlarged,12/1/78,1978,J. Carter,"550,000"
Glacier Bay National Park and Preserve,Alaska,Glacier Bay National Monument,NPS,Redesignated NP&P,12/2/80,1980,96th Congress,
Part of Old Fort Niagara State Park,New York,Father Millet Cross,State of New York,Established,9/5/25,1925,C. Coolidge,0.0074
Part of Old Fort Niagara State Park,New York,Father Millet Cross,State of New York,Transferred to NY,9/7/49,1949,81st Congress,
Part of Old Fort Niagara State Park,New York,Father Millet Cross,State of New York,Now part of Old Fort Niagara State Park,,,,
Lava Beds National Monument,California,,NPS,Established,11/21/25,1925,C. Coolidge,"45,589.92"
Lava Beds National Monument,California,,NPS,Enlarged,4/27/51,1951,H. Truman,211.13
Arches National Park,Utah,Arches National Monument,NPS,Established,4/12/29,1929,H. Hoover,"4,520"
Arches National Park,Utah,Arches National Monument,NPS,Enlarged,11/25/38,1938,F. D. Roosevelt,"29,160"
Arches National Park,Utah,Arches National Monument,NPS,Enlarged,7/22/60,1960,D. Eisenhower,480
Arches National Park,Utah,Arches National Monument,NPS,Diminished,7/22/60,1960,D. Eisenhower,720
Arches National Park,Utah,Arches National Monument,NPS,Enlarged,1/20/69,1969,L. Johnson,"48,943"
Arches National Park,Utah,Arches National Monument,NPS,Redesignated NP,11/12/71,1971,92d Congress,
Part of White River National Forest,Colorado,Holy Cross National Monument,USFS,Established,5/11/29,1929,H. Hoover,"1,392"
Part of White River National Forest,Colorado,Holy Cross National Monument,USFS,Redesignated under Forest Service,8/3/50,1950,81st Congress,
Sunset Crater Volcano National Monument,Arizona,Sunset Crater National Monument,NPS,Established,5/26/30,1930,H. Hoover,"3,040"
Sunset Crater Volcano National Monument,Arizona,Sunset Crater National Monument,NPS,Redesignated Sunset Crater Volcano NM,11/16/90,1990,101st Congress,
Great Sand Dunes National Park and Preserve,Colorado,Great Sand Dunes National Monument,NPS,Established,3/17/32,1932,H. Hoover,"35,528.36"
Great Sand Dunes National Park and Preserve,Colorado,Great Sand Dunes National Monument,NPS,Resurveyed & Modified,3/12/46,1946,H. Truman,
Great Sand Dunes National Park and Preserve,Colorado,Great Sand Dunes National Monument,NPS,Enlarged,6/7/56,1956,D. Eisenhower,960
Great Sand Dunes National Park and Preserve,Colorado,Great Sand Dunes National Monument,NPS,Diminished,,,,9880
Great Sand Dunes National Park and Preserve,Colorado,Great Sand Dunes National Monument,NPS,Renamed National Park & Preserve,11/22/00,2000,106th Congress,
Grand Canyon National Park,Arizona,"Grand Canyon ""II""",NPS,Established,12/22/32,1932,H. Hoover,"273,145"
Grand Canyon National Park,Arizona,"Grand Canyon ""II""",NPS,Diminished,4/4/40,1940,F. D. Roosevelt,"71,854"
Grand Canyon National Park,Arizona,"Grand Canyon ""II""",NPS,Redesignated Grand Canyon NP,1/3/75,1975,93d Congress,
White Sands National Monument,New Mexico,,NPS,Established,1/18/33,1933,H. Hoover,"131,486.84"
White Sands National Monument,New Mexico,,NPS,Enlarged,11/28/34,1934,F. D. Roosevelt,158.91
White Sands National Monument,New Mexico,,NPS,Diminished,8/29/38,1938,F. D. Roosevelt,
White Sands National Monument,New Mexico,,NPS,Enlarged,6/24/53,1953,D. Eisenhower,478.53
White Sands National Monument,New Mexico,,NPS,Enlarged,11/10/78,1978,95th Congress,760
Death Valley National Park,"California, Nevada",Death Valley National Monument,NPS,Established,2/11/33,1933,H. Hoover,"848,581.36"
Death Valley National Park,"California, Nevada",Death Valley National Monument,NPS,Enlarged,3/26/37,1937,F. D. Roosevelt,"305,920"
Death Valley National Park,"California, Nevada",Death Valley National Monument,NPS,Enlarged,1/17/52,1952,H. Truman,40
Death Valley National Park,"California, Nevada",Death Valley National Monument,NPS,Redesignated NP,10/31/94,1994,103d Congress,
Saguaro National Park,Arizona,Saguaro National Monument,NPS,Established,3/1/33,1933,H. Hoover,"53,510.08"
Saguaro National Park,Arizona,Saguaro National Monument,NPS,Enlarged,11/15/61,1961,J. Kennedy,"15,360"
Saguaro National Park,Arizona,Saguaro National Monument,NPS,Redesignated NP,10/14/94,1994,103d Congress,
Black Canyon of the Gunnison National Park,Colorado,Black Canyon of the Gunnison National Monument,NPS,Established,3/2/33,1933,H. Hoover,"10,287.95"
