year,month,date_of_month,day_of_week,births
1994,1,1,6,8096
1994,1,2,7,7772
1994,1,3,1,10142
1994,1,4,2,11248
1994,1,5,3,11053
1994,1,6,4,11406
1994,1,7,5,11251
1994,1,8,6,8653
1994,1,9,7,7910
1994,1,10,1,10498
1994,1,11,2,11706
1994,1,12,3,11567
1994,1,13,4,11212
1994,1,14,5,11570
1994,1,15,6,8660
1994,1,16,7,8123
1994,1,17,1,10567
1994,1,18,2,11541
1994,1,19,3,11257
1994,1,20,4,11682
1994,1,21,5,11811
1994,1,22,6,8833
1994,1,23,7,8310
1994,1,24,1,11125
1994,1,25,2,11981
1994,1,26,3,11514
1994,1,27,4,11702
1994,1,28,5,11666
1994,1,29,6,8988
1994,1,30,7,8096
1994,1,31,1,10765
1994,2,1,2,11755
1994,2,2,3,11483
1994,2,3,4,11523
1994,2,4,5,11677
1994,2,5,6,8991
1994,2,6,7,8309
1994,2,7,1,10984
1994,2,8,2,12152
1994,2,9,3,11515
1994,2,10,4,11623
1994,2,11,5,11517
1994,2,12,6,8945
1994,2,13,7,8171
1994,2,14,1,11551
1994,2,15,2,12164
1994,2,16,3,12009
1994,2,17,4,11674
1994,2,18,5,11887
1994,2,19,6,8946
1994,2,20,7,8402
1994,2,21,1,10617
1994,2,22,2,11810
1994,2,23,3,11776
1994,2,24,4,11667
1994,2,25,5,11905
1994,2,26,6,8988
1994,2,27,7,8195
1994,2,28,1,11091
1994,3,1,2,12127
1994,3,2,3,11735
1994,3,3,4,11984
1994,3,4,5,12066
1994,3,5,6,9215
1994,3,6,7,8389
1994,3,7,1,10996
1994,3,8,2,12275
1994,3,9,3,11780
1994,3,10,4,11792
1994,3,11,5,11939
1994,3,12,6,9087
1994,3,13,7,8248
1994,3,14,1,11092
1994,3,15,2,12298
1994,3,16,3,11865
1994,3,17,4,11976
1994,3,18,5,11799
1994,3,19,6,8944
1994,3,20,7,8243
1994,3,21,1,11140
1994,3,22,2,11964
1994,3,23,3,11637
1994,3,24,4,11904
1994,3,25,5,11568
1994,3,26,6,8957
1994,3,27,7,8189
1994,3,28,1,11051
1994,3,29,2,12154
1994,3,30,3,11540
1994,3,31,4,11782
1994,4,1,5,10630
1994,4,2,6,8782
1994,4,3,7,7530
1994,4,4,1,10909
1994,4,5,2,11876
1994,4,6,3,11811
1994,4,7,4,11718
1994,4,8,5,11532
1994,4,9,6,8791
1994,4,10,7,8183
1994,4,11,1,11060
1994,4,12,2,12146
1994,4,13,3,11428
1994,4,14,4,11709
1994,4,15,5,11753
1994,4,16,6,8790
1994,4,17,7,7867
1994,4,18,1,11094
1994,4,19,2,11966
1994,4,20,3,11585
1994,4,21,4,11509
1994,4,22,5,11553
1994,4,23,6,8613
1994,4,24,7,8089
1994,4,25,1,10909
1994,4,26,2,12236
1994,4,27,3,11701
1994,4,28,4,11527
1994,4,29,5,11474
1994,4,30,6,8621
1994,5,1,7,8145
1994,5,2,1,11169
1994,5,3,2,12023
1994,5,4,3,11754
1994,5,5,4,11958
