President,Position,Appointee,Start Date,End Date,Length of Tenure,Day of Admin of Departure
Carter,OMB Director,Bert Lance,1/21/1977,9/23/1977,245,247
Carter,Secretary of Transportation,Brock Adams,1/23/1977,7/20/1979,908,912
Carter,"Secretary of Health, Education & Welfare",Joseph Califano Jr.,1/25/1977,8/3/1979,920,926
Carter,Secretary of Housing & Urban Development,Patricia Harris,1/23/1977,8/3/1979,922,926
Carter,Secretary of the Treasury,W. Michael Blumenthal,1/23/1977,8/4/1979,923,927
Carter,Attorney General,Griffin Bell,1/26/1977,8/16/1979,932,939
Carter,U.S. Trade Representative,Robert Strauss,3/30/1977,8/17/1979,870,940
Carter,Secretary of Energy,James Schlesinger,8/6/1977,8/23/1979,747,946
Carter,UN Ambassador,Andrew Young,1/30/1977,9/23/1979,966,977
Carter,Secretary of Commerce,Juanita Kreps,1/23/1977,10/31/1979,1011,1015
Carter,Secretary of State,Cyrus Vance,1/23/1977,4/28/1980,1191,1195
Carter,Chief of Staff,Hamilton Jordan,7/18/1979,6/11/1980,329,1239
Carter,U.S. Trade Representative,Reubin Askew,10/1/1979,12/31/1980,457,1442
Carter,Secretary of State,Ed Muskie,5/8/1980,1/18/1981,255,1460
Carter,Attorney General,Ben Civiletti,8/16/1979,1/19/1981,522,1461
Carter,Secretary of Commerce,Philip Klutznick,1/9/1980,1/19/1981,376,1461
Carter,Chief of Staff,Jack Watson,6/11/1980,1/20/1981,223,1462
Carter,Director of Central Intelligence,Stansfield Turner,3/9/1977,1/20/1981,1413,1462
Carter,EPA Administrator,Douglas Costle,3/7/1977,1/20/1981,1415,1462
Carter,OMB Director,Jim McIntyre,9/24/1977,1/20/1981,1214,1462
Carter,SBA Administrator,A. Vernon Weaver,4/1/1977,1/20/1981,1390,1462
Carter,Secretary of Agriculture,Robert Bergland,1/23/1977,1/20/1981,1458,1462
Carter,Secretary of Defense,Harold Brown,1/21/1977,1/20/1981,1460,1462
Carter,Secretary of Education,Shirley Hufstedler,12/6/1979,1/20/1981,411,1462
Carter,Secretary of Energy,Charles Duncan,8/24/1979,1/20/1981,515,1462
Carter,"Secretary of Health, Education & Welfare/Secretary of Health & Human Services",Patricia Harris,8/3/1979,1/20/1981,536,1462
Carter,Secretary of Housing & Urban Development,Moon Landrieu,9/24/1979,1/20/1981,484,1462
Carter,Secretary of Labor,Ray Marshall,1/27/1977,1/20/1981,1454,1462
Carter,Secretary of the Interior,Cecil Andrus,1/23/1977,1/20/1981,1458,1462
Carter,Secretary of the Treasury,G. William Miller,8/6/1979,1/20/1981,533,1462
Carter,Secretary of Transportation,Neil Goldschmidt,8/15/1979,1/20/1981,524,1462
Carter,UN Ambassador,Donald McHenry,9/23/1979,1/20/1981,485,1462
Carter,Vice President,Walter Mondale,1/20/1977,1/20/1981,1461,1462
Reagan,SBA Administrator,Michael Cardenas,3/30/1981,2/3/1982,310,380
Reagan,Secretary of State,Alexander Haig,1/22/1981,7/5/1982,529,532
Reagan,Secretary of Energy,James Edwards,1/23/1981,11/5/1982,651,655
Reagan,Secretary of Transportation,Drew Lewis,1/23/1981,2/1/1983,739,743
Reagan,Secretary of Health & Human Services,Richard Schweiker,1/22/1981,2/3/1983,742,745
Reagan,EPA Administrator,Anne Gorsuch,5/20/1981,3/9/1983,658,779
Reagan,Secretary of the Interior,James Watt,1/23/1981,11/8/1983,1019,1023
Reagan,Secretary of Education,T.H. Bell,1/23/1981,12/31/1984,1438,1442
Reagan,EPA Administrator,William Ruckelshaus,5/18/1983,1/4/1985,597,1446
Reagan,Secretary of the Treasury,Don Regan,1/22/1981,2/2/1985,1472,1475
Reagan,Chief of Staff,James Baker,1/20/1981,2/3/1985,1475,1476
Reagan,Secretary of Energy,Donald Hodel,11/5/1982,2/7/1985,825,1480
Reagan,Secretary of the Interior,William Clark,11/18/1983,2/7/1985,447,1480
Reagan,Attorney General,William French Smith,1/23/1981,2/25/1985,1494,1498
Reagan,Secretary of Labor,Ray Donovan,2/4/1981,3/15/1985,1500,1516
Reagan,UN Ambassador,Jeane Kirkpatrick,2/4/1981,4/1/1985,1517,1533
Reagan,U.S. Trade Representative,Bill Brock,1/23/1981,4/29/1985,1557,1561
Reagan,OMB Director,David Stockman,1/21/1981,8/1/1985,1653,1655
Reagan,Secretary of Health & Human Services,Margaret Heckler,3/9/1983,12/13/1985,1010,1789
Reagan,Secretary of Agriculture,John Block,1/23/1981,2/14/1986,1848,1852
Reagan,SBA Administrator,James Sanders,3/29/1982,3/31/1986,1463,1897
Reagan,Director of Central Intelligence,William Casey,1/28/1981,1/29/1987,2192,2201
Reagan,Chief of Staff,Don Regan,2/4/1985,2/27/1987,753,2230
Reagan,Secretary of Commerce,Mac Baldrige,1/20/1981,7/25/1987,2377,2378
Reagan,Secretary of Transportation,Elizabeth Dole,2/7/1983,9/30/1987,1696,2445
Reagan,Secretary of Labor,Bill Brock,4/29/1985,10/31/1987,915,2476
Reagan,Secretary of Defense,Caspar Weinberger,1/21/1981,11/23/1987,2497,2499
Reagan,Chief of Staff,Howard Baker,3/2/1987,7/1/1988,487,2720
Reagan,Attorney General,Ed Meese,2/25/1985,8/12/1988,1264,2762
Reagan,Secretary of the Treasury,James Baker,2/3/1985,8/17/1988,1291,2767
Reagan,Secretary of Education,Bill Bennett,2/6/1985,9/20/1988,1322,2801
Reagan,OMB Director,Jim Miller,10/8/1985,10/15/1988,1103,2826
Reagan,Chief of Staff,Kenneth Duberstein,7/1/1988,1/20/1989,203,2923
Reagan,EPA Administrator,Lee Thomas,2/8/1985,1/20/1989,1442,2923
Reagan,OMB Director,Joseph Wright Jr.,11/8/1988,1/20/1989,73,2923
Reagan,Secretary of Agriculture,Richard Edmund Lyng,3/7/1986,1/20/1989,1050,2923
Reagan,Secretary of Defense,Frank Carlucci,11/23/1987,1/20/1989,424,2923
Reagan,Secretary of Energy,John Herrington,2/7/1985,1/20/1989,1443,2923
Reagan,Secretary of Health & Human Services,Otis Bowen,12/13/1985,1/20/1989,1134,2923
Reagan,Secretary of Housing & Urban Development,Samuel Pierce Jr.,1/23/1981,1/20/1989,2919,2923
Reagan,Secretary of Labor,Ann McLaughlin,12/14/1987,1/20/1989,403,2923
Reagan,Secretary of State,George Shultz,7/16/1982,1/20/1989,2380,2923
Reagan,Secretary of the Interior,Donald Hodel,2/8/1985,1/20/1989,1442,2923
Reagan,Secretary of Transportation,James Burnley IV,12/3/1987,1/20/1989,414,2923
Reagan,U.S. Trade Representative,Clayton Yeutter,7/1/1985,1/20/1989,1299,2923
Reagan,Vice President,George H.W. Bush,1/20/1981,1/20/1989,2922,2923
Reagan,Secretary of Commerce,William Verity Jr.,10/19/1987,1/30/1989,469,2933
Reagan,UN Ambassador,Vernon Walters,5/22/1985,3/15/1989,1393,2977
Reagan,SBA Administrator,James Abdnor,3/23/1987,4/20/1989,759,3013
