Song Clean,ARTIST CLEAN,Release Year,COMBINED,First?,Year?,PlayCount,F*G
Caught Up in You,.38 Special,1982,Caught Up in You by .38 Special,1,1,82,82
Fantasy Girl,.38 Special,,Fantasy Girl by .38 Special,1,0,3,0
Hold On Loosely,.38 Special,1981,Hold On Loosely by .38 Special,1,1,85,85
Rockin' Into the Night,.38 Special,1980,Rockin' Into the Night by .38 Special,1,1,18,18
Art For Arts Sake,10cc,1975,Art For Arts Sake by 10cc,1,1,1,1
Kryptonite,3 Doors Down,2000,Kryptonite by 3 Doors Down,1,1,13,13
Loser,3 Doors Down,2000,Loser by 3 Doors Down,1,1,1,1
When I'm Gone,3 Doors Down,2002,When I'm Gone by 3 Doors Down,1,1,6,6
What's Up?,4 Non Blondes,1992,What's Up? by 4 Non Blondes,1,1,3,3
Take On Me,a-ha,1985,Take On Me by a-ha,1,1,1,1
"Baby, Please Don't Go",AC/DC,,"Baby, Please Don't Go by AC/DC",1,0,1,0
Back In Black,AC/DC,1980,Back In Black by AC/DC,1,1,97,97
Big Gun,AC/DC,1993,Big Gun by AC/DC,1,1,6,6
CAN'T STOP ROCK'N'ROLL,AC/DC,,CAN'T STOP ROCK'N'ROLL by AC/DC,1,0,5,0
Dirty Deeds Done Dirt Cheap,AC/DC,1976,Dirty Deeds Done Dirt Cheap by AC/DC,1,1,85,85
For Those About To Rock,AC/DC,1981,For Those About To Rock by AC/DC,1,1,46,46
Girls Got Rhythm,AC/DC,,Girls Got Rhythm by AC/DC,1,0,24,0
Hard As A Rock,AC/DC,1995,Hard As A Rock by AC/DC,1,1,1,1
Have a Drink On Me,AC/DC,1980,Have a Drink On Me by AC/DC,1,1,39,39
Hells Bells,AC/DC,1980,Hells Bells by AC/DC,1,1,74,74
Highway To Hell,AC/DC,1979,Highway To Hell by AC/DC,1,1,92,92
It's A Long Way To The Top,AC/DC,1975,It's A Long Way To The Top by AC/DC,1,1,39,39
Jailbreak,AC/DC,1984,Jailbreak by AC/DC,1,1,1,1
Let There Be Rock,AC/DC,1977,Let There Be Rock by AC/DC,1,1,3,3
Let's Get It Up,AC/DC,,Let's Get It Up by AC/DC,1,0,4,0
Live Wire,AC/DC,,Live Wire by AC/DC,1,0,2,0
Moneytalks,AC/DC,,Moneytalks by AC/DC,1,0,20,0
Night Prowler,AC/DC,1979,Night Prowler by AC/DC,1,1,1,1
Rock and Roll Ain't Noise Pollution,AC/DC,1980,Rock and Roll Ain't Noise Pollution by AC/DC,1,1,21,21
Shoot To Thrill,AC/DC,,Shoot To Thrill by AC/DC,1,0,45,0
Shot Down In Flames,AC/DC,1979,Shot Down In Flames by AC/DC,1,1,2,2
Sin City,AC/DC,,Sin City by AC/DC,1,0,1,0
T.N.T.,AC/DC,1975,T.N.T. by AC/DC,1,1,66,66
Thunderstruck,AC/DC,1990,Thunderstruck by AC/DC,1,1,34,34
Touch Too Much,AC/DC,1979,Touch Too Much by AC/DC,1,1,2,2
What Do You Do For Money Honey,AC/DC,,What Do You Do For Money Honey by AC/DC,1,0,2,0
Who Made Who,AC/DC,1986,Who Made Who by AC/DC,1,1,12,12
Whole Lotta Rosie,AC/DC,1977,Whole Lotta Rosie by AC/DC,1,1,3,3
You Shook Me All Night Long,AC/DC,1980,You Shook Me All Night Long by AC/DC,1,1,138,138
How Long,Ace,1974,How Long by Ace,1,1,1,1
Dog On A Leash,Adelitas Way,2014,Dog On A Leash by Adelitas Way,1,1,4,4
Angel,Aerosmith,1987,Angel by Aerosmith,1,1,12,12
"Baby, Please Don't Go",Aerosmith,,"Baby, Please Don't Go by Aerosmith",1,0,1,0
Back in the Saddle,Aerosmith,1976,Back in the Saddle by Aerosmith,1,1,39,39
Big Ten Inch,Aerosmith,1975,Big Ten Inch by Aerosmith,1,1,3,3
Come Together,Aerosmith,,Come Together by Aerosmith,1,0,65,0
Crazy,Aerosmith,1993,Crazy by Aerosmith,1,1,7,7
Cryin',Aerosmith,1993,Cryin' by Aerosmith,1,1,15,15
Draw The Line,Aerosmith,1977,Draw The Line by Aerosmith,1,1,1,1
Dream On,Aerosmith,1973,Dream On by Aerosmith,1,1,142,142
Dude (Looks Like a Lady),Aerosmith,1987,Dude (Looks Like a Lady) by Aerosmith,1,1,42,42
Jaded,Aerosmith,2001,Jaded by Aerosmith,1,1,1,1
Janie's Got A Gun,Aerosmith,1989,Janie's Got A Gun by Aerosmith,1,1,34,34
Kings and Queens,Aerosmith,,Kings and Queens by Aerosmith,1,0,1,0
Last Child,Aerosmith,1976,Last Child by Aerosmith,1,1,4,4
Let the Music Do the Talking,Aerosmith,1985,Let the Music Do the Talking by Aerosmith,1,1,1,1
Livin' On The Edge,Aerosmith,1993,Livin' On The Edge by Aerosmith,1,1,27,27
Love In An Elevator,Aerosmith,1989,Love In An Elevator by Aerosmith,1,1,35,35
Mama Kin,Aerosmith,1973,Mama Kin by Aerosmith,1,1,5,5
No More No More,Aerosmith,1975,No More No More by Aerosmith,1,1,2,2
One Way Street,Aerosmith,,One Way Street by Aerosmith,1,0,1,0
Pink,Aerosmith,1997,Pink by Aerosmith,1,1,1,1
Rag Doll,Aerosmith,1987,Rag Doll by Aerosmith,1,1,47,47
Same Old Song and Dance,Aerosmith,1974,Same Old Song and Dance by Aerosmith,1,1,18,18
Seasons of Wither,Aerosmith,1974,Seasons of Wither by Aerosmith,1,1,2,2
Sweet Emotion,Aerosmith,1975,Sweet Emotion by Aerosmith,1,1,141,141
The Other Side,Aerosmith,,The Other Side by Aerosmith,1,0,11,0
Toys in the Attic,Aerosmith,1975,Toys in the Attic by Aerosmith,1,1,2,2
Train Kept A-Rollin',Aerosmith,1974,Train Kept A-Rollin' by Aerosmith,1,1,15,15
Walk This Way,Aerosmith,1975,Walk This Way by Aerosmith,1,1,106,106
What It Takes,Aerosmith,1989,What It Takes by Aerosmith,1,1,31,31
You See Me Crying,Aerosmith,,You See Me Crying by Aerosmith,1,0,1,0
Hand In My Pocket,Alanis Morissette,1995,Hand In My Pocket by Alanis Morissette,1,1,1,1
You Oughta Know,Alanis Morissette,1995,You Oughta Know by Alanis Morissette,1,1,6,6
Black Velvet,Alannah Myles,1989,Black Velvet by Alannah Myles,1,1,1,1
Fantasy,Aldo Nova,,Fantasy by Aldo Nova,1,0,4,0
BE MY LOVER,Alice Cooper,,BE MY LOVER by Alice Cooper,1,0,1,0
Billion Dollar Babies,Alice Cooper,1973,Billion Dollar Babies by Alice Cooper,1,1,2,2
Eighteen,Alice Cooper,1971,Eighteen by Alice Cooper,1,1,4,4
Elected,Alice Cooper,1973,Elected by Alice Cooper,1,1,1,1
House Of Fire,Alice Cooper,,House Of Fire by Alice Cooper,1,0,1,0
I'm Eighteen,Alice Cooper,1971,I'm Eighteen by Alice Cooper,1,1,24,24
No More Mr. Nice Guy,Alice Cooper,1973,No More Mr. Nice Guy by Alice Cooper,1,1,39,39
School's Out,Alice Cooper,1972,School's Out by Alice Cooper,1,1,44,44
Under My Wheels,Alice Cooper,1971,Under My Wheels by Alice Cooper,1,1,18,18
Welcome To My Nightmare,Alice Cooper,1975,Welcome To My Nightmare by Alice Cooper,1,1,10,10
Down in a Hole,Alice In Chains,1992,Down in a Hole by Alice In Chains,1,1,1,1
Man In The Box,Alice In Chains,1990,Man In The Box by Alice In Chains,1,1,13,13
No Excuses,Alice In Chains,1994,No Excuses by Alice In Chains,1,1,2,2
Rooster,Alice In Chains,1992,Rooster by Alice In Chains,1,1,2,2
Them Bones,Alice In Chains,1992,Them Bones by Alice In Chains,1,1,2,2
Would?,Alice In Chains,1992,Would? by Alice In Chains,1,1,2,2
Ain't Wastin' Time No More,Allman Brothers Band,1972,Ain't Wastin' Time No More by Allman Brothers Band,1,1,1,1
Blue Sky,Allman Brothers Band,1972,Blue Sky by Allman Brothers Band,1,1,1,1
Good Clean Fun,Allman Brothers Band,1990,Good Clean Fun by Allman Brothers Band,1,1,2,2
In Memory Of Elizabeth Reed,Allman Brothers Band,1970,In Memory Of Elizabeth Reed by Allman Brothers Band,1,1,1,1
Jessica,Allman Brothers Band,1973,Jessica by Allman Brothers Band,1,1,12,12
Melissa,Allman Brothers Band,1972,Melissa by Allman Brothers Band,1,1,6,6
Midnight Rider,Allman Brothers Band,1970,Midnight Rider by Allman Brothers Band,1,1,21,21
No One to Run With,Allman Brothers Band,1994,No One to Run With by Allman Brothers Band,1,1,3,3
One Way Out,Allman Brothers Band,,One Way Out by Allman Brothers Band,1,0,3,0
Ramblin' Man,Allman Brothers Band,1973,Ramblin' Man by Allman Brothers Band,1,1,34,34
Southbound,Allman Brothers Band,,Southbound by Allman Brothers Band,1,0,2,0
Statesboro Blues,Allman Brothers Band,1971,Statesboro Blues by Allman Brothers Band,1,1,4,4
Whippin' Post,Allman Brothers Band,,Whippin' Post by Allman Brothers Band,1,0,6,0
A Horse With No Name,America,1972,A Horse With No Name by America,1,1,26,26
Sister Golden Hair,America,1975,Sister Golden Hair by America,1,1,19,19
Ventura Highway,America,1972,Ventura Highway by America,1,1,1,1
Don't Bring Me Down,Animals II,1966,Don't Bring Me Down by Animals II,1,1,1,1
Don't Let Me Be Misunderstood,Animals II,1965,Don't Let Me Be Misunderstood by Animals II,1,1,1,1
Immigrant Song,Ann Wilson,,Immigrant Song by Ann Wilson,1,0,2,0
Roller,April Wine,,Roller by April Wine,1,0,1,0
Hold Your Head Up,Argent,1972,Hold Your Head Up by Argent,1,1,11,11
Coming into Los Angeles,Arlo Guthrie,,Coming into Los Angeles by Arlo Guthrie,1,0,1,0
Wayside,Artful Dodger,,Wayside by Artful Dodger,1,0,1,0
Heat of the Moment,Asia,1982,Heat of the Moment by Asia,1,1,37,37
Only Time Will Tell,Asia,1982,Only Time Will Tell by Asia,1,1,3,3
So Into You,Atlanta Rhythm Section,1976,So Into You by Atlanta Rhythm Section,1,1,1,1
Spooky,Atlanta Rhythm Section,,Spooky by Atlanta Rhythm Section,1,0,1,0
Like a Stone,Audioslave,2002,Like a Stone by Audioslave,1,1,1,1
Blondes In Black Cars,Autograph,,Blondes In Black Cars by Autograph,1,0,1,0
Turn Up the Radio,Autograph,1984,Turn Up the Radio by Autograph,1,1,21,21
Rock And Roll Party In The Streets,Axe,,Rock And Roll Party In The Streets by Axe,1,0,1,0
Let It Ride,Bachman-Turner Overdrive,1973,Let It Ride by Bachman-Turner Overdrive,1,1,13,13
Roll On Down The Highway,Bachman-Turner Overdrive,,Roll On Down The Highway by Bachman-Turner Overdrive,1,0,5,0
Takin' Care Of Business,Bachman-Turner Overdrive,1973,Takin' Care Of Business by Bachman-Turner Overdrive,1,1,39,39
You Ain't Seen Nothin' Yet,Bachman-Turner Overdrive,1974,You Ain't Seen Nothin' Yet by Bachman-Turner Overdrive,1,1,69,69
Bad Company,Bad Company,1974,Bad Company by Bad Company,1,1,96,96
Burnin' Sky,Bad Company,1977,Burnin' Sky by Bad Company,1,1,41,41
Can't Get Enough,Bad Company,1974,Can't Get Enough by Bad Company,1,1,41,41
Feel Like Makin' Love,Bad Company,,Feel Like Makin' Love by Bad Company,1,0,113,0
Gone Gone Gone,Bad Company,,Gone Gone Gone by Bad Company,1,0,25,0
Good Lovin' Gone Bad,Bad Company,,Good Lovin' Gone Bad by Bad Company,1,0,10,0
Movin' On,Bad Company,,Movin' On by Bad Company,1,0,17,0
Ready For Love,Bad Company,,Ready For Love by Bad Company,1,0,45,0
Rock 'n' Roll Fantasy,Bad Company,,Rock 'n' Roll Fantasy by Bad Company,1,0,91,0
Rock Steady,Bad Company,,Rock Steady by Bad Company,1,0,3,0
Run With The Pack,Bad Company,,Run With The Pack by Bad Company,1,0,11,0
Seagull,Bad Company,1974,Seagull by Bad Company,1,1,1,1
Shooting Star,Bad Company,1975,Shooting Star by Bad Company,1,1,62,62
"Silver, Blue And Gold",Bad Company,,"Silver, Blue And Gold by Bad Company",1,0,11,0
When I See You Smile,Bad English,1989,When I See You Smile by Bad English,1,1,1,1
