Rank,Major_code,Major,Major_category,Total,Men,Women,ShareWomen,Median
1,2419,PETROLEUM ENGINEERING,Engineering,2339,2057,282,0.120564344,110000
2,2416,MINING AND MINERAL ENGINEERING,Engineering,756,679,77,0.101851852,75000
3,2415,METALLURGICAL ENGINEERING,Engineering,856,725,131,0.153037383,73000
4,2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,0.107313196,70000
5,2418,NUCLEAR ENGINEERING,Engineering,2573,2200,373,0.144966965,65000
6,2405,CHEMICAL ENGINEERING,Engineering,32260,21239,11021,0.341630502,65000
7,5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences,1792,832,960,0.535714286,62000
8,2414,MECHANICAL ENGINEERING,Engineering,91227,80320,10907,0.119558903,60000
9,2401,AEROSPACE ENGINEERING,Engineering,15058,12953,2105,0.139792801,60000
10,2408,ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,0.196450256,60000
11,2407,COMPUTER ENGINEERING,Engineering,41542,33258,8284,0.199412643,60000
12,5008,MATERIALS SCIENCE,Engineering,4279,2949,1330,0.310820285,60000
13,2404,BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,0.437846874,60000
14,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,0.183985189,58000
15,2402,BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,0.320784314,57100
16,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,0.343473218,57000
17,2400,GENERAL ENGINEERING,Engineering,61152,45683,15469,0.252959838,56000
18,2403,ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,0.350442478,54000
19,2102,COMPUTER SCIENCE,Computers & Mathematics,128319,99743,28576,0.222695002,53000
20,2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,8181,3384,0.292607004,52000
21,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,2020,973,0.325091881,52000
22,2499,MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,0.189970437,50000
23,2406,CIVIL ENGINEERING,Engineering,53153,41081,12072,0.227117943,50000
24,2500,ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,0.251388889,50000
25,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,488,232,0.322222222,50000
26,2410,ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,0.342228811,50000
27,6107,NURSING,Health,209394,21773,187621,0.896018988,48000
28,2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,3477,1154,0.24919024,46000
