RespondentID,"In your opinion, which sentence is more gramatically correct?","Prior to reading about it above, had you heard of the serial (or Oxford) comma?","How much, if at all, do you care about the use (or lack thereof) of the serial (or Oxford) comma in grammar?",How would you write the following sentence?,"When faced with using the word ""data"", have you ever spent time considering if the word was a singular or plural noun?","How much, if at all, do you care about the debate over the use of the word ""data"" as a singluar or plural noun?","In your opinion, how important or unimportant is proper use of grammar?",Gender,Age,Household Income,Education,Location (Census Region)
3292953864,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic
3292950324,"It's important for a person to be honest, kind, and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat unimportant,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3292942669,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not at all,Very important,Male,30-44,,,East North Central
3292932796,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,18-29,,Less than high school degree,Middle Atlantic
3292932522,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,,,,,,
3292926586,"It's important for a person to be honest, kind, and loyal.",No,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,New England
3292908135,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3292869879,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",No,A lot,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3292863455,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,Mountain
3292860428,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,30-44,"$150,000+",Bachelor degree,Pacific
3292753795,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Mountain
3292742681,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3292735069,"It's important for a person to be honest, kind, and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,East South Central
3292720964,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Somewhat important,Male,18-29,,Some college or Associate degree,West North Central
3292707770,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific
3292702854,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,30-44,"$50,000 - $99,999",Graduate degree,West North Central
3292692304,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data are inconclusive.",No,Not much,Somewhat important,Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central
3292653724,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,18-29,,Some college or Associate degree,East North Central
3292648325,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,Some,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Mountain
3292644552,"It's important for a person to be honest, kind and loyal.",No,Not at all,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Not much,Very important,Male,30-44,"$100,000 - $149,999",Bachelor degree,Pacific
3292631647,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat important,Male,18-29,,Some college or Associate degree,West North Central
3292625431,"It's important for a person to be honest, kind and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,Very important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3292615827,"It's important for a person to be honest, kind, and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3292587673,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,Some,,,,,,
3292583593,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data are inconclusive.",Yes,A lot,Somewhat important,Male,18-29,"$100,000 - $149,999",Bachelor degree,South Atlantic
3292577509,"It's important for a person to be honest, kind and loyal.",,,,,,,,,,,
3292576591,"It's important for a person to be honest, kind and loyal.",No,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Very important,Male,30-44,,Bachelor degree,East North Central
3292568162,"It's important for a person to be honest, kind, and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$0 - $24,999",Bachelor degree,Pacific
3292565382,"It's important for a person to be honest, kind and loyal.",Yes,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Somewhat unimportant,Male,18-29,"$150,000+",Some college or Associate degree,East North Central
3292552180,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Some,Very important,Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central
3292538254,"It's important for a person to be honest, kind, and loyal.",Yes,Some,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not much,Somewhat important,Male,30-44,,Bachelor degree,Pacific
3292525186,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat important,Male,30-44,"$100,000 - $149,999",Graduate degree,West South Central
3292516800,"It's important for a person to be honest, kind and loyal.",No,Not much,"Some experts say it's important to drink milk, but the data is inconclusive.",No,Not at all,Somewhat unimportant,Male,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3292500526,"It's important for a person to be honest, kind and loyal.",Yes,A lot,"Some experts say it's important to drink milk, but the data is inconclusive.",Yes,A lot,Very important,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,Pacific
