congress,chamber,bioguide,firstname,lastname,birthday,state,party,incumbent,termstart,age
80,house,M000112,Joseph,Mansfield,1861-02-09,TX,D,Yes,1947-01-03,85.9
80,house,D000448,Robert,Doughton,1863-11-07,NC,D,Yes,1947-01-03,83.2
80,house,S000001,Adolph,Sabath,1866-04-04,IL,D,Yes,1947-01-03,80.7
80,house,E000023,Charles,Eaton,1868-03-29,NJ,R,Yes,1947-01-03,78.8
80,house,L000296,William,Lewis,1868-09-22,KY,R,No,1947-01-03,78.3
80,house,G000017,James,Gallagher,1869-01-16,PA,R,No,1947-01-03,78.0
80,house,W000265,Richard,Welch,1869-02-13,CA,R,Yes,1947-01-03,77.9
80,house,B000565,Sol,Bloom,1870-03-09,NY,D,Yes,1947-01-03,76.8
80,house,H000943,Merlin,Hull,1870-12-18,WI,R,Yes,1947-01-03,76.0
80,house,G000169,Charles,Gifford,1871-03-15,MA,R,Yes,1947-01-03,75.8
80,house,B000545,Schuyler,Bland,1872-05-04,VA,D,Yes,1947-01-03,74.7
80,house,R000358,John,Robsion,1873-01-02,KY,R,Yes,1947-01-03,74.0
80,house,L000501,Louis,Ludlow,1873-06-24,IN,D,Yes,1947-01-03,73.5
80,house,K000138,John,Kerr,1873-12-31,NC,D,Yes,1947-01-03,73.0
80,house,C000932,Robert,Crosser,1874-06-07,OH,D,Yes,1947-01-03,72.6
80,house,L000163,Clarence,Lea,1874-07-11,CA,D,Yes,1947-01-03,72.5
80,house,K000039,John,Kee,1874-08-22,WV,D,Yes,1947-01-03,72.4
80,house,S000717,Brent,Spence,1874-12-24,KY,D,Yes,1947-01-03,72.0
80,house,A000257,Homer,Angell,1875-01-12,OR,R,Yes,1947-01-03,72.0
80,house,N000153,Mary,Norton,1875-03-07,NJ,D,Yes,1947-01-03,71.8
80,house,P000395,Charles,Plumley,1875-04-14,VT,R,Yes,1947-01-03,71.7
80,house,D000496,Patrick,Drewry,1875-05-24,VA,D,Yes,1947-01-03,71.6
80,house,H000683,Clare,Hoffman,1875-09-10,MI,R,Yes,1947-01-03,71.3
80,house,R000113,Daniel,Reed,1875-09-15,NY,R,Yes,1947-01-03,71.3
80,house,B001214,William,Byrne,1876-03-06,NY,D,Yes,1947-01-03,70.8
80,house,W000718,Roy,Woodruff,1876-03-14,MI,R,Yes,1947-01-03,70.8
80,house,B000515,William,Blackney,1876-08-28,MI,R,Yes,1947-01-03,70.3
80,house,M000693,Earl,Michener,1876-11-30,MI,R,Yes,1947-01-03,70.1
80,house,C000590,Howard,Coffin,1877-06-11,MI,R,No,1947-01-03,69.6
80,house,M000374,Edward,McCowen,1877-06-29,OH,R,Yes,1947-01-03,69.5
80,house,W000012,James,Wadsworth,1877-08-12,NY,R,Yes,1947-01-03,69.4
80,house,O000016,Thomas,O'Brien,1878-04-30,IL,D,Yes,1947-01-03,68.7
80,house,W000430,William,Whittington,1878-05-04,MS,D,Yes,1947-01-03,68.7
80,house,L000238,William,Lemke,1878-08-13,ND,R,Yes,1947-01-03,68.4
80,house,D000212,John,Delaney,1878-08-21,NY,D,Yes,1947-01-03,68.4
80,house,J000117,Anton,Johnson,1878-10-20,IL,R,Yes,1947-01-03,68.2
80,house,C000117,Clarence,Cannon,1879-04-11,MO,D,Yes,1947-01-03,67.7
80,house,T000189,Robert,Thomason,1879-05-30,TX,D,Yes,1947-01-03,67.6
80,house,A000296,Samuel,Arnold,1879-09-21,MO,R,Yes,1947-01-03,67.3
80,house,B000940,Paul,Brown,1880-03-31,GA,D,Yes,1947-01-03,66.8
80,house,C000831,Edward,Cox,1880-04-03,GA,D,Yes,1947-01-03,66.7
80,house,T000001,John,Taber,1880-05-05,NY,R,Yes,1947-01-03,66.7
80,house,J000096,John,Jennings,1880-06-06,TN,R,Yes,1947-01-03,66.6
80,house,G000206,Wilson,Gillette,1880-07-01,PA,R,Yes,1947-01-03,66.5
80,house,G000360,Louis,Graham,1880-08-04,PA,R,Yes,1947-01-03,66.4
80,house,G000207,George,Gillie,1880-08-15,IN,R,Yes,1947-01-03,66.4
80,house,M000574,Rolla,McMillen,1880-10-05,IL,R,Yes,1947-01-03,66.2
80,house,K000301,Harold,Knutson,1880-10-20,MN,R,Yes,1947-01-03,66.2
80,house,W000683,Charles,Wolverton,1880-10-24,NJ,R,Yes,1947-01-03,66.2
80,house,J000088,Thomas,Jenkins,1880-10-28,OH,R,Yes,1947-01-03,66.2
80,house,F000241,John,Folger,1880-12-18,NC,D,Yes,1947-01-03,66.0
80,house,Z000009,Orville,Zimmerman,1880-12-31,MO,D,Yes,1947-01-03,66.0
80,house,G000297,Angier,Goodwin,1881-01-30,MA,R,Yes,1947-01-03,65.9
80,house,V000125,Charles,Vursell,1881-02-08,IL,R,Yes,1947-01-03,65.9
80,house,R000392,Edith,Rogers,1881-03-19,MA,R,Yes,1947-01-03,65.8
80,house,B001096,Raymond,Burke,1881-11-04,OH,R,No,1947-01-03,65.2
80,house,R000082,Samuel,Rayburn,1882-01-06,TX,D,Yes,1947-01-03,65.0
80,house,N000135,Fred,Norman,1882-03-21,WA,R,No,1947-01-03,64.8
80,house,R000056,John,Rankin,1882-03-29,MS,D,Yes,1947-01-03,64.8
80,house,C000439,Jerome,Clark,1882-04-05,NC,D,Yes,1947-01-03,64.7
80,house,S000755,Raymond,Springer,1882-04-26,IN,R,Yes,1947-01-03,64.7
80,house,M000224,Noah,Mason,1882-07-19,IL,R,Yes,1947-01-03,64.5
80,house,H000356,Franck,Havenner,1882-09-20,CA,D,Yes,1947-01-03,64.3
80,house,S000554,Howard,Smith,1883-02-02,VA,D,Yes,1947-01-03,63.9
80,house,B001056,Alfred,Bulwinkle,1883-04-21,NC,D,Yes,1947-01-03,63.7
80,house,C000390,Ralph,Church,1883-05-05,IL,R,Yes,1947-01-03,63.7
80,house,R000209,Robert,Rich,1883-06-23,PA,R,Yes,1947-01-03,63.5
80,house,K000058,Augustine,Kelley,1883-07-09,PA,D,Yes,1947-01-03,63.5
80,house,V000105,Carl,Vinson,1883-11-18,GA,D,Yes,1947-01-03,63.1
80,house,D000411,George,Dondero,1883-12-16,MI,R,Yes,1947-01-03,63.0
80,house,C000268,E.,Chadwick,1884-01-17,PA,R,No,1947-01-03,63.0
80,house,S000845,Karl,Stefan,1884-03-01,NE,R,Yes,1947-01-03,62.8
80,house,G000541,Ralph,Gwinn,1884-03-29,NY,R,Yes,1947-01-03,62.8
80,house,J000264,Bartel,Jonkman,1884-04-28,MI,R,Yes,1947-01-03,62.7
80,house,B000750,Willis,Bradley,1884-06-28,CA,R,No,1947-01-03,62.5
80,house,S000536,Frederick,Smith,1884-07-29,OH,R,Yes,1947-01-03,62.4
80,house,J000224,Hamilton,Jones,1884-09-26,NC,D,No,1947-01-03,62.3
80,house,M000191,Joseph,Martin,1884-11-03,MA,R,Yes,1947-01-03,62.2
80,house,L000251,John,Lesinski,1885-01-03,MI,D,Yes,1947-01-03,62.0
80,house,S000335,Harry,Sheppard,1885-01-10,CA,D,Yes,1947-01-03,62.0
80,house,B000332,Charles,Bell,1885-01-16,MO,D,Yes,1947-01-03,62.0
80,house,A000227,James,Auchincloss,1885-01-19,NJ,R,Yes,1947-01-03,62.0
80,house,W000699,John,Wood,1885-02-08,GA,D,Yes,1947-01-03,61.9
80,house,F000191,John,Flannagan,1885-02-20,VA,D,Yes,1947-01-03,61.9
80,house,B000725,Frank,Boykin,1885-02-21,AL,D,Yes,1947-01-03,61.9
80,house,B000607,Frances,Bolton,1885-03-29,OH,R,Yes,1947-01-03,61.8
80,house,M001081,John,Murdock,1885-04-20,AZ,D,Yes,1947-01-03,61.7
80,house,G000031,Ralph,Gamble,1885-05-06,NY,R,Yes,1947-01-03,61.7
80,house,T000263,Harve,Tibbott,1885-05-27,PA,R,Yes,1947-01-03,61.6
80,house,C000515,Cliff,Clevenger,1885-08-20,OH,R,Yes,1947-01-03,61.4
80,house,S000029,John,Sanborn,1885-09-28,ID,R,No,1947-01-03,61.3
80,house,C000529,Roy,Clippinger,1886-01-13,IL,R,Yes,1947-01-03,61.0
80,house,H000613,William,Hill,1886-01-20,CO,R,Yes,1947-01-03,61.0
80,house,R000369,Robert,Rockwell,1886-02-11,CO,R,Yes,1947-01-03,60.9
80,house,D000158,William,Dawson,1886-04-26,IL,D,Yes,1947-01-03,60.7
80,house,R000132,Edward,Rees,1886-06-03,KS,R,Yes,1947-01-03,60.6
80,house,S000155,George,Schwabe,1886-07-26,OK,R,Yes,1947-01-03,60.4
80,house,R000391,Dwight,Rogers,1886-08-17,FL,D,Yes,1947-01-03,60.4
80,house,M000680,Herbert,Meyer,1886-08-30,KS,R,No,1947-01-03,60.3
80,house,G000332,Martin,Gorski,1886-10-30,IL,D,Yes,1947-01-03,60.2
80,house,K000244,Michael,Kirwan,1886-12-02,OH,D,Yes,1947-01-03,60.1
80,house,B001148,Clarence,Burton,1886-12-14,VA,D,No,1947-01-03,60.1
80,house,L000279,Earl,Lewis,1887-02-22,OH,R,Yes,1947-01-03,59.9
80,house,L000157,Karl,Le Compte,1887-05-25,IA,R,Yes,1947-01-03,59.6
80,house,B001179,John,Butler,1887-07-02,NY,R,Yes,1947-01-03,59.5
80,house,E000135,Hubert,Ellis,1887-07-06,WV,R,Yes,1947-01-03,59.5
80,house,J000165,Noble,Johnson,1887-08-23,IN,R,Yes,1947-01-03,59.4
80,house,P000309,John,Phillips,1887-09-11,CA,R,Yes,1947-01-03,59.3
80,house,K000041,Frank,Keefe,1887-09-23,WI,R,Yes,1947-01-03,59.3
80,house,M001062,Frederick,Muhlenberg,1887-09-25,PA,R,No,1947-01-03,59.3
80,house,H000663,Samuel,Hobbs,1887-10-05,AL,D,Yes,1947-01-03,59.2
80,house,M001112,Reid,Murray,1887-10-16,WI,R,Yes,1947-01-03,59.2
80,house,E000178,Albert,Engel,1888-01-01,MI,R,Yes,1947-01-03,59.0
80,house,R000083,Leo,Rayfiel,1888-03-22,NY,D,Yes,1947-01-03,58.8
80,house,J000157,Justin,Johnson,1888-04-08,CA,R,Yes,1947-01-03,58.7
80,house,C000889,Fred,Crawford,1888-05-05,MI,R,Yes,1947-01-03,58.7
80,house,C000264,Emanuel,Celler,1888-05-06,NY,D,Yes,1947-01-03,58.7
80,house,W000304,Milton,West,1888-06-30,TX,D,Yes,1947-01-03,58.5
80,house,N000097,Donald,Nicholson,1888-08-11,MA,R,No,1947-01-03,58.4
80,house,M000442,Robert,McGarvey,1888-08-14,PA,R,No,1947-01-03,58.4
80,house,L000077,Henderson,Lanham,1888-09-14,GA,D,No,1947-01-03,58.3
80,house,G000379,Walter,Granger,1888-10-11,UT,D,Yes,1947-01-03,58.2
80,house,G000493,Chester,Gross,1888-10-13,PA,R,Yes,1947-01-03,58.2
80,house,H000443,James,Heffernan,1888-11-08,NY,D,Yes,1947-01-03,58.1
80,house,K000030,Bernard,Kearney,1889-05-23,NY,R,Yes,1947-01-03,57.6
80,house,C000655,Jesse,Combs,1889-07-07,TX,D,Yes,1947-01-03,57.5
80,house,A000250,Walter,Andrews,1889-07-16,NY,R,Yes,1947-01-03,57.5
80,house,F000075,Ivor,Fenton,1889-08-03,PA,R,Yes,1947-01-03,57.4
80,house,R000319,Charles,Robertson,1889-09-05,ND,R,Yes,1947-01-03,57.3
80,house,C000810,William,Courtney,1889-09-07,TN,D,Yes,1947-01-03,57.3
80,house,D000281,Wesley,D'Ewart,1889-10-01,MT,R,Yes,1947-01-03,57.3
80,house,G000543,John,Gwynne,1889-10-20,IA,R,Yes,1947-01-03,57.2
80,house,F000066,Frank,Fellows,1889-11-07,ME,R,Yes,1947-01-03,57.2
80,house,M000037,William,Macy,1889-11-21,NY,R,No,1947-01-03,57.1
80,house,H000036,Robert,Hale,1889-11-29,ME,R,Yes,1947-01-03,57.1
80,house,C000645,William,Colmer,1890-02-11,MS,D,Yes,1947-01-03,56.9
80,house,G000111,Bertrand,Gearhart,1890-05-31,CA,R,Yes,1947-01-03,56.6
80,house,R000111,Chauncey,Reed,1890-06-02,IL,R,Yes,1947-01-03,56.6
80,house,C000993,Paul,Cunningham,1890-06-15,IA,R,Yes,1947-01-03,56.6
80,house,B001024,Charles,Buckley,1890-06-23,NY,D,Yes,1947-01-03,56.5
80,house,B000486,Cecil,Bishop,1890-06-29,IL,R,Yes,1947-01-03,56.5
80,house,L000095,Henry,Larcade,1890-07-12,LA,D,Yes,1947-01-03,56.5
80,house,S000797,Thomas,Stanley,1890-07-16,VA,D,Yes,1947-01-03,56.5
80,house,M000233,Frank,Mathews,1890-08-03,NJ,R,Yes,1947-01-03,56.4
80,house,C000473,Charles,Clason,1890-09-03,MA,R,Yes,1947-01-03,56.3
80,house,A000239,August,Andresen,1890-10-11,MN,R,Yes,1947-01-03,56.2
80,house,A000114,Asa,Allen,1891-01-05,LA,D,Yes,1947-01-03,56.0
80,house,M000727,George,Miller,1891-01-15,CA,D,Yes,1947-01-03,56.0
80,house,B000232,George,Bates,1891-02-25,MA,R,Yes,1947-01-03,55.9
80,house,R000022,Homer,Ramey,1891-03-02,OH,R,Yes,1947-01-03,55.8
80,house,P000002,Stephen,Pace,1891-03-09,GA,D,Yes,1947-01-03,55.8
80,house,W000450,Richard,Wigglesworth,1891-04-25,MA,R,Yes,1947-01-03,55.7
80,house,B000621,Herbert,Bonner,1891-05-16,NC,D,Yes,1947-01-03,55.6
80,house,M000021,Russell,Mack,1891-06-13,WA,R,No,1947-01-03,55.6
80,house,S000923,William,Stigler,1891-07-07,OK,D,Yes,1947-01-03,55.5
80,house,E000160,Charles,Elston,1891-08-01,OH,R,Yes,1947-01-03,55.4
80,house,W000252,Alvin,Weichel,1891-09-11,OH,R,Yes,1947-01-03,55.3
80,house,S000896,William,Stevenson,1891-09-23,WI,R,Yes,1947-01-03,55.3
80,house,B000119,Parke,Banta,1891-11-21,MO,R,No,1947-01-03,55.1
80,house,M000364,John,McCormack,1891-12-21,MA,D,Yes,1947-01-03,55.0
80,house,T000028,Henry,Talle,1892-01-12,IA,R,Yes,1947-01-03,55.0
80,house,P000285,Joseph,Pfeifer,1892-02-06,NY,D,Yes,1947-01-03,54.9
80,house,M000039,Ray,Madden,1892-02-25,IN,D,Yes,1947-01-03,54.9
80,house,G000091,Julian,Gary,1892-02-25,VA,D,Yes,1947-01-03,54.9
80,house,E000029,Herman,Eberharter,1892-04-29,PA,D,Yes,1947-01-03,54.7
80,house,M000715,Arthur,Miller,1892-05-24,NE,R,Yes,1947-01-03,54.6
80,house,B000794,Walter,Brehm,1892-05-25,OH,R,Yes,1947-01-03,54.6
80,house,B001016,Ellsworth,Buck,1892-07-03,NY,R,Yes,1947-01-03,54.5
80,house,R000288,Ross,Rizley,1892-07-05,OK,R,Yes,1947-01-03,54.5
80,house,C000070,Albert,Camp,1892-07-26,GA,D,Yes,1947-01-03,54.4
80,house,D000571,Carl,Durham,1892-08-28,NC,D,Yes,1947-01-03,54.3
80,house,S000585,Lawrence,Smith,1892-09-15,WI,R,Yes,1947-01-03,54.3
80,house,S000640,Wint,Smith,1892-10-07,KS,R,No,1947-01-03,54.2
80,house,J000058,Peterson,Jarman,1892-10-31,AL,D,Yes,1947-01-03,54.2
80,house,B000176,Frank,Barrett,1892-11-10,WY,R,Yes,1947-01-03,54.1
80,house,J000100,Benton,Jensen,1892-12-16,IA,R,Yes,1947-01-03,54.0
80,house,M000199,Thomas,Martin,1893-01-18,IA,R,Yes,1947-01-03,54.0
80,house,B000999,Joseph,Bryson,1893-01-18,SC,D,Yes,1947-01-03,54.0
80,house,G000102,Leon,Gavin,1893-02-25,PA,R,Yes,1947-01-03,53.9
80,house,W000668,Jesse,Wolcott,1893-03-03,MI,R,Yes,1947-01-03,53.8
80,house,R000140,Kenneth,Regan,1893-03-06,TX,D,No,1947-01-03,53.8
80,house,H000284,Edward,Hart,1893-03-25,NJ,D,Yes,1947-01-03,53.8
80,house,G000472,Percy,Griffiths,1893-03-30,OH,R,Yes,1947-01-03,53.8
80,house,K000170,Clarence,Kilburn,1893-04-13,NY,R,Yes,1947-01-03,53.7
80,house,S000277,Paul,Shafer,1893-04-27,MI,R,Yes,1947-01-03,53.7
80,house,L000519,Georgia,Lusk,1893-05-12,NM,D,No,1947-01-03,53.6
80,house,H000768,Clifford,Hope,1893-06-09,KS,R,Yes,1947-01-03,53.6
80,house,B000909,Clarence,Brown,1893-07-14,OH,R,Yes,1947-01-03,53.5
80,house,C000755,Jere,Cooper,1893-07-20,TN,D,Yes,1947-01-03,53.5
80,house,P000103,John,Patman,1893-08-06,TX,D,Yes,1947-01-03,53.4
80,house,J000225,Homer,Jones,1893-09-03,WA,R,No,1947-01-03,53.3
80,house,L000161,Jay,Le Fevre,1893-09-06,NY,R,Yes,1947-01-03,53.3
80,house,K000029,Robert,Kean,1893-09-28,NJ,R,Yes,1947-01-03,53.3
80,house,S000067,Lansdale,Sasscer,1893-09-30,MD,D,Yes,1947-01-03,53.3
80,house,C000192,Henderson,Carson,1893-10-25,OH,R,No,1947-01-03,53.2
80,house,B000237,Joseph,Bates,1893-10-29,KY,D,Yes,1947-01-03,53.2
80,house,G000316,Thomas,Gordon,1893-12-17,IL,D,Yes,1947-01-03,53.0
80,house,D000354,John,Dingell,1894-02-02,MI,D,Yes,1947-01-03,52.9
80,house,T000373,James,Trimble,1894-02-03,AR,D,Yes,1947-01-03,52.9
80,house,P000261,James,Peterson,1894-02-11,FL,D,Yes,1947-01-03,52.9
80,house,W000108,Francis,Walter,1894-05-26,PA,D,Yes,1947-01-03,52.6
80,house,B000271,James,Beall,1894-06-05,MD,R,Yes,1947-01-03,52.6
80,house,L000537,Walter,Lynch,1894-07-07,NY,D,Yes,1947-01-03,52.5
80,house,S000764,Katharine,St. George,1894-07-12,NY,R,No,1947-01-03,52.5
80,house,H000640,John,Hinshaw,1894-07-28,CA,R,Yes,1947-01-03,52.4
80,house,M001114,Thomas,Murray,1894-08-01,TN,D,Yes,1947-01-03,52.4
80,house,H000442,Erland,Hedrick,1894-08-09,WV,D,Yes,1947-01-03,52.4
80,house,D000403,James,Dolliver,1894-08-31,IA,R,Yes,1947-01-03,52.3
80,house,R000214,James,Richards,1894-08-31,SC,D,Yes,1947-01-03,52.3
80,house,S000437,Sidney,Simpson,1894-09-20,IL,R,Yes,1947-01-03,52.3
80,house,M000414,Gordon,McDonough,1895-01-02,CA,R,Yes,1947-01-03,52.0
80,house,T000175,John,Thomas,1895-01-16,NJ,R,Yes,1947-01-03,52.0
80,house,O000056,Joseph,O'Hara,1895-01-23,MN,R,Yes,1947-01-03,51.9
80,house,M000724,Edward,Miller,1895-02-01,MD,R,No,1947-01-03,51.9
80,house,R000260,John,Riley,1895-02-01,SC,D,Yes,1947-01-03,51.9
80,house,B001161,Fred,Busbey,1895-02-08,IL,R,No,1947-01-03,51.9
80,house,L000052,Gerald,Landis,1895-02-23,IN,R,Yes,1947-01-03,51.9
