Member,Party,District,Congress,Resignation Date,Reason,Source,Category
Pat Tiberi,R,OH-12,115th,1/15/2018,Took a job with the Ohio Business Roundtable,New York Times,D
Al Franken,D,MN-SEN,115th,1/2/2018,Sexual harassment/groping/unwanted kissing,Minneapolis Star Tribune,X
Trent Franks,R,AZ-08,115th,12/8/2017,Sexual harassment/surrogacy pressure,CNN,X
John Conyers,D,MI-13,115th,12/5/2017,Sexual harassment/inappropriate touching,Washington Post,X
Tim Murphy,R,PA-18,115th,10/21/2017,Extramarital affair/abortion hypocrisy,POLITICO,A
Jason Chaffetz,R,UT-03,115th,6/30/2017,Took a job with FOX News,POLITICO,D
Ryan Zinke,R,MT-AL,115th,3/1/2017,Appointed to Trump administration,Bozeman Daily Chronicle,C
Mick Mulvaney,R,SC-05,115th,2/16/2017,Appointed to Trump administration,Associated Press,C
Tom Price,R,GA-06,115th,2/10/2017,Appointed to Trump administration,GeorgiaPol,C
Jeff Sessions,R,AL-SEN,115th,2/8/2017,Appointed to Trump administration,Washington Examiner,C
Xavier Becerra,D,CA-34,115th,1/24/2017,Appointed California attorney general,Los Angeles Times,C
Mike Pompeo,R,KS-04,115th,1/23/2017,Appointed to Trump administration,NBC News,C
Candice Miller,R,MI-10,114th,12/31/2016,Elected Macomb County public works commish,Detroit News,C
Janice Hahn,D,CA-44,114th,12/4/2016,Elected to LA County Board of Supervisors,Los Angeles Times,C
Ed Whitfield,R,KY-01,114th,9/6/2016,Ethics investigation,Kentucky Center for Investigative Reporting,B
Chaka Fattah,D,PA-02,114th,6/23/2016,Corruption conviction,POLITICO,B
John Boehner,R,OH-08,114th,10/31/2015,Sick of fighting the Tea Party,New York Times,F
Aaron Schock,R,IL-18,114th,3/31/2015,Personal spending of government funds,POLITICO,B
Michael Grimm,R,NY-11,114th,1/5/2015,Tax evasion,CNN,B
Tom Coburn,R,OK-SEN,113th,1/3/2015,"Self-imposed term limits/""shifting my focus elsewhere""",The Oklahoman,D & F
Eric Cantor,R,VA-07,113th,8/18/2014,Embarrassingly lost primary & majority leadership,USA Today,F
Rob Andrews,D,NJ-01,113th,2/18/2014,Ethics investigation; took a job as a lobbyist,Philadelphia Inquirer,B & D
Max Baucus,D,MT-SEN,113th,2/6/2014,Appointed to Obama administration,The Missoulian,C
Trey Radel,R,FL-19,113th,1/27/2014,Cocaine possession,USA Today,B
Mel Watt,D,NC-12,113th,1/6/2014,Appointed to Obama administration,Camel City Dispatch,C
Rodney Alexander,R,LA-05,113th,9/27/2013,Appointed Louisiana VA secretary,Roll Call,C
Jo Bonner,R,AL-01,113th,8/2/2013,Took a job with University of Alabama,Roll Call,D
Ed Markey,D,MA-05,113th,7/15/2013,Elected U.S. senator,Boston Globe,C
John Kerry,D,MA-SEN,113th,2/1/2013,Appointed to Obama administration,Boston Globe,C
Jo Ann Emerson,R,MO-08,113th,1/22/2013,Took a job with National Rural Electric Cooperative Association,Washington Post,D
Tim Scott,R,SC-01,112th,1/2/2013,Appointed U.S. senator,U.S. House of Representatives,C
Jim DeMint,R,SC-SEN,112th,1/1/2013,Took a job with the Heritage Foundation,Washington Post,D
Bob Filner,D,CA-51,112th,12/3/2012,Elected San Diego mayor,USA Today,C
Jesse Jackson Jr.,D,IL-02,112th,11/21/2012,Bipolar disorder; under criminal investigation,New York Times,B & E
Dennis Cardoza,D,CA-18,112th,8/15/2012,"""Parenting challenges""; took a job with a law firm",POLITICO,D & E
Geoff Davis,R,KY-04,112th,7/31/2012,"""Family health issue""",POLITICO,E
Thad McCotter,R,MI-11,112th,7/6/2012,Bungled presidential campaign led to family concerns,Washington Post,E & F
Jay Inslee,D,WA-01,112th,3/20/2012,To focus on his run for governor,Roll Call,C
Gabby Giffords,D,AZ-08,112th,1/25/2012,Recovery from gunshot injury,CNN,E
David Wu,D,OR-01,112th,8/3/2011,Sexual harassment/sex with teenage girl,The Oregonian,X
Anthony Weiner,D,NY-09,112th,6/21/2011,Extramarital affair/sexting,New York Times,A
Dean Heller,R,NV-02,112th,5/9/2011,Appointed U.S. senator,Las Vegas Sun,C
John Ensign,R,NV-SEN,112th,5/3/2011,Ethics investigation into extramarital affair,Washington Post,A
Jane Harman,D,CA-36,112th,2/28/2011,Took a job with the Woodrow Wilson Center,Wilson Center,D
Chris Lee,R,NY-26,112th,2/9/2011,Extramarital affair/shirtless photo,ABC News,A
Mark Kirk,R,IL-10,111th,11/29/2010,Elected U.S. senator,Associated Press,C
Mark Souder,R,IN-03,111th,5/21/2010,Extramarital affair,Washington Post,A
Nathan Deal,R,GA-09,111th,3/21/2010,To focus on his run for governor; ethics investigation,CREW,B & C
Eric Massa,D,NY-29,111th,3/8/2010,Sexual harassment/groping (same-sex),The Week,X
Neil Abercrombie,D,HI-01,111th,2/28/2010,To focus on his run for governor,NPR,C
Robert Wexler,D,FL-19,111th,1/3/2010,Took a job with Middle East think tank,Lexology,D
John McHugh,R,NY-23,111th,9/21/2009,Appointed to Obama administration,New York Times,C
Mel Martinez,R, FL-SEN,111th,9/9/2009,"""To move on,"" spend time with family; later joined lobbying firm",New York Times,D & E
Ellen Tauscher,D,CA-10,111th,6/26/2009,Appointed to Obama administration,KNTV,C
Hilda Solis,D,CA-32,111th,2/24/2009,Appointed to Obama administration,Associated Press,C
Kirsten Gillibrand,D,NY-20,111th,1/26/2009,Appointed U.S. senator,New York Daily News,C
Hillary Clinton,D,NY-SEN,111th,1/21/2009,Appointed to Obama administration,CNN,C
Ken Salazar,D,CO-SEN,111th,1/20/2009,Appointed to Obama administration,Denver Post,C
Joe Biden,D,DE-SEN,111th,1/15/2009,Elected vice president,CNN,C
Rahm Emanuel,D,IL-05,110th,1/2/2009,Appointed to Obama administration,CNN,C
Tom Davis,R,VA-11,110th,11/24/2008,Took a job with Deloitte,Washington Post,D
Barack Obama,D,IL-SEN,110th,11/16/2008,Elected president,CNN,C
Albert Wynn,D,MD-04,110th,5/31/2008,Took a job with a law firm after losing primary,Washington Post,D & F
Richard Baker,R,LA-06,110th,2/2/2008,Took a job with the Managed Funds Association,New Orleans Times-Picayune,D
Bobby Jindal,R,LA-01,110th,1/14/2008,Elected Louisiana governor,Reuters,C
Roger Wicker,R,MS-01,110th,12/31/2007,Appointed U.S. senator,The Guardian,C
Trent Lott,R,MS-SEN,110th,12/18/2007,"""Time left to do something else""; founded a lobbying firm",New York Times,D
Dennis Hastert,R,IL-14,110th,11/26/2007,"No reason given, but had lost the speaker's gavel",FOX News,F
Marty Meehan,D,MA-05,110th,7/1/2007,Took a job with University of Massachusetts,Associated Press,D
Bob Ney,R,OH-18,109th,11/3/2006,Pleaded guilty to Abramoff influence-peddling scandal,Associated Press,B
Mark Foley,R,FL-16,109th,9/29/2006,Sexting with underage pages (same-sex),Washington Post,X
Tom DeLay,R,TX-22,109th,6/9/2006,Campaign finance laundering & Abramoff scandal involvement,New York Times,B
Jon Corzine,D,NJ-SEN,109th,1/17/2006,Elected New Jersey governor,U.S. Congress,C
Bob Menendez,D,NJ-13,109th,1/16/2006,Appointed U.S. senator,New York Times,C
Duke Cunningham,R,CA-50,109th,12/1/2005,Bribery and tax evasion,San Diego Union-Tribune,B
Christopher Cox,R,CA-48,109th,8/2/2005,Appointed to Bush administration,Securities & Exchange Commission,C
Rob Portman,R,OH-02,109th,4/29/2005,Appointed to Bush administration,New York Times,C
Porter Goss,R,FL-14,108th,9/23/2004,Appointed to Bush administration,CQ Almanac,C
Doug Bereuter,R,NE-01,108th,8/31/2004,Took a job with the Asia Foundation,CQ Almanac,D
