cand,raised_exp,raised_act
Jerry Brown,35755700,20612943
Bill Nelson,25208444,16803512
Tim Kaine,26355130,18045722
Richard Blumenthal,16278036,8733486
Joe Manchin,16558376,9467003
Angus King,9770367,2926581
Jack Reed,9876779,3960335
Barbara Mikulski,10810801,5508300
Dan Malloy,11939781,6780072
Sheldon Whitehouse,9876779,4883464
Patrick Leahy,9849930,4869504
Tom Carper,9844382,4882503
Martin Heinrich,11314523,6699291
Diane Feinstein,14083672,9797542
Barbara Boxer,33616584,29331343
Ben Cardin,10810801,6908143
Mark Dayton,5448345,1988796
Heidi Heitkamp,8702464,5638438
Ron Wyden,9986744,6930089
Maria Cantwell,14765281,11978158
John Hickenlooper,6167605,3519365
Bernie Sanders,9849930,7229492
Tom Udall,9979836,8441116
Mark Warner,18570914,17098544
Gary Peters,11271952,10024419
Dick Durbin,11288086,10320048
Jack Markell,3084425,2410353
Steve Bullock,2422976,1863103
David Ige,3963199,3481597
Maggie Hassan,5021139,4673302
Peter Shumlin,3127182,2815029
Chris Coons,9844382,9676246
Gina Raimondo,2150120,2086084
Debbie Stabenow,14338790,14376142
Amy Klobuchar,10151115,10203513
Jay Inslee,12226262,12459422
Jay Nixon,15687202,16038330
Lincoln Chafee,2150120,2561452
Terry McAuliffe,37437764,37898782
Martin O'Malley,10532406,11049802
Michael Bennet,10915521,11536750
Ed Markey,17816842,18624052
Brian Schatz,5147181,6109936
John Kitzhaber,4181578,5264547
Steve Beshear,9548210,10632441
Mike Beebe,3727896,5122940
Jon Tester,11979448,13395778
Earl Ray Tomblin,6228899,7661976
Cory Booker,16248524,17718139
Jeff Merkley,9986744,12018377
Kirsten Gillibrand,13426080,15735457
Patty Murray,14765281,17124667
Mazie Hirono,2753262,5514418
Joe Donnelly,2840496,5661997
Chris Murphy,7581431,10543456
Tammy Baldwin,11264133,14643868
Bob Casey,10653868,14112753
Claire McCaskill,16985892,21131810
Jeanne Shaheen,12218091,16515174
Deval Patrick,11751984,16293170
Chuck Schumer,13426080,19519748
Bob Menendez,10659885,17344783
Sherrod Brown,18078374,24840222
Harry Reid,13590983,24815104
Al Franken,17184198,30770856
Andrew Cuomo,30687790,48027072
Elizabeth Warren,24390214,42506349
