stcd,state,cd,pvi_22,urbanindex,rural,exurban,suburban,urban,grouping
NY-12,NY,12,67.84485,14.90340,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-07,NY,7,62.84295,14.85414,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-09,NY,9,51.11625,14.69678,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-13,NY,13,77.13841,14.69063,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-15,NY,15,70.80064,14.65565,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-10,NY,10,69.15202,14.65300,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-14,NY,14,56.85355,14.64697,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-08,NY,8,52.59645,14.51535,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-06,NY,6,30.68878,14.48450,0.00000,0.00000,0.00000,100.00000,Dense Urban
NJ-08,NJ,8,44.81578,13.98660,0.00000,0.00000,0.00000,100.00000,Dense Urban
CA-37,CA,37,72.12852,13.94794,0.00000,0.00000,0.00000,100.00000,Dense Urban
CA-34,CA,34,63.64585,13.78271,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-05,NY,5,61.75185,13.78018,0.00000,0.00000,8.82540,91.17460,Dense Urban
IL-07,IL,7,70.01641,13.64136,0.00000,0.00000,0.00000,100.00000,Dense Urban
PA-03,PA,3,77.42617,13.63714,0.00000,0.00000,0.00000,100.00000,Dense Urban
CA-43,CA,43,63.03172,13.62739,0.00000,0.00000,0.00000,100.00000,Dense Urban
NY-11,NY,11,-10.66432,13.62688,0.00000,0.00000,1.26267,98.73733,Dense Urban
CA-11,CA,11,71.46098,13.56329,0.00000,0.00000,0.00000,100.00000,Dense Urban
MA-07,MA,7,73.41101,13.54608,0.00000,0.00000,4.52896,95.47105,Dense Urban
NJ-10,NJ,10,56.45874,13.49694,0.00000,0.00000,1.17628,98.82372,Dense Urban
PA-02,PA,2,41.21610,13.47543,0.00000,0.00000,0.00000,100.00000,Dense Urban
CA-46,CA,46,29.67886,13.41158,0.00000,0.00000,0.00000,100.00000,Dense Urban
IL-04,IL,4,43.98454,13.39790,0.00000,0.00000,0.70980,99.29021,Dense Urban
CA-42,CA,42,43.72082,13.38775,0.43340,0.00000,0.00000,99.56660,Dense Urban
NJ-09,NJ,9,15.24978,13.36543,0.00000,0.00000,5.73964,94.26036,Dense Urban
CA-30,CA,30,44.73495,13.35822,0.00000,0.00000,7.86916,92.13084,Dense Urban
IL-03,IL,3,38.58894,13.31683,0.00000,0.00000,25.49308,74.50693,Dense Urban
CA-44,CA,44,47.29339,13.30183,0.00000,0.00000,8.28688,91.71312,Dense Urban
CA-29,CA,29,50.88079,13.27620,0.00000,0.00000,2.52049,97.47951,Dense Urban
CA-45,CA,45,4.78495,13.27150,0.00000,0.00000,0.00000,100.00000,Dense Urban
IL-05,IL,5,35.37555,13.26219,0.00000,3.30435,10.48621,86.20944,Dense Urban
NY-16,NY,16,40.47605,13.23210,0.00000,16.07522,4.52095,79.40383,Dense Urban
NY-04,NY,4,10.48078,13.14159,0.00000,0.00000,4.71479,95.28521,Dense Urban
CA-36,CA,36,40.47532,13.07460,0.00000,0.54002,4.10477,95.35521,Dense Urban
VA-08,VA,8,48.50932,13.06868,0.00000,0.25793,7.66585,92.07622,Dense Urban
CA-38,CA,38,28.38142,13.05118,0.00000,0.00000,5.93544,94.06456,Dense Urban
CA-12,CA,12,76.75992,12.99689,0.00000,0.00000,0.00000,100.00000,Urban-Suburban
FL-24,FL,24,50.94726,12.99463,0.00000,0.00000,7.09750,92.90250,Urban-Suburban
CA-28,CA,28,30.36786,12.95812,1.03348,0.00000,14.90266,84.06387,Urban-Suburban
CA-31,CA,31,29.30782,12.91872,0.00000,0.00000,7.00371,92.99629,Urban-Suburban
MD-07,MD,7,54.89995,12.91544,0.36384,1.22802,7.37455,91.03359,Urban-Suburban
IL-09,IL,9,37.84988,12.90872,0.00000,4.56693,15.39779,80.03529,Urban-Suburban
TX-07,TX,7,24.02334,12.90726,0.00000,0.00000,10.87365,89.12634,Urban-Suburban
