year,election_result,presidential_approval,poll_average
2006,-39,46,-28
2006,-10,33,-10
2006,-9,32,-1
2006,-16,33,-15
2006,40,53,39
2006,10,44,14
2006,-2,37,2
2006,-41,39,-22
2006,-31,42,-27
2006,53,33,40
2006,-24,31,-28
2006,-22,39,-21
2006,-17,36,-15
2006,-7,26,6
2006,3,42,3
2006,-35,29,-42
2006,0,41,14
2006,-20,38,-6
2006,-1,46,-3
2006,-12,36,-2
2006,-17,34,-12
2006,14,38,23
2006,-36,29,-26
2006,-28,52,-19
2006,26,48,28
2008,23,41,25
2008,3,41,17
2008,-6,45,-6
2008,10,41,-4
2008,0,28,6
2008,-31,30,-22
2008,-6,24,-12
2008,24,48,15
2008,-35,15,-31
2008,-3,30,4
2008,27,44,26
2008,-29,26,-20
2008,12,44,10
2008,-25,32,-16
2008,-25,40,-35
2008,-8,34,7
2008,24,39,16
2008,-10,33,-6
2008,6,38,6
2008,34,38,30
2008,23,26,17
2008,-23,30,-18
2008,17,41,21
2008,18,47,20
2008,-14,27,-9
2008,-1,41,-3
2010,-21,40,-18
2010,-31,48,-23
2010,-45,37,-39
2010,5,51,0
2010,18,48,18
2010,-44,40,-36
2010,6,48,0
2010,-11,39,-3
2010,33,53,35
2010,-12,47,-9
2010,12,55,22
2010,-34,44,-37
2010,-6,48,3
2010,-2,54,-6
2010,-17,48,-2
2010,-30,42,-27
2010,-46,34,-44
2010,-54,42,-49
2010,-2,47,-7
2010,-19,43,-16
2010,-14,42,-2
2010,34,57,29
2010,10,55,5
2010,28,57,21
2010,-19,46,-27
2010,2,46,-1
2010,-23,42,-10
2010,-15,44,-16
2010,-24,41,-21
2010,-29,34,-28
2012,46,58,36
2012,6,41,0
2012,21,51,13
2012,9,47,16
2012,6,47,3
2012,13,48,5
2012,1,33,3
2012,24,33,52
2012,-1,46,-4
2012,6,50,-5
2012,-35,28,-34
2012,25,54,18
2012,35,50,26
2012,6,46,-1
2012,-3,44,-9
2012,-16,44,-10
2012,19,55,15
2012,4,38,-3
2012,21,51,11
2012,30,58,22
2012,12,56,9
2012,8,56,-2
2012,16,41,-1
2012,25,64,12
2012,-16,37,-17
2012,6,47,9
