country,elo98,elo15,confederation,gdp06,popu06,gdp_source,popu_source
Afghanistan,993,1116,AFC,1076.461378,25631282,World Bank,World Bank
Albania,1382,1549,UEFA,7181.094192,2992547,World Bank,World Bank
Algeria,1486,1671,CAF,11093.21748,34507214,World Bank,World Bank
Andorra,1067,952,UEFA,38800,81877,CIA (2005),World Bank
Angola,1498,1435,CAF,4996.766535,17122409,World Bank,World Bank
Anguilla,612,641,CONCACAF,8800,13677,CIA (2004),CIA (2007)
Antigua and Barbuda,1149,1264,CONCACAF,22039.72793,83467,World Bank,World Bank
Argentina,1872,2041,CONMEBOL,15717,38988923,IMF,World Bank
Armenia,1394,1512,UEFA,5524.415411,3002911,World Bank,World Bank
Aruba,1015,925,CONCACAF,21800,100830,CIA (2004),World Bank
Australia,1787,1718,AFC,34325.01757,20697900,World Bank,World Bank
Austria,1686,1694,UEFA,37649.52898,8268641,World Bank,World Bank
Azerbaijan,1290,1394,UEFA,9829.633776,8484550,World Bank,World Bank
Bahamas,858,899,CONCACAF,23445.7251,335622,World Bank,World Bank
Bahrain,1328,1467,AFC,39789.79887,950951,World Bank,World Bank
Bangladesh,1006,967,AFC,1870.520036,144868702,World Bank,World Bank
Barbados,1291,1102,CONCACAF,14639.43364,274923,World Bank,World Bank
Belarus,1351,1543,UEFA,11021.49345,9604000,World Bank,World Bank
Belgium,1784,1887,UEFA,35169.03136,10547958,World Bank,World Bank
Belize,985,1098,CONCACAF,7672.4079,278985,World Bank,World Bank
Benin,1207,1371,CAF,1461.396834,8443671,World Bank,World Bank
Bermuda,1280,1230,CONCACAF,53946.52141,64523,World Bank,World Bank
Bhutan,640,611,AFC,4374.569289,665568,World Bank,World Bank
Bolivia,1664,1604,CONMEBOL,4327.855389,9517395,World Bank,World Bank
Bosnia and Herzegovina,1556,1694,UEFA,7086.911934,3875157,World Bank,World Bank
Botswana,1027,1286,CAF,11259.67881,1895944,World Bank,World Bank
Brazil,2065,2036,CONMEBOL,11181.59224,188134315,World Bank,World Bank
British Virgin Islands,848,652,CONCACAF,38500,23522,CIA (2004),CIA (2007)
Brunei,775,635,AFC,70008.50107,374697,World Bank,World Bank
Bulgaria,1768,1589,UEFA,11229.43461,7699020,World Bank,World Bank
Burkina Faso,1398,1467,CAF,1203.680784,13822257,World Bank,World Bank
Burundi,1440,1312,CAF,646.4171774,8042579,World Bank,World Bank
Cambodia,1012,756,AFC,1959.803481,13555054,World Bank,World Bank
Cameroon,1597,1609,CAF,2337.817378,18611937,World Bank,World Bank
Canada,1503,1499,CONCACAF,37822.24824,32570505,World Bank,World Bank
Cape Verde,1243,1536,CAF,4531.103468,481940,World Bank,World Bank
