year,party,candidate,endorsement_points,percentage_endorsement_points,money_raised,percentage_of_money,primary_vote_percentage,won_primary
1980,Republican,George H.W. Bush,5,6.32911,1475332,16.83,23.81,No
1980,Republican,Lowell Weicker,0,0,60000,0.68,0,No
1980,Republican,Phil Crane,0,0,2500000,28.53,0.76,No
1980,Republican,John Connally,6,7.59494,2200000,25.1,0.64,No
1980,Republican,Bob Dole,0,0,253286,2.89,0.06,No
1980,Republican,Ronald Reagan,58,73.4177,1400000,15.97,59.79,Yes
1980,Republican,Howard Baker,10,12.6582,643373,7.34,1.41,No
1980,Republican,John Anderson,0,0,201745,2.3,12.19,No
1980,Republican,Larry Pressler,0,0,0,0,0,No
1980,Republican,Harold Stassen,0,0,30000,0.34,0.2,No
1984,Democratic,Ernest Hollings,0,0,692938,6.12,0.19,No
1984,Democratic,George McGovern,0,0,0,0,1.85,No
1984,Democratic,Reubin Askew,0,0,984156,8.69,0.29,No
1984,Democratic,Jesse Jackson,0,0,0,0,18.09,No
1984,Democratic,John Glenn,5,7.04225,2608960.76,23.03,3.41,No
1984,Democratic,Alan Cranston,12,16.9014,1121566.22,9.9,0.28,No
1984,Democratic,Walter Mondale,54,76.0563,5098744.53,45,38.32,Yes
1984,Democratic,Gary Hart,0,0,823204,7.27,35.85,No
1988,Republican,George H.W. Bush,60,43.1655,9400000,32.7,67.9,Yes
1988,Republican,Bob Dole,38,27.3381,3970000,13.81,19.19,No
1988,Republican,Alexander Haig,0,0,461857,1.61,0.22,No
1988,Republican,Jack Kemp,11,7.91367,3400000,11.83,2.72,No
1988,Republican,Paul Laxalt,30,21.5827,814563,2.83,0,No
1988,Republican,Pat Robertson,0,0,8200000,28.53,9.02,No
1988,Republican,Pete du Pont,0,0,2500000,8.7,0.41,No
1988,Republican,Harold Stassen,0,0,0,0,0.01,No
1988,Democratic,Patricia Schroeder,0,0,200000,1.26,0,No
1988,Democratic,James Traficant,0,0,0,0,0.13,No
1988,Democratic,Bruce Babbitt,0,0,1100000,6.91,0.36,No
1988,Democratic,Dick Gephardt,24,30.7692,2200000,13.81,6.14,No
1988,Democratic,Douglas Applegate,0,0,0,0,0.11,No
1988,Democratic,Gary Hart,5,6.41026,2000000,12.56,1.65,No
1988,Democratic,Michael Dukakis,6,7.69231,4600000,28.88,42.37,Yes
1988,Democratic,Al Gore,17,21.7949,1400000,8.79,13.49,No
1988,Democratic,Jesse Jackson,10,12.8205,300000,1.88,29.34,No
1988,Democratic,David Duke,0,0,0,0,0.19,No
1988,Democratic,Paul Simon,8,10.2564,926898,5.82,4.68,No
1988,Democratic,Joe Biden,8,10.2564,3200000,20.09,0,No
1992,Democratic,Bob Kerrey,0,0,0,0,1.58,No
1992,Democratic,Bill Clinton,0,0,0,0,51.91,Yes
1992,Democratic,Douglas Wilder,0,0,119615,19.09,0,No
1992,Democratic,Jerry Brown,0,0,0,0,20.08,No
1992,Democratic,Eugene McCarthy,0,0,0,0,0.54,No
1992,Democratic,Paul Tsongas,0,0,506895,80.91,18.05,No
1992,Democratic,Tom Harkin,0,0,0,0,1.39,No
1996,Republican,Bob Dornan,0,0,138826,0.32,0.29,No
1996,Republican,Arlen Specter,5,1.70068,1626433,3.8,0,No
1996,Republican,Lamar Alexander,11,3.7415,7475784,17.44,3.45,No
1996,Republican,Steve Forbes,0,0,0,0,10.55,No
1996,Republican,Bob Dole,217,73.8095,13054261,30.46,58.53,Yes
1996,Republican,Phil Gramm,46,15.6463,11700946,27.3,0.73,No
1996,Republican,Pete Wilson,15,5.10204,3675175,8.58,0,No
1996,Republican,Pat Buchanan,0,0,2212212,5.16,21.23,No
1996,Republican,Alan Keyes,0,0,0,0,3.13,No
1996,Republican,Richard Lugar,0,0,2970515,6.93,0.88,No
2000,Republican,Dan Quayle,32,6.43863,3300691,5.68,0,No
2000,Republican,Bob Smith,0,0,1567088,2.7,0,No
2000,Republican,Alan Keyes,0,0,1914747,3.3,5.17,No
2000,Republican,Steve Forbes,2,0.402415,210223,0.36,0.91,No
2000,Republican,Elizabeth Dole,4,0.804829,3392652,5.84,0,No
2000,Republican,John McCain,26,5.23139,6046740,10.41,32.7,No
2000,Republican,George W. Bush,382,76.8612,36140543,62.2,60.33,Yes
2000,Republican,Gary Bauer,0,0,3416826,5.88,0.37,No
2000,Republican,Pat Buchanan,0,0,66110,0.11,0,No
2000,Republican,Orrin Hatch,18,3.62173,0,0,0.11,No
2000,Republican,Lamar Alexander,33,6.63984,2045181,3.52,0,No
2000,Democratic,Bill Bradley,5,3.87597,11614559,39.95,20.94,No
2000,Democratic,Al Gore,124,96.124,17455036,60.05,75.39,Yes
2004,Democratic,Joe Lieberman,16,11.7647,8033153.06,14,1.71,No
2004,Democratic,Al Sharpton,1,0.735294,132860,0.23,2.4,No
2004,Democratic,Dick Gephardt,39,28.6765,9496896.19,16.55,0.4,No
2004,Democratic,Carol Moseley Braun,2,1.47059,213258.85,0.37,0,No
2004,Democratic,Dennis Kucinich,1,0.735294,1728126.28,3.01,3.9,No
2004,Democratic,John Kerry,19,13.9706,12781163.57,22.27,60.65,Yes
2004,Democratic,Howard Dean,28,20.5882,10213126.39,17.79,5.77,No
2004,Democratic,John Edwards,17,12.5,11869045.14,20.68,19.27,No
2004,Democratic,Wesley Clark,2,1.47059,0,0,3.44,No
2004,Democratic,Bob Graham,11,8.08823,2932157,5.11,0,No
2008,Republican,Duncan Hunter,6,2.6087,1300558.76,1.21,0.19,No
2008,Republican,Ron Paul,0,0,2993792.57,2.79,5.7,No
2008,Republican,Mitt Romney,69,30,34263823.92,31.89,22,No
2008,Republican,Sam Brownback,1,0.434783,3200399.96,2.98,0.01,No
2008,Republican,Rudy Giuliani,21,9.13043,35035338.98,32.61,2.82,No
2008,Republican,Tom Tancredo,0,0,2777830.81,2.59,0.04,No
2008,Republican,Jim Gilmore,0,0,348636.16,0.32,0,No
2008,Republican,Alan Keyes,0,0,0,0,0.28,No
2008,Republican,Tommy Thompson,0,0,754614.81,0.7,0,No
2008,Republican,Fred Thompson,22,9.56522,0,0,1.38,No
