RespondentID,"Generally speaking, how would you rate your level of knowledgeÊof cuisines from different parts of the world?","How much, if at all, are you interested in cuisines from different parts of the world?",Please rate how much you like the traditional cuisine of Algeria:,Please rate how much you like the traditional cuisine of Argentina.,Please rate how much you like the traditional cuisine ofÊAustralia.,Please rate how much you like the traditional cuisine of Belgium.,Please rate how much you like the traditional cuisine of Bosnia and Herzegovina.,Please rate how much you like the traditional cuisine of Brazil.,Please rate how much you like the traditional cuisine of Cameroon.,Please rate how much you like the traditional cuisine of Chile.,Please rate how much you like the traditional cuisine of Colombia.,Please rate how much you like the traditional cuisine of Costa Rica.,Please rate how much you like the traditional cuisine of Croatia.,Please rate how much you like the traditional cuisine of Ecuador.,Please rate how much you like the traditional cuisine of England.,Please rate how much you like the traditional cuisine of France.,Please rate how much you like the traditional cuisine of Germany.,Please rate how much you like the traditional cuisine of Ghana.,Please rate how much you like the traditional cuisine of Greece.,Please rate how much you like the traditional cuisine of Honduras.,Please rate how much you like the traditional cuisine of Iran.,Please rate how much you like the traditional cuisine of Italy.,Please rate how much you like the traditional cuisine of Ivory Coast.,Please rate how much you like the traditional cuisine of Japan.,Please rate how much you like the traditional cuisine of Mexico.,Please rate how much you like the traditional cuisine of the Netherlands.,Please rate how much you like the traditional cuisine of Nigeria.,Please rate how much you like the traditional cuisine of Portugal.,Please rate how much you like the traditional cuisine of Russia.,Please rate how much you like the traditional cuisine of South Korea.,Please rate how much you like the traditional cuisine of Spain.,Please rate how much you like the traditional cuisine of Switzerland.,Please rate how much you like the traditional cuisine of United States.,Please rate how much you like the traditional cuisine of Uruguay.,Please rate how much you like the traditional cuisine of China.,Please rate how much you like the traditional cuisine of India.,Please rate how much you like the traditional cuisine of Thailand.,Please rate how much you like the traditional cuisine of Turkey.,Please rate how much you like the traditional cuisine of Cuba.,Please rate how much you like the traditional cuisine of Ethiopia.,Please rate how much you like the traditional cuisine of Vietnam.,Please rate how much you like the traditional cuisine of Ireland.,Gender,Age,Household Income,Education,Location (Census Region)
3308895255,Intermediate,Some,N/A,3,5,4,N/A,3,N/A,4,N/A,4,N/A,N/A,4,3,5,N/A,N/A,N/A,N/A,5,3,1,5,N/A,N/A,1,3,N/A,N/A,N/A,5,2,4,5,4,N/A,N/A,3,N/A,4,Male,18-29,"$100,000 - $149,999",Less than high school degree,West South Central
3308891308,Novice,Some,N/A,N/A,3,3,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,4,4,4,N/A,4,N/A,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,2,2,4,N/A,N/A,N/A,N/A,4,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
3308891135,Intermediate,A lot,3,4,N/A,3,N/A,4,5,5,4,5,3,3,3,4,2,4,4,3,4,5,N/A,3,4,2,N/A,3,2,4,4,2,3,N/A,3,5,5,N/A,4,5,4,3,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3308879091,Novice,Not muchÊ,N/A,3,N/A,3,N/A,N/A,3,3,2,4,N/A,N/A,3,3,3,N/A,4,N/A,3,3,N/A,3,4,3,N/A,4,3,3,3,3,3,N/A,4,3,2,3,4,N/A,4,3,Male,45-60,"$0 - $24,999",Less than high school degree,New England
3308871671,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,3,3,N/A,N/A,N/A,N/A,4,N/A,2,4,N/A,N/A,N/A,N/A,N/A,3,N/A,3,N/A,3,3,3,N/A,3,N/A,3,N/A,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
3308871406,Advanced,A lot,N/A,4,3,5,3,5,N/A,4,4,4,3,4,5,5,5,N/A,5,N/A,4,5,N/A,5,5,4,N/A,4,5,4,5,N/A,2,3,3,5,5,5,5,N/A,N/A,3,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308866182,Novice,Some,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A,N/A,3,N/A,4,N/A,3,2,N/A,N/A,N/A,N/A,3,N/A,Male,45-60,,High school degree,West South Central
3308857114,Advanced,A lot,N/A,5,4,3,N/A,4,N/A,4,4,4,N/A,3,3,5,5,N/A,4,3,N/A,5,N/A,4,4,4,N/A,4,3,3,5,5,5,3,4,4,3,3,5,N/A,3,4,Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308856510,Novice,Not muchÊ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,3,N/A,4,N/A,4,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,3,4,3,N/A,4,N/A,4,4,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308846915,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
