id,candidate,song,artist,sentiment,theme,album_release_date,line,url
1,Mike Huckabee,None Shall Pass,Aesop Rock,neutral,N/A,2011,"Wither by the watering hole, Border patrol / What are we to Heart Huckabee",http://genius.com/Aesop-rock-none-shall-pass-lyrics
2,Mike Huckabee,Wellstone,Soul Khan,negative,N/A,2012,Might find the door but never touch the key / They get tricked by slick Mike Huckabee,http://genius.com/Soul-khan-wellstone-lyrics
3,Jeb Bush,Awe,Dez & Nobs,neutral,N/A,2006,I heard Jeb Bush looking for a (inaudible),http://genius.com/Dez-and-nobs-awe-lyrics
4,Jeb Bush,The Truth,Diabolic,negative,political,2006,What you heard before ain't as big of a lesson / As George and Jeb Bush rigging elections,http://genius.com/Diabolic-the-truth-lyrics
5,Jeb Bush,Money Man,Gorilla Zoe,negative,personal,2007,I'm comin back from Florida / Wit Jeb Bush and his daughter,http://genius.com/Gorilla-zoe-money-man-lyrics
6,Jeb Bush,Hidden Agenda,K-Rino,negative,political,2012,The Rockefeller's and the Bush family in the same box G / Henry Ford all of them supported the Nazis,http://genius.com/K-rino-hidden-agenda-lyrics
7,Jeb Bush,Bricks and Marijuana,Kase,neutral,N/A,2001,When Jeb Bush pushing life / If I tout my weapon,http://genius.com/Trick-daddy-bricks-and-marijuana-lyrics
8,Jeb Bush,Bush Song,Macklemore,negative,political,2005,"Way to go Jeb, really great strategy",http://genius.com/Macklemore-bush-song-lyrics
9,Jeb Bush,Shoot Me in the Head,R.A. The Rugged Man,negative,political,2013,"Obama nation, the Bushes, the Clintons or '80s Reaganomics / It don't matter, the government always be taking your profits",http://genius.com/Ra-the-rugged-man-shoot-me-in-the-head-lyrics
10,Jeb Bush,Chamber of Fear,RZA,neutral,personal,2005,Bobby got Bush like George and Jeb,http://genius.com/Rza-chamber-of-fear-lyrics
11,Jeb Bush,Tell Me Why,Zeno,neutral,personal,2005,I was promised eternal life from the beginning / But look at Bush and his brother,http://genius.com/Vanilla-ice-tell-me-why-lyrics
12,Ben Carson,Next Black President,King Los,positive,N/A,2011,I was the heart transplant when hip hop died / Verbally IÂê'm Ben Carson,http://genius.com/King-los-next-black-president-lyrics
13,Chris Christie,Daydreaming,Awkwafina,neutral,N/A,2014,"Chris Christie, you a man beast",http://genius.com/Awkwafina-daydreaming-lyrics
14,Chris Christie,Brass Tacks,Chris Webby,neutral,N/A,2016,Eating rappers like I got the appetite of Chris Christie,http://genius.com/Chris-webby-brass-tacks-lyrics
15,Ted Cruz,PNT,Apollo Brown & Ras Kass,negative,political,2015,Fuck Fox News and fuck Ted Cruz,http://genius.com/Apollo-brown-and-ras-kass-pnt-lyrics
16,Hillary Clinton,Tec in the Church,Joyner Lucas,neutral,N/A,2016,"Hillary Clinton ain't gon' like this, she's fanning next to a serpent",http://genius.com/Jarren-benton-tec-in-the-church-lyrics
17,Hillary Clinton,Thugz Tear Dropz,Young Noble,negative,N/A,2013,Until we really saw the true problem / Even Hilary couldn't rob him,http://genius.com/Young-noble-thugz-tear-dropz-lyrics
18,Hillary Clinton,Gotta Be Insanity,Ice Cube,positive,personal,2000,Would you stay down like Hillary? / Even if you thought about killin' me?,http://genius.com/Ice-cube-gotta-be-insanity-lyrics
19,Hillary Clinton,Shorty Baby,Bas,negative,personal,2013,Makin me call Lewinski / You fuckin up like Hilary did,http://genius.com/Bas-shorty-baby-lyrics
20,Hillary Clinton,Take Notice,Sheek Louch,neutral,N/A,2012,"Hillary said I frighten her / Alarm go off, choking off the teeth whitener",http://genius.com/Wu-block-take-notice-lyrics
21,Hillary Clinton,Disgusting,Logic,neutral,personal,2012,However on the light of note I stayed with bills like Hilary,http://genius.com/Logic-disgusting-lyrics
22,Hillary Clinton,My Heart,Jae Tips,neutral,personal,2011,Michelle to my Obama / You Hilary my Clinton,http://genius.com/Jae-tips-my-heart-lyrics
23,Hillary Clinton,We Can Get It On,Yo Gotti,neutral,personal,2012,"We like Hova and B / Maybe Hillary, Bill",http://genius.com/Yo-gotti-we-can-get-it-on-lyrics
24,Hillary Clinton,Where They Do That At,Yo Gotti,positive,N/A,2015,All I know is white girl I call her Hillary cause that bitch got power plus she so considerate,http://genius.com/Yo-gotti-where-they-do-that-at-lyrics
25,Hillary Clinton,What If,Nas,neutral,N/A,2009,What if Hilary and them was Reptilian? / And 2012 was the end of men and all world civilians?,http://genius.com/Jadakiss-what-if-lyrics
26,Hillary Clinton,We Live This,Roxanne ShantÃ©,neutral,N/A,2000,"Roxanne ShantÃ©, Hilary Clinton / Lay out the red carpet y'all hoes shut up and listen",http://genius.com/Big-noyd-we-live-this-lyrics
27,Hillary Clinton,Set Me Free,Crunch Lo,neutral,N/A,2005,"I'm so sex, and my Bonnie, my mami, my Hillary Rod",http://genius.com/Dom-pachino-set-me-free-lyrics
28,Hillary Clinton,Letter to the King,The Game,neutral,political,2008,If Dr. King marched today would Bill Gates march / I know Obama would but would Hilary take part,http://genius.com/The-game-letter-to-the-king-lyrics
