year,round,favorite,underdog,favorite_probability,favorite_win_flag
2014,2,Texas,Arizona State,0.501,1
2013,2,Illinois,Colorado,0.504,1
2013,1,James Madison,Long Island,0.506,1
2011,2,Cincinnati,Missouri,0.509,1
2012,3,Cincinnati,Florida State,0.509,1
2011,5,Arizona,Connecticut,0.514,0
2013,1,La Salle,Boise State,0.515,1
2014,1,Tennessee,Iowa,0.517,1
2011,2,Xavier,Marquette,0.518,0
2013,6,Michigan,Syracuse,0.519,1
2014,2,Oklahoma State,Gonzaga,0.520,0
2012,2,Xavier,Notre Dame,0.521,1
2014,1,Albany,Mount St. Mary's,0.523,1
2012,1,Iona,Brigham Young,0.525,0
2012,4,Florida,Marquette,0.525,1
2011,5,North Carolina,Kentucky,0.525,0
2012,5,North Carolina,Kansas,0.525,0
2011,1,USC,Virginia Commonwealth,0.526,0
2012,2,Alabama,Creighton,0.526,0
2013,1,North Carolina A&T,Liberty,0.527,1
2012,1,Lamar,Vermont,0.527,0
2011,2,Florida State,Texas A&M,0.531,1
2013,3,Marquette,Butler,0.534,1
2011,6,Butler,Virginia Commonwealth,0.534,1
2012,3,New Mexico,Louisville,0.537,0
2012,4,Syracuse,Wisconsin,0.537,1
2011,6,Kentucky,Connecticut,0.538,0
2013,4,Duke,Michigan State,0.543,1
2014,3,Creighton,Baylor,0.544,0
2013,4,Kansas,Michigan,0.548,0
2011,2,West Virginia,Clemson,0.550,1
2014,2,Memphis,George Washington,0.550,1
2012,5,Florida,Louisville,0.552,0
2011,2,Temple,Penn State,0.553,1
2012,2,Georgetown,Belmont,0.553,1
2014,1,Cal Poly,Texas Southern,0.556,1
2014,3,Iowa State,North Carolina,0.557,1
2013,4,Ohio State,Arizona,0.558,1
2013,1,Saint Mary's,Middle Tennessee,0.559,0
2011,3,Brigham Young,Gonzaga,0.559,1
2013,2,San Diego State,Oklahoma,0.561,1
2011,2,Butler,Old Dominion,0.562,1
2011,2,Washington,Georgia,0.562,1
2011,3,Wisconsin,Kansas State,0.563,1
2012,3,South Florida,Ohio,0.567,0
2011,2,Tennessee,Michigan,0.569,0
2011,2,Kansas State,Utah State,0.571,1
2013,4,Indiana,Syracuse,0.571,0
2012,1,California,South Florida,0.577,0
2012,2,Connecticut,Iowa State,0.578,0
2014,3,Wichita State,Kentucky,0.579,0
2014,2,Cincinnati,Harvard,0.580,0
2014,2,Saint Louis,North Carolina State,0.580,1
2012,2,West Virginia,Gonzaga,0.582,0
2013,2,Creighton,Cincinnati,0.585,1
2013,3,Michigan,Virginia Commonwealth,0.586,1
2011,2,Vanderbilt,Richmond,0.586,0
2011,2,Illinois,UNLV,0.586,1
2013,2,Memphis,Saint Mary's,0.588,1
2011,4,Florida,Brigham Young,0.596,1
2012,2,North Carolina State,San Diego State,0.598,1
2013,4,Miami (FL),Marquette,0.598,0
2012,3,Wisconsin,Vanderbilt,0.599,1
2013,2,Notre Dame,Iowa State,0.600,0
2011,1,UTSA,Alabama State,0.602,1
2012,6,Ohio State,Kansas,0.603,0
2012,2,Cincinnati,Texas,0.604,1
2013,2,Oklahoma State,Oregon,0.605,0
2011,1,Clemson,UAB,0.605,1
2011,3,Kentucky,West Virginia,0.606,1
2011,2,Villanova,George Mason,0.607,0
2012,4,Michigan State,Louisville,0.607,1
2012,2,Purdue,St. Mary's,0.610,1
2012,2,Temple,South Florida,0.614,0
2011,4,Florida State,Virginia Commonwealth,0.619,0
2013,2,Minnesota,UCLA,0.619,1
2013,2,Pittsburgh,Wichita State,0.621,0
2012,1,Western Kentucky,Mississippi Valley State,0.622,1
2013,3,Saint Louis,Oregon,0.626,0
2013,3,Mississippi,La Salle,0.627,0
2013,2,Butler,Bucknell,0.627,1
2011,1,North Carolina Asheville,Arkansas-Little Rock,0.627,1
2011,7,Connecticut,Butler,0.628,1
2013,7,Louisville,Michigan,0.629,1
2013,2,Missouri,Colorado State,0.634,0
2012,3,Georgetown,North Carolina State,0.636,0
2013,5,Florida,Michigan,0.637,0
2014,1,Xavier,North Carolina State,0.637,0
2014,2,New Mexico,Stanford,0.638,0
2014,2,Oklahoma,North Dakota State,0.638,0
2011,3,Connecticut,Cincinnati,0.638,1
2012,7,Kentucky,Kansas,0.641,1
2012,2,Florida,Virgina,0.641,1
2012,5,Ohio State,Syracuse,0.642,1
2014,3,San Diego State,North Dakota State,0.646,1
2012,3,Xavier,Lehigh,0.647,1
2014,2,Oregon,Brigham Young,0.647,1
2014,3,Villanova,Connecticut,0.649,0
2013,2,Marquette,Davidson,0.655,1
2011,4,Wisconsin,Butler,0.657,0
2011,2,Wisconsin,Belmont,0.658,1
2012,2,Kansas State,Southern Miss,0.658,1
2012,2,Memphis,Saint Louis,0.659,0
2013,5,Ohio State,Wichita State,0.659,0
2011,2,Gonzaga,St. John's,0.664,1
2011,2,Michigan State,UCLA,0.667,0
2011,2,Arizona,Memphis,0.668,1
2012,4,Baylor,Xavier,0.669,1
2013,2,North Carolina,Villanova,0.670,1
2013,5,Louisville,Duke,0.670,1
2013,2,UNLV,California,0.672,0
2012,2,Murray State,Colorado State,0.673,1
2014,2,Connecticut,St. Joseph's,0.673,1
2012,2,New Mexico,Long Beach State,0.679,1
2014,2,North Carolina,Providence,0.680,1
2012,3,Marquette,Murray State,0.680,1
2011,5,Florida,Butler,0.680,0
2011,3,Texas,Arizona,0.682,0
2011,3,Richmond,Morehead State,0.682,1
