Start,End,Pollster,Sponsor,SampleSize,Pop,tracking,Text,Category,Include?,Yes,No,Unsure,Rep Sample,Rep Yes,Rep No,Dem Sample,Dem Yes,Dem No,Ind Sample,Ind Yes,Ind No,URL,Notes
6/28/2019,7/1/2019,ABC News/Washington Post,,1008,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,59,4,232,7,87,292,61,36,373,37,59,https://games-cdn.washingtonpost.com/notes/prod/default/documents/2557e081-f90a-4c44-a04e-9c98f04bb725/note/d1660489-1b82-43c7-afce-812d2861ecf7.pdf#page=1,
4/22/2019,4/25/2019,ABC News/Washington Post,,1001,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,37,56,6,260,10,87,290,62,29,360,36,59,https://games-cdn.washingtonpost.com/notes/prod/default/documents/873ceb77-ad0f-439a-891b-d440139189d0/note/fae3467f-5c96-41b7-99ef-cd49f752e038.pdf,
1/21/2019,1/24/2019,ABC News/Washington Post,,1001,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,40,55,6,240,7,90,320,64,30,370,42,53,langerresearch.com/wp-content/uploads/1204a2TrumpInvestigations-1.pdf,
8/26/2018,8/29/2018,ABC News/Washington Post,,1003,a,,"Based on what you know, do you think Congress should or should not begin impeachment proceedings that could lead to Trump being removed from office? Do you feel that way strongly or somewhat?",begin_proceedings,yes,49,46,5,251,15,82,331,75,21,371,49,46,https://www.langerresearch.com/wp-content/uploads/1200a1TrumpandtheMuellerInvestigation-1.pdf,
6/8/2019,6/12/2019,Civiqs,,1559,rv,,Do you think the House of Representatives should open an impeachment inquiry to determine if President Donald Trump should be removed from office?,begin_inquiry,yes,43,51,5,483,5,93,577,77,15,499,41,53,https://civiqs.com/documents/Civiqs_DailyKos_monthly_banner_book_2019_06.pdf,
5/28/2019,5/31/2019,CNN/SSRS,,1006,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,41,54,5,342,6,93,272,76,18,392,35,59,"https://cdn.cnn.com/cnn/2019/images/06/01/rel7a.-.trump,.investigations.pdf",
4/25/2019,4/28/2019,CNN/SSRS,,1007,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,37,59,4,262,7,93,332,69,25,413,30,66,https://cdn.cnn.com/cnn/2019/images/04/30/rel6c.-.mueller.report.pdf,
3/14/2019,3/17/2019,CNN/SSRS,,1003,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,36,59,5,251,4,95,321,68,28,441,33,61,https://www.documentcloud.org/documents/5776897-Trump-and-Russia-Conducted-March-14-17-2019.html,
12/6/2018,12/9/2018,CNN/SSRS,,1015,a,,"Based on what you have read or heard, do you believe that President Trump should be impeached and removed from office, or don't you feel that way?",impeach_and_remove,yes,43,50,8,264,7,91,325,80,12,426,36,55,https://www.documentcloud.org/documents/5626125-Congress.html,
11/8/2018,11/12/2018,CNN/SSRS,,677,a,,Do you think there is or is not enough cause right now for Congress to begin hearings into whether or not President Trump should be impeached?,begin_inquiry,yes,37,58,4,169,,,264,62,33,244,33,64,https://www.documentcloud.org/documents/5113373-Post-Election-Conducted-Nov-8-12-2018.html,
