president,subgroup,party,category_group,modeldate,yes_estimate,no_estimate,timestamp
Donald Trump,All polls,ind,begin,2/12/2020,49.454309,41.289879,08:15:52 12 Feb 2020
Donald Trump,All polls,rep,impeach,2/12/2020,12.591837,84.426929,08:16:14 12 Feb 2020
Donald Trump,All polls,all,all,2/12/2020,49.376252,45.621788,08:15:13 12 Feb 2020
Donald Trump,All polls,all,remove,2/12/2020,47.647956,45.773506,08:15:26 12 Feb 2020
Donald Trump,All polls,ind,all,2/12/2020,45.486034,44.477179,08:15:48 12 Feb 2020
Donald Trump,All polls,ind,remove,2/12/2020,42.158455,44.760794,08:16:00 12 Feb 2020
Donald Trump,All polls,all,impeach,2/12/2020,49.53321,45.378647,08:15:23 12 Feb 2020
Donald Trump,All polls,rep,begin,2/12/2020,14.471712,82.718082,08:16:09 12 Feb 2020
Donald Trump,All polls,ind,impeach,2/12/2020,45.705968,44.349549,08:15:56 12 Feb 2020
Donald Trump,All polls,dem,remove,2/12/2020,84.271901,9.9264873,08:15:44 12 Feb 2020
Donald Trump,All polls,rep,all,2/12/2020,12.400982,84.703507,08:16:04 12 Feb 2020
Donald Trump,All polls,dem,impeach,2/12/2020,84.580497,11.485518,08:15:41 12 Feb 2020
Donald Trump,All polls,dem,all,2/12/2020,84.388276,11.783557,08:15:31 12 Feb 2020
Donald Trump,All polls,all,begin,2/12/2020,52.293917,41.95389,08:15:18 12 Feb 2020
Donald Trump,All polls,dem,begin,2/12/2020,86.797647,9.8190073,08:15:36 12 Feb 2020
Donald Trump,All polls,rep,remove,2/12/2020,8.9951203,86.212563,08:16:18 12 Feb 2020
Donald Trump,All polls,dem,all,2/11/2020,84.388276,11.783557,08:15:34 12 Feb 2020
Donald Trump,All polls,rep,impeach,2/11/2020,12.591837,84.426929,08:16:18 12 Feb 2020
Donald Trump,All polls,rep,begin,2/11/2020,14.471712,82.718082,08:16:11 12 Feb 2020
Donald Trump,All polls,dem,remove,2/11/2020,84.271901,9.9264873,08:15:45 12 Feb 2020
Donald Trump,All polls,dem,begin,2/11/2020,86.797647,9.8190073,08:15:37 12 Feb 2020
Donald Trump,All polls,dem,impeach,2/11/2020,84.580497,11.485518,08:15:44 12 Feb 2020
Donald Trump,All polls,all,begin,2/11/2020,52.293917,41.95389,08:15:20 12 Feb 2020
Donald Trump,All polls,ind,all,2/11/2020,45.486034,44.477179,08:15:51 12 Feb 2020
Donald Trump,All polls,ind,remove,2/11/2020,42.158455,44.760794,08:16:00 12 Feb 2020
Donald Trump,All polls,all,impeach,2/11/2020,49.53321,45.378647,08:15:26 12 Feb 2020
Donald Trump,All polls,all,remove,2/11/2020,47.647956,45.773506,08:15:27 12 Feb 2020
Donald Trump,All polls,ind,impeach,2/11/2020,45.705968,44.349549,08:15:59 12 Feb 2020
Donald Trump,All polls,rep,all,2/11/2020,12.400982,84.703507,08:16:08 12 Feb 2020
Donald Trump,All polls,all,all,2/11/2020,49.376252,45.621788,08:15:17 12 Feb 2020
Donald Trump,All polls,ind,begin,2/11/2020,49.454309,41.289879,08:15:54 12 Feb 2020
Donald Trump,All polls,rep,remove,2/11/2020,8.9951203,86.212563,08:16:18 12 Feb 2020
Donald Trump,All polls,dem,all,2/10/2020,85.171166,11.503307,12:55:54 10 Feb 2020
Donald Trump,All polls,all,remove,2/10/2020,47.706374,45.916803,12:55:48 10 Feb 2020
Donald Trump,All polls,dem,begin,2/10/2020,86.797647,9.8190073,12:56:10 10 Feb 2020
Donald Trump,All polls,ind,remove,2/10/2020,42.405324,45.087139,12:57:13 10 Feb 2020
Donald Trump,All polls,rep,begin,2/10/2020,14.471712,82.718082,12:57:35 10 Feb 2020
Donald Trump,All polls,rep,impeach,2/10/2020,11.21379,85.72898,12:57:44 10 Feb 2020
Donald Trump,All polls,dem,remove,2/10/2020,84.242724,10.054544,12:56:32 10 Feb 2020
Donald Trump,All polls,dem,impeach,2/10/2020,85.386314,11.211491,12:56:19 10 Feb 2020
Donald Trump,All polls,ind,all,2/10/2020,46.486982,43.778833,12:56:37 10 Feb 2020
Donald Trump,All polls,all,all,2/10/2020,49.621745,45.691007,12:55:08 10 Feb 2020
Donald Trump,All polls,all,impeach,2/10/2020,49.867557,45.317483,12:55:35 10 Feb 2020
Donald Trump,All polls,all,begin,2/10/2020,52.293917,41.95389,12:55:26 10 Feb 2020
Donald Trump,All polls,rep,remove,2/10/2020,8.9895902,86.530955,12:57:57 10 Feb 2020
Donald Trump,All polls,ind,begin,2/10/2020,49.454309,41.289879,12:56:51 10 Feb 2020
Donald Trump,All polls,ind,impeach,2/10/2020,46.868852,43.44251,12:57:00 10 Feb 2020
Donald Trump,All polls,rep,all,2/10/2020,11.152962,85.927057,12:57:18 10 Feb 2020
Donald Trump,All polls,dem,impeach,2/9/2020,85.386314,11.211491,12:56:23 10 Feb 2020
Donald Trump,All polls,rep,all,2/9/2020,11.152962,85.927057,12:57:22 10 Feb 2020
Donald Trump,All polls,all,impeach,2/9/2020,49.867557,45.317483,12:55:38 10 Feb 2020
Donald Trump,All polls,all,remove,2/9/2020,47.706374,45.916803,12:55:49 10 Feb 2020
Donald Trump,All polls,all,begin,2/9/2020,52.293917,41.95389,12:55:27 10 Feb 2020
Donald Trump,All polls,all,all,2/9/2020,49.621745,45.691007,12:55:12 10 Feb 2020
Donald Trump,All polls,rep,impeach,2/9/2020,11.21379,85.72898,12:57:47 10 Feb 2020
Donald Trump,All polls,rep,remove,2/9/2020,8.9895902,86.530955,12:57:58 10 Feb 2020
Donald Trump,All polls,rep,begin,2/9/2020,14.471712,82.718082,12:57:36 10 Feb 2020
Donald Trump,All polls,ind,begin,2/9/2020,49.454309,41.289879,12:56:53 10 Feb 2020
Donald Trump,All polls,dem,begin,2/9/2020,86.797647,9.8190073,12:56:12 10 Feb 2020
Donald Trump,All polls,dem,all,2/9/2020,85.171166,11.503307,12:55:57 10 Feb 2020
Donald Trump,All polls,dem,remove,2/9/2020,84.242724,10.054544,12:56:33 10 Feb 2020
Donald Trump,All polls,ind,remove,2/9/2020,42.405324,45.087139,12:57:13 10 Feb 2020
Donald Trump,All polls,ind,impeach,2/9/2020,46.868852,43.44251,12:57:02 10 Feb 2020
Donald Trump,All polls,ind,all,2/9/2020,46.486982,43.778833,12:56:40 10 Feb 2020
Donald Trump,All polls,ind,all,2/8/2020,43.250805,45.275916,12:56:43 10 Feb 2020
Donald Trump,All polls,ind,impeach,2/8/2020,43.236053,45.360595,12:57:06 10 Feb 2020
Donald Trump,All polls,all,impeach,2/8/2020,48.40266,46.869658,12:55:41 10 Feb 2020
Donald Trump,All polls,all,all,2/8/2020,48.478326,46.776393,12:55:16 10 Feb 2020
Donald Trump,All polls,dem,remove,2/8/2020,84.242724,10.054544,12:56:33 10 Feb 2020
Donald Trump,All polls,all,begin,2/8/2020,52.293917,41.95389,12:55:29 10 Feb 2020
Donald Trump,All polls,rep,all,2/8/2020,12.596332,84.630483,12:57:26 10 Feb 2020
Donald Trump,All polls,ind,remove,2/8/2020,42.405324,45.087139,12:57:13 10 Feb 2020
Donald Trump,All polls,dem,impeach,2/8/2020,84.011635,12.194665,12:56:26 10 Feb 2020
Donald Trump,All polls,dem,begin,2/8/2020,86.797647,9.8190073,12:56:13 10 Feb 2020
Donald Trump,All polls,all,remove,2/8/2020,47.706374,45.916803,12:55:49 10 Feb 2020
Donald Trump,All polls,ind,begin,2/8/2020,49.454309,41.289879,12:56:54 10 Feb 2020
Donald Trump,All polls,rep,begin,2/8/2020,14.471712,82.718082,12:57:38 10 Feb 2020
Donald Trump,All polls,rep,remove,2/8/2020,8.9895902,86.530955,12:57:58 10 Feb 2020
Donald Trump,All polls,rep,impeach,2/8/2020,12.743303,84.404043,12:57:50 10 Feb 2020
Donald Trump,All polls,dem,all,2/8/2020,84.058467,12.200051,12:56:01 10 Feb 2020
Donald Trump,All polls,ind,all,2/7/2020,43.250805,45.275916,12:56:47 10 Feb 2020
Donald Trump,All polls,all,all,2/7/2020,48.478326,46.776393,12:55:20 10 Feb 2020
Donald Trump,All polls,dem,all,2/7/2020,84.058467,12.200051,12:56:05 10 Feb 2020
Donald Trump,All polls,ind,begin,2/7/2020,49.454309,41.289879,12:56:55 10 Feb 2020
Donald Trump,All polls,ind,remove,2/7/2020,42.405324,45.087139,12:57:14 10 Feb 2020
Donald Trump,All polls,rep,remove,2/7/2020,8.9895902,86.530955,12:57:58 10 Feb 2020
Donald Trump,All polls,all,remove,2/7/2020,47.706374,45.916803,12:55:49 10 Feb 2020
Donald Trump,All polls,all,begin,2/7/2020,52.293917,41.95389,12:55:30 10 Feb 2020
Donald Trump,All polls,dem,begin,2/7/2020,86.797647,9.8190073,12:56:15 10 Feb 2020
Donald Trump,All polls,dem,impeach,2/7/2020,84.011635,12.194665,12:56:29 10 Feb 2020
Donald Trump,All polls,dem,remove,2/7/2020,84.242724,10.054544,12:56:34 10 Feb 2020
Donald Trump,All polls,rep,all,2/7/2020,12.596332,84.630483,12:57:29 10 Feb 2020
Donald Trump,All polls,ind,impeach,2/7/2020,43.236053,45.360595,12:57:09 10 Feb 2020
Donald Trump,All polls,rep,begin,2/7/2020,14.471712,82.718082,12:57:39 10 Feb 2020
Donald Trump,All polls,rep,impeach,2/7/2020,12.743303,84.404043,12:57:54 10 Feb 2020
Donald Trump,All polls,all,impeach,2/7/2020,48.40266,46.869658,12:55:45 10 Feb 2020
Donald Trump,All polls,all,begin,2/6/2020,52.293917,41.95389,12:55:32 10 Feb 2020
Donald Trump,All polls,ind,begin,2/6/2020,49.454309,41.289879,12:56:57 10 Feb 2020
Donald Trump,All polls,dem,impeach,2/6/2020,84.011635,12.194665,12:56:32 10 Feb 2020
Donald Trump,All polls,dem,all,2/6/2020,84.058467,12.200051,12:56:09 10 Feb 2020
Donald Trump,All polls,all,all,2/6/2020,48.478326,46.776393,12:55:24 10 Feb 2020
Donald Trump,All polls,ind,remove,2/6/2020,42.405324,45.087139,12:57:14 10 Feb 2020
Donald Trump,All polls,all,impeach,2/6/2020,48.40266,46.869658,12:55:48 10 Feb 2020
Donald Trump,All polls,dem,begin,2/6/2020,86.797647,9.8190073,12:56:16 10 Feb 2020
Donald Trump,All polls,rep,all,2/6/2020,12.596332,84.630483,12:57:33 10 Feb 2020
Donald Trump,All polls,rep,begin,2/6/2020,14.471712,82.718082,12:57:41 10 Feb 2020
Donald Trump,All polls,ind,impeach,2/6/2020,43.236053,45.360595,12:57:12 10 Feb 2020
Donald Trump,All polls,rep,impeach,2/6/2020,12.743303,84.404043,12:57:57 10 Feb 2020
Donald Trump,All polls,dem,remove,2/6/2020,84.242724,10.054544,12:56:34 10 Feb 2020
Donald Trump,All polls,all,remove,2/6/2020,47.706374,45.916803,12:55:50 10 Feb 2020
Donald Trump,All polls,ind,all,2/6/2020,43.250805,45.275916,12:56:50 10 Feb 2020
Donald Trump,All polls,rep,remove,2/6/2020,8.9895902,86.530955,12:57:59 10 Feb 2020
Donald Trump,All polls,rep,remove,2/5/2020,8.9895902,86.530955,12:55:39  5 Feb 2020
Donald Trump,All polls,rep,impeach,2/5/2020,12.743303,84.404043,12:55:38  5 Feb 2020
Donald Trump,All polls,rep,begin,2/5/2020,14.471712,82.718082,12:55:35  5 Feb 2020
Donald Trump,All polls,rep,all,2/5/2020,12.596332,84.630483,12:55:33  5 Feb 2020
Donald Trump,All polls,ind,remove,2/5/2020,42.405324,45.087139,12:55:29  5 Feb 2020
Donald Trump,All polls,ind,impeach,2/5/2020,43.236053,45.360595,12:55:29  5 Feb 2020
Donald Trump,All polls,ind,begin,2/5/2020,49.454309,41.289879,12:55:26  5 Feb 2020
Donald Trump,All polls,ind,all,2/5/2020,43.250805,45.275916,12:55:24  5 Feb 2020
Donald Trump,All polls,dem,remove,2/5/2020,84.242724,10.054544,12:55:21  5 Feb 2020
Donald Trump,All polls,dem,impeach,2/5/2020,84.011635,12.194665,12:55:21  5 Feb 2020
Donald Trump,All polls,dem,begin,2/5/2020,86.797647,9.8190073,12:55:17  5 Feb 2020
Donald Trump,All polls,dem,all,2/5/2020,84.058467,12.200051,12:55:16  5 Feb 2020
Donald Trump,All polls,all,remove,2/5/2020,47.706374,45.916803,12:55:12  5 Feb 2020
Donald Trump,All polls,all,impeach,2/5/2020,48.40266,46.869658,12:55:12  5 Feb 2020
Donald Trump,All polls,all,begin,2/5/2020,52.293917,41.95389,12:55:08  5 Feb 2020
Donald Trump,All polls,all,all,2/5/2020,48.478326,46.776393,12:55:07  5 Feb 2020
Donald Trump,All polls,rep,remove,2/4/2020,9.1692778,86.625773,09:10:39  4 Feb 2020
Donald Trump,All polls,rep,impeach,2/4/2020,13.207482,84.239974,09:10:38  4 Feb 2020
Donald Trump,All polls,rep,begin,2/4/2020,14.471712,82.718082,09:10:35  4 Feb 2020
Donald Trump,All polls,rep,all,2/4/2020,13.02815,84.507971,09:10:34  4 Feb 2020
Donald Trump,All polls,ind,remove,2/4/2020,43.181777,45.723249,09:10:30  4 Feb 2020
Donald Trump,All polls,ind,impeach,2/4/2020,45.073385,45.640979,09:10:29  4 Feb 2020
Donald Trump,All polls,ind,begin,2/4/2020,49.454309,41.289879,09:10:26  4 Feb 2020
Donald Trump,All polls,ind,all,2/4/2020,44.948216,45.630643,09:10:25  4 Feb 2020
Donald Trump,All polls,dem,remove,2/4/2020,84.524165,10.021723,09:10:22  4 Feb 2020
Donald Trump,All polls,dem,impeach,2/4/2020,86.084566,10.472214,09:10:21  4 Feb 2020
Donald Trump,All polls,dem,begin,2/4/2020,86.797647,9.8190073,09:10:18  4 Feb 2020
