Performer,Score per year,Total score,Show
Michelle Monaghan,4.0,4,True Detective
Ryan Kwanten,4.0,4,True Blood
Siobhan Finneran,2.7,8,Downton Abbey
Aaron Paul,2.6,5.25,Breaking Bad
Jennifer Morrison,2.4,7.25,House
Bob Odenkirk,2.4,4.75,Breaking Bad
Kevin Dunn,2.3,2.25,True Detective
Amanda Seyfried,2.2,8.75,Big Love
Rose Byrne,1.9,5.75,Damages
Scott Porter,1.9,9.25,Friday Night Lights
Connie Britton,1.8,7.25,Friday Night Lights
Dean Norris,1.8,3.5,Breaking Bad
Michelle Fairley,1.8,3.5,Game of Thrones
Shea Whigham,1.8,1.75,Boardwalk Empire
Ginnifer Goodwin,1.6,6.25,Big Love
Diego Klattenhoff,1.5,3,Homeland
Morena Baccarin,1.5,3,Homeland
Allison Janney,1.5,13.25,The West Wing
Adrianne Palicki,1.4,5.75,Friday Night Lights
Jason Ritter,1.4,14.25,Joan of Arcadia
Rob Lowe,1.4,12.5,The West Wing
Aimee Teegarden,1.4,5.5,Friday Night Lights
Chloë Sevigny,1.4,5.5,Big Love
Jack Huston,1.4,2.75,Boardwalk Empire
Dan Stevens,1.3,4,Downton Abbey
Jesse Spencer,1.3,4,House
Bill Paxton,1.3,5.25,Big Love
Taylor Kitsch,1.3,5.25,Friday Night Lights
Timothy Olyphant,1.3,11.75,Deadwood
Milo Ventimiglia,1.3,6.5,Heroes
Harold Perrineau,1.3,6.25,Lost
Hayden Panettiere,1.3,6.25,Heroes
Jeanne Tripplehorn,1.3,5,Big Love
David Zayas,1.3,2.5,Dexter
James Remar,1.3,2.5,Dexter
Paul Sparks,1.3,1.25,Boardwalk Empire
Sam Trammell,1.3,1.25,True Blood
Vincent Piazza,1.3,1.25,Boardwalk Empire
Noah Wyle,1.2,7.25,ER
Adrian Pasdar,1.2,6,Heroes
Kiefer Sutherland,1.2,6,24
Zach Gilford,1.2,4.75,Friday Night Lights
Bryan Cranston,1.1,2.25,Breaking Bad
John Hawkes,1.1,9.75,Deadwood
Joe Mantegna,1.1,10.75,Joan of Arcadia
Julie Bowen,1.1,7.5,Boston Legal
Daniel Dae Kim,1.1,5.25,Lost
Emilie de Ravin,1.1,5.25,Lost
Matt Ross,1.0,4,Big Love
Robert Sean Leonard,1.0,3,House
Betsy Brandt,1.0,2,Breaking Bad
Deborah Ann Woll,1.0,1,True Blood
J.D. Evermore,1.0,1,True Detective
Joe Manganiello,1.0,1,True Blood
Matthew McConaughey,1.0,1,True Detective
Michael Kenneth Williams,1.0,1,Boardwalk Empire
Michael Shannon,1.0,1,Boardwalk Empire
Rory McCann,1.0,1,Game of Thrones
Tory Kittles,1.0,1,True Detective
Dul_ Hill,0.9,8.5,The West Wing
Peter Krause,0.9,9.25,Six Feet Under
Michael C. Hall,0.9,7.125,Six Feet Under
Zachary Quinto,0.9,4.5,Heroes
Dayton Callie,0.9,8,Deadwood
Dylan McDermott,0.9,9.75,The Practice
Edie Falco,0.9,7,The Sopranos
Kyle Chandler,0.9,3.5,Friday Night Lights
Rachel Griffiths,0.9,8.5,Six Feet Under
Josh Holloway,0.9,4.25,Lost
Maura Tierney,0.8,5,ER
Freddy Rodr’guez,0.8,8,Six Feet Under
Dominic Monaghan,0.8,4,Lost
Henry Ian Cusick,0.8,4,Lost
Julie Benz,0.8,4,Dexter
Masi Oka,0.8,4,Heroes
Michael Emerson,0.8,4,Lost
Sendhil Ramamurthy,0.8,4,Heroes
Mark Valley,0.8,6.25,Boston Legal
Lorraine Bracco,0.8,6,The Sopranos
Louanne Stephens,0.8,3,Friday Night Lights
James Gandolfini,0.7,5.75,The Sopranos
Mary Lynn Rajskub,0.7,3.5,24
Drea de Matteo,0.7,6.25,The Sopranos
Ian McShane,0.7,6.25,Deadwood
Joshua Malina,0.7,6.25,The West Wing
Douglas Smith,0.7,2.75,Big Love
Jesse Plemons,0.7,2.75,Friday Night Lights
Goran Visnjic,0.7,4.75,ER
Hugh Laurie,0.7,2,House
Omar Epps,0.7,2,House
Steve Schirripa,0.7,5.25,The Sopranos
Amber Tamblyn,0.7,6.5,Joan of Arcadia
Greg Grunberg,0.7,3.25,Heroes
James Spader,0.6,4.5,Boston Legal
Kim Dickens,0.6,5.75,Deadwood
Molly Parker,0.6,5.75,Deadwood
Paula Malcomson,0.6,5.75,Deadwood
Richard Schiff,0.6,5.75,The West Wing
Joel McKinnon Miller,0.6,2.5,Big Love
Bradley Whitford,0.6,5.5,The West Wing
Leon Rippy,0.6,5.5,Deadwood
Jorge Garcia,0.6,3,Lost
Sam Waterston,0.6,3,Law & Order
Minka Kelly,0.6,3.5,Friday Night Lights
Zachary Booth,0.6,1.75,Damages
Anna Gunn,0.6,3.5,Deadwood
Michael Imperioli,0.6,4.5,The Sopranos
Bruce Dern,0.6,2.25,Big Love
Frances Conroy,0.6,5.5,Six Feet Under
Camryn Manheim,0.5,6,The Practice
Lauren Ambrose,0.5,5.25,Six Feet Under
Kelli Williams,0.5,6.25,The Practice
Titus Welliver,0.5,4.5,Deadwood
Jamie-Lynn Sigler,0.5,4,The Sopranos
Lisa Edelstein,0.5,2,House
Marg Helgenberger,0.5,1,CSI: Crime Scene Investigations
Carrie Preston,0.5,0.5,True Blood
Gretchen Mol,0.5,0.5,Boardwalk Empire
Jim Parrack,0.5,0.5,True Blood
Rutina Wesley,0.5,0.5,True Blood
Woody Harrelson,0.5,0.5,True Detective
Martin Sheen,0.5,4.25,The West Wing
Rene Auberjonois,0.5,3.25,Boston Legal
Mary Steenburgen,0.5,4.5,Joan of Arcadia
Ali Larter,0.5,2.25,Heroes
Naveen Andrews,0.5,2.25,Lost
Tate Donovan,0.5,2.25,Damages
William Sanderson,0.4,4,Deadwood
Robin Weigert,0.4,3.75,Deadwood
Aaron Himelstein,0.4,4,Joan of Arcadia
Shawn Doyle,0.4,2,Big Love
Terry O'Quinn,0.4,2,Lost
Yunjin Kim,0.4,2,Lost
Sean Bridgers,0.4,3.5,Deadwood
Steven Van Zandt,0.4,3,The Sopranos
Melora Walters,0.4,1.75,Big Love
LisaGay Hamilton,0.3,4,The Practice
Powers Boothe,0.3,3,Deadwood
Carlos Bernard,0.3,2,24
Laura Innes,0.3,2,ER
David Harewood,0.3,1,Homeland
Eric Dane,0.3,1,Grey's Anatomy
Steve Harris,0.3,3.5,The Practice
Derek Phillips,0.3,1.25,Friday Night Lights
Michael Welch,0.3,3,Joan of Arcadia
Matthew Fox,0.3,1.5,Lost
S. Epatha Merkerson,0.3,1.5,Law & Order
Anthony Edwards,0.3,2,ER
Gaius Charles,0.3,2,Friday Night Lights
William Shatner,0.3,2,Boston Legal
W. Earl Brown,0.3,2.5,Deadwood
Justina Machado,0.3,2.75,Six Feet Under
Chris Marquette,0.3,2.5,Joan of Arcadia
Brad Dourif,0.3,2.25,Deadwood
Mary Kay Place,0.3,1,Big Love
Stacey Oristano,0.3,1,Friday Night Lights
Glenn Close,0.3,0.75,Damages
Michael Stuhlbarg,0.3,0.5,Boardwalk Empire
Morgan Saylor,0.3,0.5,Homeland
Anna Paquin,0.3,0.25,True Blood
Dane Rhodes,0.3,0.25,True Detective
Joe Chrest,0.3,0.25,True Detective
Michael Hyatt,0.3,0.25,True Detective
Nelsan Ellis,0.3,0.25,True Blood
Stephen Graham,0.3,0.25,Boardwalk Empire
Stephen Moyer,0.3,0.25,True Blood
Steve Buscemi,0.3,0.25,Boardwalk Empire
Todd Lowe,0.3,0.25,True Blood
Jim Beaver,0.2,2,Deadwood
