Performer,Show,Show Start,Show End,Status?,CharEnd,Years Since,#LEAD,#SUPPORT,#Shows,Score,Score/Y,lead_notes,support_notes,show_notes
Steven Hill,Law & Order,1990,2010,END,2000,15,0,0,0,0,0,,,
Kelli Williams,The Practice,1997,2014,END,2003,12,0,1,6,6.25,0.520833333,,Any Day Now (2012),"Medical Investigation, Season 1; Lie To Me, Season 1-3; Army Wives, Season 6-7"
LisaGay Hamilton,The Practice,1997,2014,END,2003,12,2,0,2,4,0.333333333,"Life of a King, 2014; Go For Sisters, 2013",,"Men of a Certain Age, Season 1-2"
Lara Flynn Boyle,The Practice,1997,2014,END,2003,12,0,0,0,0,0,,,
Dylan McDermott,The Practice,1997,2014,END,2004,11,2,7,6,9.75,0.886363636,"Olympus Has Fallen, 2013; Freezer, 2014","The Messengers, 2007; Unbeatable Harold, 2009; Burning Palms, 2011; The Perks of Being a Wallflower, 2012; Nobody Walks, 2012; Behaving Badly, 2014; Automata, 2014","Big Shots, Season 1; Dark Blue, Season 1-2; American Horror Story, Season 1; Hostages, Season 1; Stalker, Season 1"
Camryn Manheim,The Practice,1997,2014,END,2004,11,0,4,5,6,0.545454545,"The Hot Flashes, 2013","Twisted, 2004; Dark Water, 2005; An Unfinished Life, 2005; Fort McCoy, 2014","The Gosts Whisperer, Season 2-5; Extant, Season 1"
Steve Harris,The Practice,1997,2014,END,2004,11,0,2,3,3.5,0.318181818,,"12 Rounds, 2009; Takers, 2010","Heist, Season 1; Awake, Season 1; Legends, Season 1"
Marla Sokoloff,The Practice,1997,2014,END,2004,11,0,1,1,1.25,0.113636364,,"Play The Game, 2009","Big Day, Season 1; "
Jerry Orbach,Law & Order,1990,2010,END,2004,11,0,0,0,0,0,,,
Michael Badalucco,The Practice,1997,2014,END,2004,11,0,1,0,0.25,0.022727273,,"Bewitched, 2005",
Michael C. Hall,Six Feet Under,2001,2005,END,2005,10,3,1,10,13.25,1.325,"Gamer, 2009; The Trouble With Bliss, 2012; Cold in July, 2014","Kill Your Darlings, 2013","Dexter: Early Cuts, Season 1-2; Dexter, Season 1-8"
Joe Mantegna,Joan of Arcadia,2003,2005,END,2005,10,0,7,9,10.75,1.075,,"The Kid & I, 2005; The Simpsons Movie, 2007; Redbelt, 2008; Archie's Final Project, 2010; The Assistants, 2010; Cars 2, 2011; Compulsion, 2013","The Starter Wife, Season 1; Criminal Minds, Season 3-10"
Peter Krause,Six Feet Under,2001,2005,END,2005,10,1,1,8,9.25,0.925,"Steep, 2007","Beastly, 2011","The Lost Room, Season 1; Dirty Sexy Money, Season 1-2; Parenthood, Season 1-5"
Rachel Griffiths,Six Feet Under,2001,2005,END,2005,10,1,2,7,8.5,0.85,"Patrick: Evil Awakens, 2014","Step Up, 2006; Saving Mr. Banks, 2013","Brothers & Sisters, Seasons 1-5; Camp, Season 1; House Husbands, Season 3"
Jason Ritter,Joan of Arcadia,2003,2005,END,2005,10,5,9,7,14.25,1.425,"The Perfect Family, 2012; A Bag of Hammers, 2012; The Big Ask, 2014; About Alex, 2014; Always Woodstock, 2014","W., 2008; The Perfect Age of Rock n Roll, 2011; Brooklyn Brothers Beat the Best, 2012; The End of Love, 2013; Morning, 2013; I Am I, 2014; We'll Never have Paris, 2015; Hits, 2015; Wild Canaries, 2015","The Class, Season 1; The Event, Season 1; Parenthood, Season 3-4; Us and Them season 1; Gravity Falls, Season 1-2"
Freddy Rodr’guez,Six Feet Under,2001,2005,END,2005,10,2,4,5,8,0.8,"Nothing Like the Holidays, 2008; CBGB, 2013","Harsh Times, 2006; Bobby, 2006; Grindhouse, 2007; Fort Bliss, 2014","Ugly Betty, Season 2; Chaos, Season 1; Kaijudo: Rise of the Duel Masters, Season 1; The Night Shift, Season 1-2"
Frances Conroy,Six Feet Under,2001,2005,END,2005,10,0,6,4,5.5,0.55,,"The Wicker Man, 2006; The Seeker: The Dark Is Rising, 2007; The Tale of Despereaux, 2008; Stone, 2010; Bloodworth, 2011; 6 Souls, 2013","Happy Town, Season 1; American Horror Story, Season 1,3-4"
Lauren Ambrose,Six Feet Under,2001,2005,END,2005,10,1,5,3,5.25,0.525,"Diggers, 2007","Cold Souls, 2009; Where the Wild Things Are, 2009; Wanderlust, 2012; Grassroots, 2012; Sleepwalk with Me, 2012","The Return of Jezebel James, Season 1; Torchwood, Season 4; Dig, Season1; "
Amber Tamblyn,Joan of Arcadia,2003,2005,END,2005,10,3,2,3,6.5,0.65,"The Grudge 2, 2006; The Sisterhood of the Traveling Pants 2, 2008; 3 Nights in the Desert, 2015","Beyond a Reasonable Doubt, 2009; 127 Hours, 2010","House Season 7; The Unusuals, Season 1; Two and a Half Men, Season 11"
Justina Machado,Six Feet Under,2001,2005,END,2005,10,0,3,2,2.75,0.275,,"The Call, 2013; The Purge: Anarchy, 2014; The Last of Robin Hood, 2014","Three Rivers, Season 1; Welcome to the Family, Season 1"
Mary Steenburgen,Joan of Arcadia,2003,2005,END,2005,10,0,10,2,4.5,0.45,,"The Brave One, 2007; Nobel Son, 2008; The Proposal, 2009; The Open Road, 2009; Did You Hear About the Morgans?, 2009; The Help, 2011; Dirty Girl, 2011; Last Vegas, 2013; the One I Love, 2014; Kaguyahime no monogatari, 2015","Bored to Death, Season 3; Justified, Season 6 "
Mathew St. Patrick,Six Feet Under,2001,2005,END,2005,10,0,1,1,1.25,0.125,,"War, 2007","Reunion, Season 1"
Michael Welch,Joan of Arcadia,2003,2005,END,2005,10,0,8,1,3,0.3,,"Remember the Daze, 2008; Twilight, 2008; The Twilight Saga: New Moon, 2009; The Twilight Saga: Eclipse, 2010; The Twilight Saga: Breaking Dawn Part 1, 2011; Grace Unplugged, 2013; All The Boys Love Mandy Lane, 2013; Boys of AbuGhraib, 2014","Z Nation, Season 1"
Aaron Himelstein,Joan of Arcadia,2003,2005,END,2005,10,2,4,1,4,0.4,"The Assistants, 2010; Losers take All, 2013","Remember the Daze, 2008; The Informers, 2009; All the Boys love Mandy Lane, 2013; Captain America: The Winter Soldier, 2014","Doll & Em, Season 1, The Legend of Korra, Season 2"
Becky Wahlstrom,Joan of Arcadia,2003,2005,END,2005,10,0,0,0,0,0,,,
Chris Marquette,Joan of Arcadia,2003,2005,END,2005,10,1,6,0,2.5,0.25,"Fanboys, 2009","Just Friends, 2005; The Invisible, 2007; Remember the Daze, 2008; The Rite, 2011; The Double, 2011; 10 Rules for Sleeping Around, 2014",
