Job Category	Percentage Male
Kindergarten and earlier school teachers	2.3
Dental hygenists	2.6
Secretaries	4.7
Speech therapists	5.3
Dental assistants	5.4
Child care workers	7.5
Registered nurses	9.4
Licensed practical nurses	9.6
Receptionists	9.7
Dietitians and nutritionists	10.3
Hairdressers and cosmetologists	10.3
Payroll and timekeeping clerks	11
Health record tech specialists	11.2
Billing clerks and related financial records processing	11.5
Housekeepers, maids, butlers, stewards, and lodging quarters cleaners	11.7
Occupational therapists	11.9
Health aides, except nursing	12.4
Bookkeepers and accounting and auditing clerks	12.8
Typists	14.1
Nursing aides, orderlies, and attendants	14.5
Special education teachers	16
Human resources clerks, except payroll and timekeeping	16.2
Records clerks	16.2
General office clerks	17.3
Librarians	18.1
Social workers	19.1
Legal assistants, paralegals, legal support, etc	19.2
Bank tellers	19.6
Dancers	20.4
Therapists	20.9
Primary school teachers	20.9
Eligibility clerks for government programs; social welfare	21
Library assistants	21.1
Data entry keyers	21.3
File clerks	22.9
Telephone operators	23
Administrative support jobs	23.4
Teachers 	23.9
Interviewers, enumerators, and surveyors	24.1
Dressmakers and seamstresses	24.6
Dental laboratory and medical appliance technicians	25
Personal service occupations	25.6
Textile sewing machine operators	26
Clinical laboratory technologies and technicians	26.2
Proofreaders	26.5
Cashiers	26.8
Sales demonstrators / promoters / models	27
Insurance adjusters, examiners, and investigators	27.4
Waiter/waitress	28.6
Psychologists	29.4
Radiologic tech specialists	29.5
Vocational and educational counselors	29.6
Animal caretakers except on farms	29.9
Personnel, HR, training, and labor relations specialists	30.1
Managers of medicine and health occupations	30.2
Bill and account collectors	30.2
Optical goods workers	30.6
Graders and sorters of agricultural products	31
Physical therapists	31.1
Physicians' assistants	32
Managers of service organizations	32.3
Winding and twisting textile/apparel operatives	32.6
Insurance underwriters	32.9
Welfare service aides	33.4
Customer service reps, investigators and adjusters, except insurance	33.5
Transportation ticket and reservation agents	33.7
Hotel clerks	34
Respiratory therapists	34.6
Managers in education and related fields	35.2
Pressing machine operators (clothing)	35.8
Archivists and curators	36.9
Recreation workers	37.2
Kitchen workers	37.2
Office supervisors	38.6
Art/entertainment performers and related	38.9
Office machine operators	39.7
Bartenders	39.7
Statistical clerks	39.9
Batch food makers	40.1
Accountants and auditors	40.4
Knitters, loopers, and toppers textile operatives	40.5
Human resources and labor relations managers	40.6
Technical writers	40.6
Public transportation attendants and inspectors	40.6
Correspondence and order clerks	40.9
Crossing guards and bridge tenders	40.9
Writers and authors	41
Supervisors of personal service jobs	41.5
Laundry workers	42.1
Secondary school teachers	42.5
Social scientists	43.4
Management support occupations	43.9
Veterinarians	44
Packers, fillers, and wrappers	44.2
Packers and packagers by hand	44.3
Dispatchers	44.6
Bakers	45.1
Other telecom operators	45.2
Economists, market researchers, and survey researchers	46
Waiter's assistant	46.3
Real estate sales occupations	46.4
Door-to-door sales, street sales, and news vendors	46.5
Designers	46.6
Buyers, wholesale and retail trade	46.7
Pharmacists	46.7
Financial managers	47.4
Protective services	47.5
Postal clerks, excluding mail carriers	47.6
Advertising and related sales jobs	48.4
Retail sales clerks	49.1
Photographic process workers	49.2
Managers of properties and real estate	49.7
Computer and peripheral equipment operators	50.2
Guides	50.3
Purchasing managers, agents and buyers	50.5
Subject instructors (high school/college)	50.8
Mathematicians and mathematical scientists	51.1
Misc food prep workers	51.1
Ushers	51.1
Weighers, measurers, and checkers	51.9
Medical scientists	52
Managers and specialists in marketing, advertising, public relations	52.1
Photographers	52.1
Cementing and gluing maching operators	52.2
Mail clerks, outside of post office	52.3
Inspectors and compliance officers, outside construction	52.4
Insurance sales occupations	53.7
Misc textile machine operators	53.8
Bus drivers	54.1
Mail and paper handlers	54.4
Other financial specialists	54.6
Managers of food-serving and lodging establishments	54.7
Machine feeders and offbearers	54.8
Recreation facility attendants	55.1
Editors and reporters	55.2
Urban and regional planners	55.8
Health technologists and technicians	56.3
Biological technicians	56.3
Business and promotion agents	56.4
Biological scientists	56.6
Operations and systems researchers and analysts	57.8
Art makers	58
Engravers	58
Material recording, scheduling, production, planning, expediting clerks	58.5
Management analysts	58.7
Physical scientists	58.7
Optometrists	58.7
Bookbinders	58.8
Other health and therapy	58.9
Cooks, variously defined	58.9
Supervisors and proprietors of sales jobs	59.7
Chemists	60.6
Athletes, sports instructors, and officials	61
Assemblers of electrical equipment	61.2
Actors, directors, producers	61.6
Mail carriers for postal service	61.9
Actuaries	62.6
Graders and sorters in manufacturing	63.3
Roasting and baking machine operators (food)	64.2
Lawyers	64.5
Stock and inventory clerks	64.5
Inspectors of agricultural products	64.5
Shoe repairers	64.9
Physicians	65
Supervisors of cleaning and building service	65.8
Musician or composer	66.3
Salespersons	66.3
Paper folding machine operators	67.3
Janitors	68.4
Geologists	68.8
Purchasing agents and buyers, of farm products	68.9
Chemical technicians	68.9
Textile cutting machine operators	69.4
Financial services sales occupations	69.9
Agricultural and food scientists	70.3
Shipping and receiving clerks	70.5
Managers and administrators	70.9
Clergy and religious workers	71.7
Machine operators	71.7
Computer systems analysts and computer scientists	72.2
Engineering technicians	72.3
Other law enforcement	73.1
Dentists	73.6
Atmospheric and space scientists	75.4
Furniture and wood finishers	75.5
Slicing and cutting machine operators	75.7
Supervisors of guards	75.8
Motion picture projectionists	76
Chief executives and public administrators	76.1
Butchers and meat cutters	76.1
Typesetters and compositors	76.2
Air traffic controllers	76.9
Other science technicians	77.1
Architects	77.8
Precision makers, repairers, and smiths	77.8
Upholsterers	78.1
Rollers, roll hands, and finishers of metal	78.3
Funeral directors	78.4
Computer software developers	78.5
Barbers	78.8
Wood lathe, routing, and planing machine operators	78.8
Physicists and astronomers	79.1
Farm workers	79.1
Industrial engineers	79.2
Guards, watchmen, doorkeepers	79.2
Production helpers	79.5
Announcers	79.9
Supervisors of motor vehicle transportation	80.9
Foresters and conservation scientists	81
Podiatrists	81.8
Messengers	81.8
Police, detectives, and private investigators	82.2
Drafters	82.3
Production supervisors or foremen	82.3
Laborers outside construction	82.3
Garage and service station related occupations	82.4
Molders, and casting machine operators	82.6
Petroleum, mining, and geological engineers	83.2
Baggage porters	83.2
Punching and stamping press operatives	83.3
Freight, stock, and materials handlers	83.4
Metallurgical and materials engineers, variously phrased	84.6
Extruding and forming machine operators	84.7
Surveyors, cartographers, mapping scientists and technicians	85.1
Vehicle washers and equipment cleaners	85.2
Taxi cab drivers and chauffeurs	85.3
Chemical engineers	86
Farmers (owners and tenants)	86.4
Military	86.9
Not-elsewhere-classified engineers	87.2
Mixing and blending machine operatives	87.2
Elevator operators	87.7
Nail and tacking machine operators (woodworking)	87.8
Civil engineers	87.9
Broadcast equipment operators	88
Aerospace engineer	88.1
Construction inspectors	88.5
Repairers of data processing equipment	88.6
Painting machine operators	89.1
Meter readers	89.3
Hand molders and shapers, except jewelers	89.6
Parking lot attendants	89.8
Insulation workers	90.2
Garbage and recyclable material collectors	90.2
Separating, filtering, and clarifying machine operators	90.3
Electrical engineer	90.7
Timber, logging, and forestry workers	90.8
Sawing machine operators and sawyers	90.8
Telecom and line installers and repairers	91.6
Other woodworking machine operators	91.6
Supervisors of mechanics and repairers	92
Mechanical engineers	92.2
Furnace, kiln, and oven operators, apart from food	92.3
Airplane pilots and navigators	92.5
Explosives workers	92.5
Helpers, constructions	93.1
Repairers of electrical equipment	93.2
Repairers of mechanical controls and valves	93.2
Programmers of numerically controlled machine tools	93.5
Other plant and system operators	93.5
Painters, construction and maintenance	93.6
Welders and metal cutters	94
Railroad conductors and yardmasters	94
Truck, delivery, and tractor drivers	94.2
Locomotive operators (engineers and firemen)	94.3
Ship crews and marine engineers	94.3
Gardeners and groundskeepers	94.4
Fishers, hunters, and kindred	94.6
Cabinetmakers and bench carpenters	94.8
Sales engineers	94.9
Supervisors of agricultural occupations	94.9
Misc material moving occupations	95.1
Fire fighting, prevention, and inspection	95.2
Locksmiths and safe repairers	95.2
Pest control occupations	95.4
Power plant operators	95.4
Machinists	95.6
Aircraft mechanics	95.8
Mechanics and repairers	96
Water and sewage treatment plant operators	96
Crane, derrick, winch, and hoist operators	96.5
Plant and system operators, stationary engineers	96.6
Helpers, surveyors	96.6
Industrial machinery repairers	96.7
Tool and die makers and die setters	96.7
Miners	96.8
Supervisors of construction work	96.9
Auto body repairers	97.1
Repairers of industrial electrical equipment	97.1
Sheet metal duct installers	97.1
Construction trades	97.1
Machinery maintenance occupations	97.2
Paving, surfacing, and tamping equipment operators	97.2
Construction laborers	97.2
Drywall installers	97.6
Glaziers	97.7
Repairers of household appliances and power tools	97.9
Small engine repairers	98.1
Millwrights	98.2
Electricians	98.2
Electric power installers and repairers	98.2
Structural metal workers	98.2
Other mining occupations	98.2
Forge and hammer operators	98.2
Excavating and loading machine operators	98.2
Carpenters	98.3
Automobile mechanics	98.4
Operating engineers of construction equipment	98.4
Masons, tilers, and carpet installers	98.5
Elevator installers and repairers	98.6
Plasterers	98.7
Plumbers, pipe fitters, and steamfitters	98.7
Heavy equipment and farm equipment mechanics	98.8
Heating, air conditioning, and refigeration mechanics	98.9
Bus, truck, and stationary engine mechanics	99
Roofers and slaters	99
Drillers of oil wells	99.2
Concrete and cement workers	99.3
Drillers of earth	99.6
Boilermakers	99.8
