"","year","date","all_2534","HS_2534","SC_2534","BAp_2534","BAo_2534","GD_2534","White_2534","Black_2534","Hisp_2534","NE_2534","MA_2534","Midwest_2534","South_2534","Mountain_2534","Pacific_2534","poor_2534","mid_2534","rich_2534","all_3544","HS_3544","SC_3544","BAp_3544","BAo_3544","GD_3544","White_3544","Black_3544","Hisp_3544","NE_3544","MA_3544","Midwest_3544","South_3544","Mountain_3544","Pacific_3544","poor_3544","mid_3544","rich_3544","all_4554","HS_4554","SC_4554","BAp_4554","BAo_4554","GD_4554","White_4554","Black_4554","Hisp_4554","NE_4554","MA_4554","Midwest_4554","South_4554","Mountain_4554","Pacific_4554","poor_4554","mid_4554","rich_4554","nokids_all_2534","kids_all_2534","nokids_HS_2534","nokids_SC_2534","nokids_BAp_2534","nokids_BAo_2534","nokids_GD_2534","kids_HS_2534","kids_SC_2534","kids_BAp_2534","kids_BAo_2534","kids_GD_2534","nokids_poor_2534","nokids_mid_2534","nokids_rich_2534","kids_poor_2534","kids_mid_2534","kids_rich_2534"
"1",1960,1960-01-01,0.123314473976105,0.109533164351255,0.152281777429172,0.238995227752286,0.238995227752286,NA,0.116484827093628,0.162185504526089,0.139373642006956,0.150418381322909,0.162893377899264,0.112146700905191,0.109056180635483,0.091521170606004,0.119875799068635,0.137159744916431,0.0751492896697983,0.206677557548492,0.0705815671957591,0.0686030915299326,0.0666369486685067,0.132626470652928,0.132626470652928,NA,0.068255860223075,0.0883672838380312,0.0730765084270672,0.0919432156446919,0.0934746757636974,0.0686335971080586,0.0602635268576858,0.0473974725879802,0.0582248557654626,0.101974926106544,0.0471727183333638,0.0855386991100046,0.0725464926811987,0.0684079151982292,0.0790375473618366,0.15360888530434,0.15360888530434,NA,0.0724669196616571,0.0691324900710305,0.0663605787197694,0.102364118124637,0.0926478834112007,0.0728532071664561,0.0597729487373069,0.0475418326637002,0.0599699271368939,0.103005543320282,0.0536442097520316,0.0790859066879207,0.464056385044301,0.00282062514982359,0.443014829406152,0.50004020966468,0.561909947272992,0.561909947272992,NA,0.00331888550571155,0.00115082447149603,0.000575107279627161,0.000575107279627161,NA,0.49330608145407,0.410007984964895,0.492118423271646,0.0087227105678506,0.000753206482097365,0.000802733078064008
"2",1970,1970-01-01,0.126971470328779,0.10940002390343,0.149509574235467,0.218703096762337,0.218703096762337,NA,0.117904279042064,0.185516307973846,0.129876863253402,0.151723141391518,0.164068036853296,0.115374057894861,0.112621980483123,0.102936015908293,0.137496402877698,0.17172023771487,0.0815920680116161,0.172409318019596,0.067325203766268,0.0651196369636964,0.0627172434638053,0.111689880345752,0.111689880345752,NA,0.0625037226177189,0.102909036898725,0.0707050035812954,0.0857011034641855,0.0904072492448703,0.0615627198819949,0.0596605664354893,0.0465116279069767,0.0634779604126561,0.111754789796599,0.0456683843055873,0.0649915925173404,0.0596879421559769,0.0583343860362166,0.0544347803610892,0.104660466046605,0.104660466046605,NA,0.0575479877083897,0.0789916774907394,0.058107401598327,0.0802808191771853,0.078606354287719,0.0579116330151221,0.0517446223111556,0.0397013425227942,0.0482631214330485,0.101648887870533,0.0422163703807391,0.0514286707452725,0.430904340252577,0.00986859582940668,0.424677898909812,0.433347907126585,0.455476602010115,0.455476602010115,NA,0.0124659150395737,0.00369998226845558,0.00146834253494655,0.00146834253494655,NA,0.50977423279708,0.376453769174298,0.428894825933555,0.0299749452991259,0.0033771145400411,0.0030435660898256
"3",1980,1980-01-01,0.199176741241349,0.16173134437427,0.223691625806206,0.288164620190605,0.288164620190605,NA,0.182412555571221,0.313750041500074,0.188544039107076,0.241432741522713,0.250592502343676,0.182833876359507,0.168843543206279,0.174342303898875,0.233427900095727,0.310059097327546,0.148253033760548,0.185108154873118,0.0688337759218816,0.0642910182194713,0.0653133345922469,0.105610210050518,0.105610210050518,NA,0.0596673890056273,0.131400808757091,0.0811079021361595,0.0799732258486969,0.0974442797710669,0.0607064086042823,0.0591408942765364,0.048800765502204,0.0755253778384152,0.129142567130554,0.0505032122433931,0.044459505464131,0.0525087145097577,0.0503656291012048,0.0481618001814076,0.0862377442209976,0.0862377442209976,NA,0.0476535406348432,0.0862460161209157,0.0652295112432633,0.0693025322079076,0.0750846603859217,0.0480729030350205,0.0448534831049639,0.0337443839021126,0.04958992082119,0.100301096751954,0.0383026562560477,0.0331129556066134,0.446430390592144,0.0252856670463313,0.431934242510548,0.45058995360559,0.471969961578764,0.471969961578764,NA,0.0319307517432176,0.0181354006133346,0.00625443636412337,0.00625443636412337,NA,0.57404021120495,0.399824970467632,0.384808910641996,0.0779262136533048,0.0102368870634181,0.00683172238624345
"4",1990,1990-01-01,0.296830590269693,0.277749135455863,0.278091164980515,0.361296789306803,0.365665464230391,0.347450515736578,0.263925592453154,0.483855582626322,0.296237236661312,0.350038400194022,0.36233205139664,0.27550456924964,0.263979433024658,0.252643257148301,0.331957865176183,0.419910777866702,0.243200081945057,0.278322566358388,0.111918002978729,0.112100427354988,0.0969937225993747,0.128517227685652,0.125856744252695,0.132801811528508,0.0961131160768974,0.220102978781398,0.121942058888658,0.127859154487924,0.14354988619996,0.101575760100251,0.0963703511555262,0.0918990371886653,0.1313463788444,0.201220816393388,0.0902473942362743,0.0657391641316274,0.0594782384540063,0.0598824418755747,0.0465408713708009,0.0730188438300623,0.0641652868792311,0.0839488588576295,0.0509255194331058,0.116176993262907,0.0761355584621384,0.0704750160246102,0.0837313420935128,0.053983907088519,0.0504363636612289,0.0445941137675431,0.0646187486180723,0.114833469706142,0.0456233155085935,0.0313638570333305,0.542524242461269,0.0602774507815279,0.546488078414131,0.523844641947701,0.556076478949885,0.56333009014255,0.533262798540378,0.078470444024462,0.0520327015144592,0.017124104190894,0.018176602696406,0.013742342031098,0.654690794668704,0.518660380155852,0.475015628022972,0.17076377367169,0.0274655254210517,0.0182329126624247
"5",2000,2000-01-01,0.345008723583384,0.33165454225482,0.324920500014008,0.387490564497564,0.393957934136195,0.369173992049572,0.312714855026679,0.514499402786704,0.318068122795987,0.409185174052952,0.41755654816627,0.330802229368718,0.309971190203865,0.306210317697617,0.375306076402084,0.503367646179735,0.302020364273018,0.271738604840623,0.156058805332798,0.169937032522031,0.138004042102931,0.154123816348872,0.153629862597413,0.155097017590264,0.132070320752131,0.302393808172159,0.154695197154753,0.173274221575482,0.188192564374009,0.145392010344791,0.142305996309827,0.135841938758902,0.174800468643699,0.281313703481113,0.128157508102109,0.0862204637561822,0.0880439439378989,0.0944280890847999,0.0755878555912609,0.0920841686800982,0.090974724299238,0.0936280244724764,0.0757817402291143,0.175873344508915,0.0941800882658689,0.102321703904849,0.112696587192177,0.0830243727919972,0.0763185848716871,0.0763777375813681,0.0989683160628694,0.171897587189205,0.0705567171744649,0.0389734233627164,0.571453068469528,0.0994727129547676,0.571139461508199,0.570004239282977,0.57296769028543,0.586221320913869,0.536715953764009,0.127193577412064,0.0976253104254216,0.0370024452029126,0.0401009874548257,0.0276146677289884,0.705545093077231,0.569022759730708,0.445802279877432,0.256281917548912,0.0597845172709267,0.0295644698473506
"6",2001,2001-01-01,0.35277670673049,0.344606892628011,0.334110139534335,0.38356864658908,0.392514840878452,0.359030376602339,0.318350582896846,0.543798462048534,0.332121389604234,0.420058127697419,0.42942814933018,0.334433205252303,0.318268781484743,0.309807789240754,0.38447988563985,0.517877141100633,0.317161181352744,0.253204149455396,0.156425289015777,0.16870156293102,0.139860442376205,0.154815061674055,0.152492291381942,0.159516869555693,0.13287454995803,0.30857796183713,0.149530503923815,0.1665349732467,0.183151087065988,0.14794407016602,0.14312591693278,0.139438200901379,0.176948642920815,0.291911158115304,0.132676248884058,0.0680328297889257,0.0882334200258904,0.0918900715192046,0.0779548090207283,0.0933336487530189,0.0931347984403595,0.0936287574973654,0.0751691192209346,0.181545306581153,0.0940989635872912,0.0986840791549352,0.109536351082391,0.0820762926312656,0.0788651251601961,0.0740597100689626,0.101195110314352,0.175936916709163,0.0740750815237205,0.0285731985605689,0.585221272294067,0.110178467299086,0.60454750016382,0.581091176230154,0.569864416221249,0.58649669524674,0.525879960925278,0.141395652390262,0.110030661932534,0.0399801447144848,0.0445838011631862,0.0264504109940662,0.714733398107867,0.586474063482735,0.446111077590996,0.280146488240289,0.0677954572221072,0.0336540502220647
"7",2002,2002-01-01,0.353524927592574,0.349036651115007,0.336159537338957,0.377432795397932,0.387083979084282,0.351284828485943,0.319669064758979,0.540397592057047,0.331261270829849,0.407804421133577,0.429052886092702,0.339704143505534,0.323027560120342,0.296865687550573,0.383692169794484,0.517425235124804,0.318240408687117,0.253472440008386,0.159676297416834,0.169636083965829,0.145515907005985,0.159276404317159,0.159899212059655,0.158009513143697,0.134295158892457,0.309697926434641,0.164459167548348,0.178988382320667,0.19382927546218,0.147707197103626,0.144610937082577,0.134244905492468,0.182799353723771,0.290429964289131,0.137232255677794,0.071534387503909,0.092846936961115,0.0964385422818984,0.0830686815591885,0.0977463143348189,0.095381242752358,0.101266274238674,0.0798131720877415,0.190168805936433,0.0935516257193133,0.114137913041462,0.115320023686358,0.0864436587548063,0.0820497505583098,0.0743807502876366,0.106752062796792,0.182888873024914,0.0784279099943133,0.0308196815014789,0.585664460299233,0.114273009272041,0.611380242016613,0.579756865674096,0.565559558944437,0.580378841955996,0.52618920296601,0.142396369077388,0.122975412000636,0.0401394409851815,0.0456155546929287,0.0247652257717479,0.718467358477544,0.582834820267649,0.45142117295211,0.28588646110337,0.0713847593236464,0.0320926293466795
"8",2003,2003-01-01,0.362034506986469,0.358187689511334,0.341892951610881,0.387380587550279,0.400003914829541,0.353813048280415,0.325681209960934,0.556895389172505,0.341751259619332,0.431191798631493,0.447992211246089,0.347570874044181,0.325013921423673,0.310718862574361,0.394690239105436,0.529727884081405,0.328231753232138,0.251606437656085,0.160899270707519,0.174170086495908,0.147250879724069,0.155410646662968,0.155179500173108,0.155869694021889,0.135473427607421,0.322641973778963,0.152204920431147,0.175195758195581,0.194485441534252,0.149392853996848,0.14936826029735,0.129443778393034,0.179667190190109,0.296768621038201,0.137916538144354,0.0694900476184437,0.0969730752356181,0.102394188761345,0.0879295716736417,0.0986236659295011,0.100603909538167,0.0955854065318037,0.082454694981608,0.206473712068024,0.0971126459084662,0.104651732968219,0.123990032430503,0.0906413625241302,0.0872342732853104,0.0779598652058521,0.108593973684052,0.194296220393089,0.0811452429230439,0.0310775961602924,0.595714798318902,0.117551349177786,0.618463462221024,0.589891617610308,0.578336781657729,0.593832391678752,0.53680518062664,0.148438624023269,0.121567812822782,0.046565969301909,0.0519827566072424,0.032362122606678,0.72690849153341,0.595960676850003,0.452032442798642,0.292612787909933,0.0759463406817203,0.0293706202422315
"9",2004,2004-01-01,0.367324709729713,0.370810225466832,0.345074846543101,0.384735737754272,0.39761241376806,0.351772937183046,0.33062829996609,0.572401511404658,0.348578930783152,0.449085393032251,0.449401569937029,0.35238020314019,0.334152743135861,0.310788613898008,0.397215309258699,0.53675818499228,0.335612735562227,0.252254470044244,0.165159413255539,0.182358541611162,0.149328703219266,0.156326679180376,0.157312267558369,0.154363118423347,0.138365003102761,0.318905569256101,0.169558587330686,0.184146487642276,0.195788311589367,0.150151053755493,0.154139256380791,0.147473101771041,0.183520674520384,0.309345728536295,0.141358137520649,0.0683116880017543,0.10122315272891,0.107884662439144,0.0896352252503061,0.103578793751106,0.103296501093243,0.104025424911449,0.0864536730869929,0.207710058620608,0.101207588394078,0.113842442179302,0.127974409665133,0.0962102167723297,0.0890316471174555,0.0881700356709231,0.113060751025957,0.20134791098227,0.0857686844497353,0.0318926491063343,0.600382492328966,0.123881026941446,0.627390869904527,0.598461503919578,0.576973265062896,0.596420156890548,0.527882740155547,0.164142126826609,0.120965582596673,0.0475636764252465,0.0526741991099202,0.0341536988839985,0.732716100329529,0.599756342780842,0.456414342533091,0.306079679540361,0.080352078876249,0.0326262310342748
"10",2005,2005-01-01,0.379345137795961,0.387068030631773,0.359666265205879,0.388609649230315,0.402911610704289,0.35142507293975,0.34387589267402,0.575173098230383,0.358954377393946,0.450971885766113,0.463850807570628,0.362480457286156,0.34738207038469,0.341277703713612,0.403880731993575,0.551922358168366,0.347668291171296,0.262045219910141,0.16859543264941,0.186976371158716,0.154897817253754,0.156358906466591,0.157873061707162,0.153470271801194,0.14393043865501,0.323192040471345,0.165597802598456,0.188715702459965,0.202193854152008,0.154058391274609,0.154725154717489,0.153734702524598,0.189535426915303,0.310960351232642,0.147794239720269,0.0674847000861153,0.106627015398147,0.114840615808277,0.0950886859365206,0.106747463592565,0.106627734190588,0.106936441638197,0.0906698767953988,0.219160597910895,0.106415385615315,0.111831823021325,0.129886349528731,0.101912838982562,0.0976739569445206,0.0913300054359397,0.117546562182038,0.214221872018675,0.0903651519045544,0.0314321253119159,0.610130746652542,0.129535758883269,0.638869140556426,0.609708464540643,0.582372671428887,0.602887469451609,0.529404252074879,0.170866790324827,0.129908779666533,0.0457983664924681,0.0509958078564464,0.0321173492057131,0.737549169962846,0.608967574059662,0.471279251923952,0.323611416109805,0.0852490070564453,0.0313263995911071
