"","year","date","all_2534","HS_2534","SC_2534","BAp_2534","BAo_2534","GD_2534","White_2534","Black_2534","Hisp_2534","NE_2534","MA_2534","Midwest_2534","South_2534","Mountain_2534","Pacific_2534","poor_2534","mid_2534","rich_2534","all_3544","HS_3544","SC_3544","BAp_3544","BAo_3544","GD_3544","White_3544","Black_3544","Hisp_3544","NE_3544","MA_3544","Midwest_3544","South_3544","Mountain_3544","Pacific_3544","poor_3544","mid_3544","rich_3544","all_4554","HS_4554","SC_4554","BAp_4554","BAo_4554","GD_4554","White_4554","Black_4554","Hisp_4554","NE_4554","MA_4554","Midwest_4554","South_4554","Mountain_4554","Pacific_4554","poor_4554","mid_4554","rich_4554","work_2534","nowork_2534","work_HS_2534","work_SC_2534","work_BAp_2534","work_BAo_2534","work_GD_2534","nowork_HS_2534","nowork_SC_2534","nowork_BAp_2534","nowork_BAo_2534","nowork_GD_2534","work_White_2534","work_Black_2534","work_Hisp_2534","nowork_White_2534","nowork_Black_2534","nowork_Hisp_2534","work_poor_2534","work_mid_2534","work_rich_2534","nowork_poor_2534","nowork_mid_2534","nowork_rich_2534","nokids_all_2534","kids_all_2534","nokids_HS_2534","nokids_SC_2534","nokids_BAp_2534","nokids_BAo_2534","nokids_GD_2534","kids_HS_2534","kids_SC_2534","kids_BAp_2534","kids_BAo_2534","kids_GD_2534","nokids_poor_2534","nokids_mid_2534","nokids_rich_2534","kids_poor_2534","kids_mid_2534","kids_rich_2534"
"1",1960,1960-01-01,0.0859417411527111,0.0750199752440071,0.114628113135073,0.288222222222222,0.288222222222222,NA,0.0795770780299824,0.127277398913401,0.0992113144307777,0.111162567401308,0.125385526059526,0.0750818395273178,0.0771195254644978,0.0581680096074498,0.0667514421695876,0.111279127113843,0.0530450737631812,0.129191891977559,0.0593519690278792,0.0530083261233372,0.0712303770899787,0.24839176161262,0.24839176161262,NA,0.058295750077752,0.0691299485355553,0.0573218533284197,0.0872019150350625,0.0853294060749097,0.0546955874321431,0.0507057052088159,0.0351130782974062,0.0401785684908475,0.0857966102023081,0.0433066295135261,0.0653146440938062,0.0709164983841334,0.0605073626443399,0.0995030712205813,0.28462393543926,0.28462393543926,NA,0.0724356554441183,0.0592076130809853,0.0561958366836416,0.11105846722686,0.0964154224229303,0.0695485725027594,0.0580896524234797,0.0395789290782196,0.0476183274223187,0.0863849580270974,0.0608167490899113,0.0754294978929857,0.254388755287903,0.0505359401358388,0.225115582880444,0.34156409637585,0.477584377824054,0.477584377824054,NA,0.0445374013523762,0.0621881154183538,0.224640166756817,0.224640166756817,NA,0.261984520567753,0.197854218322389,0.280627596025421,0.0423941748861149,0.108201853448734,0.0662175111910717,0.30379438485726,0.22960814802724,0.254781275529046,0.0808093603933184,0.0248517558352615,0.0779754989779832,0.415518785962085,0.00350967119899838,0.391773957940101,0.462488007061442,0.573595250774116,0.573595250774116,NA,0.00401808849360312,0.00118583802766663,0.00196846499297683,0.00196846499297683,NA,0.452277222308302,0.374556171766635,0.427307194002572,0.0130755924898353,0.00044988395039007,0.000256438568773522
"2",1970,1970-01-01,0.099978358810915,0.0830790227924116,0.125159436201301,0.270009963467287,0.270009963467287,NA,0.0893837414673731,0.166867947965909,0.112692276054948,0.123677901565365,0.137650937834356,0.0909327655141776,0.088678298830005,0.0783378746594005,0.0969006668002175,0.15199185675288,0.0664607586916924,0.113617615330922,0.0566183067833624,0.0515483954563124,0.0573206458792269,0.185854560979081,0.185854560979081,NA,0.0519558879452402,0.0875004811949032,0.0690101573391755,0.0762946863523945,0.0796953412976862,0.0517868359284604,0.0492716051201226,0.0395960669678448,0.0480678605089538,0.0975134408602151,0.0399358582773366,0.0486757215619694,0.055022675784265,0.0495133801344896,0.0607381106089951,0.191569675998742,0.191569675998742,NA,0.0534864761173988,0.0678965471032296,0.0578487942003255,0.0813471138297124,0.0771135479306685,0.0516063500385,0.0473149795875641,0.0363815142576204,0.0392466194462331,0.0864971937933311,0.0435719435920653,0.045981045981046,0.211268564040624,0.0664919482806278,0.175243999903127,0.280577445202304,0.395650355499791,0.395650355499791,NA,0.0562572242113276,0.0750491075241267,0.224781692261367,0.224781692261367,NA,0.209223559484503,0.208187950686206,0.247219846022241,0.0547725245316681,0.149438257371339,0.080659945004583,0.315629117259552,0.184931506849315,0.183041983439059,0.114280292247841,0.0357591591711374,0.0797923793794975,0.413981380369801,0.0152011833136781,0.397159507053466,0.42320973676762,0.487603305785124,0.487603305785124,NA,0.0180929288669847,0.00623418865196964,0.00491159135559921,0.00491159135559921,NA,0.486902528943794,0.386326721464783,0.38299271272807,0.0471262505569282,0.00512491387690769,0.00384057161996204
"3",1980,1980-01-01,0.161973331742132,0.122494184743702,0.189295851695968,0.295248004636093,0.295248004636093,NA,0.141463600355165,0.296722350331814,0.15697904310004,0.202545504310935,0.214126686758437,0.149178334870462,0.137180700094607,0.129771925891201,0.179852435238969,0.273569700139915,0.126944528477143,0.120090443970473,0.060850683161428,0.0530630035290975,0.0593624497991968,0.142684841726782,0.142684841726782,NA,0.0499316529270543,0.128750505458957,0.0755578466750129,0.0725487405720791,0.0915755263013749,0.0541522386246279,0.0529808603893873,0.0379326546593579,0.0584782931118503,0.116475048923679,0.0480859181539703,0.0307243927677057,0.0460668272400753,0.0409996389710217,0.045045045045045,0.13254433506618,0.13254433506618,NA,0.0407058347575525,0.0788614018395179,0.0642487046632124,0.0652333700845277,0.0705520892418227,0.0405013766120852,0.0394538116175857,0.027587504704554,0.0385237409344755,0.0817848402470358,0.0378084457959164,0.0268591538790151,0.229921901489314,0.121383357701008,0.170376032342245,0.267115776280746,0.370893257685711,0.370893257685711,NA,0.0986883123823549,0.131170800442713,0.244968208726157,0.244968208726157,NA,0.220042373948295,0.295733126454616,0.216645216645217,0.0937079172423442,0.297373837642147,0.132018754065998,0.380018544274455,0.229245374683501,0.143715856814261,0.233153203898306,0.0661542693923575,0.0986540139082512,0.414249024707412,0.0389732665075274,0.385418595832121,0.419607442936354,0.466796544130103,0.466796544130103,NA,0.0462231955096882,0.0290905132840525,0.0129956100620166,0.0129956100620166,NA,0.548892881308477,0.398501367446618,0.305960280132016,0.115629914672913,0.0174006117122262,0.0101361923291473
"4",1990,1990-01-01,0.244481433263256,0.21128473532964,0.229634404300481,0.331938744096998,0.32947010070553,0.340727738480985,0.205900737898376,0.464069347634814,0.240643872678432,0.295524225459448,0.310523652649153,0.227182714306533,0.217867397428792,0.194762326957046,0.263771362040259,0.379915605123435,0.206403226671894,0.18520143245611,0.0971627091749752,0.0891883153230305,0.0817640222226952,0.131304760391708,0.119050541559208,0.152689039730384,0.0780889486147891,0.216328504734801,0.11093757212451,0.11303814934514,0.130795627537726,0.0898967384112395,0.0842873900728243,0.072305069486347,0.106340098995307,0.176726794046677,0.0842951213174272,0.0433084216552448,0.0542400361919359,0.0497853738147245,0.0423902538159264,0.0853638224525731,0.0647397574217735,0.115529771607146,0.0440946722923065,0.114727901777523,0.0736798407368672,0.0665105663640419,0.0805314455710315,0.0498634438373839,0.0456973867995585,0.0373424010245313,0.0542707375989199,0.0977398459631238,0.0476440159070533,0.0239279521385636,0.284600638940941,0.207206445315696,0.222937817069212,0.268011912024377,0.392744028963735,0.395081017518555,0.383892125015932,0.203653732534291,0.184625027125462,0.251918096816191,0.240408616752052,0.289805953469471,0.261584635304869,0.435495085016988,0.278700738549236,0.148164179577937,0.486852873109515,0.219639968060959,0.463356933326197,0.283984412991824,0.1991858164616,0.345933635249984,0.122536576980207,0.164383586788776,0.493255762638939,0.0838563475255964,0.472161127015229,0.47537228822614,0.529580059265409,0.531615115776798,0.522729242280254,0.106656400088716,0.0730289132048765,0.0258155040997294,0.0261342565918352,0.0245733283324276,0.618160841494986,0.498826071683561,0.378077437620685,0.229349099107232,0.039402368157241,0.0240950114842093
"5",2000,2000-01-01,0.297561060810937,0.273794111739321,0.277418339258801,0.350606022886407,0.350280168318366,0.351536704260367,0.255643587896646,0.525104114371133,0.263657897162933,0.357007428104555,0.371033567451004,0.28179548291382,0.268438764702359,0.251525546617606,0.319104615357365,0.472569762729843,0.258967480403924,0.196697588600326,0.133990851323213,0.13768341570609,0.118424081482163,0.147907327013526,0.139298929674732,0.166730558060841,0.103563366612766,0.308174244211632,0.133271406843871,0.15196516127011,0.168592847149688,0.123949566144517,0.123451325709041,0.107443401715736,0.14453594748073,0.248283624258829,0.113752546166264,0.058679211763727,0.0796215517548484,0.0776742388850753,0.0662629455567142,0.0982711733545779,0.0891212165036268,0.111350875146632,0.0641028178890997,0.179478056409151,0.0888529441440809,0.0961416711994079,0.107464520458186,0.0752934252219082,0.0691366641633903,0.0623191435241734,0.0850982086476786,0.146308083372306,0.0707378191975693,0.0305491515601696,0.332377127212893,0.261590961750981,0.291931570522605,0.308385192971415,0.393871691781989,0.396731744076414,0.385139938737464,0.26161746920383,0.237406265183923,0.289549360388546,0.281973178793415,0.309313665676957,0.297631922210707,0.51585162357242,0.312841254166381,0.203476309096304,0.534491346742149,0.236079605515019,0.560187603916903,0.334121388588088,0.206953186027124,0.431092992350692,0.166719309817679,0.180493449407796,0.532432688090672,0.127180368501354,0.523237393058118,0.527077752021807,0.542124080761125,0.550768820677819,0.51942882766221,0.161440676655449,0.126738077682301,0.0489585994175236,0.0520138481862923,0.038919427041837,0.681255496337187,0.540823212050831,0.379184556524919,0.316253314780432,0.076837252451086,0.0355788440969964
"6",2001,2001-01-01,0.306707465090293,0.289424176338006,0.288481948230003,0.346787733027577,0.348749388940143,0.341366505333111,0.261007509961814,0.549247169968338,0.279352082376352,0.361475673408023,0.383927089707581,0.289773546905169,0.277949468837533,0.259745393533178,0.328420139792433,0.482186329506159,0.277087472718033,0.190241606591143,0.136650094775639,0.14065004532163,0.121268350162794,0.148798024555106,0.139100498130632,0.17039379745653,0.103988288994356,0.317596602865968,0.135155441607225,0.149617042744451,0.163691453176244,0.129362783665787,0.128453655275591,0.111756990358226,0.145986121810912,0.258630050008438,0.119667384032669,0.0480234182458622,0.0821891079817207,0.0796906625958018,0.0709930999452525,0.098191929797931,0.0915463368881411,0.108414232006955,0.0647044988954465,0.192695131630302,0.0906108060232366,0.0931253237280162,0.105242180925292,0.07439439735122,0.0744303319438534,0.0644672119571139,0.0933267298009662,0.156077187111479,0.0742598909293911,0.0241459795049148,0.353304943187679,0.255211566001033,0.325163052478787,0.328206134768453,0.405423930954955,0.411076753537044,0.388997872736097,0.260835143340646,0.235746830715922,0.266284099881898,0.260453388806857,0.281353045724442,0.30940644369488,0.555268304584317,0.331370963532901,0.202298626614955,0.540753317505015,0.241552184136497,0.571256508160967,0.358891886999966,0.219041592806233,0.434166898573134,0.170122525135082,0.14393777440698,0.532907434994709,0.146143063477871,0.528431199010923,0.531286855996118,0.536651865075267,0.547585653249555,0.508906211282931,0.187547469820001,0.146520303968835,0.0538807168605744,0.0594097385445819,0.0363257350830173,0.680149551183096,0.556518720850867,0.363888911152254,0.348580465007313,0.0927023955012777,0.0407740734750444
"7",2002,2002-01-01,0.310739091074952,0.294082226548106,0.296704412399436,0.344705299572186,0.350206502503952,0.329906463556198,0.267541773256241,0.544823258317816,0.277015640120638,0.360498988405361,0.388883521442489,0.298744451957603,0.283551261173419,0.240519511398665,0.334781263872553,0.489172023934688,0.279287658995171,0.194505214123887,0.139651907417096,0.14351893826366,0.124775407677091,0.151139132947657,0.14517586285375,0.164272051839226,0.104618142007663,0.326933306595992,0.143533509439094,0.148543849690307,0.179610185307969,0.124315121320233,0.130643521720278,0.106267362744964,0.155167300464539,0.261987938978417,0.120594881234764,0.054674372802673,0.0849530454441402,0.0820854442846899,0.0724059918993303,0.103005295622149,0.0930665339932256,0.1181445477769,0.0666380742324136,0.196301638982765,0.0988094298332171,0.111751739921586,0.108332652957876,0.0767439658966502,0.0766682022531141,0.0654556935186575,0.093404345557795,0.155013315871954,0.078927091922432,0.0268783468763666,0.351202390543008,0.269134441173875,0.320699205232065,0.33457907676743,0.395253261135072,0.404481697874611,0.368925005049918,0.274508660658949,0.249911957474017,0.280602290289835,0.278874181033295,0.284926695372767,0.311611837248557,0.542380161583037,0.319798151790361,0.21789003610521,0.547738991833041,0.245265684502299,0.583342035157066,0.358662715169527,0.214275926586942,0.444728284158378,0.181839291887328,0.164132790694048,0.534838812544665,0.153140121386126,0.536948885810821,0.533827758302198,0.534217370402773,0.546528229650591,0.502945859796101,0.191148379379581,0.163471610551816,0.0565342189597357,0.0632516829403431,0.0367570207570208,0.691894008024145,0.548788181483623,0.374478048710843,0.355790779120424,0.101326651490251,0.0416039657552576
"8",2003,2003-01-01,0.317093375323636,0.305289124955986,0.294377956035021,0.353271730216238,0.357115978807006,0.343539532936046,0.271263083597877,0.557025170601078,0.29098183858434,0.396641854337899,0.398411220065089,0.30347778012666,0.284771843828463,0.262937852936462,0.339050612478604,0.502974813519459,0.287215906296417,0.190392891833406,0.141589250508969,0.150826193862962,0.125931762474668,0.146188329119453,0.138074363250298,0.163768064061604,0.107291718654641,0.336287272922787,0.135714710719991,0.151437740704041,0.176466598613899,0.129465403905335,0.134780552311028,0.104664741617997,0.153136136285429,0.270354743687333,0.122623026857791,0.0507046430251335,0.089502822352997,0.0881522528003166,0.0791750088130371,0.102904174907322,0.0973924645091274,0.111869429856628,0.070084962900118,0.221510486410007,0.0912874308257576,0.100864580056476,0.120511531501135,0.0849198089686488,0.080473436843419,0.065146537207966,0.0941973344197487,0.168716893993209,0.0805168323002955,0.0281873192244577,0.359810162650091,0.272836219406098,0.345387180176149,0.325934656920212,0.404877208050452,0.410965942425415,0.388815739974419,0.274958696905538,0.25647599131818,0.286330638234925,0.285383648489057,0.288605954718981,0.316847480762276,0.551083030737787,0.351346595907711,0.219282629520751,0.564183872269969,0.247233561408227,0.590127224666378,0.37535588361882,0.212883014758399,0.463041258130162,0.177738319530477,0.15467959433142,0.545898827626395,0.155580608398506,0.548132725217719,0.538972349579816,0.54861964999939,0.558218405969271,0.525542861997259,0.198928468510028,0.158567549472283,0.0627067033933147,0.0687609319170122,0.0461184203577146,0.697160325157091,0.565646908530837,0.375427314589444,0.370658944706069,0.103266281379981,0.0361718135572416
"9",2004,2004-01-01,0.324482085236033,0.321486680289224,0.301515449041101,0.349911373805071,0.354617464221879,0.33826390486186,0.277179527766874,0.576915632959364,0.298135063633007,0.398896079392168,0.406701397340887,0.31119395038254,0.29841436518869,0.251539113997315,0.343888399398183,0.515922545963418,0.296704201253208,0.188011137034975,0.143622619110065,0.154408026429262,0.129264867785639,0.144708560516502,0.136014835380821,0.163516463217221,0.107829901220665,0.331760266208559,0.150155210702919,0.159847138698294,0.178543105663703,0.129938831572561,0.134858872646749,0.114094332064314,0.156972508787184,0.277553987715384,0.121176229891518,0.0488528950700276,0.0938356419702885,0.0952579502367679,0.0819632071837799,0.104911959166188,0.0972417149568089,0.117372456454285,0.0733354488114559,0.219845470201976,0.101621303721572,0.106557391969129,0.128414238876692,0.0874879838771247,0.0836597309829861,0.0724873271435757,0.0992905992472388,0.1783001584329,0.084118067064027,0.0272112056920836,0.364151221404198,0.283997224054701,0.346570229050748,0.340065555904952,0.401060114266231,0.410389762123897,0.376491862567812,0.303280291245757,0.255691956841886,0.284622768533014,0.280507289588945,0.294054718924001,0.321478705543342,0.569773198428169,0.344957240841882,0.2279841381155,0.58518302664063,0.261807941524759,0.602891193190313,0.384457736653291,0.206819505789823,0.476986900017998,0.189875829061418,0.158149931701649,0.554492342761178,0.162927477272075,0.567583849529633,0.552079173712113,0.54879152280666,0.565247680001346,0.511322274118216,0.218685326617166,0.160362740896957,0.06158308638371,0.0668984917442347,0.0466535814248244,0.722443275931022,0.571401695709188,0.374178563047152,0.381011914690935,0.109908567640265,0.0382416475914595
"10",2005,2005-01-01,0.335691775464733,0.334629163775711,0.315064192081245,0.356678563789821,0.362495342254269,0.34221771204863,0.289872074171475,0.581861698735953,0.306704617729108,0.40612381927848,0.419251898497512,0.317244482079553,0.30991015245495,0.293857070773009,0.351096096451014,0.529956865411716,0.306078425756158,0.197992684350132,0.149016511679301,0.160968397359397,0.135717257132979,0.147526256348933,0.13958511825947,0.163560734009359,0.11506543100316,0.339056463994525,0.146866317230091,0.172024698848372,0.187155617376612,0.13451531938041,0.138062615125245,0.125281371647144,0.162007175110835,0.28348100874433,0.129971669869287,0.0489131041403213,0.0977159961225694,0.0983083051605591,0.0849649130611557,0.11124461133919,0.103627447310298,0.123876362643093,0.0753872012056133,0.235081260617902,0.10229746840559,0.103673541712246,0.124036492236695,0.0927821997216661,0.0906488571906862,0.0763124890742271,0.104021279896989,0.187038128012856,0.0878265258343525,0.0281539276185442,0.379886369054552,0.29138513496074,0.367749163960046,0.353685701786979,0.413754478903907,0.4236002575664,0.387898230448655,0.311825298683144,0.269466385403007,0.282526191155794,0.280214127489433,0.287888963510186,0.33733777360571,0.579595487166394,0.366848943824244,0.236829245514548,0.584349070829081,0.263837685411062,0.62098666132728,0.398449996202246,0.221710424498657,0.490641989008978,0.193683594473795,0.161732330229522,0.564723790706017,0.16842400118468,0.57891149777627,0.562429884867357,0.557736992499551,0.573600822315954,0.520896451068432,0.222868104629221,0.171352167599606,0.0611211736117502,0.0669359550711684,0.045081762117131,0.715931855698191,0.581582554221817,0.391673199149819,0.399884757719744,0.112309450220359,0.0383521764056788
