date,name,matched_clips,total_clips,pct,query
2018-12-30,John Delaney,5,76029,0.006576437938155178,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-06,John Delaney,2,82964,0.002410684152162384,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-13,John Delaney,5,82521,0.006059063753468814,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-20,John Delaney,2,83649,0.002390943107508757,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-27,John Delaney,3,80994,0.00370397807244981,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-03,John Delaney,1,79183,0.001262897339075307,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-10,John Delaney,8,81893,0.009768844712002248,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-17,John Delaney,6,82454,0.007276784631430858,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-24,John Delaney,3,82804,0.0036230133809960867,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-03,John Delaney,19,81321,0.023364198669470367,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-10,John Delaney,27,85812,0.0314641308907845,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-17,John Delaney,26,95383,0.027258526152459037,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-24,John Delaney,14,96184,0.014555435415453713,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-31,John Delaney,19,93472,0.020326942827798702,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-07,John Delaney,7,94405,0.00741486150097982,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-14,John Delaney,9,95286,0.009445249039733015,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-21,John Delaney,12,94002,0.012765685836471564,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-28,John Delaney,16,95339,0.016782219238716582,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-05,John Delaney,4,94528,0.0042315504400812455,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-12,John Delaney,2,94318,0.0021204860153947284,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-19,John Delaney,13,94883,0.013701084493534141,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-26,John Delaney,13,95289,0.01364270797258865,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-06-02,John Delaney,45,95313,0.04721286708004155,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-06-09,John Delaney,30,95839,0.031302496895835724,"""John Delaney"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2018-12-30,Andrew Yang,0,76029,0.0,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-06,Andrew Yang,0,82964,0.0,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-13,Andrew Yang,0,82521,0.0,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-20,Andrew Yang,1,83649,0.0011954715537543785,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-27,Andrew Yang,3,80994,0.00370397807244981,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-03,Andrew Yang,0,79183,0.0,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-10,Andrew Yang,3,81893,0.0036633167670008415,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-17,Andrew Yang,6,82454,0.007276784631430858,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-24,Andrew Yang,3,82804,0.0036230133809960867,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-03,Andrew Yang,5,81321,0.006148473334071151,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-10,Andrew Yang,2,85812,0.0023306763622803336,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-17,Andrew Yang,13,95383,0.013629263076229515,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-24,Andrew Yang,4,96184,0.0041586958329867755,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-03-31,Andrew Yang,32,93472,0.034234851078397806,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-07,Andrew Yang,21,94405,0.022244584502939462,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-14,Andrew Yang,39,95286,0.04092941250550973,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-21,Andrew Yang,18,94002,0.019148528754707347,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-04-28,Andrew Yang,10,95339,0.01048888702419786,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-05,Andrew Yang,20,94528,0.02115775220040623,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-12,Andrew Yang,11,94318,0.011662673084671006,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-19,Andrew Yang,13,94883,0.013701084493534141,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-05-26,Andrew Yang,10,95289,0.010494390748145116,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-06-02,Andrew Yang,5,95313,0.005245874120004616,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-06-09,Andrew Yang,42,95839,0.04382349565417002,"""Andrew Yang"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2018-12-30,Beto O'Rourke,101,76029,0.1328440463507346,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-06,Beto O'Rourke,127,82964,0.15307844366231135,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-13,Beto O'Rourke,78,82521,0.0945213945541135,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-20,Beto O'Rourke,27,83649,0.03227773195136822,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-01-27,Beto O'Rourke,28,80994,0.034570462009531566,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-03,Beto O'Rourke,82,79183,0.10355758180417517,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-10,Beto O'Rourke,418,81893,0.5104221362021174,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-17,Beto O'Rourke,102,82454,0.1237053387343246,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
2019-02-24,Beto O'Rourke,78,82804,0.09419834790589826,"""Beto O'Rourke"" (station:MSNBC OR station:CNN OR station:FOXNEWS)"
