date,name,matched_stories,all_candidate_stories,pct_of_all_candidate_stories,query
2018-12-30,Amy Klobuchar,45.0,793,0.056746532156368226,"(""Amy Klobuchar"")"
2019-01-06,Amy Klobuchar,55.0,880,0.0625,"(""Amy Klobuchar"")"
2019-01-13,Amy Klobuchar,128.0,1030,0.12427184466019416,"(""Amy Klobuchar"")"
2019-01-20,Amy Klobuchar,54.0,1009,0.0535183349851338,"(""Amy Klobuchar"")"
2019-01-27,Amy Klobuchar,73.0,1579,0.04623179227359088,"(""Amy Klobuchar"")"
2019-02-03,Amy Klobuchar,143.0,1401,0.1020699500356888,"(""Amy Klobuchar"")"
2019-02-10,Amy Klobuchar,405.0,1553,0.2607855763039279,"(""Amy Klobuchar"")"
2019-02-17,Amy Klobuchar,253.0,1374,0.1841339155749636,"(""Amy Klobuchar"")"
2019-02-24,Amy Klobuchar,167.0,1246,0.13402889245585875,"(""Amy Klobuchar"")"
2019-03-03,Amy Klobuchar,236.0,1422,0.1659634317862166,"(""Amy Klobuchar"")"
2019-03-10,Amy Klobuchar,183.0,1717,0.1065812463599301,"(""Amy Klobuchar"")"
2019-03-17,Amy Klobuchar,219.0,1547,0.14156431803490627,"(""Amy Klobuchar"")"
2019-03-24,Amy Klobuchar,166.0,1137,0.14599824098504838,"(""Amy Klobuchar"")"
2019-03-31,Amy Klobuchar,147.0,1669,0.08807669263031756,"(""Amy Klobuchar"")"
2019-04-07,Amy Klobuchar,189.0,1570,0.12038216560509556,"(""Amy Klobuchar"")"
2019-04-14,Amy Klobuchar,183.0,1864,0.09817596566523604,"(""Amy Klobuchar"")"
2019-04-21,Amy Klobuchar,244.0,2271,0.10744165565830033,"(""Amy Klobuchar"")"
2019-04-28,Amy Klobuchar,189.0,1795,0.1052924791086351,"(""Amy Klobuchar"")"
2019-05-05,Amy Klobuchar,142.0,1526,0.09305373525557012,"(""Amy Klobuchar"")"
2019-05-12,Amy Klobuchar,159.0,1886,0.08430540827147402,"(""Amy Klobuchar"")"
2019-05-19,Amy Klobuchar,152.0,1538,0.0988296488946684,"(""Amy Klobuchar"")"
2019-05-26,Amy Klobuchar,126.0,1432,0.08798882681564246,"(""Amy Klobuchar"")"
2019-06-02,Amy Klobuchar,142.0,1609,0.08825357364822871,"(""Amy Klobuchar"")"
2019-06-09,Amy Klobuchar,226.0,1947,0.11607601438109913,"(""Amy Klobuchar"")"
2019-06-16,Amy Klobuchar,149.0,1816,0.08204845814977972,"(""Amy Klobuchar"")"
2019-06-23,Amy Klobuchar,529.0,3420,0.1546783625730994,"(""Amy Klobuchar"")"
2019-06-30,Amy Klobuchar,138.0,1542,0.08949416342412451,"(""Amy Klobuchar"")"
2019-07-07,Amy Klobuchar,124.0,1659,0.07474382157926461,"(""Amy Klobuchar"")"
2018-12-30,Andrew Yang,2.0,793,0.002522068095838588,"(""Andrew Yang"")"
2019-01-06,Andrew Yang,5.0,880,0.005681818181818182,"(""Andrew Yang"")"
2019-01-13,Andrew Yang,9.0,1030,0.008737864077669903,"(""Andrew Yang"")"
2019-01-20,Andrew Yang,6.0,1009,0.005946481665014865,"(""Andrew Yang"")"
2019-01-27,Andrew Yang,14.0,1579,0.008866371120962634,"(""Andrew Yang"")"
2019-02-03,Andrew Yang,11.0,1401,0.007851534618129907,"(""Andrew Yang"")"
2019-02-10,Andrew Yang,27.0,1553,0.017385705086928525,"(""Andrew Yang"")"
2019-02-17,Andrew Yang,13.0,1374,0.009461426491994178,"(""Andrew Yang"")"
2019-02-24,Andrew Yang,11.0,1246,0.00882825040128411,"(""Andrew Yang"")"
2019-03-03,Andrew Yang,27.0,1422,0.0189873417721519,"(""Andrew Yang"")"
2019-03-10,Andrew Yang,35.0,1717,0.0203843913803145,"(""Andrew Yang"")"
2019-03-17,Andrew Yang,65.0,1547,0.04201680672268908,"(""Andrew Yang"")"
2019-03-24,Andrew Yang,30.0,1137,0.02638522427440633,"(""Andrew Yang"")"
2019-03-31,Andrew Yang,55.0,1669,0.0329538645895746,"(""Andrew Yang"")"
2019-04-07,Andrew Yang,69.0,1570,0.043949044585987265,"(""Andrew Yang"")"
2019-04-14,Andrew Yang,81.0,1864,0.043454935622317586,"(""Andrew Yang"")"
2019-04-21,Andrew Yang,49.0,2271,0.021576398062527518,"(""Andrew Yang"")"
2019-04-28,Andrew Yang,45.0,1795,0.02506963788300836,"(""Andrew Yang"")"
2019-05-05,Andrew Yang,42.0,1526,0.027522935779816515,"(""Andrew Yang"")"
2019-05-12,Andrew Yang,56.0,1886,0.029692470837751856,"(""Andrew Yang"")"
2019-05-19,Andrew Yang,63.0,1538,0.04096228868660598,"(""Andrew Yang"")"
2019-05-26,Andrew Yang,42.0,1432,0.029329608938547486,"(""Andrew Yang"")"
2019-06-02,Andrew Yang,34.0,1609,0.02113113735239279,"(""Andrew Yang"")"
2019-06-09,Andrew Yang,136.0,1947,0.06985105290190036,"(""Andrew Yang"")"
