,Cable TV clips the week of …,Cable TV clips the week of …,Cable TV clips the week of …,Online stories the week of …,Online stories the week of …,Online stories the week of …
Candidate,2019-08-18,2019-08-25,diff,2019-08-18,2019-08-25,diff
Joe Biden,41.599770642201825,49.700409965310634,8.100639323108805,37.97276853252648,45.83333333333333,7.860564800806852
Bernie Sanders,16.9151376146789,18.4799747713655,1.5648371566865993,45.688350983358546,42.129629629629626,-3.558721353728922
Elizabeth Warren,22.018348623853207,24.282560706401764,2.2642120825485583,41.074130105900146,41.08796296296297,0.013832857062823223
Kamala Harris,8.285550458715596,5.014191106906338,-3.2713593518092576,20.121028744326775,23.49537037037037,3.374341626043595
Pete Buttigieg,3.297018348623853,2.5859350362661626,-0.7110833123576903,18.15431164901664,17.708333333333336,-0.4459783156833069
Cory Booker,2.895642201834862,1.9236833806370237,-0.9719588211978387,13.993948562783661,14.814814814814813,0.8208662520311522
Andrew Yang,1.3761467889908259,1.7975402081362346,0.4213934191454088,6.505295007564296,12.152777777777777,5.6474827702134816
Julian Castro,2.0068807339449544,1.324503311258278,-0.6823774226866762,9.001512859304086,10.87962962962963,1.8781167703255441
Kirsten Gillibrand,1.0894495412844036,3.721223588773258,2.6317740474888542,8.245083207261725,10.532407407407407,2.287324200145682
Amy Klobuchar,0.45871559633027537,1.7029328287606442,1.2442172324303689,8.925869894099847,8.449074074074074,-0.476795820025773
Tom Steyer,4.443807339449541,5.234941658782718,0.7911343193331776,4.689863842662632,7.986111111111111,3.2962472684484787
Beto O'Rourke,3.4977064220183482,2.743614001892148,-0.7540924201262005,4.8411497730711055,7.75462962962963,2.9134798565585243
Tulsi Gabbard,0.6880733944954129,2.2075055187637966,1.519432124268384,5.29500756429652,7.75462962962963,2.459622065333109
Bill de Blasio,2.408256880733945,2.239041311888994,-0.16921556884495098,7.715582450832073,7.291666666666667,-0.42391578416540593
Marianne Williamson,0.7740825688073395,0.7883948281299278,0.014312259322588235,5.143721633888049,5.787037037037038,0.643315403148989
Steve Bullock,1.0894495412844036,1.7975402081362346,0.708090666851831,3.6308623298033282,5.555555555555555,1.924693225752227
Michael Bennet,0.34403669724770647,0.5045726900031535,0.16053599275544714,3.9334341906202726,5.3240740740740735,1.390639883453801
Tim Ryan,0.3727064220183487,0.7883948281299278,0.4156884061115791,3.1013615733736764,4.166666666666666,1.0653050932929893
John Delaney,1.0894495412844036,0.6307158625039422,-0.4587336787804614,4.084720121028744,3.125,-0.959720121028744
Joe Sestak,0.0,0.0,0.0,0.9833585476550679,1.3888888888888888,0.4055303412338208
Eric Swalwell,,,,,,
Jay Inslee,4.271788990825688,,,12.329803328290467,,
John Hickenlooper,,,,,,
Mike Gravel,,,,,,
Seth Moulton,2.2075688073394493,,,6.127080181543118,,
