bbref_ID,yearID,gameNum,gameID,lgID,startingPos,OFF600,DEF600,PITCH200,asg_PA,asg_IP,OFFper9innASG,DEFper9innASG,PITper9innASG,TOTper9innASG
goldspa01,2015,0,NLS201507140,NL,3,36.75572404,-0.117213522,0,3,0,0.18377862,-0.000586068,0,0.183192553
mccutan01,2015,0,NLS201507140,NL,8,33.67616805,-0.168658418,0,3,0,0.16838084,-0.000843292,0,0.167537548
harpebr03,2015,0,NLS201507140,NL,9,30.92545388,1.382969372,0,3,0,0.154627269,0.006914847,0,0.161542116
greinza01,2015,0,NLS201507140,NL,1,0,0,15.64561093,0,2,0,0,0.156456109,0.156456109
poseybu01,2015,0,NLS201507140,NL,2,21.69296916,7.59554639,0,2,0,0.072309897,0.025318488,0,0.097628385
frazito01,2015,0,NLS201507140,NL,5,14.53426139,4.787243006,0,3,0,0.072671307,0.023936215,0,0.096607522
rizzoan01,2015,0,NLS201507140,NL,0,22.17114817,0.670664775,0,2,0,0.073903827,0.002235549,0,0.076139376
kershcl01,2015,0,NLS201507140,NL,NULL,0,0,14.69587484,0,1,0,0,0.073479374,0.073479374
peraljh01,2015,0,NLS201507140,NL,6,7.193125866,10.38504755,0,2,0,0.023977086,0.034616825,0,0.058593911
crawfbr01,2015,0,NLS201507140,NL,NULL,2.372143139,13.07962617,0,2,0,0.007907144,0.043598754,0,0.051505898
degroja01,2015,0,NLS201507140,NL,NULL,0,0,9.670052969,0,1,0,0,0.048350265,0.048350265
polloaj01,2015,0,NLS201507140,NL,NULL,13.55430376,14.7485428,0,1,0,0.022590506,0.024580905,0,0.047171411
tulowtr01,2015,0,NLS201507140,NL,NULL,19.62542057,8.049826759,0,1,0,0.032709034,0.013416378,0,0.046125412
arenano01,2015,0,NLS201507140,NL,NULL,4.151574702,22.3198544,0,1,0,0.006919291,0.037199757,0,0.044119049
melanma01,2015,0,NLS201507140,NL,NULL,0,0,8.36372438,0,1,0,0,0.041818622,0.041818622
chapmar01,2015,0,NLS201507140,NL,NULL,0,0,7.730133295,0,1,0,0,0.038650666,0.038650666
rodrifr03,2015,0,NLS201507140,NL,NULL,0,0,7.605978192,0,1,0,0,0.038029891,0.038029891
panikjo01,2015,0,NLS201507140,NL,NULL,8.338986979,1.793120467,0,2,0,0.027796623,0.005977068,0,0.033773691
bryankr01,2015,0,NLS201507140,NL,NULL,9.858185238,-0.789601834,0,2,0,0.032860617,-0.002632006,0,0.030228611
bumgama01,2015,0,NLS201507140,NL,NULL,0,0,4.773869255,0,1,0,0,0.023869346,0.023869346
molinya01,2015,0,NLS201507140,NL,NULL,-1.401576855,15.00442152,0,1,0,-0.002335961,0.025007369,0,0.022671408
colege01,2015,0,NLS201507140,NL,NULL,0,0,4.063585062,0,1,0,0,0.020317925,0.020317925
uptonju01,2015,0,NLS201507140,NL,NULL,15.79394445,-3.648725811,0,1,0,0.026323241,-0.00608121,0,0.020242031
gonzaad01,2015,0,NLS201507140,NL,NULL,10.73627332,1.379488667,0,1,0,0.017893789,0.002299148,0,0.020192937
pederjo01,2015,0,NLS201507140,NL,7,3.696578417,1.397402342,0,2,0,0.012321928,0.004658008,0,0.016979936
grandya01,2015,0,NLS201507140,NL,NULL,10.50556912,-2.937029926,0,1,0,0.017509282,-0.00489505,0,0.012614232
lemahdj01,2015,0,NLS201507140,NL,4,-12.17119639,14.98804875,0,2,0,-0.040570655,0.049960162,0,0.009389508
braunry02,2015,0,NLS201507140,NL,NULL,11.95682091,-7.153399742,0,1,0,0.019928035,-0.011922333,0,0.008005702
troutmi01,2015,0,NLS201507140,AL,8,50.64962847,-1.205686239,0,4,0,0.31989239,-0.00761486,0,0.31227753
cainlo01,2015,0,NLS201507140,AL,9,5.858901822,19.86794018,0,3,0,0.027752693,0.094111296,0,0.121863988
keuchda01,2015,0,NLS201507140,AL,1,0,0,10.85397806,0,2,0,0,0.108539781,0.108539781
donaljo02,2015,0,NLS201507140,AL,5,19.12438229,12.85819769,0,2,0,0.060392786,0.040604835,0,0.100997621
machama01,2015,0,NLS201507140,AL,NULL,11.89500486,18.31611284,0,2,0,0.037563173,0.057840356,0,0.09540353
hernafe02,2015,0,NLS201507140,AL,NULL,0,0,13.68661117,0,1,0,0,0.068433056,0.068433056
betande01,2015,0,NLS201507140,AL,NULL,0,0,10.51321504,0,1,0,0,0.052566075,0.052566075
gardnbr01,2015,0,NLS201507140,AL,NULL,12.80781841,1.336028519,0,2,0,0.040445742,0.004219037,0,0.04466478
jonesad01,2015,0,NLS201507140,AL,7,10.53875953,2.682464564,0,2,0,0.033280293,0.008470941,0,0.041751234
perezsa02,2015,0,NLS201507140,AL,2,-2.533871697,15.63544474,0,2,0,-0.0080017,0.049375089,0,0.041373389
priceda01,2015,0,NLS201507140,AL,NULL,0,0,7.869745063,0,1,0,0,0.039348725,0.039348725
perkigl01,2015,0,NLS201507140,AL,NULL,0,0,7.684233817,0,1,0,0,0.038421169,0.038421169
daviswa01,2015,0,NLS201507140,AL,NULL,0,0,7.568068634,0,1,0,0,0.037840343,0.037840343
archech01,2015,0,NLS201507140,AL,NULL,0,0,5.405436997,0,1.333,0,0,0.036027238,0.036027238
martiru01,2015,0,NLS201507140,AL,NULL,8.472729454,12.95907107,0,1,0,0.013377994,0.020461691,0,0.033839685
altuvjo01,2015,0,NLS201507140,AL,4,8.917639485,1.388814923,0,2,0,0.028160967,0.004385731,0,0.032546698
cruzne02,2015,0,NLS201507140,AL,0,17.87237529,-9.002923165,0,2,0,0.05643908,-0.028430284,0,0.028008796
