yearID,gameNum,gameID,lgID,tm_OFF_talent,tm_DEF_talent,tm_PIT_talent,MLB_avg_RPG,talent_RSPG,talent_RAPG,unadj_PYTH,timeline_adj,SOS,adj_PYTH,no_1_player,no_2_player
1966,0,NLS196607120,NL,1.332265137,0.130991058,0.720508159,3.99,5.322265137,3.138500783,0.724425593,0.860663507,0.430331754,0.665081785,mayswi01,santoro01
1986,0,NLS198607150,AL,1.049056142,0.356240193,0.677431158,4.41,5.459056142,3.376328649,0.706675316,0.917535545,0.458767773,0.671281516,higuete01,clemero02
1934,0,NLS193407100,AL,1.778661323,0.116653703,0.627668598,4.91,6.688661323,4.165677699,0.704031203,0.769668246,0.384834123,0.598084237,hardeme01,foxxji01
1941,0,ALS194107080,AL,1.472107317,0.090802631,0.616915118,4.49,5.962107317,3.782282251,0.696952227,0.78957346,0.39478673,0.60003026,dimagjo01,willite01
1940,0,NLS194007090,AL,1.35655725,0.138973429,0.673328352,4.68,6.03655725,3.867698219,0.693103541,0.786729858,0.393364929,0.594229847,dimagjo01,newsobo01
1964,0,NLS196407070,AL,1.178168906,0.132761517,0.550086725,4.04,5.218168906,3.357151758,0.691497193,0.854976303,0.427488152,0.625982842,fregoji01,radatdi01
1946,0,ALS194607090,AL,0.962761269,0.183703731,0.583348315,4.01,4.972761269,3.242947954,0.686178031,0.803791469,0.401895735,0.595015547,willite01,newhoha01
1972,0,NLS197207250,AL,1.003091574,0.126050294,0.497564609,3.69,4.693091574,3.066385098,0.685428691,0.877725118,0.438862559,0.63019515,woodwi01,grichbo01
1997,0,ALS199707080,AL,1.25400407,0.109233511,0.716845154,4.77,6.02400407,3.943921335,0.684632876,0.948815166,0.474407583,0.662104362,griffke02,rodrial01
1997,0,ALS199707080,NL,1.407035117,0.050811734,0.668059504,4.77,6.177035117,4.051128763,0.683947413,0.948815166,0.474407583,0.661394151,bondsba01,maddugr01
1965,0,ALS196507130,NL,1.195850758,0.003355371,0.580036695,3.99,5.185850758,3.406607934,0.68330385,0.857819905,0.428909953,0.618384515,mayswi01,maricju01
1942,0,NLS194207060,AL,1.120247091,0.230409374,0.417413877,4.08,5.200247091,3.43217675,0.681437527,0.792417062,0.396208531,0.583971339,willite01,bentoal01
