"","FirstName","SMITH","JOHNSON","WILLIAMS","BROWN","JONES","GARCIA","RODRIGUEZ","MILLER","MARTINEZ","DAVIS","HERNANDEZ","LOPEZ","GONZALEZ","WILSON","ANDERSON","THOMAS","TAYLOR","LEE","MOORE","JACKSON"
"70","Michael",30915.3639758192,22110.6778477485,17925.9337513276,18014.1628889499,16704.0250659371,6737.02542789882,5142.43440518657,16126.4304410701,6123.39068830423,13689.9119923918,NA,NA,NA,9955.27353903254,9571.22569542216,9268.46993725383,8996.89951980019,8006.16407485502,10012.4406069517,7105.16680690511
"39","James",31289.7355674834,22465.8557872627,20778.8185093931,19133.358414323,16449.2650725092,2047.58475251771,1553.95626301222,14497.7725299916,1908.09637654612,15653.8861130525,NA,NA,NA,12066.0225851187,10229.0803449309,9920.97968207131,10844.9842637353,8789.3773351676,10921.6922635898,9029.3206088283
"44","John",18715.2588143273,12576.6238204357,14458.1874809372,9491.51836762503,10511.9336476099,4175.73777549329,3561.59668036704,12369.1993434729,4084.62759372798,10736.8236342261,NA,NA,NA,8311.00720172512,8349.66905631504,7910.78066433961,7503.30428117198,6801.60239746484,7491.87125931207,5159.56639804023
"83","Robert",26093.6696272491,20167.693770498,15786.2362503737,16188.5384092428,15801.7386835285,5194.8708291319,4468.69504894458,14510.7052720511,4943.88815746683,11739.9634768221,NA,NA,NA,9706.45928290549,9733.44302878135,7740.14547270793,10207.7328241518,8158.65804364172,8316.28521120682,6876.34423040669
"24","David",25056.0603177346,18568.1244433312,13967.1754802908,14729.3797304364,13881.077985652,7983.94191750583,7372.32080934897,13490.2958542648,7416.44445241449,5705.11629768361,NA,NA,NA,8439.30741462823,9248.67056146581,7020.15040389554,6804.46053660144,7548.62493387168,7272.74012027606,5580.63854904201
"99","William",22067.113773237,15659.7907633039,5157.34425436552,13668.1382042484,12767.7291797417,1701.68742228137,2330.65068014757,10813.3678403267,1718.81389152811,10628.4854350207,NA,NA,NA,7621.11741555248,6465.28860673598,6975.67160241897,7469.5414411967,5083.79709263975,7378.83718126914,6050.59444162959
"67","Mary",19835.2132804905,15324.3228373496,13031.4244819925,11549.7340055241,11342.9804422785,5060.05781412621,3797.01038289754,9800.03527587973,4656.1636818867,9056.94415461672,NA,NA,NA,6814.76214636444,6526.01530810198,6326.12161229861,6127.95954667401,4383.15912039854,6277.22898955198,5483.31893317764
"21","Christopher",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Joseph",9905.39108334182,7174.45941342625,6709.13769253622,6148.28000993819,4878.92076819194,3766.96761103243,3082.37558260986,5813.38843132476,3746.48564529878,4575.12938539398,NA,NA,NA,3350.98813564738,2847.98574632943,3893.65097177473,3180.54951615275,3052.94076492498,3219.15788011466,2953.28450449945
"82","Richard",14356.8524451693,10510.3083782287,7475.9888063436,8294.42316454356,7539.52463257213,3900.70039783559,3374.79117910323,7825.00107576039,3534.48592724392,6488.08909520013,NA,NA,NA,4556.70658126487,5304.49150105711,4063.60521458112,4336.19159109949,3828.15134506757,4287.76120270099,3091.65688155537
"23","Daniel",12316.7780944874,8472.57184174991,6172.11684967119,6483.08042701655,5688.9414881452,8916.68998709151,7689.90476128376,7265.84061864957,7937.97424597201,4611.42045608288,NA,NA,NA,3707.55260827581,3355.78753231111,2986.01239806311,4814.30969620907,3887.88522152229,3514.03450777333,2565.77136880745
"96","Thomas",12122.6742791561,8392.91970123823,7339.02860002431,7482.09431260294,7021.46382136281,1403.62790193766,938.657301545009,6554.07377609739,1392.98354704502,5343.12639739124,NA,NA,NA,4525.23875763118,4092.92568352602,723.741554324375,3965.59384318073,3437.67930190306,4863.70340078104,3231.24577334247
"68","Matthew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Jennifer",12786.8094162309,9587.85619148557,6760.17833327087,6890.91455180973,7942.80482425029,3734.85198512614,3493.64115496868,6383.10044846552,3407.51448804857,5433.59450854971,NA,NA,NA,4168.96851485375,4103.42502933492,3317.17710838062,3845.88070289281,4069.44260540816,3611.28988724838,2994.82488550718
