,Miller,Anderson,Martin,Smith,Thompson,Wilson,Moore,White,Taylor,Davis,Johnson,Brown,Jones,Thomas,Williams,Jackson,Lee,Garcia,Martinez,Rodriguez
John,8.4,6.9,13.4,-23.5,3.6,2.5,3.6,1.7,0.4,-3.8,-35.2,-34.3,-26.5,5.1,-11.3,-27.7,-8.3,-66.4,-63.6,-69.5
Michael,18.1,2.4,13,5.6,6.7,2.6,15.7,-1.7,0.6,2.5,-4.8,4.2,-2.4,2.9,-8.1,-16.8,-9.8,-54.7,-54.4,-63.2
James,20.3,24,35.9,21.1,33.6,40.9,43,41,37.4,32.8,9.6,25.4,8.9,24.8,20.7,19.8,12.2,-84.4,-83.9,-87.4
Robert,29.6,27,16.8,8.7,18,22,17.2,18.1,39.2,7.2,5.9,14.2,12.6,4.8,-1.3,-1.8,12.1,-57.4,-55.1,-61
David,27.9,28.1,15.8,10.8,11,12.6,8.8,16.2,-1.5,-44.7,3.5,10.3,5,0.9,-7.3,-15.4,10.1,-30.5,-28.5,-31.7
Mary,21.5,18.2,26.2,14.7,18.5,18.9,22.8,22.5,16,14.8,11.7,13.1,12.2,18.9,13.1,8.7,-16.4,-42.4,-41.3,-54
William,22.5,7,33.3,16.6,29.3,21.5,31.9,38.2,29.2,23.1,4.3,22.3,15.4,19.8,-59.1,9.6,-11.4,-82.3,-80.2,-74.2
Richard,24.1,22.9,12.6,6.2,8.4,1.7,7.3,12.2,5,5.2,-2,3.9,-4.6,-2.3,-17,-21.6,-6.6,-43.2,-43,-47.7
Thomas,12.9,3,22.1,-2.6,-3.5,9.7,32.2,13.2,4.3,-5.9,-15,1.8,-3.5,-81.1,-11.5,-11,-8.9,-77.8,-75.6,-84.2
Jennifer,24.9,17.3,22.5,16.7,15.2,14.8,11.5,14.8,14.9,8.7,10.3,6.5,24,-1.6,-7.4,-6.3,22.5,-32.9,-32.2,-33.2
Patricia,20.9,10.7,25.3,17.1,16.7,6.7,19,17.2,19.4,11.8,7.1,15.2,11.2,15.9,10.6,8.8,-22.9,-16,-16.9,-23.3
Joseph,-8.9,-34.8,0.1,-27.6,-24.8,-26.1,-20.4,-10.6,-23.9,-26.7,-33.9,-23.9,-39,-7.5,-26.4,-26,-26.4,-45.8,-40.3,-52.8
Linda,34,25.8,29.6,27.5,24.8,24.4,29.3,26.1,28.6,24.4,22.9,19.3,21.1,17.4,15.3,16.1,6.5,-49.2,-50,-56.5
Maria,-77.6,-77.3,-52.1,-78.8,-76.4,-77.4,-79.3,-77.7,-80.3,-79.7,-78.3,-78.5,-79.4,-75.6,-79.4,-80.9,-77.5,663.9,614.1,639.8
Charles,36.3,25.7,29.3,38.4,38.1,45.7,49,43.4,41.2,43.6,24.8,39.9,30.5,37,33.3,29,4.6,-83.7,-84.5,-88.5
Barbara,35.5,25.3,25.1,24,20.6,25.8,24.6,25.2,24.7,24.2,20.3,26.7,16.2,16.6,14.8,18.5,-18.7,-66.9,-67.5,-67.9
Mark,42.1,45.9,-38.5,4.1,32.4,22,-23.1,-16.8,11,7.3,14.7,-14,-16.7,2.5,-7.3,-23.4,-33.6,-67,-63,-71.3
Daniel,19.9,-19.1,10.3,-5.2,-6.4,-13.9,-8.5,-5,21.3,-22.2,-17.8,-15.5,-25.1,-25.3,-28.7,-32.3,-1.3,35.1,33.2,24
Susan,32.1,28.4,15.8,3.9,5.4,3.5,3.5,-0.9,3,-5.8,-6.5,-4.6,-17.1,-1.5,-24.2,-31.9,3.7,-68.2,-68,-71.7
Elizabeth,13.3,7.4,13.5,1.7,9.1,7.9,8.4,4,1.7,-2.4,-3.7,-3.4,-5.5,-3.3,-13.9,-18.2,-20.2,16.3,23.4,22.5
