state,totalPop,hispPop
Alabama,"4,779,736","185,602"
Alaska,"710,231","39,249"
Arizona,"6,392,017","1,895,149"
Arkansas,"2,915,918","186,050"
California,"37,253,956","14,013,719"
Colorado,"5,029,196","1,038,687"
Connecticut,"3,574,097","479,087"
Delaware,"897,934","73,221"
District of Columbia,"601,723","54,749"
Florida,"18,801,310","4,223,806"
Georgia,"9,687,653","853,689"
Hawaii,"1,360,301","120,842"
Idaho,"1,567,582","175,901"
Illinois,"12,830,632","2,027,578"
Indiana,"6,483,802","389,707"
Iowa,"3,046,355","151,544"
Kansas,"2,853,118","300,042"
Kentucky,"4,339,367","132,836"
Louisiana,"4,533,372","192,560"
Maine,"1,328,361","16,935"
Maryland,"5,773,552","470,632"
Massachusetts,"6,547,629","627,654"
Michigan,"9,883,640","436,358"
Minnesota,"5,303,925","250,258"
Mississippi,"2,967,297","81,481"
Missouri,"5,988,927","212,470"
Montana,"989,415","28,565"
Nebraska,"1,826,341","167,405"
Nevada,"2,700,551","716,501"
New Hampshire,"1,316,470","36,704"
New Jersey,"8,791,894","1,555,144"
New Mexico,"2,059,179","953,403"
New York,"19,378,102","3,416,922"
North Carolina,"9,535,483","800,120"
North Dakota,"672,591","13,467"
Ohio,"11,536,504","354,674"
Oklahoma,"3,751,351","332,007"
Oregon,"3,831,074","450,062"
Pennsylvania,"12,702,379","719,660"
Rhode Island,"1,052,567","130,655"
South Carolina,"4,625,364","235,682"
South Dakota,"814,180","22,119"
Tennessee,"6,346,105","290,059"
Texas,"25,145,561","9,460,921"
Utah,"2,763,885","358,340"
Vermont,"625,741","9,208"
Virginia,"8,001,024","631,825"
Washington,"6,724,540","755,790"
West Virginia,"1,852,994","22,268"
Wisconsin,"5,686,986","336,056"
Wyoming,"563,626","50,231"
