Start,End,Pollster,Sample Size,Population,Text,Approve,Disapprove,Unsure,Approve (Republican),Approve (Democrat),Url
7/15/18,7/17/17,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,37,30,33,17,62,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/7hxorevceh/econTabReport.pdf
7/20/17,7/24/17,Morning Consult,3981,rv,"As you may know, the U.S. Department of Justice appointed Robert Mueller as the special counsel to investigate any alleged coordination between the Russian government and Donald Trump’s 2016 presidential campaign. Based on what you know, do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?",40,27,33,31,53,https://morningconsult.com/wp-content/uploads/2017/07/170708_crosstabs_Politico_v1_TB.pdf
10/30/17,10/31/17,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,39,26,34,25,60,http://big.assets.huffingtonpost.com/tabsHPRussiaIndictments20171030.pdf
10/29/17,11/1/17,Washington Post/ABC News,1005,a,"A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trump's campaign and the Russian government. Do you approve or disapprove of the way Mueller is handling this investigation?",58,28,14,38,78,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2017/11/16/3d2002d2-bff7-11e7-9294-705f80164f6e_page.html
12/1/17,12/2/17,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,36,28,35,17,58,http://big.assets.huffingtonpost.com/tabsHPMichaelFlynn20171201.pdf
12/3/17,12/5/17,YouGov/Economist,1500,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel?,36,25,38,22,61,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/jhdmzhxe6k/econTabReport.pdf
12/14/17,12/17/17,CNN/SSRS,1001,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,47,34,19,31,63,http://cdn.cnn.com/cnn/2017/images/12/21/rel12c.-.russia.pdf
1/14/18,1/18/18,CNN/SSRS,1005,a,Do you approve or disapprove of the way Robert Mueller is handling the investigation into Russian interference in the 2016 election?,47,33,20,26,68,http://cdn.cnn.com/cnn/2018/images/01/23/rel1f.-.russia.pdf
1/15/18,1/18/18,Washington Post/ABC News,1005,a,"A special counsel at the U.S. Justice Department, Robert Mueller, has been investigating possible ties between Trump's presidential campaign and the Russian govt. Do you approve or disapprove of the way he is handling investigation?",50,31,19,28,71,https://www.washingtonpost.com/politics/polling/department-justice-mueller-russian/2018/01/29/27f3887a-fe68-11e7-9b5d-bbf0da31214d_page.html
1/23/18,1/24/18,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,37,25,38,25,59,http://big.assets.huffingtonpost.com/tabsHPRussiainvestigation20180123.pdf
1/26/18,1/27/18,YouGov/HuffPost,1000,a,Do you approve or disapprove of the way Robert Mueller is handling his job as special counsel on the Russia probe?,34,26,39,18,58,http://big.assets.huffingtonpost.com/tabsHPMuellerinvestigation20180126.pdf
