player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Alex Abrines,abrinal01,2017,2387,1135,0.74550503,-0.372937821,0.372567208,-0.418552811,-3.85701115,-4.275563961,0.543421233,-1.14483179,-0.601410556,1.249007678,1.447708122,-0.198700444,0.07710201,-1.038677268,-0.961575257,0.326412665
Alex Abrines,abrinal01,2018,2546,1244,0.317549034,-1.725325253,-1.407776219,-1.291727136,-0.049693633,-1.341420769,-0.020825876,-1.50264169,-1.523467566,0.77730446,0.465912151,0.311392309,-0.174621166,-1.112625391,-1.287246558,-0.456141151
Alex Abrines,abrinal01,2019,1279,588,-3.215683211,1.07839855,-2.137284661,-6.158856474,4.901168272,-1.257688202,-4.040156587,1.885618356,-2.154538232,0.17816732,0.17816732,0,-4.577677599,1.543281733,-3.034395865,-0.268013102
Quincy Acy,acyqu01,2014,1716,847,-1.716079145,0.13311503,-1.582964115,-0.324810758,-1.661495233,-1.986305991,-1.565257149,-0.216476793,-1.781733942,0.415918084,0.415918084,0,-1.46441703,-0.223754299,-1.688171329,-0.554897683
Quincy Acy,acyqu01,2015,2517,1287,-2.014956419,-1.268439856,-3.283396275,-3.855207449,2.803841564,-1.051365885,-2.456064586,-0.420948055,-2.877012641,-0.083312615,-0.083312615,0,-2.797224029,-1.648024182,-4.44524821,-0.100453505
Quincy Acy,acyqu01,2016,1852,876,-0.008327617,0.340783371,0.332455754,-2.798489653,0.130300896,-2.668188757,-0.58754047,0.353933379,-0.233607091,1.123479142,1.123479142,0,-1.406107738,0.021970053,-1.384137685,-0.102988345
Quincy Acy,acyqu01,2017,1169,558,-0.129001837,0.444338671,0.315336834,-1.345267311,0.806700884,-0.538566428,-0.343630331,0.576149899,0.232519568,0.835632018,0.835632018,0,-0.922087481,-0.059176987,-0.981264468,0.125008446
Quincy Acy,acyqu01,2018,2856,1359,-2.620031644,-0.806269104,-3.426300749,0.055169946,-0.01919541,0.035974536,-2.208182427,-0.658814194,-2.866996621,-0.08123232,-0.08123232,0,-1.826813152,-0.890246236,-2.717059388,0.136139262
Quincy Acy,acyqu01,2019,278,123,-5.74131663,3.253365283,-2.487951347,-3.308026956,10.09873237,6.790705413,-5.581744442,4.969011211,-0.612733231,0.135231411,0.135231411,0,-5.877810864,2.495748342,-3.382062522,0.841980786
Jaylen Adams,adamsja01,2019,952,428,-2.679919718,-4.592001676,-7.271921394,-0.535826888,0.617508338,0.08168145,-2.377643964,-3.734729095,-6.112373059,-0.733513242,-0.733513242,0,-2.023145309,-4.304853077,-6.327998386,-0.099018214
Jaylen Adams,adamsja01,2020,43,21,2.02314032790151,4.19800473061089,6.22114505851239,21.0935910811266,19.3538834367269,40.4474745178534,6.20769033735508,7.65629799085895,13.863988328214,0.18028881579138,0,0.18028881579138,3.98969773386504,3.51192303694671,7.50162077081175,-1.78496719774151
Jordan Adams,adamsjo01,2015,518,258,2.311410333,-0.266177815,2.045232519,0.583714711,3.816983209,4.40069792,2.095889849,0.518037995,2.613927843,0.715004586,0.591480559,0.123524027,0.717085441,1.240286579,1.95737202,0.689145957
Jordan Adams,adamsjo01,2016,34,15,-8.211586061,0.497957857,-7.713628204,-4.240012778,4.118457854,-0.121554925,-7.734475447,1.417734677,-6.31674077,-0.028101725,-0.028101725,0,-6.124879997,4.675153284,-1.449726713,2.883209016
Steven Adams,adamsst01,2014,3078,1528,-1.270249669,0.056605319,-1.21364435,-1.606126099,-1.383815937,-2.989942035,-1.477307512,-0.300116319,-1.777423832,0.741983669,1.087876915,-0.345893247,-1.739690093,1.022961561,-0.716728532,-0.076885499
Steven Adams,adamsst01,2015,3537,1771,-1.655476528,2.431648472,0.776171945,-1.978635702,-0.444894746,-2.423530448,-1.859905727,1.972597164,0.112691438,2.569431836,2.569431836,0,-2.254183977,1.950513493,-0.303670484,-0.637424446
