player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Alex Abrines,abrinal01,2017,PO,OKC,172,80,0.42082811,-2.862453906,-2.441625796,-6.183824372,-19.47468558,-25.65850995,-0.892616979,-6.561258279,-7.453875258,-0.198700444,0,-0.198700444,-3.298178326,-6.535113438,-9.833291765,0.334678203
Alex Abrines,abrinal01,2017,RS,OKC,2215,1055,0.770716962,-0.179620997,0.591095965,0.02913419,-2.644261713,-2.615127523,0.654933004,-0.724233435,-0.06930043,1.447708122,1.447708122,0,0.339200528,-0.611865971,-0.272665443,0.325770826
Alex Abrines,abrinal01,2018,PO,OKC,233,110,1.123761004,-1.807485675,-0.683724671,4.965906984,10.91652057,15.88242756,1.875157326,0.740292337,2.615449663,0.311392309,0,0.311392309,2.877519372,-0.520953564,2.356565808,0.260479313
Alex Abrines,abrinal01,2018,RS,OKC,2313,1134,0.23633529,-1.717048824,-1.480713534,-1.92208976,-1.154374961,-3.076464721,-0.211817699,-1.728583596,-1.940401295,0.465912151,0.465912151,0,-0.482078471,-1.172227439,-1.65430591,-0.528329896
Alex Abrines,abrinal01,2019,RS,OKC,1279,588,-3.215683211,1.07839855,-2.137284661,-6.158856474,4.901168272,-1.257688202,-4.040156587,1.885618356,-2.154538232,0.17816732,0.17816732,0,-4.577677599,1.543281733,-3.034395865,-0.268013102
Quincy Acy,acyqu01,2014,RS,TOR,125,61,-0.792994671,1.26382715,0.470832479,0.538999428,-8.704698728,-8.1656993,-0.603423273,-0.775762304,-1.379185576,0.042632549,0.042632549,0,1.116411833,0.367253358,1.483665192,-0.067921363
Quincy Acy,acyqu01,2014,RS,SAC,1591,786,-1.788603066,0.04427844,-1.744324626,-0.39267768,-1.108132294,-1.500809974,-1.640825493,-0.172535442,-1.813360935,0.373285534,0.373285534,0,-1.667184854,-0.270187962,-1.937372815,-0.593157921
Quincy Acy,acyqu01,2015,RS,NYK,2517,1287,-2.014956419,-1.268439856,-3.283396275,-3.855207449,2.803841564,-1.051365885,-2.456064586,-0.420948055,-2.877012641,-0.083312615,-0.083312615,0,-2.797224029,-1.648024182,-4.44524821,-0.100453505
Quincy Acy,acyqu01,2016,RS,SAC,1852,876,-0.008327617,0.340783371,0.332455754,-2.798489653,0.130300896,-2.668188757,-0.58754047,0.353933379,-0.233607091,1.123479142,1.123479142,0,-1.406107738,0.021970053,-1.384137685,-0.102988345
Quincy Acy,acyqu01,2017,RS,DAL,94,48,-5.400896086,-1.034986161,-6.435882247,-8.164427105,-3.589647433,-11.75407454,-6.22858437,-1.613158121,-7.841742491,-0.125155532,-0.125155532,0,-4.29737044,-1.84730437,-6.14467481,0.362482945
Quincy Acy,acyqu01,2017,RS,BRK,1075,510,0.331982404,0.573693586,0.905675991,-0.748987292,1.19112576,0.442138468,0.170960999,0.767587065,0.938548064,0.96078755,0.96078755,0,-0.62694646,0.097180198,-0.529766262,0.104243234
Quincy Acy,acyqu01,2018,RS,BRK,2856,1359,-2.620031644,-0.806269104,-3.426300749,0.055169946,-0.01919541,0.035974536,-2.208182427,-0.658814194,-2.866996621,-0.08123232,-0.08123232,0,-1.826813152,-0.890246236,-2.717059388,0.136139262
Quincy Acy,acyqu01,2019,RS,PHO,278,123,-5.74131663,3.253365283,-2.487951347,-3.308026956,10.09873237,6.790705413,-5.581744442,4.969011211,-0.612733231,0.135231411,0.135231411,0,-5.877810864,2.495748342,-3.382062522,0.841980786
Jaylen Adams,adamsja01,2019,RS,ATL,952,428,-2.679919718,-4.592001676,-7.271921394,-0.535826888,0.617508338,0.08168145,-2.377643964,-3.734729095,-6.112373059,-0.733513242,-0.733513242,0,-2.023145309,-4.304853077,-6.327998386,-0.099018214
Jordan Adams,adamsjo01,2015,PO,MEM,20,10,10.977629,7.340390121,18.31801913,1.286478571,22.93134372,24.21782229,9.630052671,10.98996621,20.62001889,0.123524027,0,0.123524027,6.751039966,8.824821628,15.57586159,0.432343
Jordan Adams,adamsjo01,2015,RS,MEM,498,248,1.963369423,-0.571662471,1.391706952,0.555491263,3.049338209,3.604829472,1.793313028,0.097478629,1.890791657,0.591480559,0.591480559,0,0.474757951,0.935686778,1.410444728,0.699459328
Jordan Adams,adamsjo01,2016,RS,MEM,34,15,-8.211586061,0.497957857,-7.713628204,-4.240012778,4.118457854,-0.121554925,-7.734475447,1.417734677,-6.31674077,-0.028101725,-0.028101725,0,-6.124879997,4.675153284,-1.449726713,2.883209016
Steven Adams,adamsst01,2014,PO,OKC,658,331,-1.824041015,-2.549321762,-4.373362777,-7.125826953,2.499189728,-4.626637225,-3.068970945,-1.679107897,-4.748078842,-0.345893247,0,-0.345893247,-2.689206709,-0.695244677,-3.384451386,-0.564429685
Steven Adams,adamsst01,2014,RS,OKC,2420,1197,-1.119673344,0.765159046,-0.354514299,-0.105314875,-2.439608386,-2.544923261,-1.04453291,0.074832631,-0.969700279,1.087876915,1.087876915,0,-1.48151574,1.490143257,0.008627517,0.055678168
Steven Adams,adamsst01,2015,RS,OKC,3537,1771,-1.655476528,2.431648472,0.776171945,-1.978635702,-0.444894746,-2.423530448,-1.859905727,1.972597164,0.112691438,2.569431836,2.569431836,0,-2.254183977,1.950513493,-0.303670484,-0.637424446
Steven Adams,adamsst01,2016,PO,OKC,1093,553,4.029391203,1.185846128,5.215237331,2.149873317,-5.296732416,-3.146859099,3.712568575,-0.113109659,3.599458916,1.812062468,0,1.812062468,5.361143389,1.372183839,6.733327228,-1.830245596
Steven Adams,adamsst01,2016,RS,OKC,4110,2014,0.799711254,4.957599262,5.757310516,0.153252755,5.29340944,5.446662195,0.664776604,5.293729711,5.958506315,8.899270344,8.899270344,0,0.986342061,4.333901679,5.32024374,-0.53605482
Steven Adams,adamsst01,2017,PO,OKC,329,157,-0.342046762,2.86072735,2.518680588,1.687239624,11.40887618,13.09611581,0.096087917,4.821678975,4.917766891,0.632146706,0,0.632146706,-1.945406028,4.898864354,2.953458326,-0.20029471
Steven Adams,adamsst01,2017,RS,OKC,4950,2389,-2.241896947,1.673721049,-0.568175898,0.848559448,0.817121113,1.665680561,-1.74048414,1.569530167,-0.170953972,3.143711406,3.143711406,0,-1.610870497,2.239876453,0.629005957,0.006092547
Steven Adams,adamsst01,2018,PO,OKC,409,200,1.820088583,0.251607319,2.071695902,9.663322054,-5.041397753,4.621924301,3.487565946,-0.850133886,2.637432061,0.562150765,0,0.562150765,5.163673099,-2.610053447,2.553619651,-0.829662096
Steven Adams,adamsst01,2018,RS,OKC,5121,2487,0.508896735,1.341852218,1.850748952,4.279435176,0.818985907,5.098421082,1.306273862,1.299163842,2.605437704,6.779274475,6.779274475,0,1.20318673,1.91320712,3.116393851,-0.234524488
Steven Adams,adamsst01,2019,PO,OKC,334,159,-1.260986814,2.230359714,0.9693729,-3.04260361,-4.410719015,-7.453322625,-1.635901822,0.96182986,-0.674071962,0.172567584,0,0.172567584,-5.28013449,0.1557537,-5.12438079,-0.6391423
Steven Adams,adamsst01,2019,RS,OKC,5830,2669,-0.980854316,2.017711836,1.03685752,4.096159385,1.249909739,5.346069124,0.017859854,1.927334007,1.945193861,6.428883158,6.428883158,0,-0.170328941,3.133771762,2.963442822,0.5630963
Bam Adebayo,adebaba01,2018,PO,MIA,177,77,-4.505143637,-2.28009154,-6.785235176,-2.135675559,-4.179372377,-6.315047936,-4.305419612,-2.773125082,-7.078544694,-0.17674583,0,-0.17674583,-3.205845197,-3.735414874,-6.941260072,0.758855768
Bam Adebayo,adebaba01,2018,RS,MIA,2744,1368,-1.9416551,1.092862376,-0.848792724,-2.181759388,1.801905257,-0.379854131,-2.084814247,1.28538633,-0.799427917,1.348868962,1.348868962,0,-2.688478599,0.732638396,-1.955840204,-0.913691512
Bam Adebayo,adebaba01,2019,RS,MIA,3965,1913,-1.952989038,2.562255537,0.609266499,-1.14732979,2.516800184,1.369470394,-1.875309771,2.676011508,0.800701737,3.451223821,3.451223821,0,-2.152282678,2.278351869,0.126069191,-0.420701969
Deng Adel,adelde01,2019,RS,CLE,391,194,-6.123817445,0.106191641,-6.017625804,-5.416229333,1.79434667,-3.621882664,-6.33371243,0.558883109,-5.774829321,-0.29588577,-0.29588577,0,-6.224152153,-2.111308565,-8.335460717,-1.194190583
Jeff Adrien,adrieje01,2014,RS,MIL,1381,705,0.031510824,-2.893508928,-2.861998104,3.277741134,-2.669642656,0.608098478,0.767748798,-2.942687483,-2.174938685,0.20596816,0.20596816,0,-0.109312973,-2.392467251,-2.501780224,-0.40630798
Jeff Adrien,adrieje01,2014,RS,CHA,527,256,-0.478569127,-0.730668472,-1.209237599,-4.957081548,3.509689663,-1.447391885,-1.415709376,0.093060712,-1.322648663,0.185889794,0.185889794,0,-2.449240729,0.181355617,-2.267885112,-0.27693691
Jeff Adrien,adrieje01,2015,RS,MIN,442,215,-1.16445614,0.021467033,-1.142989107,-0.346551833,3.75203925,3.405487417,-1.041614438,0.917083263,-0.124531175,0.288294064,0.288294064,0,-1.667230294,-0.439532817,-2.106763111,0.099396392
Arron Afflalo,afflaar01,2014,RS,ORL,5047,2552,1.561280125,-2.637579091,-1.076298966,-0.864841142,-3.77773301,-4.642574153,1.22425804,-3.02318616,-1.79892812,1.231903915,1.231903915,0,0.411376476,-2.771831196,-2.360454719,-0.49730894
Arron Afflalo,afflaar01,2015,PO,POR,119,60,-7.361684146,-7.118470067,-14.48015421,-15.85065257,-2.432502927,-18.2831555,-9.636316537,-6.478588871,-16.11490541,-0.421862388,0,-0.421862388,-6.317694998,-8.290580728,-14.60827573,-0.021588601
Arron Afflalo,afflaar01,2015,RS,DEN,3516,1750,-0.496957701,-2.037867169,-2.53482487,-1.592208688,0.773318735,-0.818889953,-0.742448939,-1.544396688,-2.286845626,0.410105075,0.410105075,0,-1.338991892,-1.370428658,-2.70942055,-0.793612731
Arron Afflalo,afflaar01,2015,RS,POR,1490,752,-1.638849868,-1.201953407,-2.840803275,2.626522876,-2.552785856,0.073737019,-0.869565919,-1.59318815,-2.462754069,0.109697472,0.109697472,0,-1.298312675,-0.643637611,-1.941950286,-0.444015025
Arron Afflalo,afflaar01,2016,RS,NYK,4648,2371,-0.902059415,-2.108745951,-3.010805367,0.610708527,-3.333767098,-2.723058571,-0.625410261,-2.481338924,-3.106749185,-0.424460423,-0.424460423,0,-0.840530106,-2.375143951,-3.215674058,-1.606045594
Arron Afflalo,afflaar01,2017,RS,SAC,3146,1580,-0.844881262,-4.72381563,-5.568696892,-2.624665736,-3.652299754,-6.276965491,-1.252486813,-4.757288217,-6.00977503,-2.593034888,-2.593034888,0,-1.84469576,-4.240256022,-6.084951782,-1.296124622
Arron Afflalo,afflaar01,2018,RS,ORL,1389,682,-2.946706209,-1.681921164,-4.628627373,-1.856135749,-0.595433401,-2.45156915,-2.858956209,-1.524033967,-4.382990176,-0.562242617,-0.562242617,0,-3.633802694,-3.040735815,-6.67453851,-1.041661365
Alexis Ajinca,ajincal01,2014,RS,NOP,1855,951,-2.2052968,-0.79243784,-2.997734641,-0.854935199,-0.527870622,-1.382805821,-2.054606668,-0.75344482,-2.808051489,-0.028102436,-0.028102436,0,-1.741946245,-0.194303761,-1.936250006,-0.218473544
Alexis Ajinca,ajincal01,2015,PO,NOP,21,10,15.501397,-3.561583739,11.93981326,6.061147082,-27.98828766,-21.92714058,14.3890619,-8.717170358,5.671891541,0.044221656,0,0.044221656,13.52295725,-1.562766486,11.96019076,-0.205407983
Alexis Ajinca,ajincal01,2015,RS,NOP,1844,957,-0.377762267,1.497825655,1.120063388,-0.978114873,0.899219063,-0.07889581,-0.565591569,1.490515514,0.924923945,1.793286482,1.793286482,0,-1.222980138,1.248121949,0.025141811,-0.055422213
Alexis Ajinca,ajincal01,2016,RS,NOP,1777,861,-3.28929192,0.832909863,-2.456382057,-3.115926436,2.521849552,-0.594076884,-3.444059038,1.2915655,-2.152493538,0.262838216,0.262838216,0,-3.409499894,0.797343456,-2.612156438,0.135601825
Alexis Ajinca,ajincal01,2017,RS,NOP,1223,584,-4.746737147,1.719439388,-3.027297759,-2.092532165,-1.094995692,-3.187527857,-4.436739426,1.229835643,-3.206903783,-0.136314643,-0.136314643,0,-3.801996307,1.020942858,-2.781053448,0.127572121
DeVaughn Akoon-Purcell,akoonde01,2019,RS,DEN,49,22,-2.930857794,-1.704815334,-4.635673128,1.961417556,2.682314101,4.643731658,-2.229499469,-1.019839791,-3.24933926,-0.005555579,-0.005555579,0,-1.262366442,0.66152002,-0.600846423,-0.894707629
Furkan Aldemir,aldemfu01,2015,RS,PHI,1087,540,-0.693620987,-1.21572487,-1.909345857,1.24350321,-3.04160303,-1.79809982,-0.318228362,-1.661918132,-1.980146495,0.21216464,0.21216464,0,-1.756878546,-1.101017437,-2.857895983,0.028863509
Cole Aldrich,aldrico01,2014,RS,NYK,658,330,-0.341282182,4.967333834,4.626051652,-0.985708833,-1.767608882,-2.753317715,-0.508187124,3.896700735,3.388513611,1.02873738,1.02873738,0,-1.130115764,1.73834343,0.608227665,-0.443568112
Cole Aldrich,aldrico01,2015,RS,NYK,1915,976,-1.873628032,1.653066949,-0.220561084,-6.127859893,-0.102463994,-6.230323887,-2.78804587,1.459642861,-1.328403009,0.709716538,0.709716538,0,-2.373581826,0.637865935,-1.735715892,0.247213254
Cole Aldrich,aldrico01,2016,PO,LAC,158,77,0.557763534,7.49854279,8.056306324,1.282492639,0.894618282,2.177110921,0.864059233,6.494298191,7.358357424,0.409910486,0,0.409910486,-2.136316976,7.901646207,5.765329231,0.080370893
Cole Aldrich,aldrico01,2016,RS,LAC,1612,800,-1.285978947,2.547031218,1.261052272,-2.101452053,2.100183593,-0.00126846,-1.556803436,2.530277166,0.973473729,1.526349689,1.526349689,0,-0.701967609,3.754476883,3.052509274,0.422826985
Cole Aldrich,aldrico01,2017,RS,MIN,1088,531,-2.353657181,-0.172464348,-2.526121529,-0.245050692,-0.458163166,-0.703213857,-2.040379858,-0.173788867,-2.214168724,0.144464506,0.144464506,0,-2.449468257,0.793979844,-1.655488413,-0.473588409
Cole Aldrich,aldrico01,2018,RS,MIN,111,49,-7.043763084,-6.793773229,-13.83753631,-1.175560325,5.165456131,3.989895805,-6.294758546,-4.680285043,-10.97504359,-0.205863423,-0.205863423,0,-5.229497475,-4.050028846,-9.279526322,0.115286953
LaMarcus Aldridge,aldrila01,2014,PO,POR,869,441,3.014891997,1.361238237,4.376130235,2.700079643,8.205349849,10.90542949,3.124992952,2.891644542,6.016637494,2.024434143,0,2.024434143,2.415939589,2.88062395,5.296563539,-0.451676166
LaMarcus Aldridge,aldrila01,2014,RS,POR,4993,2498,0.716757577,1.931853343,2.64861092,2.958048124,2.748722119,5.706770243,1.139124681,2.227973419,3.3670981,7.721583795,7.721583795,0,1.956280911,2.430901518,4.387182429,-0.916971966
