Player Name,Tattoos yes/no
A.J. Price,no
Aaron Gray,no
Al Horford,no
Al Jefferson,no
Al Thornton,no
Alan Anderson,no
Alec Burks,no
Alexey Shved,no
Anderson Varejao,no
Andrea Bargnani,no
Andrew Bynum,no
Andrew Nicholson,no
Andris Biedrins,no
Anthony Davis,no
Anthony Parker,no
Anthony Tolliver,no
Antonio McDyess,no
Arron Afflalo,no
Avery Bradley,no
Beno Udrih,no
Bismack Biyombo,no
Blake Griffin,no
Boris Diaw,no
Brandan Wright,no
Brandon Knight,no
Brandon Roy,no
Brendan Haywood,no
Brian Cardinal,no
Brian Cook,no
Brian Scalabrine,no
Brook Lopez,no
Carl Landry,no
Chandler Parsons,no
Charles Jenkins,no
Chase Budinger,no
Chris Copeland,no
Chris Kaman,no
Chris Paul,no
Chris Quinn,no
Chris Singleton,no
Christian Eyenga,no
Chuck Hayes,no
Cody Zeller,no
Cole Aldrich,no
Cory Joseph,no
Craig Smith,no
D.J. White,no
Danny Granger,no
Darius Miller,no
Darius Morris,no
Darius Songaila,no
Darko Milicic,no
Darren Collison,no
David Andersen,no
Derrick Brown,no
Derrick Williams,no
DeSagana Diop,no
Didier Ilunga-Mbenga,no
Dirk Nowitzki,no
Doron Lamb,no
Dwight Howard,no
Dwyane Wade,no
Earl Barron,no
Earl Boykins,no
Eduardo Najera,no
Ekpe Udoh,no
Elliot Williams,no
Elton Brand,no
Emeka Okafor,no
Enes Kanter,no
Eric Gordon,no
Erick Dampier,no
Ersan Ilyasova,no
Etan Thomas,no
Evan Turner,no
Festus Ezeli,no
Francisco Elson,no
Francisco Garcia,no
Garrett Temple,no
Gary Neal,no
Gerald Henderson,no
Giannis Antetokounmpo,no
Goran Dragic,no
Gordon Hayward,no
Grant Hill,no
Greg Stiemsma,no
Greivis Vasquez,no
Gustavo Ayon,no
Hakim Warrick,no
Harrison Barnes,no
Hasheem Thabeet,no
Hedo Turkoglu,no
Hollis Thompson,no
Ian Mahinmi,no
Ike Diogu,no
Ishmael Smith,no
James Harden,no
Jan Vesely,no
Jannero Pargo,no
Jared Dudley,no
Jared Sullinger,no
Jarrett Jack,no
Jason Collins,no
Jason Kapono,no
Jason Smith,no
Jason Thompson,no
Jeff Adrien,no
Jeff Foster,no
Jeff Green,no
Jeremy Evans,no
Jeremy Lin,no
Jeremy Pargo,no
Jimmer Fredette,no
Jimmy Butler,no
Joakim Noah,no
Jodie Meeks,no
Joel Anthony,no
Joey Graham,no
Jon Leuer,no
Jonas Jerebko,no
Jonny Flynn,no
Jordan Crawford,no
Jose Barea,no
Jose Calderon,no
Josh Childress,no
Josh McRoberts,no
Jrue Holiday,no
Julian Wright,no
Kelly Olynyk,no
Kemba Walker,no
Kenneth Faried,no
Kevin Love,no
Kevin Martin,no
Khris Middleton,no
Klay Thompson,no
Kosta Koufos,no
Kris Humphries,no
Kurt Thomas,no
Kyle Lowry,no
Kyle Singler,no
Kyrylo Fesenko,no
Landry Fields,no
Lavoy Allen,no
Leon Powe,no
Linas Kleiza,no
Luc Mbah a Moute,no
Luis Scola,no
Luke Babbitt,no
Luke Ridnour,no
Luol Deng,no
Manu Ginobili,no
Marc Gasol,no
Marco Belinelli,no
Marcus Banks,no
Mason Plumlee,no
Matt Bonner,no
Matt Carroll,no
Matthew Dellavedova,no
Maurice Harkless,no
Mehmet Okur,no
Michael Carter-Williams,no
Michael Redd,no
Mike Dunleavy,no
Miles Plumlee,no
Mirza Teletovic,no
Nando De Colo,no
Nate Wolters,no
Nenad Krstic,no
Nene Hilario,no
Nick Calathes,no
Nick Collison,no
Nicolas Batum,no
Nikola Vucevic,no
Norris Cole,no
Omer Asik,no
Omri Casspi,no
Pablo Prigioni,no
Patrick Mills,no
Pau Gasol,no
Peja Stojakovic,no
Phil Pressey,no
Quincy Pondexter,no
Ramon Sessions,no
Ray Allen,no
Raymond Felton,no
Reggie Jackson,no
Robin Lopez,no
Rodrigue Beaubois,no
Ronnie Price,no
Roy Hibbert,no
Russell Westbrook,no
Ryan Anderson,no
Ryan Hollins,no
Ryan Kelly,no
Sam Young,no
Samardo Samuels,no
Samuel Dalembert,no
Sasha Vujacic,no
Sean Marks,no
Sean Williams,no
Serge Ibaka,no
Shane Battier,no
Shaun Livingston,no
Spencer Hawes,no
Stephen Graham,no
Steve Novak,no
Sundiata Gaines,no
T.J. Ford,no
Taj Gibson,no
Tayshaun Prince,no
Terrence Ross,no
Thaddeus Young,no
Theo Ratliff,no
Tiago Splitter,no
Tim Hardaway Jr.,no
Timofey Mozgov,no
Tobias Harris,no
Toney Douglas,no
Tony Allen,no
Travis Outlaw,no
Troy Murphy,no
Tyler Hansbrough,no
Tyler Zeller,no
Tyreke Evans,no
Victor Oladipo,no
Vince Carter,no
Vladimir Radmanovic,no
Wesley Johnson,no
Willie Green,no
Xavier Henry,no
Yao Ming,no
Yi Jianlian,no
Zaza Pachulia,no
Zydrunas Ilgauskas,no
Alex Len,no
Andre Roberson,no
Armon Johnson,no
Ben Uzoh,no
Brandon Davies,no
C.J. McCollum,no
Carldell Johnson,no
Chris Wright,no
Cory Higgins,no
Craig Brackins,no
Daniel Orton,no
Darington Hobson,no
Dexter Pittman,no
Erik Murphy,no
Gal Mekel,no
Gani Lawal,no
Garret Siler,no
Glen Rice,no
Gorgui Dieng,no
Hassan Whiteside,no
Ian Clark,no
JaJuan Johnson,no
James Southerland,no
Jared Cunningham,no
Jeff Withey,no
Jerome Jordan,no
Joey Dorsey,no
Josh Davis,no
Larry Owens,no
Lazar Hayward,no
Luigi Datome,no
Luke Harangody,no
Malcolm Lee,no
Mike Harris,no
Mychel Thompson,no
Nemanja Nedovic,no
Ognjen Kuzmic,no
Othyus Jeffers,no
Otto Porter,no
Pape Sy,no
Patrick Ewing Jr.,no
Robbie Hummel,no
Rudy Gobert,no
Scotty Hopson,no
Semih Erden,no
Sergey Karasev,no
Solomon Alabi,no
Solomon Hill,no
Terrel Harris,no
Tornike Shengelia,no
Toure' Murry,no
Viacheslav Kravtsov,no
Victor Claver,no
Zabian Dowdell,no
Aaron Brooks,yes
Acie Law,yes
Al Harrington,yes
Al-Farouq Aminu,yes
Alexis Ajinca,yes
Alonzo Gee,yes
Amar'e Stoudemire,yes
Amir Johnson,yes
Andray Blatche,yes
Andre Drummond,yes
Andre Iguodala,yes
Andre Miller,yes
Andrei Kirilenko,yes
Andres Nocioni,yes
Andrew Bogut,yes
Antawn Jamison,yes
Anthony Carter,yes
Anthony Morrow,yes
Anthony Randolph,yes
Antonio Daniels,yes
Austin Daye,yes
Austin Rivers,yes
Baron Davis,yes
Ben Gordon,yes
Ben McLemore,yes
Ben Wallace,yes
Bill Walker,yes
Brad Miller,yes
Bradley Beal,yes
