team	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
Hawks	0.50659	0.51033	0.515	0.51631	0.51853	0.52819	0.53316	0.52887	0.53559	0.53979	0.54406	0.55059	0.55654	0.54819	0.55298	0.54751	0.54967	0.56089	0.55626	0.57457	0.58205	0.57947	0.58893	0.60811	0.60994	0.61638	0.62932	0.64055	0.63623	0.64583	0.65302	0.66626	0.66367	0.68585	0.68545	0.68699	0.69889	0.70126	0.70873	0.71627	0.73074	0.74168	0.76403	0.78034	0.78955	0.79571	0.81632	0.83095	0.80556
Nets	0.5029	0.50561	0.50916	0.51488	0.5158	0.51226	0.52629	0.51997	0.52036	0.52213	0.51841	0.51452	0.52263	0.52271	0.52445	0.51666	0.51149	0.50685	0.50886	0.5007	0.4912	0.48797	0.49266	0.48054	0.47683	0.48004	0.47737	0.46924	0.46477	0.44831	0.43876	0.43952	0.43324	0.42479	0.42033	0.41381	0.41389	0.40248	0.39898	0.40743	0.41453	0.42484	0.42403	0.44106	0.43498	0.40266	0.39979	0.4182	0.42308
Celtics	0.50072	0.50446	0.49667	0.49552	0.49248	0.49178	0.48757	0.48156	0.46489	0.46445	0.47876	0.47318	0.47261	0.46916	0.46707	0.47046	0.47751	0.48152	0.48073	0.47784	0.48687	0.49569	0.49009	0.47899	0.48	0.48011	0.47825	0.45737	0.45678	0.45645	0.45256	0.45059	0.44908	0.44359	0.45642	0.44919	0.4477	0.45029	0.42788	0.41242	0.4099	0.39759	0.41533	0.42298	0.41764	0.43214	0.39493	0.39146	0.41176
Hornets	0.4968	0.4929	0.49334	0.48998	0.48366	0.48375	0.48789	0.48325	0.47458	0.48458	0.4849	0.49089	0.49287	0.50169	0.4962	0.49915	0.49421	0.48753	0.48754	0.50236	0.51023	0.50381	0.50926	0.50743	0.49746	0.48863	0.48544	0.49565	0.50162	0.49451	0.49507	0.49436	0.48523	0.48351	0.48134	0.48476	0.48863	0.47121	0.48139	0.46885	0.4652	0.4638	0.44927	0.45589	0.44461	0.44333	0.42749	0.40301	0.40196
Bulls	0.49521	0.49411	0.49999	0.49727	0.48183	0.4777	0.4776	0.48167	0.48419	0.48618	0.4848	0.49344	0.49283	0.49677	0.49644	0.48745	0.4944	0.49709	0.48573	0.48591	0.48437	0.47389	0.47672	0.47557	0.48612	0.4885	0.48056	0.4923	0.50045	0.51178	0.52817	0.52104	0.51034	0.52609	0.52024	0.51742	0.51572	0.50736	0.52464	0.53731	0.54208	0.5507	0.55343	0.53974	0.54905	0.55394	0.58889	0.62055	0.63889
Cavaliers	0.50632	0.51001	0.51559	0.5281	0.53398	0.54561	0.54552	0.55888	0.55277	0.54415	0.55025	0.55111	0.56327	0.56692	0.55869	0.56267	0.5671	0.57342	0.57485	0.57301	0.56152	0.56491	0.57316	0.56286	0.55653	0.55273	0.55315	0.5471	0.55056	0.53978	0.53865	0.52611	0.52965	0.5304	0.54139	0.55032	0.54464	0.55441	0.57112	0.57235	0.56008	0.56128	0.56917	0.57688	0.57877	0.5756	0.57393	0.59438	0.59091
Mavericks	0.50057	0.5049	0.51062	0.50779	0.51322	0.52419	0.52018	0.54108	0.53991	0.52999	0.54006	0.53523	0.54855	0.54649	0.55093	0.55558	0.561	0.56053	0.56216	0.56531	0.56828	0.57012	0.56965	0.56925	0.56526	0.56238	0.56082	0.55886	0.55001	0.55091	0.54678	0.55349	0.55153	0.55213	0.54834	0.54339	0.55417	0.55846	0.55719	0.5659	0.55897	0.55617	0.56061	0.57536	0.58625	0.58613	0.61335	0.60975	0.60909
Nuggets	0.50629	0.50851	0.50099	0.49103	0.48811	0.4826	0.48959	0.4852	0.47546	0.47896	0.48877	0.47794	0.47637	0.47038	0.46176	0.46352	0.46024	0.45025	0.44176	0.43789	0.44057	0.42985	0.42929	0.42715	0.43103	0.43263	0.43248	0.438	0.43453	0.43716	0.4341	0.43216	0.44052	0.45119	0.44041	0.43495	0.43038	0.42277	0.43772	0.43321	0.43965	0.43666	0.42163	0.42695	0.41269	0.40941	0.41547	0.38464	0.39623
Pistons	0.49966	0.49987	0.50095	0.49052	0.4926	0.48822	0.48644	0.49065	0.49435	0.49669	0.4947	0.49174	0.47564	0.48764	0.48807	0.47976	0.47946	0.48168	0.4826	0.47669	0.47653	0.47778	0.46992	0.4759	0.46515	0.45806	0.45361	0.44857	0.44535	0.45902	0.46223	0.45579	0.46032	0.45684	0.45124	0.45617	0.45587	0.46334	0.44568	0.43682	0.43357	0.42028	0.41708	0.39904	0.40774	0.39549	0.38524	0.37677	0.39815
Warriors	0.50006	0.50266	0.5147	0.52206	0.52458	0.52631	0.54101	0.5476	0.55366	0.55795	0.55746	0.55488	0.55876	0.56085	0.57054	0.58213	0.59007	0.60556	0.60989	0.62727	0.63749	0.63914	0.65809	0.67216	0.67476	0.69282	0.69281	0.70103	0.69819	0.71048	0.7129	0.72082	0.71602	0.72728	0.73143	0.73987	0.74419	0.75492	0.75873	0.75017	0.7419	0.74373	0.74759	0.74415	0.76916	0.78697	0.78685	0.81668	0.82
