movie,bechdel,peirce,landau,feldman,villareal,hagen,ko,villarobos,waithe,koezedottle,uphold,white,rees-davies,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,total
Bad Moms,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,5
Hidden Figures,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,6
Independence Day: Resurgence,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,6
Finding Dory,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,7
Ghostbusters,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,7
Allegiant,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,8
Arrival,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,8
Ice Age: Collision Course,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,8
Kung Fu Panda 3,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,8
Miss Peregrine's Home for Peculiar Children,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,8
Sing,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,8
The Boss,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,8
The Girl on the Train,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,8
Boo! A Madea Halloween,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,8
Alice Through the Looking Glass,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,9
Fantastic Beasts and Where to Find Them,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,9
La La Land,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,9
Now You See Me 2,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,9
Passengers,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,9
Pete's Dragon,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,1,9
Sausage Party,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,9
Storks,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,9
Suicide Squad,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,9
The Conjuring 2,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,9
The Purge: Election Year,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,9
X-Men: Apocalypse,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,9
10 Cloverfield Lane,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,10
Batman v Superman: Dawn of Justice,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,10
Captain America: Civil War,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,10
Central Intelligence,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,10
Don't Breathe,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,10
Hacksaw Ridge,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,10
Lights Out,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,10
Moana,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,10
Ride Along 2,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,10
Star Trek Beyond,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,10
Sully,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,10
Teenage Mutant Ninja Turtles: Out of the Shadows,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,10
The Angry Birds Movie,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,10
The Magnificent Seven,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,10
Trolls,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,10
Zootopia,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,10
Jason Bourne,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,11
Rogue One,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,11
The Accountant,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,11
The Jungle Book,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,11
The Legend of Tarzan,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,11
Deadpool,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,12
Doctor Strange,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,12
The Secret Life of Pets,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,12
