"MOVIE","ACTOR","CHARACTER_NAME","TYPE","BILLING","GENDER"
"Tyler Perry’s Boo! A Madea Halloween","Tyler Perry","Madea/Joe/Brian","Leading","1","Male"
"Tyler Perry’s Boo! A Madea Halloween","Cassi Davis","Aunt Bam","Supporting","2","Female"
"Tyler Perry’s Boo! A Madea Halloween","Patrice Lovely","Hattie","Supporting","3","Female"
"Tyler Perry’s Boo! A Madea Halloween","Yousef Erakat","Jonathan","Supporting","4","Male"
"Tyler Perry’s Boo! A Madea Halloween","Lexy Panterra","Leah","Supporting","5","Female"
"Tyler Perry’s Boo! A Madea Halloween","Andre Hall","Quinton","Supporting","6","Male"
"Tyler Perry’s Boo! A Madea Halloween","Liza Koshy","Aday","Supporting","7","Female"
"Tyler Perry’s Boo! A Madea Halloween","Diamond White","Tiffany","Supporting","8","Female"
"Tyler Perry’s Boo! A Madea Halloween","Brock O’Hurn","Horse","Supporting","9","Male"
"Tyler Perry’s Boo! A Madea Halloween","Bella Thorne","Rain","Supporting","10","Female"
"Tyler Perry’s Boo! A Madea Halloween","Kian Lawley","Bean Boy","Supporting","11","Male"
"Tyler Perry’s Boo! A Madea Halloween","J.C. Caylen","Mikey","Supporting","12","Male"
"Tyler Perry’s Boo! A Madea Halloween","Jimmy Tatro","Sean","Supporting","13","Male"
"Tyler Perry’s Boo! A Madea Halloween","Michael Ray Stevenson","Himself/Rap Artist","Cameo","14","Male"
"Tyler Perry’s Boo! A Madea Halloween","Mike Tornabene","Dino","Supporting","15","Male"
"Tyler Perry’s Boo! A Madea Halloween","Joey Nappo","Willie","Supporting","16","Male"
"Tyler Perry’s Boo! A Madea Halloween","Dee Dubois","BJ","Supporting","17","Male"
"Tyler Perry’s Boo! A Madea Halloween","Javon Johnson","Reverend","Supporting","18","Male"
"Tyler Perry’s Boo! A Madea Halloween","Angela Ray","Alice","Supporting","19","Female"
"Tyler Perry’s Boo! A Madea Halloween","Christine Horn","Mother","Supporting","20","Unknown"
"Tyler Perry’s Boo! A Madea Halloween","Jason Vail","Police Officer #1","Supporting","21","Male"
"Tyler Perry’s Boo! A Madea Halloween","Andrew Rush","Police Officer #2","Supporting","22","Male"
"Tyler Perry’s Boo! A Madea Halloween","Dominique","Police Officer #3","Supporting","23","Female"
"Tyler Perry’s Boo! A Madea Halloween","Thomas Miles","Police Officer #4","Supporting","24","Male"
"Tyler Perry’s Boo! A Madea Halloween","Lavell Crawford","Prisoner 1","Supporting","25","Male"
"Tyler Perry’s Boo! A Madea Halloween","Corey Holcomb","Prisoner 2","Supporting","26","Male"
"Tyler Perry’s Boo! A Madea Halloween","Aaron Beelner","Prisoner 3","Supporting","27","Male"
"Tyler Perry’s Boo! A Madea Halloween","Bill Humphries","Prisoner 4","Supporting","28","Male"
"Tyler Perry’s Boo! A Madea Halloween","Adele Givens","Female Prisoner","Supporting","29","Unknown"
"Tyler Perry’s Boo! A Madea Halloween","Davison Willis","Kid 1","Supporting","30","Male"
"Tyler Perry’s Boo! A Madea Halloween","Abraham Clinkscales","Kid 2","Supporting","31","Male"
"Tyler Perry’s Boo! A Madea Halloween","Coletrane Williams","Frat Guy #2","Supporting","32","Male"
"Tyler Perry’s Boo! A Madea Halloween","Khalib McAdams","Frat Guy #2","Supporting","33","Male"
"Tyler Perry’s Boo! A Madea Halloween","Will Kommor","Frat Guy #3","Supporting","34","Male"
"Tyler Perry’s Boo! A Madea Halloween","Jason Jamal Ligon","Frat Guy #4","Supporting","35","Male"
"Tyler Perry’s Boo! A Madea Halloween","R.J. Shearer","Frat Guy #5","Supporting","36","Male"
"Tyler Perry’s Boo! A Madea Halloween","Ahmed Zakzouk","Frat Guy #6","Supporting","37","Male"
"Tyler Perry’s Boo! A Madea Halloween","Michael Hampton","Frat Guy #7","Supporting","38","Male"
"Tyler Perry’s Boo! A Madea Halloween","Deance’ Wyatt","Frat Guy #8","Supporting","39","Male"
"Tyler Perry’s Boo! A Madea Halloween","Bradley Martyn","Frat Guy #9","Supporting","40","Male"
"Tyler Perry’s Boo! A Madea Halloween","Mario Rodriguez","Frat Guy #10","Supporting","41","Male"
"Tyler Perry’s Boo! A Madea Halloween","Cody Griffis","Newscaster V.O.","Supporting","42","Male"
"Hidden Figures","Taraji P. Henson","Katherine Johnson","Lead Ensemble Member","1","Female"
"Hidden Figures","Octavia Spencer","Dorothy Vaughan","Lead Ensemble Member","2","Female"
"Hidden Figures","Janelle Monae","Mary Jackson","Lead Ensemble Member","3","Female"
"Hidden Figures","Kevin Costner","Al Harrison","Lead Ensemble Member","4","Male"
"Hidden Figures","Kirsten Dunst","Vivian Mitchell","Lead Ensemble Member","5","Female"
"Hidden Figures","Jim Parsons","Paul Stafford","Lead Ensemble Member","6","Male"
"Hidden Figures","Mahershala Ali","Jim Johnson","Supporting","7","Unknown"
"Hidden Figures","Kimberly Quinn","Ruth","Supporting","8","Female"
"Hidden Figures","Glen Powell","John Glenn","Supporting","9","Male"
"Hidden Figures","Aldis Hodge","Levi Jackson","Supporting","10","Male"
"Hidden Figures","Ariana Neal","Joylette","Supporting","11","Female"
"Hidden Figures","Jaiden Kaine","Joshua Coleman","Supporting","12","Unknown"
"Hidden Figures","Wilbur Fitzgerald","Senator Patrick","Supporting","13","Male"
"Hidden Figures","Maria Howell","Ms. Sumner","Supporting","14","Female"
"Hidden Figures","Scott Michael Morgan","Bill Calhoun","Supporting","15","Male"
"Hidden Figures","Cullen Moss","Mission Control Commander","Supporting","16","Male"
"Hidden Figures","Rhoda Griffis","White Librarian","Supporting","17","Unknown"
"Hidden Figures","Dane Davenport","Alan Shepard","Supporting","18","Male"
"Hidden Figures","Bob Jennings","Navy Officer","Supporting","19","Male"
"Hidden Figures","Alkoya Brunson","Kenneth Vaughn","Supporting","20","Male"
"Hidden Figures","Ron Clinton Smith","White Cop","Supporting","21","Male"
"Hidden Figures","Joe Knezevich","Wind Tunnel Engineer","Supporting","22","Male"
"Hidden Figures","Kurt Krause","Sam Turner","Supporting","23","Male"
"Hidden Figures","Olek Krupa","Karl Zielinski","Supporting","24","Unknown"
"Hidden Figures","Ken Strunk","Jim Webb","Supporting","25","Unknown"
"Hidden Figures","Saniyya Sidney","Constance Johnson","Supporting","26","Female"
"Hidden Figures","Zani Jones Mbayise","Kathy Johnson","Supporting","27","Female"
"Hidden Figures","Trey Stokes","Levi Jr","Supporting","28","Male"
"Hidden Figures","Selah Kimbro Jones","Carolyn Marie Jackson","Supporting","29","Female"
"Hidden Figures","Karan Kendrick","Younger Joylette Coleman","Supporting","30","Female"
"Hidden Figures","Corey Parker","Howard Vaughan","Supporting","31","Unknown"
"Hidden Figures","Ashton Tyler","Leonard Vaughn","Supporting","32","Male"
"Hidden Figures","Lidya Jewett","Young Katherine Coleman","Supporting","33","Female"
"Hidden Figures","Donna Biscoe","Mrs. Joylette Coleman","Supporting","34","Female"
"Hidden Figures","Gregory Alan Williams","Marion Smithson","Supporting","35","Male"
"Hidden Figures","Arnell Powell","Professor Graves","Supporting","36","Male"
"Hidden Figures","Bob Bost","Eisenhower","Supporting","37","Male"
"Hidden Figures","Crystal Brown","Bernie","Supporting","38","Female"
"Hidden Figures","Tequilla Whitfield","Eleanor","Supporting","39","Female"
"Hidden Figures","Robert G. McKay","Pastor Ayres","Supporting","40","Male"
"Hidden Figures","Evan Holtzman","Deke Slayton","Supporting","41","Male"
"Hidden Figures","Travis Smith","Scott Carpenter","Supporting","42","Male"
"Hidden Figures","Karen Wheeling Reynolds","Court Clerk #1","Supporting","43","Female"
"Hidden Figures","Paul Ryden","TV Reporter #1 at Cape Canaveral","Supporting","44","Male"
"Hidden Figures","Gary Weeks","Reporter at Press Conference","Supporting","45","Male"
"Hidden Figures","Jon Edwin Wright","TV News Reporter","Supporting","46","Male"
"Hidden Figures","John Atwood","Newscaster #1","Supporting","47","Male"
"Hidden Figures","Michael Hartson","Night School Professor","Supporting","48","Male"
"Hidden Figures","Afemo Omilami","Man Outside Store","Supporting","49","Unknown"
"Hidden Figures","Katie Kneeland","Court Clerk #2","Supporting","50","Female"
"Hidden Figures","Amy Tipton","Crying Woman","Supporting","51","Female"
"Hidden Figures","Chris Cavalier","IBM Technician","Supporting","52","Male"
"Hidden Figures","Frank Hoyt Taylor","Judge","Supporting","53","Male"
"Hidden Figures","Elijah Everett","Crying Man","Supporting","54","Male"
"Hidden Figures","Andre Pushkin","Russian Scientist","Supporting","55","Male"
"Hidden Figures","Randall Newsome","Russian Scientist #2","Supporting","56","Male"
"Hidden Figures","Greg Tresan","K9 Protest Cop","Supporting","57","Male"
"Hidden Figures","Howie Johnson","Library Security Guard","Supporting","58","Male"
"Hidden Figures","David Kallaway","NASA Security Guard","Supporting","59","Male"
"Hidden Figures","Maiya Boyd","Kid","Supporting","60","Female"
"Hidden Figures","Paige Nicollette","Eunice","Supporting","61","Female"
"Hidden Figures","Trey McGriff","TV Cameraman","Supporting","62","Male"
"Hidden Figures","Devin McGee","Gus Grissom","Supporting","63","Male"
"Hidden Figures","Kamryn Johnson","Kathryn Vaughn","Supporting","64","Female"
"Hidden Figures","Chanel Young","IBM Worker","Supporting","65","Unknown"
"Hidden Figures","Jeff Glover","NASA Engineer","Supporting","66","Male"
"Hidden Figures","Doug Stroup","NASA Task Force","Supporting","67","Male"
"Hidden Figures","Cody Carrera","NASA Employee","Supporting","68","Male"
"Hidden Figures","Kenneth Jones","NASA Core Engineer/Delivery Guy","Supporting","69","Male"
"Hidden Figures","Joe Hardy Jr","Gordon Cooper","Supporting","70","Male"
"Hidden Figures","Matthew J. Millard","NASA Engineer","Supporting","71","Male"
"Hidden Figures","Juliette Sicard","NASA New Recruit","Supporting","72","Female"
"Hidden Figures","Cyndy Powell","NASA Woman","Supporting","73","Female"
"Hidden Figures","Madison Alsobrook","Elementary School Student","Supporting","74","Female"
"Hidden Figures","Kate Harper","Vivian’s Assistant","Supporting","75","Female"
"Hidden Figures","Cody Marsh","Courtroom Police Officer","Supporting","76","Male"
"Hidden Figures","Glenn Allen","Wally Schirra","Supporting","77","Male"
"Hidden Figures","Stacie Ballard","NASA East Wing Employee","Supporting","78","Female"
"Hidden Figures","Brandon Scott McCall","NASA Control","Supporting","79","Male"
"Hidden Figures","James Harvley","Senator","Supporting","80","Male"
"Hidden Figures","Judy McGee Burley","Choir Member","Supporting","81","Female"
"Hidden Figures","Sam Juergens","NASA Engineer","Supporting","82","Male"
"Hidden Figures","Scott Ledbetter","USAF Four Star General","Supporting","83","Male"
"Hidden Figures","Donna Sexton","Wife","Supporting","84","Female"
"Hidden Figures","Veronica Warner","Church Goer","Supporting","85","Female"
"Hidden Figures","Diamond Sandt","Crossing Kid","Supporting","86","Unknown"
"Hidden Figures","Kevin Marshall Pinkney","Man at Fountain","Supporting","87","Male"
"Hidden Figures","William Walker","NASA Control","Supporting","88","Male"
"Hidden Figures","Rock Chasse","NASA Engineer","Supporting","89","Male"
"Hidden Figures","Olivia Whinnett","Crossing Guard Kid","Supporting","90","Female"
"Hidden Figures","Stephanie Mikel","Graduate’s Girlfriend","Supporting","91","Female"
"Hidden Figures","Daniel Lucente","Two Star General","Supporting","92","Male"
"Hidden Figures","John Sykes","USAF Aide","Supporting","93","Male"
