,Pct. Of major sports searches,,,,,,,
DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,Trump 2016 Vote%
Abilene-Sweetwater TX,45%,21%,14%,2%,4%,3%,11%,79.13%
Albany GA,32%,30%,9%,1%,8%,3%,17%,59.12%
Albany-Schenectady-Troy NY,40%,20%,20%,8%,6%,3%,4%,44.11%
Albuquerque-Santa Fe NM,53%,21%,11%,3%,3%,4%,6%,39.58%
Alexandria LA,42%,28%,9%,1%,5%,3%,12%,69.64%
Alpena MI,28%,13%,21%,12%,10%,7%,9%,63.61%
Amarillo TX,47%,22%,12%,2%,5%,3%,10%,77.54%
Atlanta GA,36%,28%,10%,3%,5%,5%,14%,47.58%
Augusta GA,39%,26%,8%,3%,8%,4%,13%,52.77%
Austin TX,40%,29%,11%,3%,3%,3%,11%,40.01%
Bakersfield CA,48%,26%,14%,3%,4%,1%,3%,53.54%
Baltimore MD,45%,20%,20%,5%,3%,3%,4%,39.28%
Bangor ME,39%,20%,19%,9%,8%,2%,3%,50.99%
Baton Rouge LA,40%,29%,8%,2%,3%,3%,15%,54.96%
Beaumont-Port Arthur TX,45%,27%,12%,1%,4%,2%,9%,64.65%
Bend OR,39%,24%,13%,4%,4%,3%,13%,46.36%
"Billings, MT",50%,17%,12%,5%,5%,4%,7%,63.77%
Biloxi-Gulfport MS,43%,23%,9%,2%,6%,3%,14%,67.78%
Binghamton NY,41%,19%,17%,9%,7%,3%,4%,53.49%
Birmingham AL,26%,22%,10%,2%,6%,6%,27%,62.35%
Bluefield-Beckley-Oak Hill WV,34%,20%,10%,2%,13%,6%,14%,74.16%
Boise ID,43%,20%,11%,4%,4%,4%,14%,55.59%
Boston MA-Manchester NH,37%,25%,17%,12%,3%,2%,3%,35.40%
Bowling Green KY,36%,18%,10%,4%,6%,16%,11%,66.41%
Buffalo NY,41%,16%,11%,23%,4%,2%,3%,51.79%
Burlington VT-Plattsburgh NY,36%,19%,18%,14%,7%,3%,3%,34.79%
Butte-Bozeman MT,48%,17%,12%,8%,4%,4%,8%,48.18%
Casper-Riverton WY,53%,16%,10%,5%,5%,4%,7%,71.09%
