Event,Division,"Avg TP, $"
Baltimore Ravens at Pittsburgh Steelers Tickets on 02-Nov-2014 (9037819),AFC North,202
Pittsburgh Steelers at Baltimore Ravens Tickets on 11-Sep-2014 (9037835),AFC North,199
Cleveland Browns at Pittsburgh Steelers Tickets on 07-Sep-2014 (9037806),AFC North,196
Cincinnati Bengals at Pittsburgh Steelers Tickets on 28-Dec-2014 (9037828),AFC North,164
Pittsburgh Steelers at Cleveland Browns Tickets on 12-Oct-2014 (9037890),AFC North,148
Cleveland Browns at Baltimore Ravens Tickets on 28-Dec-2014 (9037845),AFC North,137
Cincinnati Bengals at Baltimore Ravens Tickets on 07-Sep-2014 (9037833),AFC North,135
Cleveland Browns at Cincinnati Bengals Tickets on 06-Nov-2014 (9037858),AFC North,102
Pittsburgh Steelers at Cincinnati Bengals Tickets on 07-Dec-2014 (9037859),AFC North,89
Baltimore Ravens at Cleveland Browns Tickets on 21-Sep-2014 (9037889),AFC North,83
Baltimore Ravens at Cincinnati Bengals Tickets on 26-Oct-2014 (9037854),AFC North,83
Cincinnati Bengals at Cleveland Browns Tickets on 14-Dec-2014 (9037903),AFC North,81
Miami Dolphins at New England Patriots Tickets on 14-Dec-2014 (9037705),AFC East,209
Buffalo Bills at New England Patriots Tickets on 28-Dec-2014 (9037709),AFC East,208
New York Jets at New England Patriots Tickets on 16-Oct-2014 (9037693),AFC East,201
New England Patriots at Buffalo Bills Tickets on 12-Oct-2014 (9037803),AFC East,127
Miami Dolphins at Buffalo Bills Tickets on 14-Sep-2014 (9037796),AFC East,123
New England Patriots at Miami Dolphins Tickets on 07-Sep-2014 (9037759),AFC East,122
New York Jets at Miami Dolphins Tickets on 28-Dec-2014 (9037779),AFC East,108
New England Patriots at New York Jets Tickets on 21-Dec-2014 (9037745),AFC East,106
Buffalo Bills at Miami Dolphins Tickets on 13-Nov-2014 (9037769),AFC East,103
Buffalo Bills at New York Jets Tickets on 26-Oct-2014 (9037732),AFC East,91
New York Jets at Buffalo Bills Tickets on 23-Nov-2014 (9037809) *,AFC East,67
Miami Dolphins at New York Jets Tickets on 01-Dec-2014 (9037741),AFC East,55
San Diego Chargers at Denver Broncos Tickets on 23-Oct-2014 (9037694),AFC West,241
Kansas City Chiefs at Denver Broncos Tickets on 14-Sep-2014 (9037677),AFC West,218
Oakland Raiders at Denver Broncos Tickets on 28-Dec-2014 (9037710),AFC West,213
Denver Broncos at San Diego Chargers Tickets on 14-Dec-2014 (9037791),AFC West,202
Oakland Raiders at San Diego Chargers Tickets on 16-Nov-2014 (9037788),AFC West,118
Denver Broncos at Kansas City Chiefs Tickets on 30-Nov-2014 (9037752),AFC West,117
Kansas City Chiefs at San Diego Chargers Tickets on 19-Oct-2014 (9037787),AFC West,94
Denver Broncos at Oakland Raiders Tickets on 09-Nov-2014 (9037876),AFC West,85
San Diego Chargers at Oakland Raiders Tickets on 12-Oct-2014 (9037869),AFC West,71
San Diego Chargers at Kansas City Chiefs Tickets on 28-Dec-2014 (9037757),AFC West,58
Oakland Raiders at Kansas City Chiefs Tickets on 14-Dec-2014 (9037754),AFC West,41
Kansas City Chiefs at Oakland Raiders Tickets on 20-Nov-2014 (9037880),AFC West,40
Indianapolis Colts at Houston Texans Tickets on 09-Oct-2014 (9037891),AFC South,168
Jacksonville Jaguars at Houston Texans Tickets on 28-Dec-2014 (9037907),AFC South,130
Tennessee Titans at Houston Texans Tickets on 30-Nov-2014 (9037900),AFC South,126
Houston Texans at Indianapolis Colts Tickets on 14-Dec-2014 (9037871),AFC South,104
Jacksonville Jaguars at Indianapolis Colts Tickets on 23-Nov-2014 (9037866),AFC South,81
Tennessee Titans at Indianapolis Colts Tickets on 28-Sep-2014 (9037848),AFC South,71
Indianapolis Colts at Jacksonville Jaguars Tickets on 21-Sep-2014 (9037917),AFC South,69
Indianapolis Colts at Tennessee Titans Tickets on 28-Dec-2014 (9037946),AFC South,64
Houston Texans at Tennessee Titans Tickets on 26-Oct-2014 (9037931),AFC South,55
Houston Texans at Jacksonville Jaguars Tickets on 07-Dec-2014 (9037933),AFC South,47
Jacksonville Jaguars at Tennessee Titans Tickets on 12-Oct-2014 (9037926),AFC South,45
Tennessee Titans at Jacksonville Jaguars Tickets on 18-Dec-2014 (9037937),AFC South,40
Green Bay Packers at Chicago Bears Tickets on 28-Sep-2014 (9037834),NFC North,423
Chicago Bears at Green Bay Packers Tickets on 09-Nov-2014 (9037875),NFC North,265
Minnesota Vikings at Chicago Bears Tickets on 16-Nov-2014 (9037840),NFC North,218
Detroit Lions at Green Bay Packers Tickets on 28-Dec-2014 (9037885),NFC North,211
Chicago Bears at Detroit Lions Tickets on 27-Nov-2014 (9037912),NFC North,176
Detroit Lions at Chicago Bears Tickets on 21-Dec-2014 (9037852),NFC North,153
Green Bay Packers at Minnesota Vikings Tickets on 23-Nov-2014 (9037942),NFC North,138
Green Bay Packers at Detroit Lions Tickets on 21-Sep-2014 (9037902),NFC North,106
Detroit Lions at Minnesota Vikings Tickets on 12-Oct-2014 (9037938),NFC North,86
