Genre,"Avg TP, $"
Arizona Cardinals Tickets,109
Atlanta Falcons Tickets,99
Baltimore Ravens Tickets,140
Buffalo Bills Tickets,79
Carolina Panthers Tickets,107
Chicago Bears Tickets,236
Cincinnati Bengals Tickets,80
Cleveland Browns Tickets,81
Dallas Cowboys Tickets,187
Denver Broncos Tickets,257
Detroit Lions Tickets,100
Green Bay Packers Tickets,209
Houston Texans Tickets,164
Indianapolis Colts Tickets,108
Jacksonville Jaguars Tickets,86
Kansas City Chiefs Tickets,67
Miami Dolphins Tickets,90
Minnesota Vikings Tickets,71
New England Patriots Tickets,257
New Orleans Saints Tickets,198
New York Giants Tickets,187
New York Jets Tickets,96
Oakland Raiders Tickets,77
Philadelphia Eagles Tickets,179
Pittsburgh Steelers Tickets,166
San Diego Chargers Tickets,132
San Francisco 49ers Tickets,221
Seattle Seahawks Tickets,291
St Louis Rams Tickets,48
Tampa Bay Buccaneers Tickets,85
Tennessee Titans Tickets,85
Washington Redskins Tickets,76
