NAME,2023 votes,2019 votes,2015 votes,2011 votes,pop_total_estimate_18to22,cvap_estimate_18to22,cvap_estimate_13to17,cvap_estimate_08to12,2023 cvap_turnout,Change in % turnout from 2019,2019 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Martin County, Kentucky",1721,2263,1728,1195,11298,9055,9645,10035,19.01%,-5.99%,24.99%,17.92%,11.91%,-78.58%,0.00%,39.8,87.84%,6.45%,1.82%,0.09%,0.00%,0.84%,24.71%,36.88%,27.61%,10.79%
"McCreary County, Kentucky",3024,4826,2121,1980,16892,13147,13650,13950,23.00%,-13.71%,36.71%,15.54%,14.19%,-76.72%,0.00%,39.2,89.16%,6.73%,1.63%,0.22%,0.14%,0.00%,22.02%,43.55%,27.63%,6.80%
"Christian County, Kentucky",12030,14380,8542,7406,72766,51881,51550,51560,23.19%,-4.53%,27.72%,16.57%,14.36%,-28.43%,70.93%,28.4,64.68%,19.69%,8.44%,1.23%,0.34%,0.12%,13.68%,32.30%,34.92%,19.10%
"Letcher County, Kentucky",4214,5925,4465,3646,21490,16865,17965,18920,24.99%,-10.15%,35.13%,24.85%,19.27%,-59.41%,0.00%,42.7,96.76%,0.66%,0.93%,0.20%,0.00%,0.04%,21.06%,36.01%,29.84%,13.09%
"Clay County, Kentucky",4044,4710,3278,2897,20322,15976,16295,16865,25.31%,-4.17%,29.48%,20.12%,17.18%,-77.01%,0.00%,40.4,91.41%,4.09%,1.23%,0.05%,0.05%,0.03%,27.87%,38.17%,19.68%,14.27%
"Lee County, Kentucky",1522,2110,1325,1329,7338,5827,5300,6245,26.12%,-10.09%,36.21%,25.00%,21.28%,-63.98%,0.00%,41.8,92.06%,2.03%,2.33%,0.14%,0.00%,0.00%,26.51%,41.44%,24.71%,7.33%
"Perry County, Kentucky",5594,7378,5410,4558,28136,21414,21025,22330,26.12%,-8.33%,34.45%,25.73%,20.41%,-54.33%,27.42%,41.3,94.09%,0.96%,1.11%,0.75%,0.19%,0.17%,20.37%,34.35%,32.06%,13.22%
"Leslie County, Kentucky",2197,3109,2161,2016,10468,8219,8330,8835,26.73%,-11.10%,37.83%,25.94%,22.82%,-80.51%,0.00%,43.2,96.95%,0.42%,0.70%,0.25%,0.00%,0.00%,18.02%,41.39%,29.04%,11.55%
"Breathitt County, Kentucky",2882,3795,2665,2161,13580,10750,10460,10750,26.81%,-8.49%,35.30%,25.48%,20.10%,-52.36%,0.00%,42.7,96.05%,1.03%,1.16%,0.75%,0.00%,0.17%,20.53%,40.12%,22.33%,17.03%
"Elliott County, Kentucky",1636,1975,1246,2151,7378,6094,6115,6180,26.85%,-5.56%,32.41%,20.38%,34.81%,-51.22%,0.00%,43.6,95.54%,2.89%,0.95%,0.00%,0.00%,0.00%,24.60%,45.48%,19.76%,10.16%
"Fulton County, Kentucky",1370,1476,1113,1177,6480,5099,4890,5320,26.87%,-2.08%,28.95%,22.76%,22.12%,-33.47%,35.81%,39.2,69.75%,23.61%,1.47%,0.00%,0.93%,0.43%,19.65%,39.78%,26.54%,14.03%
"Harlan County, Kentucky",5606,6698,5203,3797,26589,20382,21195,22440,27.50%,-5.36%,32.86%,24.55%,16.92%,-71.76%,22.91%,41.2,94.38%,2.06%,0.30%,0.46%,0.09%,0.02%,23.05%,35.95%,30.48%,10.52%
"Pike County, Kentucky",12751,17141,11394,9302,58196,46107,48465,50375,27.66%,-9.52%,37.18%,23.51%,18.47%,-60.71%,15.22%,42.5,95.81%,0.76%,0.99%,0.53%,0.06%,0.04%,20.24%,38.68%,25.23%,15.85%
"Owsley County, Kentucky",933,1415,843,800,4054,3303,3555,3760,28.25%,-14.59%,42.84%,23.71%,21.28%,-76.74%,0.00%,48,91.39%,1.33%,0.00%,0.15%,0.00%,0.00%,28.62%,43.69%,16.59%,11.10%
"Lewis County, Kentucky",2879,3521,2511,1822,13063,10062,10505,10585,28.61%,-6.38%,34.99%,23.90%,17.21%,-70.76%,0.00%,42.5,97.09%,0.03%,0.03%,0.18%,0.24%,0.00%,21.33%,44.42%,24.08%,10.17%
"Knox County, Kentucky",6619,8246,5580,4848,30207,23006,23745,24020,28.77%,-7.07%,35.84%,23.50%,20.18%,-67.04%,37.95%,40.1,95.13%,0.74%,1.49%,0.09%,0.06%,0.12%,20.98%,39.18%,23.13%,16.71%
"Johnson County, Kentucky",5118,6396,4726,3538,22631,17525,17760,18010,29.20%,-7.29%,36.50%,26.61%,19.64%,-67.13%,26.19%,41.7,96.47%,0.46%,0.57%,1.19%,0.00%,0.05%,17.20%,41.13%,27.11%,14.57%
"Carroll County, Kentucky",2319,2628,1870,1791,10842,7816,7695,7725,29.67%,-3.95%,33.62%,24.30%,23.18%,-44.44%,50.61%,38.5,87.29%,3.27%,6.87%,0.00%,0.00%,0.00%,17.25%,43.33%,33.65%,5.76%
