NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,Change in % turnout from 2019,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Salem County, New Jersey",64840,50123,30.68%,1.06%,39.49%,29.62%,35.96%,26.54%,39.92%,30.59%,-12.82%,46.84%,41.8,72.08%,13.59%,10.33%,0.90%,0.02%,0.13%,9.82%,39.94%,27.47%,22.77%
"Cape May County, New Jersey",95456,76697,33.29%,-3.96%,51.01%,37.26%,40.08%,25.80%,43.47%,31.67%,-15.97%,81.40%,50.9,84.31%,3.54%,8.34%,0.80%,0.00%,0.02%,6.08%,31.51%,26.56%,35.85%
"Warren County, New Jersey",109739,84921,26.47%,3.15%,43.89%,23.33%,35.18%,14.43%,33.85%,18.02%,-16.23%,56.78%,44,78.10%,4.97%,10.96%,2.80%,0.02%,0.06%,6.16%,32.17%,26.19%,35.48%
"Hunterdon County, New Jersey",129099,100141,40.26%,5.88%,57.28%,34.37%,47.39%,20.99%,44.48%,24.49%,-4.39%,41.65%,46.4,83.01%,2.38%,7.28%,4.43%,0.04%,0.02%,4.21%,19.43%,20.88%,55.47%
"Sussex County, New Jersey",144808,113840,29.12%,0.96%,47.87%,28.16%,38.65%,17.98%,38.15%,20.30%,-19.58%,51.36%,44.5,82.94%,2.13%,9.90%,1.87%,0.00%,0.02%,4.56%,28.68%,27.79%,38.97%
"Cumberland County, New Jersey",153588,107361,21.40%,-0.63%,30.13%,22.03%,26.32%,16.85%,29.36%,21.07%,6.07%,75.51%,37.9,44.12%,17.67%,32.43%,1.43%,0.02%,0.52%,18.80%,39.19%,24.66%,17.35%
"Atlantic County, New Jersey",274339,199909,30.09%,1.60%,41.33%,28.49%,34.30%,22.75%,36.18%,28.40%,6.69%,85.06%,42,54.95%,12.93%,19.75%,7.70%,0.05%,0.09%,11.62%,32.50%,25.80%,30.08%
"Gloucester County, New Jersey",302621,232246,33.92%,10.21%,43.75%,23.71%,34.87%,20.59%,35.91%,27.12%,1.95%,88.68%,40.2,76.33%,10.02%,7.13%,3.21%,0.02%,0.04%,6.40%,31.16%,27.27%,35.17%
"Somerset County, New Jersey",344978,239216,34.59%,4.60%,47.89%,29.98%,40.85%,19.10%,38.66%,24.77%,21.08%,92.47%,42,52.61%,9.19%,15.50%,18.98%,0.00%,0.08%,5.98%,17.90%,18.86%,57.27%
"Mercer County, New Jersey",383732,259416,27.72%,3.15%,39.54%,24.57%,36.72%,19.64%,37.10%,25.94%,40.14%,94.92%,39.3,46.66%,19.09%,19.21%,12.13%,0.02%,0.11%,10.27%,25.35%,20.22%,44.15%
"Burlington County, New Jersey",461853,351581,29.90%,5.10%,44.78%,24.80%,36.79%,16.27%,37.49%,23.58%,19.60%,90.23%,41.7,64.78%,15.86%,8.90%,5.41%,0.02%,0.03%,5.92%,26.42%,26.59%,41.08%
"Morris County, New Jersey",508816,369822,30.79%,0.99%,50.66%,29.80%,41.00%,15.85%,39.81%,21.90%,4.26%,91.45%,42.7,68.61%,3.03%,14.12%,10.69%,0.00%,0.04%,4.93%,18.80%,19.14%,57.14%
"Passaic County, New Jersey",519986,329946,21.71%,4.25%,34.62%,17.46%,29.18%,15.82%,31.12%,17.77%,16.58%,97.17%,37.8,39.43%,10.05%,43.17%,5.37%,0.02%,0.07%,14.82%,33.85%,21.24%,30.09%
"Camden County, New Jersey",522581,380593,28.03%,4.56%,39.79%,23.47%,32.58%,16.60%,31.76%,21.53%,33.58%,98.69%,38.7,54.35%,18.12%,18.16%,5.88%,0.01%,0.05%,10.72%,29.31%,25.71%,34.26%
"Union County, New Jersey",572079,361871,24.91%,4.38%,38.29%,20.53%,34.43%,15.82%,32.24%,18.90%,35.67%,100.00%,39,37.56%,19.84%,33.08%,5.52%,0.01%,0.07%,13.20%,27.19%,21.31%,38.30%
"Ocean County, New Jersey",638691,466308,31.30%,6.84%,46.77%,24.46%,36.58%,18.27%,38.44%,24.63%,-28.78%,96.31%,41.8,83.11%,2.84%,9.71%,1.85%,0.01%,0.03%,6.85%,33.26%,26.94%,32.94%
"Monmouth County, New Jersey",643064,483433,32.56%,6.79%,49.93%,25.77%,40.36%,19.25%,38.20%,23.65%,-2.78%,94.87%,43.3,73.75%,6.24%,11.26%,5.38%,0.04%,0.02%,5.65%,21.41%,23.05%,49.89%
"Hudson County, New Jersey",712029,432755,16.55%,1.07%,29.24%,15.48%,27.52%,10.45%,24.49%,13.93%,46.33%,100.00%,35.6,27.68%,10.42%,42.45%,15.74%,0.02%,0.14%,12.83%,23.30%,17.25%,46.62%
"Essex County, New Jersey",853374,550316,17.95%,3.07%,32.81%,14.87%,31.23%,10.28%,29.71%,15.27%,55.41%,99.99%,37.6,28.47%,36.65%,24.02%,5.65%,0.02%,0.16%,13.07%,27.83%,21.70%,37.40%
"Middlesex County, New Jersey",860147,568605,24.72%,4.04%,37.16%,20.68%,32.58%,16.63%,32.23%,20.97%,22.11%,99.02%,39.1,39.96%,9.47%,22.26%,24.86%,0.03%,0.09%,10.32%,23.54%,21.03%,45.11%
"Bergen County, New Jersey",953243,661859,29.65%,5.03%,42.33%,24.62%,35.73%,19.80%,35.44%,25.46%,16.45%,99.88%,42,53.40%,5.26%,21.56%,16.54%,0.02%,0.11%,7.01%,20.68%,20.66%,51.65%
