NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Adams County, Ohio",27509,20840,36.66%,27.60%,37.15%,39.48%,-62.82%,0.00%,42.2,95.80%,0.35%,1.10%,0.46%,0.02%,0.14%,15.03%,44.53%,25.22%,15.22%
"Allen County, Ohio",102087,77500,39.53%,30.33%,36.35%,38.97%,-39.23%,69.02%,39.8,79.85%,10.69%,3.48%,0.83%,0.01%,0.10%,8.02%,40.22%,32.61%,19.14%
"Ashland County, Ohio",52522,40397,44.43%,29.93%,38.98%,43.23%,-48.06%,36.62%,41.5,94.57%,0.78%,1.68%,0.61%,0.01%,0.05%,10.11%,42.77%,25.22%,21.90%
"Ashtabula County, Ohio",97666,75863,39.56%,27.14%,36.36%,40.40%,-23.28%,48.01%,42.6,87.47%,3.47%,4.74%,0.38%,0.04%,0.09%,13.39%,42.12%,28.81%,15.68%
"Athens County, Ohio",61276,50543,34.74%,22.66%,26.30%,31.66%,14.84%,51.30%,32.2,89.44%,2.46%,2.01%,2.61%,0.03%,0.11%,8.27%,31.55%,25.91%,34.27%
"Auglaize County, Ohio",46263,35115,49.60%,34.56%,45.34%,47.77%,-62.25%,61.29%,40.7,94.79%,0.86%,1.84%,0.33%,0.00%,0.04%,6.58%,42.19%,30.51%,20.71%
"Belmont County, Ohio",66554,54030,34.66%,25.07%,35.86%,38.39%,-43.23%,38.49%,44.1,91.66%,3.00%,1.17%,0.61%,0.06%,0.06%,8.52%,46.11%,27.94%,17.43%
"Brown County, Ohio",43715,33672,39.41%,26.11%,37.01%,38.64%,-56.89%,4.20%,41.9,95.89%,0.90%,1.25%,0.26%,0.00%,0.02%,12.52%,45.22%,27.72%,14.54%
"Butler County, Ohio",388327,283883,40.52%,22.94%,33.99%,41.19%,-23.84%,90.39%,37.2,77.87%,8.19%,5.21%,3.96%,0.05%,0.03%,8.79%,32.49%,26.81%,31.90%
"Carroll County, Ohio",26761,21233,43.04%,28.98%,40.41%,42.31%,-52.39%,0.00%,45.9,94.96%,0.78%,1.39%,0.00%,0.00%,0.00%,11.14%,47.14%,28.27%,13.45%
"Champaign County, Ohio",38715,30074,42.49%,29.96%,40.93%,41.27%,-47.41%,29.38%,41.7,92.40%,1.95%,1.72%,0.36%,0.00%,0.36%,8.63%,41.94%,31.28%,18.15%
"Clark County, Ohio",135877,103861,39.27%,26.85%,38.70%,40.69%,-23.11%,74.61%,41.4,83.06%,8.10%,3.76%,0.62%,0.06%,0.04%,11.00%,37.32%,33.04%,18.65%
"Clermont County, Ohio",208851,160068,46.37%,23.32%,38.59%,42.14%,-36.36%,73.73%,40.5,92.03%,1.40%,2.18%,1.15%,0.00%,0.03%,8.55%,32.52%,28.73%,30.20%
"Clinton County, Ohio",42077,32002,41.12%,26.97%,38.06%,38.38%,-52.24%,29.86%,40.5,92.58%,1.83%,1.93%,0.73%,0.02%,0.05%,8.88%,39.39%,31.13%,20.61%
"Columbiana County, Ohio",101723,80926,39.37%,26.79%,36.53%,37.67%,-44.37%,44.50%,44.5,92.77%,2.13%,2.01%,0.33%,0.08%,0.06%,10.15%,44.97%,28.39%,16.48%
"Coshocton County, Ohio",36629,27850,39.00%,26.49%,37.35%,41.21%,-48.52%,33.69%,40.6,94.84%,1.13%,1.21%,0.42%,0.00%,0.06%,15.46%,42.85%,25.18%,16.50%
"Crawford County, Ohio",41861,32392,39.55%,29.71%,39.44%,41.80%,-50.43%,65.92%,42.9,94.42%,0.88%,1.84%,0.65%,0.00%,0.01%,10.09%,46.11%,29.03%,14.77%
"Cuyahoga County, Ohio",1256620,967598,40.08%,28.56%,33.83%,40.19%,33.82%,99.43%,40.4,57.60%,28.68%,6.52%,3.16%,0.02%,0.08%,9.09%,27.15%,28.58%,35.18%
"Darke County, Ohio",51751,39275,45.80%,28.67%,42.72%,46.68%,-63.11%,28.27%,41.7,95.26%,0.70%,1.73%,0.40%,0.00%,0.03%,8.93%,45.53%,29.24%,16.30%
"Defiance County, Ohio",38300,29261,43.23%,30.89%,42.67%,43.66%,-35.98%,46.43%,40.8,85.32%,1.46%,10.72%,0.28%,0.02%,0.10%,8.01%,40.44%,32.62%,18.92%
"Delaware County, Ohio",216074,153224,61.99%,33.80%,43.70%,53.66%,-6.78%,79.67%,39.8,81.80%,3.83%,2.91%,7.29%,0.02%,0.04%,2.84%,16.49%,23.23%,57.44%
"Erie County, Ohio",75299,59762,46.58%,31.03%,40.02%,45.74%,-11.44%,71.81%,44.8,81.18%,8.74%,4.77%,0.74%,0.03%,0.17%,8.14%,34.02%,31.37%,26.47%
"Fairfield County, Ohio",159371,119152,45.70%,27.62%,38.69%,46.21%,-23.28%,64.41%,39.5,83.09%,8.38%,2.52%,2.19%,0.09%,0.04%,6.12%,32.79%,30.00%,31.09%
"Fayette County, Ohio",28901,21816,36.64%,23.09%,32.56%,35.32%,-51.15%,51.91%,41.2,91.28%,2.29%,2.34%,0.82%,0.03%,0.03%,15.00%,47.04%,24.22%,13.74%
"Franklin County, Ohio",1318149,943688,43.92%,22.64%,34.12%,40.45%,31.11%,98.63%,34.6,60.46%,22.80%,6.03%,5.39%,0.03%,0.07%,8.49%,24.02%,25.80%,41.69%
"Fulton County, Ohio",42602,32437,46.81%,29.43%,41.96%,49.06%,-39.45%,17.85%,41.4,87.95%,0.48%,9.11%,0.38%,0.02%,0.01%,6.14%,43.05%,32.53%,18.28%
"Gallia County, Ohio",29276,22376,33.24%,25.84%,36.36%,37.31%,-54.98%,19.63%,40.2,92.60%,1.78%,1.47%,0.84%,0.00%,0.07%,13.70%,40.67%,27.45%,18.17%
"Geauga County, Ohio",95455,73457,54.99%,36.76%,45.25%,53.19%,-22.87%,21.45%,44.6,93.69%,0.96%,1.72%,0.51%,0.00%,0.05%,8.92%,25.60%,26.12%,39.35%
"Greene County, Ohio",167567,130281,47.09%,26.58%,38.91%,43.89%,-19.27%,77.58%,38.6,82.25%,6.25%,3.14%,2.92%,0.07%,0.06%,5.80%,22.57%,30.43%,41.19%
"Guernsey County, Ohio",38409,29843,37.39%,29.29%,36.80%,41.09%,-48.03%,37.53%,42.6,93.34%,1.84%,1.23%,0.40%,0.00%,0.05%,13.76%,42.63%,28.68%,14.93%
"Hamilton County, Ohio",827671,616521,45.65%,30.33%,38.01%,42.51%,15.72%,97.62%,36.8,63.88%,25.21%,3.75%,2.76%,0.06%,0.05%,7.86%,25.64%,26.19%,40.32%
"Hancock County, Ohio",75072,57354,45.19%,27.70%,40.25%,42.32%,-37.25%,68.19%,39.4,87.90%,1.71%,6.01%,1.91%,0.02%,0.07%,6.17%,36.19%,29.14%,28.50%
"Hardin County, Ohio",30622,23180,35.11%,22.96%,32.88%,38.24%,-51.44%,43.58%,35.6,93.55%,1.19%,2.14%,0.77%,0.04%,0.07%,8.41%,47.26%,25.85%,18.48%
"Harrison County, Ohio",14528,11462,39.66%,29.86%,45.88%,42.81%,-52.08%,0.00%,46.1,93.87%,2.88%,1.30%,0.00%,0.00%,0.02%,11.82%,48.60%,27.90%,11.68%
"Henry County, Ohio",27601,21029,46.43%,32.77%,45.38%,49.92%,-43.05%,32.06%,41.8,88.45%,0.55%,7.96%,0.15%,0.07%,0.16%,7.01%,42.86%,31.99%,18.14%
"Highland County, Ohio",43285,32820,35.64%,22.80%,36.67%,36.34%,-60.02%,26.28%,40.8,94.63%,1.64%,1.36%,0.11%,0.00%,0.12%,14.97%,41.74%,28.10%,15.18%
