NAME,2023 votes,2021 votes,2019 votes,2017 votes,2015 votes,2013 votes,2011 votes,pop_total_estimate_18to22,cvap_estimate_18to22,cvap_estimate_13to17,cvap_estimate_08to12,2023 cvap_turnout,Change in % turnout from 2021,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,2009 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Adams County, Pennsylvania",22846,21609,15729,14283,14984,14115,13846,104604,82223,78225,76560,27.79%,1.50%,26.28%,19.13%,18.26%,19.16%,18.04%,18.09%,20.99%,-34.16%,36.74%,43.8,88.01%,1.35%,7.35%,0.81%,0.00%,0.05%,9.69%,40.23%,25.71%,24.38%
"Allegheny County, Pennsylvania",359105,295163,242498.5,210199,202150.3333,165866,229405,1245310,978986,961880,955890,36.68%,6.53%,30.15%,24.77%,21.85%,21.02%,17.24%,24.00%,20.55%,20.39%,97.59%,40.6,76.96%,12.57%,2.35%,4.07%,0.01%,0.07%,4.76%,25.81%,25.59%,43.83%
"Armstrong County, Pennsylvania",16445,13777,12772.5,13539,12572.66667,12032,13382,65538,52916,53560,54685,31.08%,5.04%,26.04%,24.14%,25.28%,23.47%,22.46%,24.47%,22.58%,-52.33%,35.06%,47,95.99%,1.05%,0.85%,0.36%,0.00%,0.01%,7.56%,48.93%,24.93%,18.59%
"Beaver County, Pennsylvania",43572,37155,34221.5,29427,33688.66667,21282,32037,167629,134190,134355,134895,32.47%,4.78%,27.69%,25.50%,21.90%,25.07%,15.84%,23.75%,19.37%,-17.68%,71.08%,44.9,87.93%,5.98%,1.93%,0.50%,0.00%,0.04%,5.35%,36.57%,31.32%,26.76%
"Bedford County, Pennsylvania",11044,9455,9562.5,7610,8051.666667,7761,12418,47613,38224,38865,38810,28.89%,4.16%,24.74%,25.02%,19.58%,20.72%,19.97%,32.00%,23.72%,-67.67%,9.35%,47.3,96.10%,0.72%,1.26%,0.44%,0.00%,0.10%,9.70%,48.71%,25.49%,16.10%
"Berks County, Pennsylvania",82048,72413,70964,60476,53122.66667,42529,48404,428483,320067,307825,299705,25.63%,3.01%,22.62%,22.17%,19.65%,17.26%,13.82%,16.15%,15.62%,-8.19%,73.45%,39.9,68.77%,4.00%,23.21%,1.28%,0.01%,0.05%,11.93%,36.58%,24.67%,26.82%
"Blair County, Pennsylvania",25727,25573,21065.5,17674,16163,14513,16784,122640,97149,98435,99670,26.48%,0.16%,26.32%,21.68%,17.95%,16.42%,14.74%,16.84%,15.54%,-43.51%,74.26%,42.9,93.26%,1.79%,1.40%,0.56%,0.02%,0.06%,7.04%,44.79%,24.73%,23.43%
"Bradford County, Pennsylvania",13393,11707,11591.5,9272,9978.333333,7340,9885,60159,46468,47745,47990,28.82%,3.63%,25.19%,24.95%,19.42%,20.90%,15.37%,20.60%,17.30%,-44.94%,27.02%,43.9,94.76%,0.71%,1.57%,0.59%,0.06%,0.06%,9.36%,47.12%,23.50%,20.02%
"Bucks County, Pennsylvania",198358,190910,153642.5,127313,101230.3333,91445,98118,645163,497544,476135,465455,39.87%,1.50%,38.37%,30.88%,26.74%,21.26%,19.21%,21.08%,20.92%,4.38%,89.70%,44,81.69%,3.68%,5.92%,4.88%,0.01%,0.04%,5.32%,27.79%,23.58%,43.31%
"Butler County, Pennsylvania",49197,43509,34151.5,27734,30427.66667,22360,27778,194562,154922,145820,141595,31.76%,3.67%,28.08%,22.04%,19.02%,20.87%,15.33%,19.62%,20.08%,-32.52%,56.69%,43.4,93.54%,1.07%,1.74%,1.42%,0.00%,0.02%,4.33%,32.04%,25.30%,38.33%
"Cambria County, Pennsylvania",32379,29682,29070,23608,26513.66667,20481,28068,133263,107409,108885,114370,30.15%,2.51%,27.63%,27.06%,21.68%,24.35%,18.81%,24.54%,23.90%,-37.34%,53.92%,45.6,91.43%,3.41%,1.85%,0.50%,0.02%,0.02%,7.21%,44.41%,25.70%,22.67%
"Cameron County, Pennsylvania",1342,1156,1346.5,945,1205.666667,768,1457,4536,3744,3885,4080,35.84%,4.97%,30.88%,35.96%,24.32%,31.03%,19.77%,35.71%,20.12%,-46.71%,0.00%,51.8,93.76%,0.04%,2.01%,0.09%,0.00%,0.26%,7.39%,51.90%,29.83%,10.87%
"Carbon County, Pennsylvania",14379,13267,11926.5,10427,10194.66667,8401,10747,65018,51996,50900,51010,27.65%,2.14%,25.52%,22.94%,20.49%,20.03%,16.50%,21.07%,22.95%,-32.03%,41.08%,46.3,89.66%,1.77%,5.98%,0.42%,0.00%,0.13%,10.32%,44.05%,27.29%,18.33%
"Centre County, Pennsylvania",38973,34425,30631.5,25278,25623,17805,21629,158665,126881,127510,122540,30.72%,3.58%,27.13%,24.14%,19.82%,20.09%,13.96%,17.65%,19.84%,4.75%,65.35%,33.3,84.23%,3.17%,3.12%,6.19%,0.04%,0.09%,5.19%,28.73%,19.87%,46.20%
"Chester County, Pennsylvania",157025,142203,132475,107012,80881,71837,74214,536474,393104,369970,353530,39.94%,3.77%,36.17%,33.70%,28.92%,21.86%,19.42%,20.99%,7.93%,17.11%,80.69%,40.7,77.38%,5.20%,7.62%,6.23%,0.02%,0.03%,5.25%,19.34%,19.28%,56.12%
"Clarion County, Pennsylvania",8699,9110,7350.5,7037,7449.666667,6717,8007,37489,30324,31270,32010,28.69%,-1.36%,30.04%,24.24%,22.50%,23.82%,21.48%,25.01%,23.94%,-50.79%,15.20%,41.5,94.80%,1.58%,1.12%,0.46%,0.00%,0.02%,9.12%,46.44%,21.70%,22.75%
