NAME,pop_total_estimate_18to22,cvap_estimate_18to22,2023 cvap_turnout,Change in % turnout from 2019,2021 cvap_turnout,2019 cvap_turnout,2017 cvap_turnout,2015 cvap_turnout,2013 cvap_turnout,2011 cvap_turnout,Biden margin 2020,POPPCT_URB_20,age_median_estimate_18to22,white_pct_18to22,black_pct_18to22,hisp_lat_pct_18to22,asian_pct_18to22,nh_pi_pct_18to22,ai_an_pct_18to22,lessHS_25over_pct_18to22,HSgrad_25over_pct_18to22,somecollege_25over_pct_18to22,bachhigher_25over_pct_18to22
"Lee County, Virginia",22287,17925,24.44%,-15.84%,40.60%,40.27%,34.43%,37.30%,24.66%,34.02%,-69.13%,0.00%,45.2,92.07%,4.02%,2.14%,0.26%,0.00%,0.12%,18.25%,36.66%,33.56%,11.52%
"Craig County, Virginia",4898,3667,44.61%,-11.18%,68.31%,55.79%,44.38%,50.88%,40.05%,31.23%,-61.50%,0.00%,46.1,94.69%,0.04%,0.94%,0.00%,0.00%,0.00%,12.08%,41.74%,30.21%,15.97%
"Dickenson County, Virginia",14089,11346,40.59%,-11.06%,42.52%,51.65%,28.67%,36.95%,28.80%,42.86%,-58.13%,0.00%,45.5,97.35%,0.72%,1.05%,0.35%,0.00%,0.16%,18.63%,39.34%,30.60%,11.43%
"Appomattox County, Virginia",16253,12551,35.12%,-10.64%,41.73%,45.77%,43.13%,16.07%,42.98%,42.63%,-46.22%,0.00%,43.1,76.18%,18.00%,2.17%,0.31%,0.00%,0.01%,10.09%,39.67%,30.97%,19.28%
"Buchanan County, Virginia",20246,16771,35.30%,-9.77%,35.85%,45.07%,24.70%,40.84%,26.65%,37.37%,-67.56%,0.00%,47.6,96.20%,1.82%,0.95%,0.05%,0.00%,0.00%,25.76%,39.38%,23.93%,10.94%
"Madison County, Virginia",13828,10922,40.57%,-9.41%,61.80%,49.98%,48.38%,32.72%,44.69%,37.72%,-32.01%,0.00%,46.6,84.12%,7.86%,3.44%,0.65%,0.00%,0.03%,12.99%,34.85%,27.66%,24.50%
"Louisa County, Virginia",38106,29963,40.80%,-7.50%,58.99%,48.30%,43.68%,29.77%,36.94%,34.73%,-22.93%,0.00%,45,76.53%,13.46%,3.58%,0.49%,0.03%,0.19%,11.35%,33.76%,29.05%,25.83%
"Amelia County, Virginia",13309,10441,44.78%,-6.01%,61.03%,50.80%,46.17%,40.32%,42.63%,39.21%,-37.74%,0.00%,45.1,73.23%,20.10%,3.42%,0.01%,0.00%,0.00%,13.61%,45.33%,23.33%,17.72%
"Sussex County, Virginia",10866,9023,33.68%,-5.98%,44.70%,39.67%,34.38%,32.70%,34.20%,33.52%,11.95%,0.00%,40.4,39.99%,54.61%,3.52%,0.46%,0.00%,0.02%,18.66%,37.74%,28.21%,15.40%
"Nottoway County, Virginia",15638,12382,33.28%,-4.89%,43.88%,38.18%,35.11%,30.05%,33.23%,25.14%,-14.92%,0.00%,41.3,54.04%,38.01%,5.01%,0.53%,0.00%,0.02%,16.25%,39.48%,28.22%,16.05%
