district,2018
AK-1,R+15.21
AL-1,R+28.61
AL-2,R+30.97
AL-3,R+31.37
AL-4,R+59.81
AL-5,R+32.81
AL-6,R+47.21
AL-7,D+41.69
AR-1,R+30
AR-2,R+9.63
AR-3,R+30.8
AR-4,R+29.13
AZ-1,R+5.56
AZ-2,R+1.22
AZ-3,D+24.11
AZ-4,R+42.86
AZ-5,R+27.79
AZ-6,R+17.56
AZ-7,D+43.88
AZ-8,R+26.32
AZ-9,D+8.38
CA-1,R+22.53
CA-10,R+0.77
CA-11,D+41.1
CA-12,D+71.57
CA-13,D+75.93
CA-14,D+52.03
CA-15,D+39.23
CA-16,D+16.83
CA-17,D+47.1
CA-18,D+44.6
CA-19,D+45.2
CA-2,D+40.5
CA-20,D+42.4
CA-21,D+10.07
CA-22,R+15.3
CA-23,R+27.1
CA-24,D+13.17
CA-25,R+0.1
CA-26,D+14.07
CA-27,D+30.3
CA-28,D+43.83
CA-29,D+55.47
CA-3,D+8.17
CA-30,D+36.03
CA-31,D+15.63
CA-32,D+32.87
CA-33,D+31.5
CA-34,D+67.6
CA-35,D+35.5
CA-36,D+2.97
CA-37,D+70.83
CA-38,D+33.07
CA-39,D+0.53
CA-4,R+19.9
CA-40,D+63.97
CA-41,D+23.03
CA-42,R+17
CA-43,D+56.5
CA-44,D+66.87
CA-45,R+4.3
CA-46,D+30.03
CA-47,D+24.6
CA-48,R+6.73
CA-49,R+1.13
CA-5,D+40.03
CA-50,R+21.57
CA-51,D+42.2
CA-52,D+13.17
CA-53,D+27.63
CA-6,D+39.5
CA-7,D+4.97
CA-8,R+18.67
CA-9,D+14.33
CO-1,D+40.37
CO-2,D+16.77
CO-3,R+13.56
CO-4,R+25.39
CO-5,R+26.49
CO-6,D+4.07
CO-7,D+9.37
CT-1,D+20.56
CT-2,D+2.29
CT-3,D+15.02
CT-4,D+14.96
CT-5,D+1.39
DE-1,D+13.66
FL-1,R+43.9
FL-10,D+20.46
FL-11,R+32.9
FL-12,R+19.8
FL-13,D+0.8
FL-14,D+12.7
FL-15,R+13.44
FL-16,R+14.9
FL-17,R+28.47
FL-18,R+12.27
FL-19,R+26.9
FL-2,R+38.84
FL-20,D+58.3
FL-21,D+15.26
FL-22,D+10.06
FL-23,D+20.3
FL-24,D+64.03
FL-25,R+9.3
FL-26,D+9.8
FL-27,D+10.4
FL-3,R+20.47
FL-4,R+34.67
FL-5,D+21.43
FL-6,R+18.1
FL-7,R+0.04
FL-8,R+23.54
FL-9,D+7.76
GA-1,R+20.37
GA-10,R+31.47
GA-11,R+34.2
GA-12,R+20.47
GA-13,D+36.93
GA-14,R+56.97
GA-2,D+8
GA-3,R+37.7
GA-4,D+45.66
GA-5,D+65.43
GA-6,R+14.5
GA-7,R+17.24
GA-8,R+33.04
GA-9,R+63.94
HI-1,D+35.57
HI-2,D+36.37
IA-1,D+0.74
IA-2,D+0.14
IA-3,R+2.42
IA-4,R+22.46
ID-1,R+39.58
ID-2,R+29.95
IL-1,D+51.63
IL-10,D+21.13
IL-11,D+17.47
IL-12,R+13.27
IL-13,R+7.7
IL-14,R+9.87
IL-15,R+44.67
IL-16,R+17.97
IL-17,D+1.26
IL-18,R+29.9
IL-2,D+56.06
IL-3,D+10.7
IL-4,D+63.26
IL-5,D+38.53
IL-6,R+2
IL-7,D+73.33
IL-8,D+16.03
IL-9,D+36.77
IN-1,D+14.48
IN-2,R+21.99
IN-3,R+34.12
IN-4,R+32.59
IN-5,R+15.32
IN-6,R+36.42
IN-7,D+22.54
IN-8,R+30.59
IN-9,R+25.29
KS-1,R+46.55
