state,2020
Alabama,R+27
Alaska,R+16
Arizona,R+8
Arkansas,R+26
California,D+22
Colorado,R+0
Connecticut,D+10
Delaware,D+12
Florida,R+6
Georgia,R+13
Hawaii,D+36
Idaho,R+33
Illinois,D+13
Indiana,R+17
Iowa,R+9
Kansas,R+21
Kentucky,R+24
Louisiana,R+19
Maine,D+3
Maryland,D+23
Massachusetts,D+23
Michigan,D+6
Minnesota,D+1
Mississippi,R+15
Missouri,R+21
Montana,R+18
Nebraska,R+25
Nevada,R+1
New Hampshire,R+1
New Jersey,D+11
New Mexico,D+8
New York,D+22
North Carolina,R+4
North Dakota,R+34
Ohio,R+6
Oklahoma,R+33
Oregon,D+7
Pennsylvania,R+1
Rhode Island,D+24
South Carolina,R+16
South Dakota,R+28
Tennessee,R+28
Texas,R+17
Utah,R+30
Vermont,D+24
Virginia,D+7
Washington,D+15
West Virginia,R+33
Wisconsin,R+3
Wyoming,R+45
