district,2018,2020
AK-1,R+15.21,R+15.52
AL-1,R+28.61,R+28.78
AL-2,R+30.97,R+31.15
AL-3,R+31.37,R+31.55
AL-4,R+59.81,R+60.1
AL-5,R+32.81,R+32.99
AL-6,R+47.21,R+47.44
AL-7,D+41.69,D+41.48
AR-1,R+30,R+31.56
AR-2,R+9.63,R+11.2
AR-3,R+30.8,R+32.36
AR-4,R+29.13,R+30.69
AZ-1,R+5.56,R+3.79
AZ-2,R+1.22,D+0.54
AZ-3,D+24.11,D+25.82
AZ-4,R+42.86,R+41.24
AZ-5,R+27.79,R+26.08
AZ-6,R+17.56,R+15.81
AZ-7,D+43.88,D+45.47
AZ-8,R+26.32,R+24.61
AZ-9,D+8.38,D+10.13
CA-1,R+22.53,R+23.88
CA-10,R+0.77,R+2.2
CA-11,D+41.1,D+39.96
CA-12,D+71.57,D+71.11
CA-13,D+75.93,D+75.62
CA-14,D+52.03,D+51.09
CA-15,D+39.23,D+38.07
CA-16,D+16.83,D+15.44
CA-17,D+47.1,D+46.06
CA-18,D+44.6,D+43.52
CA-19,D+45.2,D+44.13
CA-2,D+40.5,D+39.35
CA-20,D+42.4,D+41.28
CA-21,D+10.07,D+8.65
CA-22,R+15.3,R+16.7
CA-23,R+27.1,R+28.41
CA-24,D+13.17,D+11.76
CA-25,R+0.1,R+1.54
CA-26,D+14.07,D+12.66
CA-27,D+30.3,D+29.02
CA-28,D+43.83,D+42.74
CA-29,D+55.47,D+54.59
CA-3,D+8.17,D+6.74
CA-30,D+36.03,D+34.82
CA-31,D+15.63,D+14.24
CA-32,D+32.87,D+31.62
CA-33,D+31.5,D+30.24
CA-34,D+67.6,D+67.03
CA-35,D+35.5,D+34.28
CA-36,D+2.97,D+1.53
CA-37,D+70.83,D+70.35
CA-38,D+33.07,D+31.82
CA-39,D+0.53,R+0.9
CA-4,R+19.9,R+21.27
CA-40,D+63.97,D+63.3
CA-41,D+23.03,D+21.69
CA-42,R+17,R+18.39
CA-43,D+56.5,D+55.65
CA-44,D+66.87,D+66.27
CA-45,R+4.3,R+5.73
CA-46,D+30.03,D+28.75
CA-47,D+24.6,D+23.27
CA-48,R+6.73,R+8.16
CA-49,R+1.13,R+2.57
CA-5,D+40.03,D+38.88
CA-50,R+21.57,R+22.92
CA-51,D+42.2,D+41.08
CA-52,D+13.17,D+11.76
CA-53,D+27.63,D+26.33
CA-6,D+39.5,D+38.34
CA-7,D+4.97,D+3.53
CA-8,R+18.67,R+20.04
CA-9,D+14.33,D+12.93
CO-1,D+40.37,D+39
CO-2,D+16.77,D+15.13
CO-3,R+13.56,R+15.22
CO-4,R+25.39,R+26.96
CO-5,R+26.49,R+28.04
CO-6,D+4.07,D+2.38
CO-7,D+9.37,D+7.69
CT-1,D+20.56,D+19.61
CT-2,D+2.29,D+1.31
CT-3,D+15.02,D+14.06
CT-4,D+14.96,D+13.99
CT-5,D+1.39,D+0.41
DE-1,D+13.66,D+12.13
FL-1,R+43.9,R+44.25
FL-10,D+20.46,D+20.09
FL-11,R+32.9,R+33.27
FL-12,R+19.8,R+20.18
FL-13,D+0.8,D+0.42
FL-14,D+12.7,D+12.32
FL-15,R+13.44,R+13.81
FL-16,R+14.9,R+15.28
FL-17,R+28.47,R+28.84
FL-18,R+12.27,R+12.65
FL-19,R+26.9,R+27.27
FL-2,R+38.84,R+39.19
FL-20,D+58.3,D+57.97
FL-21,D+15.26,D+14.89
FL-22,D+10.06,D+9.69
FL-23,D+20.3,D+19.92
FL-24,D+64.03,D+63.71
FL-25,R+9.3,R+9.68
FL-26,D+9.8,D+9.42
FL-27,D+10.4,D+10.02
FL-3,R+20.47,R+20.84
FL-4,R+34.67,R+35.03
FL-5,D+21.43,D+21.06
FL-6,R+18.1,R+18.48
FL-7,R+0.04,R+0.41
FL-8,R+23.54,R+23.91
FL-9,D+7.76,D+7.39
GA-1,R+20.37,R+21.32
GA-10,R+31.47,R+32.35
GA-11,R+34.2,R+35.07
GA-12,R+20.47,R+21.42
GA-13,D+36.93,D+36.09
GA-14,R+56.97,R+57.57
GA-2,D+8,D+7
GA-3,R+37.7,R+38.53
GA-4,D+45.66,D+44.91
GA-5,D+65.43,D+64.96
GA-6,R+14.5,R+15.48
GA-7,R+17.24,R+18.2
GA-8,R+33.04,R+33.91
GA-9,R+63.94,R+64.43
HI-1,D+35.57,D+35.73
HI-2,D+36.37,D+36.52
IA-1,D+0.74,R+2.84
IA-2,D+0.14,R+3.44
IA-3,R+2.42,R+6
IA-4,R+22.46,R+25.87
ID-1,R+39.58,R+37.21
ID-2,R+29.95,R+27.6
IL-1,D+51.63,D+51.46
IL-10,D+21.13,D+21.12
IL-11,D+17.47,D+17.47
IL-12,R+13.27,R+13.26
IL-13,R+7.7,R+7.68
IL-14,R+9.87,R+9.85
IL-15,R+44.67,R+44.8
IL-16,R+17.97,R+17.97
IL-17,D+1.26,D+1.29
IL-18,R+29.9,R+29.95
IL-2,D+56.06,D+55.86
IL-3,D+10.7,D+10.71
IL-4,D+63.26,D+62.99
IL-5,D+38.53,D+38.45
IL-6,R+2,R+1.98
IL-7,D+73.33,D+72.94
IL-8,D+16.03,D+16.04
IL-9,D+36.77,D+36.69
IN-1,D+14.48,D+15.27
IN-2,R+21.99,R+21.23
IN-3,R+34.12,R+33.43
IN-4,R+32.59,R+31.89
IN-5,R+15.32,R+14.53
IN-6,R+36.42,R+35.75
IN-7,D+22.54,D+23.3
IN-8,R+30.59,R+29.87
IN-9,R+25.29,R+24.54
KS-1,R+46.55,R+44.54
KS-2,R+19.05,R+16.9
KS-3,R+4.75,R+2.58
KS-4,R+29.02,R+26.91
KY-1,R+39.53,R+39.94
KY-2,R+31.76,R+32.17
KY-3,D+18.54,D+18.14
KY-4,R+29.23,R+29.63
KY-5,R+54.43,R+54.86
KY-6,R+10.5,R+10.89
LA-1,R+41.19,R+42.91
LA-2,D+54.08,D+52.44
LA-3,R+35.19,R+36.95
LA-4,R+20.96,R+22.78
LA-5,R+25.89,R+27.69
LA-6,R+32.42,R+34.19
MA-1,D+27.23,D+20.85
MA-2,D+22.96,D+16.57
MA-3,D+23.9,D+17.51
MA-4,D+24.96,D+18.58
MA-5,D+43.3,D+36.97
MA-6,D+19.06,D+12.66
MA-7,D+73.96,D+67.85
MA-8,D+26.53,D+20.15
MA-9,D+14.8,D+8.39
MD-1,R+30.39,R+29.89
MD-2,D+21.88,D+22.37
MD-3,D+24.44,D+24.94
MD-4,D+53.68,D+54.17
MD-5,D+28.81,D+29.31
MD-6,D+10.44,D+10.94
MD-7,D+51.28,D+51.77
MD-8,D+27.84,D+28.34
ME-1,D+14.87,D+12.99
ME-2,R+6.13,R+8.03
MI-1,R+18.64,R+14.29
MI-10,R+27.01,R+22.77
MI-11,R+6.41,R+1.97
MI-12,D+26.99,D+31.14
MI-13,D+62.42,D+65.39
MI-14,D+59.72,D+62.81
MI-2,R+17.71,R+13.34
MI-3,R+10.38,R+5.95
MI-4,R+20.88,R+16.55
MI-5,D+8.59,D+13
MI-6,R+7.74,R+3.31
MI-7,R+14.04,R+9.64
MI-8,R+7.18,R+2.74
MI-9,D+8.62,D+13.03
MN-1,R+10.99,R+11.58
MN-2,R+2.29,R+2.89
MN-3,D+5.01,D+4.41
MN-4,D+28.08,D+27.51
MN-5,D+51.78,D+51.31
MN-6,R+23.65,R+24.23
MN-7,R+25.32,R+25.89
MN-8,R+10.09,R+10.68
MO-1,D+55.63,D+54.27
MO-2,R+15.61,R+17.46
MO-3,R+38.14,R+39.78
MO-4,R+35.77,R+37.44
MO-5,D+11.99,D+10.11
MO-6,R+31.81,R+33.52
MO-7,R+46.41,R+47.92
MO-8,R+51.07,R+52.5
MS-1,R+29.99,R+29.32
MS-2,D+30.44,D+31.11
MS-3,R+22.99,R+22.28
MS-4,R+39.29,R+38.7
MT-1,R+17.95,R+18.36
NC-1,D+35,D+11.44
NC-10,R+24.4,R+36.71
NC-11,R+28.26,R+16.31
NC-12,D+36.87,D+35.63
NC-13,R+10.5,R+35.27
NC-2,R+12.7,D+20.48
NC-3,R+23.66,R+23.25
NC-4,D+34.8,D+30.42
NC-5,R+18.43,R+34.65
NC-6,R+16,D+19.34
NC-7,R+18,R+19.29
NC-8,R+15.4,R+8.45
NC-9,R+13.56,R+11.45
ND-1,R+33.68,R+33.96
NE-1,R+19.83,R+20.65
NE-2,R+3.9,R+4.75
NE-3,R+50.8,R+51.41
NH-1,R+4.37,R+3.31
NH-2,D+1,D+2.06
NJ-1,D+24.81,D+22.25
NJ-10,D+71.78,D+69.68
NJ-11,R+4.49,R+7.09
NJ-12,D+31.54,D+29.02
NJ-2,R+2.32,R+4.93
NJ-3,R+4.56,R+7.16
NJ-4,R+14.99,R+17.57
NJ-5,R+3.69,R+6.29
NJ-6,D+16.44,D+13.86
NJ-7,R+3.29,R+5.89
NJ-8,D+53.34,D+51
NJ-9,D+31.38,D+28.85
NM-1,D+14.53,D+15.32
NM-2,R+10.77,R+9.97
NM-3,D+14.63,D+15.42
NV-1,D+25.27,D+25.86
NV-2,R+16.03,R+15.42
NV-3,R+5.53,R+4.91
NV-4,D+1.7,D+2.32
NY-1,R+10.44,R+9.96
NY-10,D+53.46,D+53.71
NY-11,R+7.51,R+7.02
NY-12,D+62.59,D+62.75
NY-13,D+85.52,D+85.36
NY-14,D+56.99,D+57.21
NY-15,D+88.09,D+87.88
NY-16,D+48.72,D+49.02
NY-17,D+16.16,D+16.63
NY-18,R+2.24,R+1.75
NY-19,R+4.88,R+4.39
NY-2,R+7.01,R+6.52
NY-20,D+13.39,D+13.87
NY-21,R+9.64,R+9.16
NY-22,R+12.88,R+12.4
NY-23,R+12.68,R+12.2
NY-24,D+5.29,D+5.78
NY-25,D+14.99,D+15.46
NY-26,D+20.52,D+20.98
NY-27,R+22.88,R+22.43
NY-3,D+2.52,D+3.01
NY-4,D+8.49,D+8.97
NY-5,D+73.42,D+73.45
NY-6,D+31.86,D+32.27
NY-7,D+74.62,D+74.63
NY-8,D+71.39,D+71.45
NY-9,D+67.49,D+67.6
OH-1,R+9.42,R+8.11
OH-10,R+8.48,R+7.17
OH-11,D+61.42,D+62.22
OH-12,R+14.02,R+12.72
OH-13,D+10.52,D+11.82
OH-14,R+11.75,R+10.45
OH-15,R+15.12,R+13.83
