city,police_force_size,all,white,non-white,black,hispanic,asian
New York,32300,0.617956656,0.446386555,0.764418938,0.770891365,0.762860728,0.749235474
Chicago,12120,0.875,0.871962617,0.877400295,0.89740566,0.83982684,0.966666667
Los Angeles,10100,0.228217822,0.152777778,0.263848397,0.387387387,0.217679558,0.305263158
Washington,9340,0.115631692,0.056774194,0.15736505,0.170189099,0.08988764,0.230769231
Houston,7700,0.292207792,0.17373461,0.399258344,0.36637931,0.457142857,0.408163265
Philadelphia,6045,0.835401158,0.776898734,0.899480069,0.924657534,0.817391304,**
Phoenix,4475,0.311731844,0.270801815,0.427350427,0.52173913,0.427710843,**
San Diego,4460,0.362107623,0.372983871,0.348484848,0.538461538,0.297794118,0.515625
Dallas,3605,0.191400832,0.171503958,0.213450292,0.214634146,0.256880734,**
Detroit,3265,0.370597243,0.081967213,0.542787286,0.568,0.333333333,**
San Francisco,3020,0.316225166,0.259493671,0.378472222,0.186046512,0.253333333,0.486111111
San Antonio,2955,0.624365482,0.443877551,0.713924051,0.574468085,0.739130435,**
Atlanta,2950,0.137288136,0.18627451,0.111398964,0.101983003,**,**
Las Vegas,2830,0.374558304,0.4,0.307692308,0.387755102,0.267857143,**
Baltimore,2800,0.257142857,0.1328125,0.361842105,0.391459075,**,**
Boston,2560,0.4765625,0.441558442,0.582677165,0.686567164,0.75,**
"Jacksonville, Fla.",2335,0.809421842,0.713780919,0.956521739,1,0.888888889,1
"El Paso, Texas",2260,0.851769912,0.826446281,0.86102719,**,0.86102719,**
"Columbus, Ohio",2245,0.405345212,0.379781421,0.518072289,0.571428571,**,**
Cleveland,2045,0.557457213,0.498127341,0.669014085,0.595959596,0.941176471,**
"Tucson, Ariz.",2020,0.398514851,0.416666667,0.375,**,0.333333333,**
"Newark, N.J.",2005,0.279301746,0.207964602,0.371428571,0.519480519,0.260416667,**
"Austin, Texas",1985,0.294710327,0.194690265,0.426900585,0.25,0.453846154,**
"Memphis, Tenn.",1970,0.464467005,0.339130435,0.640243902,0.668874172,**,**
Milwaukee,1960,0.721938776,0.692883895,0.784,0.931034483,0.733333333,**
"San Jose, Calif.",1875,0.466666667,0.472340426,0.457142857,**,0.406976744,0.44
Miami,1860,0.072580645,0.030612245,0.087591241,0,0.116751269,**
Denver,1820,0.282967033,0.149321267,0.48951049,0.580645161,0.391752577,**
"Sacramento, Calif.",1820,0.07967033,0.063380282,0.1375,0.32,0,**
"Charlotte, N.C.",1780,0.362359551,0.294545455,0.592592593,0.833333333,0.321428571,**
"Tampa, Fla.",1715,0.177842566,0.131914894,0.277777778,0.276595745,0.326923077,**
Indianapolis,1620,0.648148148,0.71042471,0.4,0.383333333,**,**
"Santa Ana, Calif.",1590,0.094339623,0.058823529,0.120879121,**,0.148648649,0
New Orleans,1560,0.5,0.324074074,0.593137255,0.62371134,**,**
"Oakland, Calif.",1530,0.094771242,0.026666667,0.16025641,0.0625,0.108108108,0.28125
"Orlando, Fla.",1530,0.117647059,0.09,0.169811321,**,0.111111111,**
"Oklahoma City, Okla.",1500,0.596666667,0.547325103,0.807017544,0.62962963,**,**
Seattle,1445,0.117647059,0.115577889,0.122222222,0.1875,0,**
"Kansas City, Mo.",1440,0.777777778,0.768,0.842105263,1,**,**
"Nashville, Tenn.",1440,0.618055556,0.43715847,0.933333333,0.947368421,**,**
"Laredo, Texas",1435,0.93728223,0.962962963,0.931330472,**,0.931330472,**
"Fort Worth, Texas",1430,0.426573427,0.306748466,0.585365854,0.637931034,0.559322034,**
"Louisville, Ky.",1430,0.646853147,0.620833333,0.782608696,0.772727273,**,**
"Norfolk, Va.",1425,0.21754386,0.267080745,0.153225806,0.106796117,**,**
"Arlington, Va.",1360,0.202205882,0.222222222,0.1796875,0.16,**,**
Pittsburgh,1350,0.659259259,0.67965368,0.538461538,0.533333333,**,**
"Albuquerque, N.M.",1340,0.615671642,0.62962963,0.601503759,**,0.566371681,**
"Jersey City, N.J.",1170,0.252136752,0.206451613,0.341772152,0.303030303,0.325581395,**
"Raleigh, N.C.",1150,0.269565217,0.206349206,0.56097561,**,**,**
"Rochester, N.Y.",1150,0.1,0.040935673,0.271186441,0.195121951,**,**
Cincinnati,1145,0.227074236,0.147727273,0.490566038,0.648648649,**,**
"Long Beach, Calif.",1115,0.291479821,0.277227723,0.303278689,**,0.3125,0
"Birmingham, Ala.",1110,0.225225225,0.086021505,0.325581395,0.328125,**,**
"Wichita, Kan.",1075,0.6,0.511764706,0.933333333,**,0.896551724,**
"Virginia Beach, Va.",1070,0.789719626,0.75625,0.888888889,0.727272727,1,**
"Fresno, Calif.",1040,0.514423077,0.509615385,0.519230769,0.681818182,0.46031746,**
"Buffalo, N.Y.",1010,0.336633663,0.292397661,0.580645161,**,0.523809524,**
Minneapolis,1000,0.1,0.052631579,0.379310345,**,**,**
"Portland, Ore.",1000,0.21,0.186440678,0.391304348,**,**,**
"Reno, Nev.",1000,0.34,0.323863636,0.458333333,**,**,**
"Richmond, Va.",1000,0.11,0.101694915,0.12195122,0.208333333,**,**
"Baton Rouge, La.",980,0.214285714,0.144067797,0.320512821,0.342465753,**,**
"Jackson, Miss.",960,0.390625,0.082191781,0.579831933,0.579831933,**,**
"Riverside, Calif.",955,0.219895288,0.35,0.076923077,0,0.142857143,**
"Fort Lauderdale, Fla.",950,0.168421053,0.220183486,0.098765432,0.102564103,0.114285714,**
St. Louis,950,0.589473684,0.538461538,0.671232877,0.682539683,**,**
"Brownsville, Texas",925,0.513513514,0.5,0.514124294,**,0.520231214,**
"Albany, N.Y.",890,0.185393258,0.16025641,0.363636364,**,**,**
"Colorado Springs, Colo.",860,0.604651163,0.553030303,0.775,**,0.913043478,**
"Savannah, Ga.",860,0.215116279,0.076923077,0.299065421,0.170731707,0.75,**
"Winston-Salem, N.C.",860,0.575581395,0.424778761,0.86440678,0.869565217,**,**
"Toledo, Ohio",805,0.565217391,0.530769231,0.709677419,0.75,**,**
"Madison, Wis.",790,0.278481013,0.246478873,0.5625,**,**,**
"Corpus Christi, Texas",770,0.857142857,0.893333333,0.82278481,**,0.847222222,**
"San Bernardino, Calif.",755,0.271523179,0.263157895,0.28,**,0.274509804,**
