district,elasticity
MI-5,1.24
IL-8,1.22
NV-4,1.22
MA-1,1.22
MA-6,1.21
MA-2,1.21
NY-21,1.21
FL-26,1.20
MA-9,1.20
FL-25,1.20
MN-7,1.19
NH-1,1.19
MA-4,1.18
CA-26,1.18
MA-3,1.18
RI-1,1.17
IL-12,1.17
TX-33,1.17
IA-2,1.17
WA-5,1.17
UT-2,1.16
AK-1,1.16
TX-29,1.15
ME-1,1.15
OR-2,1.15
NM-2,1.14
CO-3,1.14
MA-8,1.13
RI-2,1.13
TX-35,1.13
AZ-7,1.13
WI-2,1.13
IN-2,1.13
AZ-4,1.12
MI-4,1.12
NV-1,1.12
MI-7,1.12
ID-1,1.12
NY-11,1.12
VT-1,1.12
KS-4,1.12
MI-8,1.12
ID-2,1.11
CA-4,1.11
TX-20,1.11
TX-27,1.11
CO-5,1.11
MD-1,1.11
CA-51,1.11
MI-1,1.11
TX-23,1.11
OH-4,1.11
IL-11,1.11
IL-16,1.11
MI-10,1.11
CA-1,1.11
TX-7,1.11
TX-34,1.11
WI-5,1.11
IL-15,1.10
NH-2,1.10
AZ-5,1.10
FL-17,1.10
TX-14,1.10
MN-8,1.10
PA-9,1.10
NY-27,1.10
WI-6,1.10
OH-8,1.10
ME-2,1.10
OH-16,1.10
NC-6,1.09
AZ-6,1.09
HI-2,1.09
OH-7,1.09
MN-4,1.09
CO-7,1.09
WI-8,1.09
FL-27,1.09
TX-28,1.09
FL-8,1.09
NJ-5,1.09
NY-22,1.09
FL-3,1.08
OH-2,1.08
PA-14,1.08
NY-23,1.08
NC-5,1.08
NY-18,1.08
WY-1,1.08
CA-10,1.08
IL-10,1.08
LA-6,1.08
SC-2,1.08
AZ-3,1.08
TX-16,1.07
MI-9,1.07
NJ-11,1.07
IN-1,1.07
CO-2,1.07
CA-29,1.07
OH-6,1.07
KY-5,1.07
TX-30,1.07
WV-3,1.07
TX-9,1.07
MT-1,1.06
PA-15,1.06
WI-3,1.06
IA-4,1.06
UT-3,1.06
TN-9,1.06
FL-7,1.06
TX-15,1.06
FL-21,1.06
TX-31,1.06
MI-6,1.06
TN-7,1.06
MO-5,1.06
IL-13,1.06
AR-1,1.06
NY-20,1.06
IA-1,1.06
NE-2,1.05
TX-18,1.05
AZ-1,1.05
WA-8,1.05
IN-6,1.05
HI-1,1.05
FL-16,1.05
PA-8,1.05
CA-40,1.05
WA-6,1.05
WA-4,1.05
IL-5,1.05
GA-6,1.05
KS-3,1.05
NJ-2,1.05
CA-22,1.04
GA-12,1.04
FL-20,1.04
MI-2,1.04
MD-2,1.04
NY-4,1.04
NJ-1,1.04
CO-4,1.04
TN-4,1.04
WV-2,1.04
NJ-9,1.04
NY-25,1.04
NY-26,1.04
TX-12,1.04
TX-8,1.04
PA-6,1.04
CA-42,1.04
FL-13,1.03
VA-4,1.03
CA-23,1.03
TX-26,1.03
NJ-7,1.03
TX-11,1.03
MO-8,1.03
MI-3,1.03
VA-10,1.03
CO-6,1.03
CA-36,1.03
CT-5,1.03
OH-13,1.03
WI-1,1.03
TX-1,1.03
MN-1,1.03
NY-1,1.02
WI-7,1.02
TX-32,1.02
FL-22,1.02
IL-6,1.02
MN-2,1.02
OH-5,1.02
FL-9,1.02
FL-4,1.02
TX-19,1.02
MD-3,1.02
MI-12,1.02
LA-4,1.02
FL-2,1.02
PA-1,1.02
CA-33,1.01
IN-8,1.01
OK-3,1.01
PA-5,1.01
NY-6,1.01
OH-9,1.01
SD-1,1.01
NE-1,1.01
CA-34,1.01
WI-4,1.01
IL-4,1.01
PA-10,1.01
TX-13,1.01
OR-5,1.01
SC-4,1.01
TN-8,1.01
AZ-8,1.01
NC-2,1.01
NM-1,1.01
NC-11,1.01
WV-1,1.01
FL-10,1.01
PA-17,1.01
MA-7,1.01
NY-2,1.01
NJ-4,1.01
PA-12,1.01
TN-3,1.01
NY-19,1.01
FL-6,1.01
WA-3,1.00
FL-12,1.00
TX-36,1.00
IA-3,1.00
AL-5,1.00
PA-11,1.00
NY-12,1.00
MO-6,1.00
CA-11,1.00
FL-23,1.00
WA-2,1.00
UT-1,1.00
AR-3,1.00
IL-3,1.00
OH-1,1.00
CA-16,1.00
CA-3,1.00
FL-11,0.99
GA-11,0.99
MI-11,0.99
CT-3,0.99
OH-3,0.99
CA-48,0.99
IN-4,0.99
NC-3,0.99
MS-4,0.99
NJ-6,0.99
PA-18,0.98
CA-18,0.98
NC-13,0.98
TX-3,0.98
MA-5,0.98
PA-4,0.98
FL-24,0.98
MO-1,0.98
VA-6,0.98
TN-6,0.98
CT-4,0.98
ND-1,0.98
MN-3,0.98
TX-4,0.98
OK-4,0.98
LA-2,0.98
OR-1,0.98
OH-12,0.97
PA-16,0.97
WA-10,0.97
CA-25,0.97
FL-15,0.97
MD-6,0.97
IL-17,0.97
AL-2,0.97
PA-7,0.97
CO-1,0.97
UT-4,0.97
AR-2,0.97
CA-24,0.97
OH-11,0.97
IL-14,0.97
FL-19,0.97
CA-43,0.97
CA-8,0.97
FL-14,0.97
NV-3,0.97
CA-52,0.97
CT-1,0.97
SC-1,0.97
AR-4,0.97
NC-8,0.97
TX-17,0.97
WA-1,0.96
FL-18,0.96
NV-2,0.96
PA-13,0.96
SC-3,0.96
IL-2,0.96
TX-6,0.96
KS-2,0.96
NJ-3,0.96
NC-1,0.96
OH-10,0.96
IN-7,0.96
TX-2,0.95
MS-2,0.95
TX-10,0.95
NE-3,0.95
NY-3,0.95
VA-5,0.95
FL-1,0.95
OR-3,0.95
MO-2,0.95
IL-18,0.95
CT-2,0.95
CA-9,0.95
NC-10,0.95
IL-9,0.95
AZ-9,0.95
CA-45,0.95
TN-1,0.95
CA-39,0.95
NJ-8,0.94
AZ-2,0.94
IN-9,0.94
VA-9,0.94
MO-3,0.94
OH-15,0.94
OR-4,0.94
MN-6,0.94
TX-25,0.94
VA-3,0.94
LA-1,0.94
MI-13,0.94
SC-6,0.94
GA-5,0.94
CA-47,0.94
NC-4,0.94
NJ-10,0.93
MS-1,0.93
CA-50,0.93
VA-2,0.93
NY-10,0.93
DE-1,0.93
CA-31,0.93
VA-1,0.93
CA-41,0.93
CA-21,0.93
NM-3,0.93
OH-14,0.93
MI-14,0.93
TX-22,0.93
KY-6,0.92
NJ-12,0.92
KY-1,0.92
SC-7,0.92
NC-12,0.92
CA-19,0.92
OK-2,0.92
TX-5,0.91
MN-5,0.91
OK-1,0.91
TN-2,0.91
KY-2,0.91
LA-5,0.91
CA-49,0.91
FL-5,0.91
GA-14,0.90
NY-24,0.90
AL-1,0.90
LA-3,0.90
CA-7,0.90
OK-5,0.90
NC-9,0.90
GA-9,0.90
SC-5,0.90
MD-7,0.90
VA-11,0.90
KY-3,0.89
GA-8,0.89
CA-17,0.89
MD-4,0.89
GA-2,0.89
TX-21,0.89
NC-7,0.88
KY-4,0.88
MD-5,0.88
IN-3,0.88
NY-16,0.88
PA-2,0.88
TN-5,0.88
KS-1,0.88
CA-30,0.88
VA-7,0.88
