"Please enter your information, and your polling organization's information."		"How do you determine how likely one of your respondents is to vote? Do you weight them, or is each respondent either a likely voter or not one? Please provide as much detail as possible."	"Do you weight by party affiliation? If so, how do you determine what weights to use? Please provide as much detail as possible."	Do you ever poll from registered voter lists rather than call at random?	Why?	"When you weight poll results, is there a maximum weight you use to increase the count of a demographic subgroup?"	"Why or why not, and if yes, what is that weight?"	Do you weight by race and party together? (Example: weighting African-American Democrats instead of African-Americans and Democrats separately.)	"In what circumstances do you do so, and why?"	Do you ever deliberately call back prior poll takers [http://fivethirtyeight.com/features/oct-16-can-polls-exaggerate-bounces/]?	"If you do sometimes or always do that, under which circumstances, how do you do so, and why? If not, why not?"	Do you have off-the-record conversations with other pollsters to compare results before publishing them?	Why or why not?	Do you use Bayesian methods or frequentist methods?		Why?	Do you find traditional reporting of statistical margin of error to be credible?	"If so, why? And if not, how do you think margin of error should be reported?"	In what languages other than English do you ever ask your political polls?											What percentage does it add to the cost of a poll to add one language?	"If you field polls in Spanish, how do Hispanic respondents who choose to answer in Spanish differ from those who answer in English?"	"How much does it cost you to poll one stateÍs Senate race, on average?"	"How much did it cost you to poll one stateÍs Senate race, on average, in 2010?"	"How do you account for the change, if any?"	Do you always disclose who is funding your polls?	Why or why not?	Do you ever conduct and publish political polls without sponsors?	"If not, why not and would you ever do so? If so, under what circumstances and why?"	How many total employees (full-time or part-time) does your polling organization have?	How many are men?	How many are women?	How many are white?	How many are African-American?	How many are Hispanic?	How many are Asian American?	Any comments on the demographics of your staff?	Do you ever poll using an online panel?	Do you cap the number of polls that panel members can take in a given time period?	"Why or why not? And if you do, at what level do you cap it?"	What percentage of your panel members leave or become inactive annually?	Any comments on your panel turnover?	Do you ever poll by phone?	Have decreasing response rates required you to change your techniques by using increased weighting or supplementing with different technologies?	Please elaborate on your answer above.	How much do you pay your interviewers per hour?	What percentage of your interviewers are male?	What is your interviewers' average age?	How many hours of training do you require them to have before they can conduct interviews?	How are your interviewers trained to handle invective from people who hate being called?	What percentage of interviews do you monitor for quality?	Do you ever interview by phone using Interactive Voice Response (IVR)?	For what percentage of IVR polls do you use male voices?	For what percentage of IVR polls do you use female voices?	"Whose voices do you use? i.e. actors, local TV personalities?"	"How much do you pay the people whose voices you record, by poll or by hour?"	"How many seats do you expect Republicans will control in the Senate in 2015? (Yes, we're asking again.)"	Why?	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Name	Polling Organization	Open-Ended Response	Open-Ended Response	Response	Open-Ended Response	Response	Open-Ended Response	Response	Open-Ended Response	Response	Open-Ended Response	Response	Open-Ended Response	Response	Sometimes or Other (please specify)	Open-Ended Response	Response	Open-Ended Response	Spanish	Mandarin or other Chinese	Tagalog	French	Vietnamese	German	Korean	Russian	Arabic	None	Other (please specify)	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Open-Ended Response	Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response	Open-Ended Response
Shachi Kurl	Angus Reid Global	"Angus Reid Global reports two perspectives on the Canadian electorate. The first, as has been our practice for almost 40 years, involves examination of the intentions and attitudes of eligible Canadian voters. The second, in light of declining electoral turnout rates, particularly among younger voters, includes a separate commentary in our analysis on the intentions of Canadians most likely to vote. Our data has been analyzed through two sets of filters: those of all respondents who are eligible Canadian voters, and those of survey respondents who are most likely to vote. The data from all respondents uses standard census-based targets to ensure a national sample that is representative of the adult Canadian population as a whole by key demographics such as gender, age, education and region. Data from likely voters applies a weighting structure that further adjusts our sample to reflect known variations in voter turnout _- specifically across age groups -_ while also filtering based on respondents' own self-reported past voting patterns and habits. We have developed this approach because we feel strongly that it is the responsible thing to do when reporting on electoral projections. With declining voter turnout, there exists an increasingly important divergence between general public opinion -_ which still includes the still valid views of the almost 40 percent of Canadian adults who donÍt vote -- and the political orientation of the 60 percent of likely voters whose choices actually decide electoral outcomes."																																	Yes	Transparency is absolutely 100% key.											Yes					No																
John Anzalone	Anzalone Liszt Grove Research	"First off, we are driving our samples based off of voter history. We have an equation of what percent of the sample is only 2010 voters and then allow in a certain but small percent of new registrants since 2011 who voted in 2012 primaries and general, as well as new registrants since the 2012 election. But we start with 80% hardcore mid-term voter history. Then we screen down verbally on the interview between very likely and somewhat likely to vote."	"Naturally we ask self-identified party affiliation and we record party registration if the state has that on the voter file. Early in the cycle, we will let party ID float, but when it gets late in the cycle, you should not be seeing big shifts in party ID, and we will at times weight it depending on what we see with the other demos. You have a model and you need to be consistent with that model."	Yes	"We almost exclusively use sample from voter files that have voter history and have been very successful with both our modeling and predictions. In midterms you have to use a voter file because it is such a restricted voting universe. You can use RDD [random-digit dialing] in a presidential cycle but voter files update new voter registration so fast these days that using a voter file is superior to RDD because with RDD you are counting on the respondent to be truthful about whether they are going to vote. And that is not realistic. We see in our drop-off studies (those who voted in 2012 but not 2010) in 2014 that so many of those who did not vote in midterms say they are going to vote in 2014. We know that is not true, and it is not true when using an RDD of midterms."	Yes	"First of all, we run partial data every day and then make sure the phone bank has quotas on demographic groups if they get out of whack. Our goal is to do as little weighting as possible and get the right interviews. You can do that by reviewing partials and seeing where you are low on groups. You then have to double-down on getting those interviews. It may be more expensive, but it is the right way to do it. You can also help this by calling more evenings. Too many pollsters (and clients) are in a rush to get data. With caller ID, no call list, cellphones, etc., you need to take more days doing proper call-back procedures and that will help you get the correct demographics instead of just overly weighting."	Yes	"It just depends. If you are in a state like Florida where you have whites, blacks and Hispanics (and Cubans and non-Cuban Hispanics), you may have to do multivariable weighting. You don't usually have to do that in homogenous Iowa. In Florida you have white progressive Democrats in south Florida but conservative cultural Democrats in the Panhandle who call themselves Democrats and vote Republican. It is never as simple as it seems."	Sometimes	Panel backs [i.e. call backs] are difficult to pull off unless you start with a very large sample size. We rarely do it.	No	Just don't.	Sometimes or Other (please specify)	Are you fucking kidding me?	Are you fucking kidding me?	Yes	That probably should be a yes-and-no answer reserved for a two-hour panel discussion.	Spanish	Mandarin or other Chinese										"When using a bilingual bank for Hispanics, you also have high cost, because Hispanic households are at nearly 50% cellphone-only. You also have translation cost. In total, it can add 20%."	"Spanish-speaking respondents are much more likely to be Democrats. But again, it depends. In Florida, we have a universe who take interviews in Spanish who are older Cubans and then younger, non-Cuban Hispanics."	"There is no average because there are differences in sample size, length of questionnaire and whether or not you are using bilingual banks."	again no avg	"Phone-bank cost are definitely going up and they have been for over a decade. The combination of Caller ID, no call list, cell phones, marketing calls, robo calls reminding people of appointments, etc. all contribute to costs."	No	Depends on the state laws. We follow the laws.	Yes	"Yes, we internally do test polling and on occasion put parallel polls in the field to check our numbers on important race. But we never publish them."	22	9	13	18	2	0	2	We are proud of our diversity. We also have one LGBT staffer. You should ask that.	Yes	Yes	The panel company does that as well			Yes	Yes	"We really are strict on our call-back procedures and extending the number of days of our dialing. Again, we look at partial results every day and if any demographics get too out of whack, we will put a quota on it for the phone bank."							No							
Gabriel Joseph	ccAdvertising	"No weight. We just ask them all. For example, we are surveying 107,555 homes in a county for a client today."	"No weight. We just survey a very big universe. Once the sample is big enough, it does not matter on weight. We also target the mobile-phone channel. There are more mobile phones than people. This automatically provides us with a diverse and balanced response."	Yes	Clients want us to.	No	We do not weight surveys. We survey the entire universe.	No	We do not weight polls.	No	"We call an entire universe. If that includes respondents from past surveys, that is great. If not, it does not matter. When the sample size if big enough, no weighting is needed."	No	Never have been approached by one.	Sometimes or Other (please specify)	Our process does not require methods.	"Our process does not require methods. When you talk to everyone, why do you need a method?"	No	When your sample size is big enough it makes margins of error ridiculously low. Why mention something no one would believe.	Spanish	Mandarin or other Chinese		French		German						25%	Yes	"Minimum fee $1,500"	"Minimum fee $1,500"	N/A	No	We always disclose who is responsible for the survey.	Yes	Because we can. It feeds a thirst for information. The public and our clients want to know. If we see a need sometimes it helps us get business as well.									No					Yes	No	We have not seen decreasing response rates. We target the mobile-phone channel that has increasing response rates.							Yes	50%	50%	"All of the above, including clients."	They are staff.	54	Data	How off are your polls from what happens on Election Day?
Darrel Rowland	Columbus Dispatch	"We are the weird one -- a mail poll. Over the past several decades, we have determined that those who choose to fill out and mail back our poll form make up likely voters. If the demographic composition of those respondents is significantly different than U.S. census demographics, we will consider weighting the results. Again, with a mail poll, our weighting technique is somewhat unique. The polls are coded for each of Ohio's media markets. If one of those markets is heavily over- or under-represented, we will first weight on a geographical basis and determine whether that pulls the other demographic factors into line. It usually does."	"No. Party affiliation has been shown to be highly volatile, especially in a swing state such as Ohio. We regard it as a variable, not a constant."	Yes	Our mail-poll sample is drawn from the state's official list of seven-million-plus registered voters.	No	"Obviously, the higher the weights, the more reluctant we become to use them. Far more often than not, we use unweighted figures."	No	"Again, we never weight on party."	Yes	"We call respondents who volunteer contact information to get comments elaborating on their answers. We use some of those comments in the stories we publish, and put the remainder on the web to give us a qualitative element along with the quantitative element of a standard poll."	No	"Not to polish our own apple, but our poll has been demonstrated to be the most accurate in Ohio in recent years  plus we poll on far more races and issues than anyone else."				Yes	"Generally so. I would be more comfortable if pollsters would refer to a plus-or-minus ""sampling"" error, since other types of error are always possible."											none	N/A	N/A				Yes	It's a simple matter of transparency that adds credibility.	Yes	This is the ONLY way we do it -- we conduct and fund the poll totally ourselves (The Columbus Dispatch).	We are a newspaper that conducts polls. All employees are part of our operation.	N/A	N/A	N/A	N/A	N/A	N/A		No					No																For those who use party ID [identification] in their LV [likely-voter] turnout scenarios  how can you project this in a statistically -- even historically -- valid way?
MaryEllen FitzGerald	Critical Insights	"We have a battery of four questions, gauging past participation in on- and off-year elections. We then score the respondents based on that."																																																																		
Stuart Elway	Elway Research	"We sample from registered-voter lists, which has the vote history on the record. In off years, we define a likely voter as one who has voted in at least two, sometimes three, of the last four elections. Depending on the proximity to the election, we also include a screening question about certainty to vote. In presidential years, we don't typically screen. Our objective is to explain the entire electorate, including those choosing not to vote -- not necessarily to predict the election outcome."	"No. There is no party registration in Washington state, and party identification fluctuates month-to-month. There is no reliable anchor to weight to."	Yes	"It a more efficient and reliable way to contact registered voters. Plus, there is other information available, such as voting district, vote history and party registration that is useful in both the sampling and the analysis."			No		No	"I can't recall having done that in a election poll, which I presume is what you are asking about. When we do polls for media outlets, we get numbers for reporters to call back respondents for in-depth interviews, but I don't think that is what you are asking."	No	"I have had conversations after publication in some instances (rarely), to discuss variance and possible reasons (timing, too many older voters, etc.)."			Don't use them.																					Yes	"By ""sponsors"" I assume you mean single entities. All of my political polls are done for The Elway Poll, which is funded by subscribers, or by media outlets."									No					Yes	No	"Not for election polling, except that we have to order larger samples. We sometimes supplement non-election surveys with an online component."							Yes							
Bernie Porn	EPIC-MRA																																														No					Yes									Yes							
Mark DiCamillo	Field Research Corporation (Field Poll)	We use a scaled intention-to-vote question and couple this with their actual voting history from their voting record. (This information is available to us since we sample voters from the registered voter rolls.)	"No. We weight by party registration, which has a population value to which we can project the sample. Each voter's registration comes directly from the voter file (again since we are sampling from the voter rolls). It is not a question asked in the survey."	Yes	This is the standard method used by The Field Poll in its pre-election surveys measures.	Yes	"Yes, we will trim weights when necessary, although this is fairly uncommon. When trimming is employed, we usually limits individual weights to 3."	Sometimes	"When we do so, we weight to the party registration of the ethnic subgroups (not party ID), again since the registered-voter population value of each ethnic subgroup is known."	Sometimes	We did this once when one of the candidates included in our pre-election poll dropped out and we called back voters who chose that candidate to ask who their second choice would be.	No	"We keep our poll results strictly confidential prior to their publication. After publication, we are open to discuss them with other pollsters and polling analysts."					"We calculate and report each poll's margin of sampling error in all reports mainly because it is the usual practice in our industry. But I must confess that when reading the polls of other pollsters, I don't really pay much attention to its reported margin of error."	Spanish	Mandarin or other Chinese	Tagalog		Vietnamese		Korean				Korean	"Including Spanish is standard when polling Californians. Since all of our polls over the past 15 years have included Spanish, I can't really say what our cost would actually be without Spanish. Over the past four years, we have increasingly included Asian languages, and probably have conducted about a third of then in the Asian languages noted above. When this is done, we typically include an over-sampling of each Asian American population to enable the poll to compare and contrast each of the Asian American voter segments, since they are quite distinct. This typically adds 20% to 25% to the total cost of the poll."	"Spanish-speaking Latinos are quite different demographically than English speakers. They tend to be much more downscale, with lower levels of income and education. This creates greater affinity to the policy positions of the Democratic Party, since they place greater value on government-provided services, like health care, education and the schools, jobs, and, more recently, the minimum wage. However, we have found them to be more conservative in their views on many hot-button social issues, like same-sex marriage, marijuana legalization and abortion."	Not applicable since each of our polls covers numerous poll topics and multiple election contests.	Same answer.		Yes	We tell voters that our polls are nonpartisan and are funded in part by many of the state's leading news organizations.											No					Yes	Yes	"Increasingly, we stratify our voter samples by age to ensure a proper representation of voters of all ages. Sampling from the voter rolls makes this relatively straightforward since the age of the voter is included on their voting record. We believe stratifying the sample in this way is superior to applying larger weights to the younger voter segments that can be otherwise be underrepresented in our surveys."							No					51	The odds still favor the Republicans winning enough of the contested races to put them over the top.	"To the automated voice robopollsters: Since 90%+ of Americans now have cellphones and more Americans choose to cut the cord and do without access to a residential landline phone (it now includes fewer than two in three), what are the long-term prospects of this interviewing method since automated voice message calls are prohibited by law from dialing cellphones?"
Berwood Yost	Franklin & Marshall College	"We use several different models, one based on prior voting history and the other based on perceived electoral interest and self-described intention to vote. These are discussed in our releases."	"We do weight by party affiliation (as well as region and gender) since all of our samples are designed to include all registered voters. Likely-voter determinations are then made as discussed previously. The state of Pennsylvania provides detailed voter-registration files that we use to determine the appropriate proportions. PA voters must be registered to vote 30 days prior to the election, so we use the final registration file for surveys that take place after that date."	Yes	"Why not? There are several considerations. First, the voter files include data that can be used to assess the quality of the interviewing and how representative the sample is. Second, voting history can be used to build likely voter profiles. Finally, it is more cost-efficient to use voter lists than RDD [random-digit dialing] samples. We switched from RDD samples to RV [registered-voter] lists in 2012."	Yes	"We use a raking algorithm to adjust the sample results. If any weight is >= 3, it would be trimmed."	No		No		No		Frequentist														None							Yes											I don't have that information immediately available. I'll try to pull it together before your deadline.	No					Yes	Yes								No							
