"Please enter your information and your polling organization's information. We won't publish your pollster ID, phone number and email address."		"The average presidential poll <a href=""http://fivethirtyeight.com/features/the-state-of-the-polls-2016/"" target=""_blank"">within the final 21 days of the election</a> has been off by 3.6 percentage points since 2000. Do you think that polling error will be better or worse this time?"		"<a href=""http://www.nytimes.com/interactive/2016/09/20/upshot/the-error-the-polling-world-rarely-talks-about.html"" target=""_blank"">The Upshot found</a> that different pollsters can get very different results with same data set. Did the results surprise you? Should pollsters be reporting a bigger margin of error or scrap the way they’re reporting it entirely?"	"How does the amount of <a href=""http://spotlight.ipsos-na.com/index.php/public-affairs/no-you-may-not-unskew-my-polls-a-refresher/"" target=""_blank"">talk of unskewing polls</a> from advocates and the media in 2016 compare to unskewing talk in 2012?"		"If you were given a blank check to poll the presidential race in any state, which state would you poll?"	Why do you say that?	"What grade would you give <a href=""http://projects.fivethirtyeight.com/pollster-ratings/"" target=""_blank"">FiveThirtyEight's pollster ratings</a>?"		Are media organizations commissioning and covering online polls in this race...		Are there any polls you would exclude if you were using polls to forecast the election?		"Should Gallup release <a href=""https://twitter.com/DavidLauter/status/784157638271655937"" target=""_blank"">its horse-race polls</a>? Why do you think it isn’t?"		"Do you think <a href=""http://fivethirtyeight.com/features/election-update-leave-the-la-times-poll-alone/"" target=""_blank"">the USC Dornsife/LA Times poll</a> approach of tracking the same group of respondents over time is a smart one?"		"A <a href=""http://www.nytimes.com/2016/10/06/us/politics/donald-trump-campaign.html"" target=""_blank"">recent New York Times article</a> suggested that private polls show different results than public polls. Is that usually the case? Any reason it would be this year?"	"What lessons have you learned from the primaries? For instance, what can be done to address <a href=""https://twitter.com/NateSilverFiveThirtyEight/status/736217950219309056"" target=""_blank"">the bias in polls in the Democratic primary</a> that depended on how many people in a state are black or Hispanic?"	What are the scheduled events and unscheduled possible events that you think are most likely to move the polls between now and Election Day?	"Do you think that in <a href=""http://fivethirtyeight.com/features/election-update-where-polls-and-demographics-disagree/"" target=""_blank"">the states where polls and demographic-based models diverge</a>, the polls or the demographics will prove to be closer to the result?"		Is there a demographic question you wish were routinely included in all polls that is currently left off?<br /><br /><br />		What is the one group of voters you wish we had more granular polling data about? Why?	Who do you expect will win the 2016 presidential election?		What percentage chance do you give each of these people to win the election?		Is Clinton more likely to...		"According to the national exit polls, what percentage of black voters will vote for"		How many seats do you expect Republicans will hold in the Senate in 2017 -- after the 2016 election? (They currently hold 54.)	How many seats do you expect Republicans will control in the House in 2017 -- after the 2016 election? (They currently hold 247.)	What question or questions would you want us to ask your fellow pollsters in future rounds of this poll?
Name	Polling Organization	Response	Please explain your answer:	Open-Ended Response	Response	Please explain your answer:	Open-Ended Response	Open-Ended Response	Response	Why would you give it that grade?	Response	Why do you say that?	Response	"Please explain your answer, and say which polls you would include or exclude:"	Response	"Please explain your answer, and say why you think it isn't releasing them:"	Response	Why? Is it one you have used or will consider using in the future?	Open-Ended Response	Open-Ended Response	Open-Ended Response	Response	Why do you say that?	Response	"If yes, please specify and explain why."	Open-Ended Response	Response	Other (please specify)	Donald Trump	Hillary Clinton	Response	Why?	Donald Trump	Hillary Clinton	Open-Ended Response	Open-Ended Response	Open-Ended Response
Steve Koczela	MassINC Polling Group	Worse	"With the proliferation of methods, it wouldn't surprise me to see less convergence this year as we approach Election Day than in past cycles."		More	"The use of ""clickers"" by ostensibly responsible adults is a new development this year. Unskewing based on Party ID feels sort of quaint by comparison. "	Georgia				just the right amount	"I assume you mean polls and not ""clickers""? By the way, PINOs (polls in name only) is another nomination for a name."			Yes	"I would suggest to be treated as experts in horse-race polling, conducting public horse-race polling should be a necessity."	Yes	"Panel polls are fine. The LA Times poll is consistent in terms of its relationship to averages, which suggests stability in what they are measuring, even if it turns out to be wide of the target. I would take that over a poll that careens all over the place from week to week."	"With more registration-list based sampling polls in public now, I think there is some convergence between the two worlds. Campaign polls are used for more and different things, but compare a voter-file public poll to a voter-file campaign poll, and there is a lot of methodological overlap. Having done both, I think the wizardry of campaign polling is sometimes exaggerated for dramatic effect."		No idea. I have an emergency popcorn reserve for just such an eventuality.	Polls		Yes	Religion and church attendance. Every demographic question takes up space for a substance question. But more analysis of the reaction of various religious groups to the current election cycle would be useful.	Not sure. 											"What is the social value of horse-race polling? Overall, does it contribute to our political process or detract from it?"
Doug Kaplan	Gravis Marketing	Better			Less				A		too much		No		No	They shouldn't if they don't think it's good for their business.	Yes	" We think it's interesting -- something that we are studying especially on the state level. I question why they only have 3,000 instead of a higher amount."		Something we are focusing on building bigger online panels.	The debates.					18-24											
Evans Witt	Princeton Survey Research Associates International				Less		Arizona	Interesting state with an increasing Hispanic population. It needs more live-interviewer polls.					No	"A properly constructed model can take advantage of all available data, even if some of it is flawed. This is not to say that some polls might be weighted down to a tiny, tiny number."	Not sure	It is their money. Those are their polls. Gallup has explained their position.	Not sure	Panel surveys can show individual-level change. And that can be very interesting. They are much less robust in showing overall changes in attitudes.	"It is always the case. This year may be crazy, but not on that dimension."	Primary polls are inherently quite difficult. There is a lot more that needs to be studied to understand the lessons of the 2016 primaries.	"Oh, a debate, perhaps. "			Yes	Marital status. Often a very strong predictive trait.												
Bernie Porn	EPIC-MRA	About the same	"There have been so many unusual and unexpected things happening in this election, it will likely be more difficult to predict polling accuracy in this election than in past elections, which means things will probably be about the same."		Less	"There seemed to be more comments in 2012 than in 2016. In 2016, there are more comments from Trump supporters claiming that crowd size is a better reflection of support than polls, which is a much more extreme position than talk about unskewing polls."											No	"If the voters selected are off, as they appear to be, they are stuck with that bias for all their polls. "			"The third debate, and any new revelations about Trump or Clinton, which are unknown."	Polls	Demographic models may be less reliable this year because of the high unfavorable ratings of both candidates.														
Bradley Honan	KRC Research			No -- they should release the weights they use and what the demographic makeup of the survey is -- something that can have a profound impact on the final data.																																	
Nick Gourevitch	Global Strategy Group	About the same	"I think there is more uncertainty around how the polls will translate to the overall outcome this year as there are a number of aspects of this election that are different than the last couple of elections. Some of these factors include the lower popularity of the candidates and 3rd party candidates polling at a significant number -- both of which may cause potentially unusual turnout dynamics. But I don't think that necessarily translates to an average outcome that is all that different from the polls relative to prior elections. In other words, I think it's just as likely to see the polls hit it dead-on as see a big miss."	"That did not surprise me at all. In an era of low response rates, every pollster must make their own set of assumptions about their demographic model and who is going to turn out to vote. The idea from the old days of just letting it ""fall out"" by doing a random-digit-dialing poll is just not possible anymore. In other words, even those pollsters who use random digit dialing are making a decision to do so and making assumptions about how their random data projects into a likely electorate. So with all these different techniques, you would expect different results from the same data set. In terms of reporting margin of error... I'm not sure I see a huge problem with the way it is being done now, which at least is a standard based on sample size. If we introduce other criteria it will probably lead to different interpretations and inconsistency and the metric will become meaningless. But it's probably worthwhile for pollsters to report more about the processes they use to create their demographic and turnout models."	More	"There was a ton of unskewing going on in 2012, so I hesitate to say that there is more this year. But I will just because of the absurdity of the unskewing going on by the Trump side -- referencing fake website polls as real data, talking about crowd size and yard signs as real metrics, talking about hidden voters without a shred of evidence, etc. What they are pushing is just so far removed from reality relative to any polling discussion that was going on in 2012. The unskewing of 2012 was mostly about party-identification differences of a few points -- and that discussion seems quaint in comparison to today (like most things about 2012 vs. 2016). "	Alaska	Seems like some fun stuff going on up there but a really hard state to poll so you'd need that blank check.	C-	"I have three main concerns about the FiveThirtyEight pollster ratings: First, as a private campaign pollster, it's hard to accept a rating that is based on less than than 1 percent of the polls we have conducted over the time period in which FiveThirtyEight has collected the polls upon which they base their ratings. There is nothing for us to do about that, of course, because we are not able to release most of our polls that are done privately for clients. But we generally have no control over what is released and our rating is dependent on polls that are released -- which in turn are the polls that are most likely to be ""good polls"" for our clients. We know our record based on our private polls and the FiveThirtyEight score just doesn't reflect that. I understand why FiveThirtyEight does what it does -- it needs to help the public interpret the polls that are in the public domain. But it's just not an accurate reflection of our work. Second, that the ratings treat all elections equally and judges accuracy in the same way under all circumstances. Based on experience, polling accuracy is highly dependent on the type of election and the candidates. For example, a House race poll conducted three weeks out showing a well-known incumbent up 10 points against an unknown challenger is likely to tighten. A presidential campaign poll showing two well-known candidates, with one up 10 over the other is much less likely to tighten. But accuracy is judged the same way in all cases. This is just particularly problematic in House races and other lower-information polling. Finally, I don't love that FiveThirtyEight makes no effort to evaluate the accuracy of polling done more than three weeks out of Election Day. That is a much harder exercise but basically any pollster can do whatever they want as long as it's more than three weeks out and not be judged on it. It creates a low incentive to care about accuracy or methodological strictness until the end. This is a harder problem to solve, but worth trying."					Yes	They are one of the giants in the field and they should release the data instead of just giving up. Predicting elections is a problem that all pollsters are trying to solve and the more data the better. Opting out removes a valuable resource from the system.			"I think private polls are generally more stable (and less volatile) than public polls as private pollsters use voter-file metrics and proprietary predictive models for sampling and weighting that is not necessarily available to public pollsters (although some are starting to use it). Generally speaking, public polls seem to take the ""highs"" higher and the ""lows"" lower than private polls -- responding with bigger swings to campaign events."					Yes	"Don't have a single one. Ideology is not ALWAYS asked and it's always a crucial one to me to help segment voters within parties (i.e. liberal Democrats vs. non-liberal, very conservative Republicans vs. non-very). Beyond that it's often state- or region-dependent."												
Jay H. Leve	SurveyUSA																																				
Kyle Dropp	Morning Consult			The results did not surprise me. It is further proof that transparency from pollsters is extremely important. There is not enough of that right now in the industry.							too little	"Everyone should be experimenting with multiple methodologies and modes. Frankly, there is too much coverage of polls with small sample sizes and outdated methodologies. We should be pushing the survey-research field forward and that cannot happen if we are not looking to new methodologies and ideas."					Yes	"The approach is very interesting, and I think it is good for our industry to be trying new methodologies such as panel surveys. No one is perfect right now. The biggest challenge with this method in particular is getting a good sample from the outset and using the right variables to calculate survey weights."		We need to focus on larger sample sizes and methodologies that allow you to reach these demographics. Traditional phone polls are limited in this.	"If we learned anything from this election, it is very hard to change public opinion about Donald Trump or Hillary Clinton. They are widely known and most voters already have a set opinion of them. Any changes in their support, due to major events, have been small and dissipated quickly."					"Younger Hispanics. Nobody has good data on this right now, and that demographic will only become more prevalent."											
Andrew Smith	University of New Hampshire	About the same		"No. The differences were due to weighting, which has nothing to do with margin of sampling error. There are many other sources of error in surveys, but unfortunately, most are extremely difficult or impossible to quantify."	Same	People want to spin unfavorable results.	New Hampshire	I know and understand the state.	B	Not enough emphasis paid to the methodologies that polls use.	too much	They have no sampling theory to justify their use of convenience samples. They are just cheaper than other polls.	Yes	Any poll that does not start with a random sample. Any poll that does not include cell calls. Any poll that has a field period of less than four days.	Yes	Don't know their reasons for not releasing.	No	Too much panel conditioning and panel attrition.	"Yes. Private polls, typically conducted by campaigns, typically rely on different sampling frames (voter lists rather than random-digit-dialing) and often model their polls to fit their expectations of what the electorate will look like."	"Understand that polling in primaries is a perilous act, especially in early primaries. Typically, voters decide who to support very late and they have few strong attachments to candidates, certainly as compared to general-election polls."	"Debate, more Wikileaks dumps, terrorist events"	Polls	Shouldn't assume what the electorate will look like.	Yes	How often you attend religious services. This is the second biggest predictor in elections after party identification.	No	Hillary Clinton		35	65	Same		5	95	50	222	
