How would you describe your polling organization?	Do you release raw data to the Roper Archives?	Why do you or don't you release raw data to the Roper Archives?	Are you a member of the National Council on Public Polls?	Why are you or aren't you a member of the National Council on Public Polls?	Have you signed onto the American Association for Public Opinion Research transparency initiative?	Why have you or haven't you signed onto the AAPOR transparency initiative?	How many seats do you expect Republicans will hold in the Senate after the election?	Why do you expect Republicans to hold that many seats?	How do you expect the average poll's error in 2014 Senate races to compare to the average error in 2012 Senate polls?	Why do you expect that of average poll error?	What was your average response rate across election polls in 2012?	What is your average response rate across election polls in 2014?	How do you define response rate?	What percentage of your election polls include cellphones?	By how many percentage points does including cellphones increase the cost of a poll for your organization?	In what year do you expect Internet-based polling (using a probability or non-probability sample) to overtake phone polling as the primary method used across the industry in election polling?	Why do you expect that timeframe for Internet-based polling to overtake phone polling?	What percentage of your revenue comes from news-media clients?	What percentage of your revenue came from news-media clients in 2010?	What do you think is the biggest reason for the decline in political polling volume in recent national elections?	Why do you think that is the biggest reason?	Which states are the hardest to poll in?	Why are those states the hardest to poll in?	"What percentage of your respondents are black, on a typical poll?"	By what factor do you typically have to overweight black respondents in your polls?	"What percentage of your respondents are Hispanic, on a typical poll?"	By what factor do you typically have to overweight Hispanic respondents in your polls?	Do you oversample blacks or Hispanics on polls that focus on racial issues?	How do you oversample blacks or Hispanics?	Why don't you oversample blacks or Hispanics on polls covering racial issues?	"What question or questions would you want to ask, or want us to ask, your fellow pollsters in future rounds of this poll?"
"Academic, Commercial, Nonpartisan"	No	I was never been contacted by them. We would consider releasing the information.	No	"Again, that is probably more important for polling firms that conduct national surveys."	No	Because we are limited by client restrictions.	49	Back of envelope	Higher in 2014	"Define ""average poll error"" in a standardized way that we all agree upon and I'll answer your question."	5%	4%	AAPOR R3	33%	20%	2016	"Because I think telephone or mixed-mode polling will still be reasonably accurate in 2016, and in the 2018 midterms (because of the demographics of midterm-election turnout). 2020 is likely to be very challenging for telephone polls, so that by 2024, the industry standard will have to change."	0%	0%	Disagree with premise of question	"I'm not sure I agree that the volume is declining. Perhaps at the state level, or for phone polls, which may be dictated by media companies' budgets. But the actual number of interviews done each election cycle appears to be increasing."	"California, New York and Florida"	Fewer people = fewer people online.	11%	1.1	8%	1.4	No	"Assuming an RDD sample for the general population, we purchase additional RDD sample in zip codes that are disproportionately [black] [hispanic]. If we have (say) promised the client a 100% oversample of a particular minority group, we purchase enough additional ""targeted"" sample to make sure we achieve a 100% oversample of that minority group."		"Do you consider yourself a functionary or a visionary? Have you spoken out against ... remained silent in the face of ... or do you wholly support ... attempts by those in the polling community to ostracize and marginalize the contributions of research innovators? Have you personally participated in the systematic hazing, or bullying, of those research innovators who develop new ways of gathering opinions?"
"Academic, Nonpartisan"	No	"It is an obligation of polling firms to release data to the maximum extent possible. Firms must honor clients' wishes, but we urge all clients to archive at Roper. And most do."	No	"As a small firm, we simply do not have time to take advantage of the programs and offerings."	No	I am a member of AAPOR. I believe when you sign up you agree to this. I have not signed up for anything other then the membership site.	49	"I think they will end up winning Alaska, Arkansas, and Louisiana, and 1 out of Colorado, Iowa, and North Carolina, although I see all 3 as tossups at this point and they could certainly break totally in one direction or another. I think Pat Roberts will eventually end up surviving, particularly if Republicans can effectively frame his re-election as the only way to boot Harry Reid."	Higher in 2014	Midterm elections are harder to predict accurately because of the lower turnout.	10%	9%	AAPOR RR3	35%	20%	2016	Cheaper overall and cellphones will simply dominate the calling universe by then.	0%	0%	Media companies' shrinking budgets	"In my case, both of the papers I have regularly polled for have all but discontinued polling. Ten years ago, we were doing 4-6 polls per cycle for them. At one time we were doing monthly polls."	Hawaii	"New York -- horrible cooperation rates, particularly in NYC. California & Florida -- large non-English speaking populations."	12%	1.7	10%	1.5	Not Applicable	"We purchase additional, proportionately-sized random samples from our voter-list provider."		"Do you offer Spanish versions of your polls? If so, how much, if at all, do Hispanic respondents differ depending on their language choice?"
"Commercial, Nonpartisan"	No	It is proprietary.	No	Geared more to commercial firms.	No	I will look into it.	50	"I'm really not in the business of predicting this kind of thing. Were I to answer, I'd simply be parroting something someone else has said."	Higher in 2014	More difficult to prdict who will turn out in midterm.	24%	19%	AAPOR2	100%	35%	2018	"I think it already has, if you calculate ""overtake"" by the number of online interviews conducted vs. the number of phone interviews conducted. We do 130k+ online interviews annually with Reuters. There are enough online pollsters doing larger samples (e.g. YouGov) that it seems inevitable we'll outstrip phone polling at the next presidential."	0.01%	0%	Media companies' shrinking budgets	Look at what is happening to the traditional media: shrinkage on all front.	Illinois	"Predicting turnout in Chicago and suburban Cook County is an art, not a science."	12%	Depends	27%	Depends	Not Applicable			"I am most curious about the nature of the relationships between pollsters and media companies. We are paid for our research by our media client, but I know we have worked at-cost or for free in the past because it garners good publicity. Is this the case for others?  I am also curious about how poll data is analyzed in these relationships. Are weighting and analytical decisions made by the client (media company) or by the pollster, or both?"
"Commercial, Nonpartisan"	No	It's almost all confidential...have released some to various scholars and others with clients' permission.	No	It never occurred to me and no one ever asked.	No	"Since we do so many surveys for media clients in [one state] and provide question wording and methodology for our surveys to all clients, we are very transparent in our polling work."	50	It doesn't appear that Democrats are likely to perform well in the South (including Arkansas and Louisiana). Iowa is too close to call. I don't know that anybody has a clear handle on Alaska at the moment.	Higher in 2014	Only slightly higher. Off-year elections make it more difficult to project turnout.	25%	35%	AAPOR4	100%	60%	2020	"I'm uncertain about the future of the industry in general. People are getting bombarded by robocalls, web pop-ups and spam emails soliciting survey participation. Not too long ago, people would always tell me that they had never been polled before. Now they complain about all the robocalls they get on a daily basis. I personally get 5-6 junk calls per night. Down the road in 10-15 years it may reach a point where nothing reliable can be produced."	3%	1%	Media companies' shrinking budgets	Newspaper readership way down.	Nevada	That's where we poll.	14%	Depends on area	Depends	Depends on area	Not Applicable			"I would ask who they buy lists from, how would they describe Internet panels, are they just emailing people, who are they getting voter lists from."
Liberal	No	"Last time I checked, Roper would not accept data from our firm. Roper said it would need to call a board meeting to see if our data met their standards. Offended, I did not pursue it beyond that."	No	NCPP is the only organization dedicated to full disclosure of polls and polling data. Its guidelines are the most reasonable of any organization.	No	The requirement to provide weighting sources and parameters would divulge proprietary information.	51	"It's a guess, like everyone else's."	Higher in 2014	"Polling midterms is just always harder than polling presidential elections because interest is lower and it's harder to get a clear gauge of what the electorate's going to look like. The key Senate battlegrounds this year are also places like Alaska, Arkansas, Kansas, Louisiana, etc. where most of the public pollsters don't have a ton of experience. It's not the Ohios and Pennsylvanias and Floridas of the world that we're all used to polling a lot."	35%	12% to 18%	Completes divided by qualified contacts.  Completes divided by numbers dialed is more like 5%-7%.	100%	15%-20%	2020	"Until someone can come up with a list of all email addressess, sampling online remains a conundrum."	3%	5%	Media companies' shrinking budgets	The current law on calling mobile phones. Market researchers are unable to use predictive dialers when calling mobile phones. It has to be a 1-1 call ratio which significantly increases the amount of time to complete a survey.	New York	Too much happens under the radar for opinion pollsters to pick up. Just ask the Las Vegas Review Journal. They have hired and fired four pollsters in the last 6 years. Nobody gets elections right in Nevada.	Depends on the geo strata	Depends on the state	Depends on the state	Depends on the state	Not Applicable			N/A
	No	"Most of our work is done with private clients. Most of our public work is narrow (e.g., hyper-local) in scope."	No	Never been contacted by them. I would be open to releasing the information.	No	"Transparency crucial. Pollsters can ""weight"" data to whatever they want."	51	Just my current analysis	Higher in 2014	Re-configuration of weighting formulae.	12% to 18%	2.9% approximately	"For only our election-related surveys, the response rate is the percentage of respondents who answer the phone, meet the screening criteria to qualify for the survey, and then complete the survey among all qualified respondents."	100%	3x-4x the cost	2024	"We believe phones will not go away, supplementing part of the sample with cellphone-only households with Internet responses, text, or calling cellphone households."	5%	6%	Media companies' shrinking budgets	The disturbing trend for decreased readership of newpapers.	Small states (population-wise)		Depends on the state.	Do not	DK	Do not	Not Applicable			"Opinions on automated polls in terms of accuracy, and the extent to which reweighting is required for gender, age, or race on typical polls conducted. Also, at what point does the N-size or weighting factor create manufactured data in the opinion of participants."
	No	No one ever asked.	No	No particular reason. I was active in AAPOR for years.	Yes		51	"The ""structural"" advantage they have this year with most of the contested seats in red states -- tempered by the low esteem for the GOP among voters."	Higher in 2014	"The very term ""polling"" will soon fall out of the vocabulary altogether, or else be relegated to archaic usages such as candlepower and horsepower. Historians will write that ""polls,"" such as they now exist, lasted for 100 years, from about 1930 to about 2030. ""Polls"" were preceded by representative democracy and will be replaced by direct democracy. Viewed in this context, it is no wonder that polling in 2014 will be less accurate than was polling in 2012. Like chickens whose heads have been severed but who do not yet realize they are dead, pollsters continue to torment respondents by barging into respondents' lives unannounced. At present course and speed, pollsters will have obsoleted themselves before Nate Silver turns 50. When that day arrives, pollsters will have no one to blame but themselves."	3.2% approximately	6%-10%	"For the purposes of this survey, simple completes/numbers dialed. Just FYI, in 2014, general-election polls have had a much higher response rate than primary polls."	100%	40%-70%	Not Sure	"Who can predict time frames when it comes to technological change? Like everyone else, I think it is a function of the reliability of phone polls (as measured and sanctioned by the academy) versus the decreasing reliability of phone polls plus their increasing cost. When do those lines cross?"	50%	33%	Media companies' shrinking budgets		Urban and southern states		DK	Unanswerable as written	Unanswerable as written	Unanswerable as written	Yes			Will you release EXACTLY what you did to create your likely voters or probable electorate? How much weight did you give to what?
	No	"Since we do mostly Michigan surveys and not national polls, we have not felt it was necessary."	No	No reason	Yes		51		Lower in 2014	"There are far too few quality polls in 2014 and that is saying something, given what we saw in 2012."	6%-10%	N/A	N/A - we do online polling and so work from panels and river sample. We don't calculate response rates because it is impossible.	"Depends if we do an Internet panel. If we conduct an Internet panel, it's 20%-30% cellphone-only households."			"You have mis-framed the question, and your answers will lack inspiration as a result. The battle is not between the phone and internet. The battle is between a small sample of respondents (chosen only because it is too expensive to talk to everyone), and talking to everyone, which by 2030 for sure, and possibly sooner, will be just as easy and no more expensive, than talking to just a handful. Polling can only thrive when the alternatives are worse. Once talking to everyone is effortless and affordable, we replace representative democracy with direct democracy (just as many of the Western U.S. states have already begun to do)."	50%	75%	Rising cost of polls		"Wisconsin, Hawaii and New Jersey"		Unanswerable as written				Yes			
	No	"They never asked, although we only started national polling in 2012 and have a limited number of national datasets as of now. All our state and national raw data sets are deposited with the Odum Institute via the National Network of State Polls."	Yes		Yes				Lower in 2014	"There are two issues that might largely cancel each other out. On the one hand, accurate turnout projections for midterm elections (or any lower-turnout elections) are typically more difficult. On the other hand, voters who do turn out for midterms are more likely to belong to demographic groups that are more easily reachable through conventional telephone polling methods."	N/A	varies	We use the AAPOR calculator.	N/A				100%	100%									Yes			
	Yes		Yes		Yes				Roughly the same	Too many new and controversial data-collection methods.	varies							"Hard to calculate based on ""all"" revenue, but it's small."										Yes			
