What is the name of your polling organization?	What is your name?	How would you describe your polling organization?	Do you release raw data to the Roper Archives?	Why do you or don't you release raw data to the Roper Archives?	Are you a member of the National Council on Public Polls?	Why are you or aren't you a member of the National Council on Public Polls?	Have you signed onto the American Association for Public Opinion Research transparency initiative?	Why have you or haven't you signed onto the AAPOR transparency initiative?	How many seats do you expect Republicans will hold in the Senate after the election?	Why do you expect Republicans to hold that many seats?	How do you expect the average poll's error in 2014 Senate races to compare to the average error in 2012 Senate polls?	Why do you expect that of average poll error?	What was your average response rate across election polls in 2012?	What is your average response rate across election polls in 2014?	How do you define response rate?	What percentage of your election polls include cellphones?	By how many percentage points does including cellphones increase the cost of a poll for your organization?	In what year do you expect Internet-based polling (using a probability or non-probability sample) to overtake phone polling as the primary method used across the industry in election polling?	Why do you expect that timeframe for Internet-based polling to overtake phone polling?	What percentage of your revenue comes from news-media clients?	What percentage of your revenue came from news-media clients in 2010?	What do you think is the biggest reason for the decline in political polling volume in recent national elections?	Why do you think that is the biggest reason?	Which states are the hardest to poll in?	Why are those states the hardest to poll in?	"What percentage of your respondents are black, on a typical poll?"	By what factor do you typically have to overweight black respondents in your polls?	"What percentage of your respondents are Hispanic, on a typical poll?"	By what factor do you typically have to overweight Hispanic respondents in your polls?	Do you oversample blacks or Hispanics on polls that focus on racial issues?	How do you oversample blacks or Hispanics?	Why don't you oversample blacks or Hispanics on polls covering racial issues?	"What question or questions would you want to ask, or want us to ask, your fellow pollsters in future rounds of this poll?"
Public Policy Polling	Tom Jensen	"Commercial, Liberal"	No	Because we are a Democratic pollster we only deposit raw data from our polls in the progressive poll data depositories.	No	We are primarily a private pollster and that organization has never reached out to us to join so I don't even really know what it does or entails.	No	"Since a large percentage of our polls that are released publicly are done for private clients, it is not feasible to commit to having all of their poll releases abide by AAPOR's guidelines."					Around 10%	Around 5%	"Percentage of numbers called answering the poll. If we call 25,000 numbers and 1,250 respond it's 5%, etc.
Also note while part of the decline from 2012 is probably part of the general decline, it also just reflects the lower interest in a non-Presidential year."	"All of our public polls interview CPO respondents on the internet. Private polls, it's at clients' discretion whether to pay for that or not."	50%	2020	"I think there needs to be a presidential election where the media really takes Internet polling seriously -- which I think it likely will in 2016 -- and where the Internet polling also proves to be as good as the phone polling. If that happens, I think Internet polling will pretty much be accepted after that and will grow from there. Note I am only talking about this for public polling -- much of the campaign polling industry is in races like state legislative districts, municipal races, etc., and doing Internet polling in those much smaller geographies I think is still a ways off from really being feasible."	Less than 1%	5% if Daily Kos counts as news media	Rising cost of polls	"We have significantly cut our public polling from 2012 because incorporating cellphone-only users into our polls through the Internet has increased our costs so much. There also just isn't really that much interest in this election compared even to 2010, so there's less incentive to do it."	Nevada and Hawaii	People in Las Vegas have unusual work schedules that make it harder to reach them and in both states it's hard to get a good sample of voters in key ethnic groups -- difficulties in polling Latinos accurately in Nevada cause Democrats to look worse in the polls there than they usually are and it's difficult to poll the various Asian groups in Hawaii.	8% on a national poll	1.5	4%-5% on a national poll	2	Not Applicable			
"Mason-Dixon Polling & Research, Inc."	Brad Coker		No	All of our work is conducted for private clients. Data is their property.	Yes		Yes		53	Second midterm congressional elections typically favor party out of power. The Democrats involved in the key swing races are all running well under 50%. My gut feels there is a pretty strong anti-Obama vote building as his ratings fall and GOP will win the turnout battle.	Lower in 2014	Change in methodology. Dumped voter lists for landlines and went back to RDD and also increased cell percentages.	Varies from state to state	Varies from state to state	"The percentage of people who pick up the phone and then agree to take the survey. Note -- this doesn't mean they pass the screeners (incidence). As to above answers, response rates can be as high as 70% in places like North Dakota and Arkansas and lower than 10% in New York City or Los Angeles."					10%	35%	Media companies' shrinking budgets	It's really a combination of shrinking media budgets and the wide availability of free polls.			Depends on universe		Depends on universe		Not Applicable			To non-academic pollsters who give away free polls -- Who is paying for or subsidizing your costs?
University of New Hampshire	Andrew Smith	Academic	No	Ownership issues with media clients	No	We are members of other organizations.	Yes		51	Low Obama approval rating			25%		"AAPOR #4. I have not calculated an average for 2014, but I suspect it is higher as we are not polling in Massachusetts but are in Maine. MA is a tough place to poll."	100%	10%		"This is impossible to answer unless you define ""industry."" If this includes just media, especially state and local, it will be within three years as bad money drives out good. For respectable organizations, it will be many years, when someone figures out a way to do random sampling."	5%	5%	See below	"Some of each of the above, but primarily because 2008 may have been an aberration. We've seen ups and downs in this in the past."										"On a scale of 1 to 10, where 1 is completely uncredible and 10 is mostly uncredible, how credible is a credibility interval?"
ccAdvertising	Gabriel Joseph	Conservative	No	They do not ask.	No	I do not meet their requirements. We do automate polls and give the detailed data to our clients.	No	Not a member. Do not care.	54	We are working to make that happen. We are targeting the mobile phone channel of the key states.	Higher in 2014	Pollsters are not focusing on mobile phones.	100%	100%	How many people answer our surveys.	100%	It doesn't. We charge the same.	never. Mobile phones are more prevalent than the Internet.	I do not.	0%	0%	They are wrong	"They are wrong. Customers want to invest in data. Traditional polling provides no data, just summaries that force you to spend money elsewhere to get results. In short, the cost does not justify the results."	"North Dakota, Indiana"	We cannot call there due to lawsuits we have pending.	10%	I do not overweight blacks.	16%	We do not overweight.	Yes	N/A		How do you survey mobile phones? What is the cost?
Muhlenberg College	Christopher P. Borick	Academic	No	We regularly release raw data to academic and public-opinion research organizations upon request but have not worked with the Roper Archives.	No	We simply haven't thought very much about joining the NCPP. It's an important organization and we probably should be a member.	Yes	We believe it's very important to fully disclose all relevant methodological information to the public and the AAPOR initiative has established clear and attainable guidelines that our organization believes are necessary to adequately evaluate public-opinion research.	51	"A combination of current state-level polling data, the president's fairly poor job approval and the location of open and competitive seats makes it likely that the GOP will pick up enough seats to get to 51."	Lower in 2014		15%	13%	AAPOR Response Rate 2	100%	15% to 20%	2022	"Declining response rates and increased costs of telephone surveys will make both the accuracy and cost of telephone election polls suboptimal and therefore you will continue to see an increase in both probability and non-probability internet polling. We are beginning to consider transition plans for our institute but since costs have remained acceptable and results very accurate, our transition is not imminent."	10%	15%	Rising cost of polls	I think cost is the largest factor.	New York	Our national surveys (nonelection) have shown the lowest response rates in New York.	10%	1.3	8%	1.6	No		We traditionally use weighting to address undersampling since we are generally more interested in overall population estimates rather than comparisons across subgroups (i.e races). When we have a research question that is more focused on subgroup comparisons we have oversampled.	I would love for you to get the opinions of academic pollsters on media use of polls that are devoid of transparency and use some sketchy methodologies. A partisan pollster put out a robopoll in Pennsylvania today that gave no details about the sampling frame or weighting but a number of media outlets ran with it and its outlier findings. Argghhhh!
Franklin & Marshall College	Berwood Yost	Academic	No	"When I last considered this, it took a sizable amount of time to format data files and other information for submission."	No	"We are member of other similar and aligned organizations, including AAPOR and AAPOR's transparency initiative as well as AASRO."	Yes	We agree with the goals of the initiative and believe that organizations that release public polls should abide by specific rules of disclosure.			Higher in 2014	"First, the lack of reliable, independent polling in many races may create problems. Second, turnout is likely to be lower than in 2012 and I expect the results will be more variable because of that."	31%	29%	"We use AAPOR's RR3 calculation. Actual rates for our last six polls in 2014 were 28%, 25%, 25%, 30%, 36%, and 29%. Our cooperation rates (AAPOR COOP2) are much higher 90%, 87%, 90%, 91%, 93%, 91%. We also calculate R-indicators for each sample."	100%	it becomes smaller every year	can't predict	"I think that Internet polls will have their place and as the methods evolve they will become more commonplace. We hope to experiment with these methods in the coming year, but there is a lot of work to do to overcome the limitations of Internet-based polls."	0%	0%	All of the above	"All of these reasons play a role. Costs are definitely high and ever-increasing, and poll aggregators lessen the value of individual polls to their sponsors. I also think that the partisan attacks on pollsters might reduce the willingness of organizations to do the polls."	"most polls are in Pennsylvania, so can't comment"		10%	1	4%	1	Not Applicable			
Monmouth University	Patrick Murray																																
EPIC-MRA	Bernie Porn	Nonpartisan							50	"They are not holding seats currently held but will be picking up seats based on the polling conducted thus far and the political climate. While they lead in enough seats to take control now, and may end up taking control by a seat or two, the trendline has recently moved toward Democrats."						20%	25%	10-15 years	"In looking at the trendline in recet years and making a best-guess projection, that is the timeframe that seams realistic."			Media companies' shrinking budgets	Loss of non-political advertising revenue	Alaska	"Have not polled in Alaska but several reports in recent years describe the difficulties polling in that state because of the geography, demographics and history of polling compared to results."	10% for governor years and 12% for presidential years	Hardly ever required	2%	Hardly ever required	Yes	"Randomly increase sample by the number agreed upon with clients within areas defined by the census as heavily African American or Hispanic, as well as precincts with very high Democratic percentages to help define African American geography."		
Gravis Marketing	Doug Kaplan	"Commercial, Nonpartisan"							51	The president is in his sixth year; historically the Republicans should do very well. The map favors the GOP. We believe the Democrats will have a harder time in states like Kansas. North Carolina appears to be a state the Democrats can hold. Colorado could be the surprise of the election.				See Below	"Depending on the amount of redials and if we conduct IVR or live polls. If we pull a random sample of 22,000 phone numbers on the first pass we will get 5,000 live answers, 15% will answer the first question, 9.6% will complete the poll. This is a general poll, this could change depending on the amount of questions and disqualification questions. When we do redials based on the 22,000 total calls I mentioned above, redialing the no answers, machines, and voters who hung up before answering question one, 8.9% will answer question one, 5.5% will finish the poll."									Colorado and Nevada	The minority population in these states that take the polls are much more conservative then the actual population. We find African Americans identify themselves as independents in the telephone polls at a higher percentage than the true electorate.								
Field Research Corporation (Field Poll)	Mark DiCamillo	Nonpartisan	Yes		Yes		Yes		51	"Since we do not poll in states other than California, we are following the better-known polls conducted in the competitive states, and from time to time review the poll summaries and forecasting models compiled by FiveThirtyEight, Pollster.com, the Cook Report, Rothenberg, and others."	Roughly the same	"While the accuracy of pre-election primary polls may be declining for a variety of reasons, we haven't observed major changes in the accuracy of pre-general elections polls, and would be surprised if they showed significant declines in accuracy this year."				100%				20	25%	Media companies' shrinking budgets	Both the declining profitability of media properties and the consolidation of properties among fewer owners has significantly reduced both their ability to pay and the number of media companies we can approach to sell our services.	N/A	We only poll in California.	6%	1	23%	1	Yes	"Since the voter samples of most Field Polls are drawn from listings of registered voters, the vendors of voter lists in California have gotten pretty sophisticated in their ability to identify voters' racial and ethnic backgrounds. This information can come from the official voter record, or from inspecting voter surnames. In addition, some of the better vendors are now cross-referencing the names and addresses of voters against other commercially available list sources that include a person's race and ethnicity. While we still need to ask screening questions to confirm that the voter is of the race or ethnic subgroup we are targeting, we have found them to be an increasingly accurate and reliable sampling source."		"Question for the panel-based pollsters (of which I am not): As panel-based pollsters ask their pre-recruited panelists to respond to an increasing number of polls, when does the volume of poll requests begin to degrade the quality and reliability of information they provide?"
