Question,Start,End,Pollster,Population,Text,Support,Republican Support,Democratic Support,URL
age-21,2/20/18,2/23/18,CNN/SSRS,rv,Preventing people under the age of 21 from buying any type of gun,72,61,86,"http://cdn.cnn.com/cnn/2018/images/02/25/rel3a.-.trump,.guns.pdf"
age-21,2/27/18,2/28/18,NPR/Ipsos,a,Raising the legal age to buy a gun from 18 to 21,82,72,92,https://www.ipsos.com/en-us/npripsos-poll-majority-americans-support-policies-aimed-keep-guns-out-hands-dangerous-individuals
age-21,3/1/18,3/4/18,Rasmussen,a,Do you favor or oppose raising the legal age for buying a gun to 21?,67,59,76,http://www.rasmussenreports.com/public_content/lifestyle/general_lifestyle/march_2018/americans_favor_raising_age_to_buy_gun_not_enlist_or_vote
age-21,2/22/18,2/26/18,Harris Interactive,rv,Do you support or oppose/oppose or support raising the minimum age to buy a gun to 21? Table 3,84,77,92,http://thehill.com/opinion/civil-rights/375993-americans-support-no-gun-under-21
age-21,3/3/18,3/5/18,Quinnipiac,rv,Do you support or oppose requiring individuals to be 21 years of age or older in order to purchase a gun?,78,63,93,https://poll.qu.edu/national/release-detail?ReleaseID=2525
age-21,3/4/18,3/6/18,YouGov,rv,Do you support or oppose a law that would raise the minimum age for buying any type of gun or ammunition to 21?,72,65,80,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zq33h2ipcl/econTabReport.pdf
age-21,3/1/18,3/5/18,Morning Consult,rv,Requiring a person to be 21 in order to purchase a gun,76,72,86,https://morningconsult.com/wp-content/uploads/2018/03/180303_crosstabs_POLITICO_v1_DK-1.pdf
arm-teachers,2/23/18,2/25/18,YouGov/Huffpost,rv,Would you support or oppose arming school teachers with firearms?,41,69,20,http://big.assets.huffingtonpost.com/tabsHPSafeschools20180223.pdf
arm-teachers,2/20/18,2/23/18,CBS News,a,Do you favor or oppose allowing more teachers and school officials to carry guns in schools?,44,68,20,https://drive.google.com/file/d/0ByVu4fDHYJgVbjh5OW1Tb3FRdWxJQUpJSUdHUXdma1RKU0tV/view
arm-teachers,2/27/18,2/28/18,Rasmussen,a,A proposal has been made to give bonuses to teachers who are specially trained to have guns in schools to protect themselves and others. Do you favor or oppose a proposal to have trained teachers with guns in the schools?,43,71,24,http://www.rasmussenreports.com/public_content/politics/current_events/gun_control/most_adults_with_school_aged_kids_support_arming_teachers
