candidate,date,pct_estimate,state,pct_trend_adjusted,cycle,party
Pence,2023-06-27,5.9257095,,,2024,REP
Haley,2023-06-27,3.9766181,,,2024,REP
DeSantis,2023-06-27,21.513015,,,2024,REP
T. Scott,2023-06-27,3.1794057,,,2024,REP
Trump,2023-06-27,51.955528,,,2024,REP
Christie,2023-06-27,2.3120987,,,2024,REP
Hutchinson,2023-06-27,0.79526413,,,2024,REP
Ramaswamy,2023-06-27,2.634042,,,2024,REP
Burgum,2023-06-27,0.3474571,,,2024,REP
Pence,2023-06-26,5.8269682,,,2024,REP
Haley,2023-06-26,4.0809647,,,2024,REP
DeSantis,2023-06-26,21.281734,,,2024,REP
T. Scott,2023-06-26,3.047161,,,2024,REP
Trump,2023-06-26,52.532692,,,2024,REP
Christie,2023-06-26,2.1795969,,,2024,REP
Hutchinson,2023-06-26,0.7844386,,,2024,REP
Ramaswamy,2023-06-26,2.5429151,,,2024,REP
Burgum,2023-06-26,0.3914665,,,2024,REP
Pence,2023-06-25,5.8272967,,,2024,REP
Haley,2023-06-25,4.0827313,,,2024,REP
DeSantis,2023-06-25,21.281266,,,2024,REP
T. Scott,2023-06-25,3.0465712,,,2024,REP
Trump,2023-06-25,52.531362,,,2024,REP
Christie,2023-06-25,2.1768492,,,2024,REP
Hutchinson,2023-06-25,0.78344119,,,2024,REP
Ramaswamy,2023-06-25,2.5419705,,,2024,REP
Burgum,2023-06-25,0.3914665,,,2024,REP
Pence,2023-06-24,5.7619893,,,2024,REP
Haley,2023-06-24,4.0634491,,,2024,REP
DeSantis,2023-06-24,21.328505,,,2024,REP
T. Scott,2023-06-24,3.090528,,,2024,REP
Trump,2023-06-24,52.536987,,,2024,REP
Christie,2023-06-24,1.9757555,,,2024,REP
Hutchinson,2023-06-24,0.72703665,,,2024,REP
Ramaswamy,2023-06-24,2.5001731,,,2024,REP
Burgum,2023-06-24,0.45216321,,,2024,REP
Pence,2023-06-23,5.7619893,,,2024,REP
Haley,2023-06-23,4.0634491,,,2024,REP
DeSantis,2023-06-23,21.328505,,,2024,REP
T. Scott,2023-06-23,3.090528,,,2024,REP
Trump,2023-06-23,52.536987,,,2024,REP
Christie,2023-06-23,1.9757555,,,2024,REP
Hutchinson,2023-06-23,0.72703665,,,2024,REP
Ramaswamy,2023-06-23,2.5001731,,,2024,REP
Burgum,2023-06-23,0.45216321,,,2024,REP
Pence,2023-06-22,5.7619893,,,2024,REP
Haley,2023-06-22,4.0634491,,,2024,REP
DeSantis,2023-06-22,21.328505,,,2024,REP
T. Scott,2023-06-22,3.090528,,,2024,REP
Trump,2023-06-22,52.536987,,,2024,REP
Christie,2023-06-22,1.9757555,,,2024,REP
Hutchinson,2023-06-22,0.72703665,,,2024,REP
Ramaswamy,2023-06-22,2.5001731,,,2024,REP
Burgum,2023-06-22,0.45216321,,,2024,REP
Pence,2023-06-21,5.8011395,,,2024,REP
Haley,2023-06-21,4.0570681,,,2024,REP
DeSantis,2023-06-21,21.319877,,,2024,REP
T. Scott,2023-06-21,3.1883224,,,2024,REP
Trump,2023-06-21,52.603749,,,2024,REP
Christie,2023-06-21,2.006727,,,2024,REP
Hutchinson,2023-06-21,0.75677412,,,2024,REP
Ramaswamy,2023-06-21,2.4814973,,,2024,REP
Burgum,2023-06-21,0.30559277,,,2024,REP
Pence,2023-06-20,5.8097619,,,2024,REP
Haley,2023-06-20,4.0754773,,,2024,REP
DeSantis,2023-06-20,21.197954,,,2024,REP
T. Scott,2023-06-20,3.0147631,,,2024,REP
Trump,2023-06-20,53.086829,,,2024,REP
Hutchinson,2023-06-20,0.85214415,,,2024,REP
Ramaswamy,2023-06-20,2.5768476,,,2024,REP
Pence,2023-06-19,5.5938913,,,2024,REP
Haley,2023-06-19,4.1880905,,,2024,REP
DeSantis,2023-06-19,20.827632,,,2024,REP
T. Scott,2023-06-19,2.9007465,,,2024,REP
Trump,2023-06-19,53.516516,,,2024,REP
Hutchinson,2023-06-19,0.84057111,,,2024,REP
Ramaswamy,2023-06-19,2.820858,,,2024,REP
Pence,2023-06-18,5.5938913,,,2024,REP
Haley,2023-06-18,4.1880905,,,2024,REP
DeSantis,2023-06-18,20.827632,,,2024,REP
T. Scott,2023-06-18,2.9007465,,,2024,REP
Trump,2023-06-18,53.516516,,,2024,REP
Hutchinson,2023-06-18,0.84057111,,,2024,REP
Ramaswamy,2023-06-18,2.820858,,,2024,REP
Pence,2023-06-17,5.5763088,,,2024,REP
Haley,2023-06-17,4.1975095,,,2024,REP
DeSantis,2023-06-17,20.872621,,,2024,REP
T. Scott,2023-06-17,2.9045067,,,2024,REP
Trump,2023-06-17,53.50466,,,2024,REP
Hutchinson,2023-06-17,0.84683303,,,2024,REP
Ramaswamy,2023-06-17,2.8214353,,,2024,REP
Pence,2023-06-16,5.5138297,,,2024,REP
Haley,2023-06-16,4.1797422,,,2024,REP
DeSantis,2023-06-16,20.978502,,,2024,REP
T. Scott,2023-06-16,2.9571247,,,2024,REP
Trump,2023-06-16,53.354565,,,2024,REP
Hutchinson,2023-06-16,0.88457801,,,2024,REP
Ramaswamy,2023-06-16,2.7948976,,,2024,REP
Pence,2023-06-15,5.515687,,,2024,REP
Haley,2023-06-15,4.1823439,,,2024,REP
DeSantis,2023-06-15,21.423725,,,2024,REP
T. Scott,2023-06-15,2.7882396,,,2024,REP
Trump,2023-06-15,53.354496,,,2024,REP
Hutchinson,2023-06-15,0.86998985,,,2024,REP
Ramaswamy,2023-06-15,2.8303565,,,2024,REP
Pence,2023-06-14,5.5168556,,,2024,REP
Haley,2023-06-14,4.181972,,,2024,REP
DeSantis,2023-06-14,21.431178,,,2024,REP
T. Scott,2023-06-14,2.7921012,,,2024,REP
Trump,2023-06-14,53.364175,,,2024,REP
Hutchinson,2023-06-14,0.87031301,,,2024,REP
Ramaswamy,2023-06-14,2.8315669,,,2024,REP
Pence,2023-06-13,5.5309411,,,2024,REP
Haley,2023-06-13,4.1991047,,,2024,REP
DeSantis,2023-06-13,21.478191,,,2024,REP
T. Scott,2023-06-13,2.7548743,,,2024,REP
Trump,2023-06-13,53.892084,,,2024,REP
Hutchinson,2023-06-13,0.79945384,,,2024,REP
Ramaswamy,2023-06-13,2.9023691,,,2024,REP
Pence,2023-06-12,5.3323984,,,2024,REP
Haley,2023-06-12,4.2767415,,,2024,REP
DeSantis,2023-06-12,21.511499,,,2024,REP
T. Scott,2023-06-12,2.4888353,,,2024,REP
Trump,2023-06-12,54.691128,,,2024,REP
Hutchinson,2023-06-12,0.75852118,,,2024,REP
Ramaswamy,2023-06-12,2.9369661,,,2024,REP
Pence,2023-06-11,5.2884161,,,2024,REP
Haley,2023-06-11,4.3118246,,,2024,REP
DeSantis,2023-06-11,21.510289,,,2024,REP
T. Scott,2023-06-11,2.4545165,,,2024,REP
Trump,2023-06-11,54.803871,,,2024,REP
Hutchinson,2023-06-11,0.75852118,,,2024,REP
Ramaswamy,2023-06-11,3.0461911,,,2024,REP
Pence,2023-06-10,5.3886058,,,2024,REP
Haley,2023-06-10,4.5099819,,,2024,REP
DeSantis,2023-06-10,21.272029,,,2024,REP
T. Scott,2023-06-10,2.1907245,,,2024,REP
Trump,2023-06-10,53.761113,,,2024,REP
Hutchinson,2023-06-10,0.7392041,,,2024,REP
Ramaswamy,2023-06-10,3.4585637,,,2024,REP
Pence,2023-06-09,5.3886058,,,2024,REP
Haley,2023-06-09,4.5099819,,,2024,REP
DeSantis,2023-06-09,21.272029,,,2024,REP
T. Scott,2023-06-09,2.1907245,,,2024,REP
Trump,2023-06-09,53.761113,,,2024,REP
Hutchinson,2023-06-09,0.7392041,,,2024,REP
Ramaswamy,2023-06-09,3.4585637,,,2024,REP
Pence,2023-06-08,5.4032066,,,2024,REP
Haley,2023-06-08,4.499934,,,2024,REP
DeSantis,2023-06-08,21.262059,,,2024,REP
T. Scott,2023-06-08,2.1922683,,,2024,REP
Trump,2023-06-08,53.787824,,,2024,REP
Hutchinson,2023-06-08,0.7392041,,,2024,REP
Ramaswamy,2023-06-08,3.4584635,,,2024,REP
Pence,2023-06-07,5.4007616,,,2024,REP
Haley,2023-06-07,4.4793091,,,2024,REP
DeSantis,2023-06-07,21.249973,,,2024,REP
T. Scott,2023-06-07,2.1866892,,,2024,REP
Trump,2023-06-07,53.783801,,,2024,REP
Hutchinson,2023-06-07,0.7390421,,,2024,REP
Ramaswamy,2023-06-07,3.4580033,,,2024,REP
Pence,2023-06-06,5.4366624,,,2024,REP
Haley,2023-06-06,4.4834924,,,2024,REP
DeSantis,2023-06-06,21.303323,,,2024,REP
T. Scott,2023-06-06,2.2043457,,,2024,REP
Trump,2023-06-06,53.738826,,,2024,REP
Hutchinson,2023-06-06,0.73058087,,,2024,REP
Ramaswamy,2023-06-06,3.4396584,,,2024,REP
Pence,2023-06-05,5.3768728,,,2024,REP
Haley,2023-06-05,4.5193556,,,2024,REP
DeSantis,2023-06-05,21.123484,,,2024,REP
T. Scott,2023-06-05,2.10235,,,2024,REP
