politician,response,date,pct_estimate
Donald Trump,favorable,2023-06-27,39.83999714
Donald Trump,unfavorable,2023-06-27,54.66041974
Donald Trump,favorable,2023-06-26,40.04268695
Donald Trump,unfavorable,2023-06-26,54.29555822
Donald Trump,favorable,2023-06-25,38.89247143
Donald Trump,unfavorable,2023-06-25,55.4491001
Donald Trump,favorable,2023-06-24,38.89247143
Donald Trump,unfavorable,2023-06-24,55.4491001
Donald Trump,favorable,2023-06-23,39.4246345
Donald Trump,unfavorable,2023-06-23,55.04403037
Donald Trump,favorable,2023-06-22,39.42659647
Donald Trump,unfavorable,2023-06-22,55.04142388
Donald Trump,favorable,2023-06-21,39.42659647
Donald Trump,unfavorable,2023-06-21,55.04142388
Donald Trump,favorable,2023-06-20,38.99740912
Donald Trump,unfavorable,2023-06-20,55.06237485
Donald Trump,favorable,2023-06-19,39.62075677
Donald Trump,unfavorable,2023-06-19,54.91552894
Donald Trump,favorable,2023-06-18,39.62075677
Donald Trump,unfavorable,2023-06-18,54.91552894
Donald Trump,favorable,2023-06-17,39.62075677
Donald Trump,unfavorable,2023-06-17,54.91552894
Donald Trump,favorable,2023-06-16,39.07030201
Donald Trump,unfavorable,2023-06-16,55.87389087
Donald Trump,favorable,2023-06-15,39.07030201
Donald Trump,unfavorable,2023-06-15,55.87389087
Donald Trump,favorable,2023-06-14,39.33002395
Donald Trump,unfavorable,2023-06-14,55.5450175
Donald Trump,favorable,2023-06-13,40.09827675
Donald Trump,unfavorable,2023-06-13,54.39268601
Donald Trump,favorable,2023-06-12,39.45475978
Donald Trump,unfavorable,2023-06-12,54.4797904
Donald Trump,favorable,2023-06-11,39.45475978
Donald Trump,unfavorable,2023-06-11,54.4797904
Donald Trump,favorable,2023-06-10,39.45475978
Donald Trump,unfavorable,2023-06-10,54.4797904
Donald Trump,favorable,2023-06-09,41.04608717
Donald Trump,unfavorable,2023-06-09,54.63795404
Donald Trump,favorable,2023-06-08,41.04608717
Donald Trump,unfavorable,2023-06-08,54.63795404
Donald Trump,favorable,2023-06-07,41.04933483
Donald Trump,unfavorable,2023-06-07,54.63156506
Donald Trump,favorable,2023-06-06,41.04933483
Donald Trump,unfavorable,2023-06-06,54.63156506
Donald Trump,favorable,2023-06-05,41.76154214
Donald Trump,unfavorable,2023-06-05,53.89882397
