politician,date,answer,pct_estimate,lo,hi
Joe Biden,2021-01-23,Approve,52.9743,47.73458,58.21402
Joe Biden,2021-01-23,Disapprove,36.03907,30.79935,41.27879
Joe Biden,2021-01-24,Approve,52.9743,47.73458,58.21402
Joe Biden,2021-01-24,Disapprove,36.03907,30.79935,41.27879
Joe Biden,2021-01-25,Approve,54.9925,49.98658,59.99842
Joe Biden,2021-01-25,Disapprove,37.27006,32.26414,42.27598
Joe Biden,2021-01-26,Approve,54.80725,49.82153,59.79297
Joe Biden,2021-01-26,Disapprove,37.49861,32.51289,42.48433
Joe Biden,2021-01-27,Approve,53.949072,49.264969,58.633175
Joe Biden,2021-01-27,Disapprove,35.09413,30.410028,39.778233
Joe Biden,2021-01-28,Approve,54.222706,49.649183,58.79623
Joe Biden,2021-01-28,Disapprove,34.663625,30.090102,39.237149
Joe Biden,2021-01-29,Approve,54.281215,49.677542,58.884888
Joe Biden,2021-01-29,Disapprove,34.557801,29.954128,39.161473
Joe Biden,2021-01-30,Approve,54.281215,49.677542,58.884888
Joe Biden,2021-01-30,Disapprove,34.557801,29.954128,39.161473
Joe Biden,2021-01-31,Approve,54.281215,49.677542,58.884888
Joe Biden,2021-01-31,Disapprove,34.557801,29.954128,39.161473
Joe Biden,2021-02-01,Approve,53.396059,48.956395,57.835723
Joe Biden,2021-02-01,Disapprove,34.003756,29.564092,38.44342
Joe Biden,2021-02-02,Approve,53.192157,48.786518,57.597796
Joe Biden,2021-02-02,Disapprove,34.236291,29.830652,38.64193
Joe Biden,2021-02-03,Approve,52.652548,48.27818,57.026915
Joe Biden,2021-02-03,Disapprove,35.189123,30.814755,39.56349
Joe Biden,2021-02-04,Approve,53.754728,49.403126,58.106331
Joe Biden,2021-02-04,Disapprove,35.837091,31.485489,40.188694
Joe Biden,2021-02-05,Approve,53.156742,48.858918,57.454566
Joe Biden,2021-02-05,Disapprove,36.3333,32.035476,40.631125
Joe Biden,2021-02-06,Approve,53.156742,48.858918,57.454566
Joe Biden,2021-02-06,Disapprove,36.3333,32.035476,40.631125
Joe Biden,2021-02-07,Approve,53.156742,48.858918,57.454566
Joe Biden,2021-02-07,Disapprove,36.3333,32.035476,40.631125
Joe Biden,2021-02-08,Approve,53.093442,48.694262,57.492622
Joe Biden,2021-02-08,Disapprove,36.748001,32.348821,41.147182
Joe Biden,2021-02-09,Approve,54.535052,50.155148,58.914956
Joe Biden,2021-02-09,Disapprove,36.935867,32.555963,41.31577
Joe Biden,2021-02-10,Approve,54.289854,49.77306,58.806647
Joe Biden,2021-02-10,Disapprove,37.10473,32.596862,41.612598
Joe Biden,2021-02-11,Approve,54.253095,49.76444,58.74175
Joe Biden,2021-02-11,Disapprove,37.14357,32.660765,41.626375
Joe Biden,2021-02-12,Approve,54.441821,49.968589,58.915054
Joe Biden,2021-02-12,Disapprove,37.233365,32.722266,41.744463
Joe Biden,2021-02-13,Approve,54.442678,49.96952,58.915836
Joe Biden,2021-02-13,Disapprove,37.233457,32.722428,41.744487
Joe Biden,2021-02-14,Approve,54.442678,49.96952,58.915836
Joe Biden,2021-02-14,Disapprove,37.233457,32.722428,41.744487
Joe Biden,2021-02-15,Approve,54.567261,50.011389,59.123133
Joe Biden,2021-02-15,Disapprove,37.251158,32.652594,41.849722
Joe Biden,2021-02-16,Approve,54.841579,50.116405,59.566753
Joe Biden,2021-02-16,Disapprove,37.396302,32.628013,42.16459
Joe Biden,2021-02-17,Approve,54.457794,49.807406,59.108183
Joe Biden,2021-02-17,Disapprove,37.774734,33.029949,42.51952
Joe Biden,2021-02-18,Approve,54.449369,49.737476,59.161261
Joe Biden,2021-02-18,Disapprove,37.84585,33.005163,42.686537
Joe Biden,2021-02-19,Approve,54.452566,49.715502,59.18963
Joe Biden,2021-02-19,Disapprove,38.11517,33.209433,43.020907
Joe Biden,2021-02-20,Approve,54.452566,49.715502,59.18963
Joe Biden,2021-02-20,Disapprove,38.11517,33.209433,43.020907
Joe Biden,2021-02-21,Approve,54.452566,49.715502,59.18963
Joe Biden,2021-02-21,Disapprove,38.11517,33.209433,43.020907
Joe Biden,2021-02-22,Approve,54.732806,50.03885,59.426762
Joe Biden,2021-02-22,Disapprove,38.137972,33.153682,43.122262
Joe Biden,2021-02-23,Approve,54.406798,49.658756,59.15484
Joe Biden,2021-02-23,Disapprove,38.048187,33.029119,43.067256
Joe Biden,2021-02-24,Approve,54.264025,49.456128,59.071923
Joe Biden,2021-02-24,Disapprove,38.116707,33.044971,43.188442
Joe Biden,2021-02-25,Approve,54.479157,49.649913,59.308402
Joe Biden,2021-02-25,Disapprove,38.20396,33.120256,43.287664
Joe Biden,2021-02-26,Approve,54.403931,49.555041,59.252821
Joe Biden,2021-02-26,Disapprove,38.308259,33.159113,43.457406
Joe Biden,2021-02-27,Approve,54.403931,49.555041,59.252821
Joe Biden,2021-02-27,Disapprove,38.308259,33.159113,43.457406
Joe Biden,2021-02-28,Approve,54.403931,49.555041,59.252821
Joe Biden,2021-02-28,Disapprove,38.308259,33.159113,43.457406
Joe Biden,2021-03-01,Approve,53.922245,49.263795,58.580695
Joe Biden,2021-03-01,Disapprove,37.081727,31.655202,42.508252
Joe Biden,2021-03-02,Approve,53.544854,48.735649,58.354059
Joe Biden,2021-03-02,Disapprove,37.124568,31.74376,42.505375
Joe Biden,2021-03-03,Approve,52.898622,48.186463,57.610781
Joe Biden,2021-03-03,Disapprove,38.326638,33.005613,43.647664
Joe Biden,2021-03-04,Approve,53.061421,48.31954,57.803302
Joe Biden,2021-03-04,Disapprove,38.314457,32.923632,43.705283
Joe Biden,2021-03-05,Approve,53.55762,48.696514,58.418726
Joe Biden,2021-03-05,Disapprove,38.642223,33.290373,43.994073
