politician,response,date,pct_estimate
Mike Pence,favorable,2023-06-26,25.96746567
Mike Pence,unfavorable,2023-06-26,52.16742301
Mike Pence,favorable,2023-06-25,25.96746567
Mike Pence,unfavorable,2023-06-25,52.16742301
Mike Pence,favorable,2023-06-24,25.96746567
Mike Pence,unfavorable,2023-06-24,52.16742301
Mike Pence,favorable,2023-06-23,25.96746567
Mike Pence,unfavorable,2023-06-23,52.16742301
Mike Pence,favorable,2023-06-22,25.96746567
Mike Pence,unfavorable,2023-06-22,52.16742301
Mike Pence,favorable,2023-06-21,25.96746567
Mike Pence,unfavorable,2023-06-21,52.16742301
Mike Pence,favorable,2023-06-20,34.66584755
Mike Pence,unfavorable,2023-06-20,50.07358523
Mike Pence,favorable,2023-06-19,34.66584755
Mike Pence,unfavorable,2023-06-19,50.07358523
Mike Pence,favorable,2023-06-18,34.66584755
Mike Pence,unfavorable,2023-06-18,50.07358523
Mike Pence,favorable,2023-06-17,34.66584755
Mike Pence,unfavorable,2023-06-17,50.07358523
Mike Pence,favorable,2023-06-16,34.66584755
Mike Pence,unfavorable,2023-06-16,50.07358523
Mike Pence,favorable,2023-06-15,34.66584755
Mike Pence,unfavorable,2023-06-15,50.07358523
Mike Pence,favorable,2023-06-14,33.79889103
Mike Pence,unfavorable,2023-06-14,54.65662113
Mike Pence,favorable,2023-06-13,35.70839353
Mike Pence,unfavorable,2023-06-13,51.54067801
Mike Pence,favorable,2023-06-12,35.24537694
Mike Pence,unfavorable,2023-06-12,46.72692535
Mike Pence,favorable,2023-06-11,35.24537694
Mike Pence,unfavorable,2023-06-11,46.72692535
Mike Pence,favorable,2023-06-10,35.24537694
Mike Pence,unfavorable,2023-06-10,46.72692535
Mike Pence,favorable,2023-06-09,35.24537694
Mike Pence,unfavorable,2023-06-09,46.72692535
Mike Pence,favorable,2023-06-08,35.24537694
Mike Pence,unfavorable,2023-06-08,46.72692535
Mike Pence,favorable,2023-06-07,35.24537694
Mike Pence,unfavorable,2023-06-07,46.72692535
Mike Pence,favorable,2023-06-06,35.24537694
Mike Pence,unfavorable,2023-06-06,46.72692535
Mike Pence,favorable,2023-06-05,35.24537694
Mike Pence,unfavorable,2023-06-05,46.72692535
Mike Pence,favorable,2023-06-04,35.24537694
Mike Pence,unfavorable,2023-06-04,46.72692535
Mike Pence,favorable,2023-06-03,35.24537694
Mike Pence,unfavorable,2023-06-03,46.72692535
Mike Pence,favorable,2023-06-02,35.24537694
Mike Pence,unfavorable,2023-06-02,46.72692535
Mike Pence,favorable,2023-06-01,35.24537694
Mike Pence,unfavorable,2023-06-01,46.72692535
Mike Pence,favorable,2023-05-31,35.24537694
Mike Pence,unfavorable,2023-05-31,46.72692535
Mike Pence,favorable,2023-05-30,35.24537694
Mike Pence,unfavorable,2023-05-30,46.72692535
Mike Pence,favorable,2023-05-29,35.24537694
Mike Pence,unfavorable,2023-05-29,46.72692535
Mike Pence,favorable,2023-05-28,35.24537694
Mike Pence,unfavorable,2023-05-28,46.72692535
Mike Pence,favorable,2023-05-27,35.24537694
Mike Pence,unfavorable,2023-05-27,46.72692535
Mike Pence,favorable,2023-05-26,32.57900583
Mike Pence,unfavorable,2023-05-26,48.65613043
Mike Pence,favorable,2023-05-25,30.96729561
Mike Pence,unfavorable,2023-05-25,48.38664002
Mike Pence,favorable,2023-05-24,30.42109475
Mike Pence,unfavorable,2023-05-24,48.80840292
Mike Pence,favorable,2023-05-23,30.42109475
Mike Pence,unfavorable,2023-05-23,48.80840292
Mike Pence,favorable,2023-05-22,30.42109475
Mike Pence,unfavorable,2023-05-22,48.80840292
Mike Pence,favorable,2023-05-21,36.66783229
Mike Pence,unfavorable,2023-05-21,46.85186102
Mike Pence,favorable,2023-05-20,36.66783229
Mike Pence,unfavorable,2023-05-20,46.85186102
Mike Pence,favorable,2023-05-19,36.66783229
Mike Pence,unfavorable,2023-05-19,46.85186102
Mike Pence,favorable,2023-05-18,36.66783229
Mike Pence,unfavorable,2023-05-18,46.85186102
Mike Pence,favorable,2023-05-17,35.83297005
Mike Pence,unfavorable,2023-05-17,52.54836644
Mike Pence,favorable,2023-05-16,35.83297005
Mike Pence,unfavorable,2023-05-16,52.54836644
Mike Pence,favorable,2023-05-15,35.83297005
Mike Pence,unfavorable,2023-05-15,52.54836644
Mike Pence,favorable,2023-05-14,35.83297005
Mike Pence,unfavorable,2023-05-14,52.54836644
Mike Pence,favorable,2023-05-13,35.83297005
Mike Pence,unfavorable,2023-05-13,52.54836644
Mike Pence,favorable,2023-05-12,35.83297005
Mike Pence,unfavorable,2023-05-12,52.54836644
Mike Pence,favorable,2023-05-11,35.83297005
Mike Pence,unfavorable,2023-05-11,52.54836644
Mike Pence,favorable,2023-05-10,35.83297005
Mike Pence,unfavorable,2023-05-10,52.54836644
Mike Pence,favorable,2023-05-09,35.83297005
Mike Pence,unfavorable,2023-05-09,52.54836644
Mike Pence,favorable,2023-05-08,35.83297005
Mike Pence,unfavorable,2023-05-08,52.54836644
Mike Pence,favorable,2023-05-07,35.83297005
Mike Pence,unfavorable,2023-05-07,52.54836644
Mike Pence,favorable,2023-05-06,35.83297005
Mike Pence,unfavorable,2023-05-06,52.54836644
Mike Pence,favorable,2023-05-05,35.83297005
Mike Pence,unfavorable,2023-05-05,52.54836644
Mike Pence,favorable,2023-05-04,35.83297005
Mike Pence,unfavorable,2023-05-04,52.54836644
Mike Pence,favorable,2023-05-03,35.83297005
Mike Pence,unfavorable,2023-05-03,52.54836644
Mike Pence,favorable,2023-05-02,35.83297005
Mike Pence,unfavorable,2023-05-02,52.54836644
Mike Pence,favorable,2023-05-01,35.83297005
Mike Pence,unfavorable,2023-05-01,52.54836644
Mike Pence,favorable,2023-04-30,35.83297005
Mike Pence,unfavorable,2023-04-30,52.54836644
Mike Pence,favorable,2023-04-29,35.83297005
Mike Pence,unfavorable,2023-04-29,52.54836644
Mike Pence,favorable,2023-04-28,35.83297005
Mike Pence,unfavorable,2023-04-28,52.54836644
Mike Pence,favorable,2023-04-27,35.83297005
Mike Pence,unfavorable,2023-04-27,52.54836644
Mike Pence,favorable,2023-04-26,37.54841314
Mike Pence,unfavorable,2023-04-26,52.84471174
Mike Pence,favorable,2023-04-25,36.47310617
Mike Pence,unfavorable,2023-04-25,48.47612911
Mike Pence,favorable,2023-04-24,36.47310617
Mike Pence,unfavorable,2023-04-24,48.47612911
Mike Pence,favorable,2023-04-23,36.37880244
Mike Pence,unfavorable,2023-04-23,48.83470416
Mike Pence,favorable,2023-04-22,36.37880244
Mike Pence,unfavorable,2023-04-22,48.83470416
Mike Pence,favorable,2023-04-21,36.37880244
Mike Pence,unfavorable,2023-04-21,48.83470416
Mike Pence,favorable,2023-04-20,34.38672357
Mike Pence,unfavorable,2023-04-20,52.22323803
Mike Pence,favorable,2023-04-19,34.38672357
Mike Pence,unfavorable,2023-04-19,52.22323803
Mike Pence,favorable,2023-04-18,34.38672357
Mike Pence,unfavorable,2023-04-18,52.22323803
Mike Pence,favorable,2023-04-17,34.38672357
Mike Pence,unfavorable,2023-04-17,52.22323803
Mike Pence,favorable,2023-04-16,36.71361687
Mike Pence,unfavorable,2023-04-16,47.83699426
Mike Pence,favorable,2023-04-15,36.71361687
Mike Pence,unfavorable,2023-04-15,47.83699426
Mike Pence,favorable,2023-04-14,36.71361687
Mike Pence,unfavorable,2023-04-14,47.83699426
Mike Pence,favorable,2023-04-13,36.71361687
Mike Pence,unfavorable,2023-04-13,47.83699426
Mike Pence,favorable,2023-04-12,36.71361687
Mike Pence,unfavorable,2023-04-12,47.83699426
Mike Pence,favorable,2023-04-11,36.71361687
Mike Pence,unfavorable,2023-04-11,47.83699426
Mike Pence,favorable,2023-04-10,36.71361687
Mike Pence,unfavorable,2023-04-10,47.83699426
Mike Pence,favorable,2023-04-09,36.71361687
Mike Pence,unfavorable,2023-04-09,47.83699426
Mike Pence,favorable,2023-04-08,36.71361687
Mike Pence,unfavorable,2023-04-08,47.83699426
Mike Pence,favorable,2023-04-07,36.71361687
Mike Pence,unfavorable,2023-04-07,47.83699426
Mike Pence,favorable,2023-04-06,36.71361687
Mike Pence,unfavorable,2023-04-06,47.83699426
Mike Pence,favorable,2023-04-05,36.71361687
Mike Pence,unfavorable,2023-04-05,47.83699426
Mike Pence,favorable,2023-04-04,36.71361687
Mike Pence,unfavorable,2023-04-04,47.83699426
Mike Pence,favorable,2023-04-03,36.01659504
