politician,response,date,pct_estimate
Nikki Haley,favorable,2023-06-26,27.12256941
Nikki Haley,unfavorable,2023-06-26,30.06438127
Nikki Haley,favorable,2023-06-25,27.12256941
Nikki Haley,unfavorable,2023-06-25,30.06438127
Nikki Haley,favorable,2023-06-24,27.12256941
Nikki Haley,unfavorable,2023-06-24,30.06438127
Nikki Haley,favorable,2023-06-23,27.12256941
Nikki Haley,unfavorable,2023-06-23,30.06438127
Nikki Haley,favorable,2023-06-22,35.75171815
Nikki Haley,unfavorable,2023-06-22,35.12948189
Nikki Haley,favorable,2023-06-21,35.75171815
Nikki Haley,unfavorable,2023-06-21,35.12948189
Nikki Haley,favorable,2023-06-20,30.87264838
Nikki Haley,unfavorable,2023-06-20,30.78629084
Nikki Haley,favorable,2023-06-19,30.87264838
Nikki Haley,unfavorable,2023-06-19,30.78629084
Nikki Haley,favorable,2023-06-18,30.87264838
Nikki Haley,unfavorable,2023-06-18,30.78629084
Nikki Haley,favorable,2023-06-17,30.87264838
Nikki Haley,unfavorable,2023-06-17,30.78629084
Nikki Haley,favorable,2023-06-16,30.87264838
Nikki Haley,unfavorable,2023-06-16,30.78629084
Nikki Haley,favorable,2023-06-15,30.87264838
Nikki Haley,unfavorable,2023-06-15,30.78629084
Nikki Haley,favorable,2023-06-14,30.25482285
Nikki Haley,unfavorable,2023-06-14,34.27886894
Nikki Haley,favorable,2023-06-13,32.14566641
Nikki Haley,unfavorable,2023-06-13,33.66414065
Nikki Haley,favorable,2023-06-12,30.58142982
Nikki Haley,unfavorable,2023-06-12,33.95015487
Nikki Haley,favorable,2023-06-11,30.58142982
Nikki Haley,unfavorable,2023-06-11,33.95015487
Nikki Haley,favorable,2023-06-10,30.58142982
Nikki Haley,unfavorable,2023-06-10,33.95015487
Nikki Haley,favorable,2023-06-09,30.58142982
Nikki Haley,unfavorable,2023-06-09,33.95015487
Nikki Haley,favorable,2023-06-08,30.58142982
Nikki Haley,unfavorable,2023-06-08,33.95015487
Nikki Haley,favorable,2023-06-07,30.58142982
Nikki Haley,unfavorable,2023-06-07,33.95015487
Nikki Haley,favorable,2023-06-06,30.58142982
Nikki Haley,unfavorable,2023-06-06,33.95015487
Nikki Haley,favorable,2023-06-05,30.58142982
Nikki Haley,unfavorable,2023-06-05,33.95015487
Nikki Haley,favorable,2023-06-04,30.58142982
Nikki Haley,unfavorable,2023-06-04,33.95015487
Nikki Haley,favorable,2023-06-03,30.58142982
Nikki Haley,unfavorable,2023-06-03,33.95015487
Nikki Haley,favorable,2023-06-02,30.58142982
Nikki Haley,unfavorable,2023-06-02,33.95015487
Nikki Haley,favorable,2023-06-01,30.58142982
Nikki Haley,unfavorable,2023-06-01,33.95015487
Nikki Haley,favorable,2023-05-31,29.83303724
Nikki Haley,unfavorable,2023-05-31,34.709831
Nikki Haley,favorable,2023-05-30,28.99632642
Nikki Haley,unfavorable,2023-05-30,30.21966684
Nikki Haley,favorable,2023-05-29,28.99632642
Nikki Haley,unfavorable,2023-05-29,30.21966684
Nikki Haley,favorable,2023-05-28,28.99632642
Nikki Haley,unfavorable,2023-05-28,30.21966684
Nikki Haley,favorable,2023-05-27,28.99632642
Nikki Haley,unfavorable,2023-05-27,30.21966684
Nikki Haley,favorable,2023-05-26,28.99632642
Nikki Haley,unfavorable,2023-05-26,30.21966684
Nikki Haley,favorable,2023-05-25,26.66416122
Nikki Haley,unfavorable,2023-05-25,28.74512823
Nikki Haley,favorable,2023-05-24,24.6206141
Nikki Haley,unfavorable,2023-05-24,28.32473874
Nikki Haley,favorable,2023-05-23,24.6206141
Nikki Haley,unfavorable,2023-05-23,28.32473874
Nikki Haley,favorable,2023-05-22,24.6206141
Nikki Haley,unfavorable,2023-05-22,28.32473874
Nikki Haley,favorable,2023-05-21,34.07339518
Nikki Haley,unfavorable,2023-05-21,29.62525285
Nikki Haley,favorable,2023-05-20,34.07339518
Nikki Haley,unfavorable,2023-05-20,29.62525285
Nikki Haley,favorable,2023-05-19,34.07339518
Nikki Haley,unfavorable,2023-05-19,29.62525285
Nikki Haley,favorable,2023-05-18,34.07339518
Nikki Haley,unfavorable,2023-05-18,29.62525285
Nikki Haley,favorable,2023-05-17,30.68020073
Nikki Haley,unfavorable,2023-05-17,35.06286188
Nikki Haley,favorable,2023-05-16,30.68020073
Nikki Haley,unfavorable,2023-05-16,35.06286188
Nikki Haley,favorable,2023-05-15,30.68020073
Nikki Haley,unfavorable,2023-05-15,35.06286188
Nikki Haley,favorable,2023-05-14,30.68020073
Nikki Haley,unfavorable,2023-05-14,35.06286188
Nikki Haley,favorable,2023-05-13,30.68020073
Nikki Haley,unfavorable,2023-05-13,35.06286188
Nikki Haley,favorable,2023-05-12,30.68020073
Nikki Haley,unfavorable,2023-05-12,35.06286188
Nikki Haley,favorable,2023-05-11,30.68020073
Nikki Haley,unfavorable,2023-05-11,35.06286188
Nikki Haley,favorable,2023-05-10,30.68020073
Nikki Haley,unfavorable,2023-05-10,35.06286188
Nikki Haley,favorable,2023-05-09,30.68020073
Nikki Haley,unfavorable,2023-05-09,35.06286188
Nikki Haley,favorable,2023-05-08,30.68020073
Nikki Haley,unfavorable,2023-05-08,35.06286188
Nikki Haley,favorable,2023-05-07,30.68020073
Nikki Haley,unfavorable,2023-05-07,35.06286188
Nikki Haley,favorable,2023-05-06,30.68020073
Nikki Haley,unfavorable,2023-05-06,35.06286188
Nikki Haley,favorable,2023-05-05,30.68020073
Nikki Haley,unfavorable,2023-05-05,35.06286188
Nikki Haley,favorable,2023-05-04,30.68020073
Nikki Haley,unfavorable,2023-05-04,35.06286188
Nikki Haley,favorable,2023-05-03,30.68020073
Nikki Haley,unfavorable,2023-05-03,35.06286188
Nikki Haley,favorable,2023-05-02,30.68020073
Nikki Haley,unfavorable,2023-05-02,35.06286188
Nikki Haley,favorable,2023-05-01,30.68020073
Nikki Haley,unfavorable,2023-05-01,35.06286188
Nikki Haley,favorable,2023-04-30,30.68020073
Nikki Haley,unfavorable,2023-04-30,35.06286188
Nikki Haley,favorable,2023-04-29,30.68020073
Nikki Haley,unfavorable,2023-04-29,35.06286188
Nikki Haley,favorable,2023-04-28,30.68020073
Nikki Haley,unfavorable,2023-04-28,35.06286188
Nikki Haley,favorable,2023-04-27,30.68020073
Nikki Haley,unfavorable,2023-04-27,35.06286188
Nikki Haley,favorable,2023-04-26,32.71692917
Nikki Haley,unfavorable,2023-04-26,34.16134371
Nikki Haley,favorable,2023-04-25,31.91228204
Nikki Haley,unfavorable,2023-04-25,30.5167031
Nikki Haley,favorable,2023-04-24,31.91228204
Nikki Haley,unfavorable,2023-04-24,30.5167031
Nikki Haley,favorable,2023-04-23,31.52490172
Nikki Haley,unfavorable,2023-04-23,30.21167008
Nikki Haley,favorable,2023-04-22,31.52490172
Nikki Haley,unfavorable,2023-04-22,30.21167008
Nikki Haley,favorable,2023-04-21,31.52490172
Nikki Haley,unfavorable,2023-04-21,30.21167008
Nikki Haley,favorable,2023-04-20,20.12057508
Nikki Haley,unfavorable,2023-04-20,30.28191212
Nikki Haley,favorable,2023-04-19,20.12057508
Nikki Haley,unfavorable,2023-04-19,30.28191212
Nikki Haley,favorable,2023-04-18,20.12057508
Nikki Haley,unfavorable,2023-04-18,30.28191212
Nikki Haley,favorable,2023-04-17,20.12057508
Nikki Haley,unfavorable,2023-04-17,30.28191212
Nikki Haley,favorable,2023-04-16,32.18590256
Nikki Haley,unfavorable,2023-04-16,33.37909338
Nikki Haley,favorable,2023-04-15,32.18590256
Nikki Haley,unfavorable,2023-04-15,33.37909338
Nikki Haley,favorable,2023-04-14,32.18590256
Nikki Haley,unfavorable,2023-04-14,33.37909338
Nikki Haley,favorable,2023-04-13,32.18590256
Nikki Haley,unfavorable,2023-04-13,33.37909338
Nikki Haley,favorable,2023-04-12,32.18590256
Nikki Haley,unfavorable,2023-04-12,33.37909338
Nikki Haley,favorable,2023-04-11,32.18590256
Nikki Haley,unfavorable,2023-04-11,33.37909338
Nikki Haley,favorable,2023-04-10,32.18590256
Nikki Haley,unfavorable,2023-04-10,33.37909338
Nikki Haley,favorable,2023-04-09,32.18590256
Nikki Haley,unfavorable,2023-04-09,33.37909338
Nikki Haley,favorable,2023-04-08,32.18590256
Nikki Haley,unfavorable,2023-04-08,33.37909338
Nikki Haley,favorable,2023-04-07,32.18590256
Nikki Haley,unfavorable,2023-04-07,33.37909338
