politician,response,date,pct_estimate
Ron DeSantis,favorable,2023-06-26,35.12478441
Ron DeSantis,unfavorable,2023-06-26,44.46707648
Ron DeSantis,favorable,2023-06-25,33.55156005
Ron DeSantis,unfavorable,2023-06-25,44.96479543
Ron DeSantis,favorable,2023-06-24,33.55156005
Ron DeSantis,unfavorable,2023-06-24,44.96479543
Ron DeSantis,favorable,2023-06-23,33.55156005
Ron DeSantis,unfavorable,2023-06-23,44.96479543
Ron DeSantis,favorable,2023-06-22,35.9057562
Ron DeSantis,unfavorable,2023-06-22,44.12227431
Ron DeSantis,favorable,2023-06-21,35.9057562
Ron DeSantis,unfavorable,2023-06-21,44.12227431
Ron DeSantis,favorable,2023-06-20,38.05727258
Ron DeSantis,unfavorable,2023-06-20,44.20298725
Ron DeSantis,favorable,2023-06-19,38.05727258
Ron DeSantis,unfavorable,2023-06-19,44.20298725
Ron DeSantis,favorable,2023-06-18,38.05727258
Ron DeSantis,unfavorable,2023-06-18,44.20298725
Ron DeSantis,favorable,2023-06-17,38.05727258
Ron DeSantis,unfavorable,2023-06-17,44.20298725
Ron DeSantis,favorable,2023-06-16,36.09598535
Ron DeSantis,unfavorable,2023-06-16,48.13947071
Ron DeSantis,favorable,2023-06-15,36.05346134
Ron DeSantis,unfavorable,2023-06-15,48.17300632
Ron DeSantis,favorable,2023-06-14,36.43469825
Ron DeSantis,unfavorable,2023-06-14,48.04729484
Ron DeSantis,favorable,2023-06-13,38.15516008
Ron DeSantis,unfavorable,2023-06-13,46.41759226
Ron DeSantis,favorable,2023-06-12,37.33028771
Ron DeSantis,unfavorable,2023-06-12,46.38107931
Ron DeSantis,favorable,2023-06-11,37.33028771
Ron DeSantis,unfavorable,2023-06-11,46.38107931
Ron DeSantis,favorable,2023-06-10,37.33028771
Ron DeSantis,unfavorable,2023-06-10,46.38107931
Ron DeSantis,favorable,2023-06-09,37.33028771
Ron DeSantis,unfavorable,2023-06-09,46.38107931
Ron DeSantis,favorable,2023-06-08,37.33028771
Ron DeSantis,unfavorable,2023-06-08,46.38107931
Ron DeSantis,favorable,2023-06-07,37.33028771
Ron DeSantis,unfavorable,2023-06-07,46.38107931
Ron DeSantis,favorable,2023-06-06,37.33028771
Ron DeSantis,unfavorable,2023-06-06,46.38107931
Ron DeSantis,favorable,2023-06-05,39.63153651
Ron DeSantis,unfavorable,2023-06-05,44.35168627
Ron DeSantis,favorable,2023-06-04,39.63153651
Ron DeSantis,unfavorable,2023-06-04,44.35168627
Ron DeSantis,favorable,2023-06-03,39.63153651
Ron DeSantis,unfavorable,2023-06-03,44.35168627
Ron DeSantis,favorable,2023-06-02,37.01360284
Ron DeSantis,unfavorable,2023-06-02,44.20209294
Ron DeSantis,favorable,2023-06-01,37.88724256
Ron DeSantis,unfavorable,2023-06-01,44.4680314
Ron DeSantis,favorable,2023-05-31,37.1813491
Ron DeSantis,unfavorable,2023-05-31,44.8559421
Ron DeSantis,favorable,2023-05-30,38.48301435
Ron DeSantis,unfavorable,2023-05-30,43.49586929
Ron DeSantis,favorable,2023-05-29,38.48301435
Ron DeSantis,unfavorable,2023-05-29,43.49586929
Ron DeSantis,favorable,2023-05-28,38.48301435
Ron DeSantis,unfavorable,2023-05-28,43.49586929
Ron DeSantis,favorable,2023-05-27,38.48301435
Ron DeSantis,unfavorable,2023-05-27,43.49586929
Ron DeSantis,favorable,2023-05-26,38.48301435
Ron DeSantis,unfavorable,2023-05-26,43.49586929
Ron DeSantis,favorable,2023-05-25,40.95622716
Ron DeSantis,unfavorable,2023-05-25,41.02113305
Ron DeSantis,favorable,2023-05-24,41.18041387
Ron DeSantis,unfavorable,2023-05-24,40.96993489
Ron DeSantis,favorable,2023-05-23,43.65763657
Ron DeSantis,unfavorable,2023-05-23,39.22702473
Ron DeSantis,favorable,2023-05-22,42.40560251
Ron DeSantis,unfavorable,2023-05-22,39.59255741
Ron DeSantis,favorable,2023-05-21,42.40560251
Ron DeSantis,unfavorable,2023-05-21,39.59255741
Ron DeSantis,favorable,2023-05-20,42.40560251
Ron DeSantis,unfavorable,2023-05-20,39.59255741
Ron DeSantis,favorable,2023-05-19,42.40560251
Ron DeSantis,unfavorable,2023-05-19,39.59255741
Ron DeSantis,favorable,2023-05-18,42.40560251
Ron DeSantis,unfavorable,2023-05-18,39.59255741
Ron DeSantis,favorable,2023-05-17,42.17541357
Ron DeSantis,unfavorable,2023-05-17,40.53752738
Ron DeSantis,favorable,2023-05-16,42.17541357
Ron DeSantis,unfavorable,2023-05-16,40.53752738
Ron DeSantis,favorable,2023-05-15,43.10387677
Ron DeSantis,unfavorable,2023-05-15,40.75564183
Ron DeSantis,favorable,2023-05-14,43.10387677
Ron DeSantis,unfavorable,2023-05-14,40.75564183
Ron DeSantis,favorable,2023-05-13,43.10387677
Ron DeSantis,unfavorable,2023-05-13,40.75564183
Ron DeSantis,favorable,2023-05-12,43.10387677
Ron DeSantis,unfavorable,2023-05-12,40.75564183
Ron DeSantis,favorable,2023-05-11,43.10387677
Ron DeSantis,unfavorable,2023-05-11,40.75564183
Ron DeSantis,favorable,2023-05-10,43.10387677
Ron DeSantis,unfavorable,2023-05-10,40.75564183
Ron DeSantis,favorable,2023-05-09,43.10387677
Ron DeSantis,unfavorable,2023-05-09,40.75564183
Ron DeSantis,favorable,2023-05-08,42.87697624
Ron DeSantis,unfavorable,2023-05-08,40.83621893
Ron DeSantis,favorable,2023-05-07,42.87697624
Ron DeSantis,unfavorable,2023-05-07,40.83621893
Ron DeSantis,favorable,2023-05-06,42.87697624
Ron DeSantis,unfavorable,2023-05-06,40.83621893
Ron DeSantis,favorable,2023-05-05,42.87697624
Ron DeSantis,unfavorable,2023-05-05,40.83621893
Ron DeSantis,favorable,2023-05-04,45.05997723
Ron DeSantis,unfavorable,2023-05-04,39.62680851
Ron DeSantis,favorable,2023-05-03,45.28901867
Ron DeSantis,unfavorable,2023-05-03,39.51322702
Ron DeSantis,favorable,2023-05-02,39.86050462
Ron DeSantis,unfavorable,2023-05-02,42.86083042
Ron DeSantis,favorable,2023-05-01,39.15784905
Ron DeSantis,unfavorable,2023-05-01,44.09130201
Ron DeSantis,favorable,2023-04-30,39.15784905
Ron DeSantis,unfavorable,2023-04-30,44.09130201
Ron DeSantis,favorable,2023-04-29,39.15784905
Ron DeSantis,unfavorable,2023-04-29,44.09130201
Ron DeSantis,favorable,2023-04-28,39.15784905
Ron DeSantis,unfavorable,2023-04-28,44.09130201
Ron DeSantis,favorable,2023-04-27,40.52764207
Ron DeSantis,unfavorable,2023-04-27,43.2309186
Ron DeSantis,favorable,2023-04-26,40.88726029
Ron DeSantis,unfavorable,2023-04-26,42.4313299
Ron DeSantis,favorable,2023-04-25,40.7488779
Ron DeSantis,unfavorable,2023-04-25,39.76824827
Ron DeSantis,favorable,2023-04-24,40.7488779
Ron DeSantis,unfavorable,2023-04-24,39.76824827
Ron DeSantis,favorable,2023-04-23,40.85019616
Ron DeSantis,unfavorable,2023-04-23,39.80847593
Ron DeSantis,favorable,2023-04-22,40.85019616
Ron DeSantis,unfavorable,2023-04-22,39.80847593
Ron DeSantis,favorable,2023-04-21,40.85019616
Ron DeSantis,unfavorable,2023-04-21,39.80847593
Ron DeSantis,favorable,2023-04-20,38.01864699
Ron DeSantis,unfavorable,2023-04-20,40.25815604
Ron DeSantis,favorable,2023-04-19,40.58614642
Ron DeSantis,unfavorable,2023-04-19,38.88380872
Ron DeSantis,favorable,2023-04-18,40.58614642
Ron DeSantis,unfavorable,2023-04-18,38.88380872
Ron DeSantis,favorable,2023-04-17,39.48532246
Ron DeSantis,unfavorable,2023-04-17,40.36370186
Ron DeSantis,favorable,2023-04-16,39.48532246
Ron DeSantis,unfavorable,2023-04-16,40.36370186
Ron DeSantis,favorable,2023-04-15,39.48532246
Ron DeSantis,unfavorable,2023-04-15,40.36370186
Ron DeSantis,favorable,2023-04-14,39.48532246
Ron DeSantis,unfavorable,2023-04-14,40.36370186
Ron DeSantis,favorable,2023-04-13,39.48532246
Ron DeSantis,unfavorable,2023-04-13,40.36370186
Ron DeSantis,favorable,2023-04-12,39.55011759
Ron DeSantis,unfavorable,2023-04-12,40.31407502
Ron DeSantis,favorable,2023-04-11,39.55011759
Ron DeSantis,unfavorable,2023-04-11,40.31407502
Ron DeSantis,favorable,2023-04-10,39.7198011
Ron DeSantis,unfavorable,2023-04-10,39.94938375
Ron DeSantis,favorable,2023-04-09,39.7198011
Ron DeSantis,unfavorable,2023-04-09,39.94938375
Ron DeSantis,favorable,2023-04-08,39.7198011
Ron DeSantis,unfavorable,2023-04-08,39.94938375
Ron DeSantis,favorable,2023-04-07,39.7198011
Ron DeSantis,unfavorable,2023-04-07,39.94938375
Ron DeSantis,favorable,2023-04-06,39.7198011
Ron DeSantis,unfavorable,2023-04-06,39.94938375
Ron DeSantis,favorable,2023-04-05,39.7198011
Ron DeSantis,unfavorable,2023-04-05,39.94938375
Ron DeSantis,favorable,2023-04-04,39.7198011
Ron DeSantis,unfavorable,2023-04-04,39.94938375
Ron DeSantis,favorable,2023-04-03,40.37442301
Ron DeSantis,unfavorable,2023-04-03,40.1409304
Ron DeSantis,favorable,2023-04-02,40.37442301
Ron DeSantis,unfavorable,2023-04-02,40.1409304
Ron DeSantis,favorable,2023-04-01,40.37442301
Ron DeSantis,unfavorable,2023-04-01,40.1409304
Ron DeSantis,favorable,2023-03-31,40.37442301
Ron DeSantis,unfavorable,2023-03-31,40.1409304
Ron DeSantis,favorable,2023-03-30,41.0949409
Ron DeSantis,unfavorable,2023-03-30,37.71106218
Ron DeSantis,favorable,2023-03-29,41.21589054
Ron DeSantis,unfavorable,2023-03-29,37.63647161
Ron DeSantis,favorable,2023-03-28,42.74809753
Ron DeSantis,unfavorable,2023-03-28,36.75582133
Ron DeSantis,favorable,2023-03-27,42.77731906
Ron DeSantis,unfavorable,2023-03-27,37.0616017
Ron DeSantis,favorable,2023-03-26,42.77731906
Ron DeSantis,unfavorable,2023-03-26,37.0616017
Ron DeSantis,favorable,2023-03-25,42.77731906
Ron DeSantis,unfavorable,2023-03-25,37.0616017
Ron DeSantis,favorable,2023-03-24,42.77731906
Ron DeSantis,unfavorable,2023-03-24,37.0616017
Ron DeSantis,favorable,2023-03-23,42.77731906
Ron DeSantis,unfavorable,2023-03-23,37.0616017
Ron DeSantis,favorable,2023-03-22,39.37914417
Ron DeSantis,unfavorable,2023-03-22,38.98796843
Ron DeSantis,favorable,2023-03-21,38.93404756
Ron DeSantis,unfavorable,2023-03-21,39.74024739
Ron DeSantis,favorable,2023-03-20,39.77112719
Ron DeSantis,unfavorable,2023-03-20,37.94227188
