ID	Pollster	Calls Cellphones	NCPP/AAPOR/Roper	Polls	Simple Average Error	Simple Plus-Minus	Advanced Plus-Minus	Predictive Plus-Minus	538 Grade	Banned by 538	Mean-Reverted Bias
1	Field Research Corporation (Field Poll)	yes	yes	23	3.92547	-1.612882	-2.509674	-1.32377	A+		-1.142667826
2	Selzer & Company	yes	yes	32	4.08464	-1.34223	-1.459742	-0.982943	A+		0.010389923
3	Ciruli Associates	yes	yes	17	3.60412	-1.868177	-2.036298	-0.967599	A+		-0.717610435
4	SurveyUSA	Sometimes	yes	722	4.48207	-0.9269388	-1.018211	-0.9028778	A		-0.174487317
5	Elway Research	yes	yes	16	4.39862	-1.488998	-1.932285	-0.9016041	A		0.471364091
6	Grove Insight	yes		29	3.14235	-1.694211	-2.145177	-0.8894342	A		0.480680407
7	Blum & Weprin Associates	yes		18	4.55944	-0.4985823	-2.823918	-0.873236	A		-1.034504348
8	National Journal	yes	yes	12	2.59913	-2.390993	-2.080368	-0.8134748	A		-0.178693429
9	Ipsos, telephone	yes	yes	21	3.8299	-1.307062	-1.193011	-0.7256084	A-		0.420008571
10	Muhlenberg College	yes	yes	20	2.94852	-2.058851	-1.164778	-0.6998314	A-		-0.491864
11	Public Policy Institute of California	yes	yes	10	3.98058	-2.010559	-1.901415	-0.6859038	A-		-0.621734324
12	ABC News/Washington Post	yes	yes	50	3.07838	-1.490185	-0.7451531	-0.6733085	A-		0.5870142
13	University of Cincinnati (Ohio Poll)	yes	yes	38	3.73136	-1.629992	-0.756938	-0.6459742	A-		-1.452821356
14	Behavior Research Center (Rocky Mountain)	yes	yes	7	3.46	-3.136984	-2.373401	-0.6407706	A-		0.088
15	Siena College	yes	yes	32	5.10147	-0.03355	-0.793005	-0.6388207	A-		-0.823105
16	Fairleigh Dickinson University (PublicMind)	yes	yes	17	4.17045	-1.088215	-0.9900424	-0.5891662	A-		-0.007903652
17	CNN/Opinion Research Corp.	yes	yes	72	4.60979	-0.7286522	-0.5703554	-0.5827255	A-		-0.556254
18	Montana State University Billings	yes		7	3.60714	-2.21385	-4.190756	-0.553575	A-		0.559188378
19	GfK Group	yes	yes	18	3.46375	-1.202094	-0.8216731	-0.5404262	A-		-0.045641625
20	University of Connecticut	yes	yes	7	3.64012	-1.734945	-1.751012	-0.5230213	A-		-0.363788108
21	NBC News/Wall Street Journal	yes	yes	23	4.0616	-0.8062829	-0.5779117	-0.4854578	A-		0.467745
22	Monmouth University	yes	yes	31	4.42292	-0.5089944	-0.466397	-0.4674737	A-		-0.088719448
23	Franklin & Marshall College	yes	yes	15	4.28013	-1.175056	-0.6561467	-0.4462911	B+		-0.458445909
24	Davis, Hibbitts & Midghall, Inc.	yes		11	2.43549	-2.596931	-2.210708	-0.3797086	B+		-0.04620825
25	Research & Polling, Inc.	yes		24	4.2887	-1.089091	-1.236497	-0.3773816	B+		-0.602994906
26	University of South Alabama	yes		8	2.74933	-2.367621	-2.848764	-0.3678937	B+		-0.406172632
27	Los Angeles Times	yes	yes	40	5.23769	-0.7281817	-0.2545127	-0.3659749	B+		-0.611715556
28	Marist College	yes	yes	99	4.98308	-0.4741889	-0.2348228	-0.3330505	B+		-1.52508
29	Time/Abt SRBI	yes	yes	5	2.73532	-2.314465	-1.098558	-0.3307491	B+		0.217547059
30	SoonerPoll.com	yes	yes	11	6.87242	1.141261	-0.4104658	-0.325278	B+		1.471188462
31	St. Norbert College	yes		11	3.78421	-2.340314	-1.988579	-0.3201131	B+		0.1427755
32	Quinnipiac University	yes	yes	133	4.59519	-0.6868896	-0.2012938	-0.2916989	B+		-0.858015349
33	Lake Research Partners	yes		9	3.84613	-1.655618	-2.231017	-0.2897414	B+		0.498152308
